# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-2.037250e-01	2.151035e-01	0.000000e+00	0.000000e+00	-7.124036e-01
5.000000e-02	-4.016541e-01	9.320561e-02	-3.950187e-01	-1.209921e-01	-7.425575e-01
1.000000e-01	-3.979610e-01	9.096383e-02	-3.916854e-01	-1.206191e-01	-7.502149e-01
1.500000e-01	-3.872832e-01	8.492635e-02	-3.825583e-01	-1.160595e-01	-7.718462e-01
2.000000e-01	-3.773615e-01	8.007271e-02	-3.722738e-01	-9.748455e-02	-7.920646e-01
2.500000e-01	-3.624298e-01	7.539462e-02	-3.597776e-01	-7.199825e-02	-8.214739e-01
3.000000e-01	-3.499515e-01	7.527973e-02	-3.509805e-01	-5.334587e-02	-8.468221e-01
3.500000e-01	-3.363208e-01	8.158717e-02	-3.409442e-01	-3.932496e-02	-8.736997e-01
4.000000e-01	-3.279959e-01	9.248079e-02	-3.407282e-01	-3.882852e-02	-8.928445e-01
4.500000e-01	-3.241578e-01	1.074018e-01	-3.533106e-01	-3.604035e-02	-9.048412e-01
5.000000e-01	-3.284867e-01	1.202590e-01	-3.748915e-01	-3.675928e-02	-9.057764e-01
5.500000e-01	-3.419676e-01	1.294583e-01	-3.992002e-01	-3.280786e-02	-8.927643e-01
6.000000e-01	-3.633992e-01	1.311778e-01	-4.224555e-01	-6.036410e-02	-8.700056e-01
6.500000e-01	-3.927521e-01	1.236966e-01	-4.416545e-01	-1.038884e-01	-8.360394e-01
7.000000e-01	-4.232220e-01	1.078706e-01	-4.553433e-01	-1.566050e-01	-8.071202e-01
7.500000e-01	-4.508959e-01	8.448507e-02	-4.630914e-01	-1.980453e-01	-7.695746e-01
8.000000e-01	-4.666176e-01	6.203797e-02	-4.669210e-01	-2.514020e-01	-7.503761e-01
8.500000e-01	-4.633414e-01	5.333496e-02	-4.603462e-01	-3.079869e-01	-7.544410e-01
9.000000e-01	-4.364898e-01	6.607129e-02	-4.253968e-01	-2.820164e-01	-7.527073e-01
9.500000e-01	-3.813541e-01	8.597518e-02	-3.483696e-01	-2.198577e-01	-7.290370e-01
1.000000e+00	-3.036953e-01	1.003244e-01	-2.533682e-01	-1.462418e-01	-6.757317e-01
1.050000e+00	-2.063746e-01	1.047770e-01	-1.524234e-01	-2.945780e-02	-5.906959e-01
1.100000e+00	-1.049277e-01	9.814634e-02	-6.075360e-02	7.476255e-02	-4.803673e-01
