# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.006748e-01	1.444972e-01	0.000000e+00	2.767248e-01	-4.034853e-01
5.000000e-02	-2.002687e-01	1.479242e-01	-2.104653e-01	2.589824e-01	-4.024668e-01
1.000000e-01	-2.046035e-01	1.449021e-01	-2.186234e-01	2.410763e-01	-4.047327e-01
1.500000e-01	-2.180698e-01	1.380781e-01	-2.408213e-01	1.864226e-01	-4.113999e-01
2.000000e-01	-2.320736e-01	1.348584e-01	-2.679103e-01	1.405136e-01	-4.443447e-01
2.500000e-01	-2.563255e-01	1.370181e-01	-2.819192e-01	6.354659e-02	-5.115744e-01
3.000000e-01	-2.813396e-01	1.473406e-01	-2.846744e-01	-1.560640e-02	-5.755158e-01
3.500000e-01	-3.161034e-01	1.696759e-01	-2.799632e-01	-7.287162e-02	-6.611735e-01
4.000000e-01	-3.502584e-01	1.964600e-01	-2.881887e-01	-9.072465e-02	-7.501553e-01
4.500000e-01	-3.897885e-01	2.301824e-01	-2.922195e-01	-9.667426e-02	-8.440628e-01
5.000000e-01	-4.246461e-01	2.604862e-01	-2.812212e-01	-8.631191e-02	-9.174758e-01
5.500000e-01	-4.563197e-01	2.885135e-01	-2.819480e-01	-7.817119e-02	-9.733747e-01
6.000000e-01	-4.770521e-01	3.067907e-01	-3.084588e-01	-7.371581e-02	-1.008025e+00
6.500000e-01	-4.842727e-01	3.141535e-01	-3.265575e-01	-5.010618e-02	-1.016353e+00
7.000000e-01	-4.748391e-01	3.085034e-01	-3.413132e-01	-1.798593e-02	-1.047020e+00
7.500000e-01	-4.444496e-01	2.877076e-01	-3.370897e-01	7.880370e-03	-1.022065e+00
8.000000e-01	-3.967960e-01	2.557133e-01	-3.083357e-01	2.407429e-02	-9.435862e-01
8.500000e-01	-3.291827e-01	2.116077e-01	-2.791761e-01	3.268173e-02	-8.071490e-01
9.000000e-01	-2.526230e-01	1.640113e-01	-2.399255e-01	4.017958e-02	-6.358078e-01
9.500000e-01	-1.684092e-01	1.150825e-01	-1.790653e-01	4.744486e-02	-4.626897e-01
