# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-7.402427e-02	1.481903e-01	0.000000e+00	4.581019e-01	-4.271792e-01
5.000000e-02	-1.439312e-01	1.734535e-01	-1.769966e-01	4.747333e-01	-4.277228e-01
1.000000e-01	-1.467446e-01	1.676221e-01	-1.753281e-01	4.593278e-01	-4.266120e-01
1.500000e-01	-1.558867e-01	1.509040e-01	-1.707821e-01	4.112556e-01	-4.229743e-01
2.000000e-01	-1.657997e-01	1.356636e-01	-1.669006e-01	3.608123e-01	-4.188760e-01
2.500000e-01	-1.839895e-01	1.150382e-01	-1.781834e-01	2.723721e-01	-4.202571e-01
3.000000e-01	-2.036278e-01	1.029864e-01	-1.900391e-01	1.796630e-01	-4.820263e-01
3.500000e-01	-2.323504e-01	1.039460e-01	-2.140926e-01	4.734904e-02	-5.690268e-01
4.000000e-01	-2.618601e-01	1.223230e-01	-2.315982e-01	-7.797118e-02	-6.486961e-01
4.500000e-01	-2.977391e-01	1.563735e-01	-2.352711e-01	-6.591386e-02	-7.350344e-01
5.000000e-01	-3.312306e-01	1.925109e-01	-2.485838e-01	-4.117485e-02	-8.054281e-01
5.500000e-01	-3.643529e-01	2.304776e-01	-2.578461e-01	-2.025028e-02	-8.640077e-01
6.000000e-01	-3.895906e-01	2.603852e-01	-2.713497e-01	-7.027243e-03	-8.994552e-01
6.500000e-01	-4.055723e-01	2.820151e-01	-2.910649e-01	1.972455e-03	-9.568767e-01
7.000000e-01	-4.080314e-01	2.908203e-01	-3.013412e-01	9.747762e-03	-1.000961e+00
7.500000e-01	-3.939308e-01	2.855771e-01	-2.964871e-01	1.351389e-02	-1.001568e+00
8.000000e-01	-3.644049e-01	2.674546e-01	-2.853290e-01	1.322226e-02	-9.505490e-01
8.500000e-01	-3.174071e-01	2.355868e-01	-2.639871e-01	2.896817e-02	-8.437953e-01
9.000000e-01	-2.604970e-01	1.957959e-01	-2.344335e-01	3.824802e-02	-6.998279e-01
9.500000e-01	-1.947401e-01	1.484023e-01	-1.865900e-01	5.808626e-02	-5.220113e-01
1.000000e+00	-1.320961e-01	1.015592e-01	-1.339376e-01	6.595152e-02	-3.584190e-01
1.050000e+00	-7.617138e-02	5.812195e-02	-7.671160e-02	5.519932e-02	-2.120266e-01
1.100000e+00	-3.749799e-02	3.368189e-02	-3.980742e-02	6.299731e-02	-1.212331e-01
1.150000e+00	-1.880988e-02	4.323118e-02	-2.121872e-02	1.063261e-01	-1.269566e-01
1.200000e+00	-2.235353e-02	6.148259e-02	-2.380264e-02	1.178017e-01	-1.546568e-01
1.250000e+00	-4.602969e-02	7.444517e-02	-4.166148e-02	1.022490e-01	-1.867006e-01
1.300000e+00	-8.144489e-02	7.991310e-02	-7.312178e-02	6.472207e-02	-2.362804e-01
1.350000e+00	-1.214846e-01	7.943272e-02	-1.080780e-01	2.752172e-02	-2.815040e-01
1.400000e+00	-1.527447e-01	7.507854e-02	-1.410806e-01	-8.534835e-03	-3.045146e-01
1.450000e+00	-1.682985e-01	6.893559e-02	-1.627301e-01	-3.703835e-02	-3.051733e-01
1.500000e+00	-1.601913e-01	6.277707e-02	-1.665005e-01	-4.388011e-02	-2.744156e-01
1.550000e+00	-1.281857e-01	5.744094e-02	-1.376513e-01	-1.234939e-02	-2.241313e-01
1.600000e+00	-7.660211e-02	5.288383e-02	-8.506329e-02	3.898091e-02	-1.573333e-01
1.650000e+00	-1.274983e-02	4.895113e-02	-2.661438e-02	9.179125e-02	-9.835363e-02
1.700000e+00	5.033892e-02	4.468179e-02	3.632419e-02	1.331203e-01	-4.109266e-02
1.750000e+00	1.044421e-01	4.025351e-02	9.571940e-02	1.792969e-01	1.457154e-02
1.800000e+00	1.388950e-01	3.546977e-02	1.380869e-01	2.141559e-01	5.903867e-02
1.850000e+00	1.527825e-01	3.213379e-02	1.626812e-01	2.288932e-01	7.468786e-02
1.900000e+00	1.453588e-01	3.132658e-02	1.494139e-01	2.107020e-01	6.876247e-02
1.950000e+00	1.241106e-01	3.337295e-02	1.168291e-01	2.071727e-01	5.297253e-02
2.000000e+00	9.526057e-02	3.537857e-02	8.308684e-02	1.891692e-01	3.432023e-02
2.050000e+00	6.802255e-02	3.566301e-02	5.773383e-02	1.631488e-01	1.778490e-02
2.100000e+00	4.698230e-02	3.181234e-02	3.865388e-02	1.302097e-01	-4.345140e-03
2.150000e+00	3.451658e-02	2.453128e-02	3.105642e-02	9.622875e-02	-1.239637e-02
2.200000e+00	2.932556e-02	1.591546e-02	3.117306e-02	6.672288e-02	-5.699210e-03
2.250000e+00	2.880587e-02	9.096688e-03	2.931593e-02	4.949336e-02	6.629696e-03
2.300000e+00	2.733123e-02	7.228742e-03	2.766585e-02	4.189468e-02	8.145555e-03
2.350000e+00	2.255296e-02	7.926827e-03	2.423574e-02	3.822095e-02	1.850402e-03
2.400000e+00	1.451710e-02	7.781371e-03	1.606666e-02	3.040070e-02	-3.827367e-03
2.450000e+00	7.412078e-03	7.787276e-03	8.733541e-03	2.451129e-02	-1.371813e-02
2.500000e+00	1.348953e-04	7.877317e-03	5.607250e-04	1.804615e-02	-2.159492e-02
2.550000e+00	-6.162157e-03	8.412574e-03	-7.037742e-03	1.197705e-02	-2.717040e-02
2.600000e+00	-1.051379e-02	9.214373e-03	-1.310546e-02	7.167539e-03	-3.022387e-02
2.650000e+00	-1.395109e-02	1.009039e-02	-1.758292e-02	4.672335e-03	-3.255450e-02
2.700000e+00	-1.522528e-02	1.066110e-02	-1.835328e-02	4.674106e-03	-3.235016e-02
2.750000e+00	-1.444846e-02	1.076013e-02	-1.735031e-02	5.672448e-03	-3.120362e-02
2.800000e+00	-1.209340e-02	1.032022e-02	-1.446391e-02	7.655718e-03	-2.995404e-02
2.850000e+00	-9.572322e-03	9.499965e-03	-1.076043e-02	8.942347e-03	-2.720299e-02
2.900000e+00	-6.586276e-03	8.260419e-03	-6.085241e-03	8.805131e-03	-2.252825e-02
2.950000e+00	-3.860399e-03	6.956505e-03	-2.156294e-03	7.584240e-03	-1.786028e-02
3.000000e+00	-1.918270e-03	6.086633e-03	2.280315e-04	8.145347e-03	-1.485051e-02
3.050000e+00	-1.217362e-03	5.813121e-03	-1.181141e-03	1.123940e-02	-1.249721e-02
3.100000e+00	-1.416079e-03	6.142428e-03	-3.549880e-03	1.217012e-02	-1.141111e-02
3.150000e+00	-2.189453e-03	6.371214e-03	-4.453932e-03	1.249672e-02	-1.200685e-02
3.200000e+00	-3.066272e-03	6.037430e-03	-4.435396e-03	1.067618e-02	-1.420967e-02
3.250000e+00	-3.578453e-03	5.416656e-03	-3.279281e-03	6.982940e-03	-1.465315e-02
3.300000e+00	-3.099989e-03	5.072193e-03	-1.330549e-03	7.885749e-03	-1.306065e-02
3.350000e+00	-1.530736e-03	5.761008e-03	-3.262408e-03	1.246036e-02	-1.099524e-02
3.400000e+00	8.947346e-04	7.213522e-03	-1.986285e-03	1.691950e-02	-7.921968e-03
3.450000e+00	3.904881e-03	8.646250e-03	1.795272e-03	2.101356e-02	-9.316030e-03
3.500000e+00	6.704594e-03	9.154498e-03	6.197071e-03	2.365633e-02	-9.442739e-03
3.550000e+00	8.644317e-03	8.530540e-03	1.022773e-02	2.393187e-02	-7.958836e-03
3.600000e+00	9.285909e-03	7.018213e-03	1.166774e-02	2.080951e-02	-5.460094e-03
3.650000e+00	8.649366e-03	5.300541e-03	9.889115e-03	1.602351e-02	-3.133309e-03
3.700000e+00	6.671135e-03	4.908547e-03	5.779777e-03	1.590249e-02	-2.835820e-03
3.750000e+00	3.779107e-03	6.103612e-03	3.995295e-03	1.495539e-02	-9.299872e-03
3.800000e+00	5.165299e-04	7.342890e-03	2.522704e-03	1.268703e-02	-1.488292e-02
3.850000e+00	-2.557608e-03	7.811401e-03	1.121993e-04	9.623447e-03	-1.883824e-02
3.900000e+00	-5.233354e-03	7.164443e-03	-3.207083e-03	7.011127e-03	-2.056226e-02
3.950000e+00	-7.275139e-03	5.657698e-03	-6.025688e-03	3.813086e-03	-2.029966e-02
4.000000e+00	-8.605103e-03	4.034347e-03	-8.534376e-03	1.039084e-03	-1.912534e-02
4.050000e+00	-9.400699e-03	3.573761e-03	-9.395973e-03	-1.203041e-03	-2.044168e-02
4.100000e+00	-9.721132e-03	4.462041e-03	-9.617975e-03	-1.884020e-04	-1.980768e-02
4.150000e+00	-9.566666e-03	5.554189e-03	-9.852558e-03	2.998074e-03	-2.214524e-02
4.200000e+00	-8.937342e-03	6.257305e-03	-9.844294e-03	5.947451e-03	-2.293346e-02
4.250000e+00	-8.163046e-03	6.488078e-03	-9.375494e-03	8.885352e-03	-2.182384e-02
4.300000e+00	-7.035545e-03	6.540587e-03	-8.485352e-03	1.065364e-02	-1.986257e-02
4.350000e+00	-5.612752e-03	6.614806e-03	-7.302475e-03	1.149714e-02	-1.802438e-02
4.400000e+00	-3.978230e-03	6.725958e-03	-5.209126e-03	1.217775e-02	-1.770742e-02
4.450000e+00	-2.376425e-03	6.773603e-03	-3.237303e-03	1.367629e-02	-1.718759e-02
4.500000e+00	-6.397219e-04	6.622767e-03	-7.762272e-04	1.513391e-02	-1.489454e-02
4.550000e+00	1.339151e-03	6.346354e-03	1.413131e-03	1.648529e-02	-1.134029e-02
