# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	7.480349e-02	8.456422e-02	3.496762e-02	4.002928e-01	-3.282117e-03
5.000000e-02	1.452078e-01	6.049004e-02	1.328755e-01	4.268017e-01	-5.976013e-03
1.000000e-01	1.422842e-01	6.101941e-02	1.297921e-01	4.271649e-01	-8.651841e-03
1.500000e-01	1.333725e-01	6.242058e-02	1.203612e-01	4.278108e-01	-1.654489e-02
2.000000e-01	1.242223e-01	6.356059e-02	1.102550e-01	4.278094e-01	-2.426120e-02
2.500000e-01	1.085752e-01	6.487280e-02	9.373995e-02	4.263402e-01	-3.663688e-02
3.000000e-01	9.242387e-02	6.551649e-02	7.714082e-02	4.230775e-01	-5.131498e-02
3.500000e-01	6.933186e-02	6.539347e-02	5.468700e-02	4.155668e-01	-7.143029e-02
4.000000e-01	4.575205e-02	6.430977e-02	3.163393e-02	4.145973e-01	-9.043314e-02
4.500000e-01	1.549957e-02	6.195519e-02	3.261532e-03	4.100613e-01	-1.171611e-01
5.000000e-01	-1.442516e-02	5.911652e-02	-2.452726e-02	3.998447e-01	-1.636913e-01
5.500000e-01	-4.923224e-02	5.594888e-02	-5.702277e-02	3.798897e-01	-2.120779e-01
6.000000e-01	-8.159118e-02	5.384418e-02	-8.639740e-02	3.520978e-01	-2.534784e-01
6.500000e-01	-1.149583e-01	5.290768e-02	-1.164355e-01	3.176402e-01	-2.873137e-01
7.000000e-01	-1.424385e-01	5.268432e-02	-1.401718e-01	2.767867e-01	-3.021979e-01
7.500000e-01	-1.653856e-01	5.113105e-02	-1.592637e-01	2.219193e-01	-2.945080e-01
8.000000e-01	-1.787575e-01	4.655864e-02	-1.739881e-01	1.605317e-01	-2.890800e-01
8.500000e-01	-1.824350e-01	3.770578e-02	-1.845571e-01	9.958176e-02	-2.673107e-01
9.000000e-01	-1.748122e-01	3.135690e-02	-1.760830e-01	7.894867e-02	-2.742844e-01
9.500000e-01	-1.555857e-01	4.318633e-02	-1.568805e-01	5.641804e-02	-2.702107e-01
1.000000e+00	-1.273802e-01	7.127682e-02	-1.447507e-01	9.601628e-02	-2.527553e-01
1.050000e+00	-9.074721e-02	1.065878e-01	-1.270404e-01	2.035056e-01	-2.503270e-01
1.100000e+00	-5.124892e-02	1.383556e-01	-1.061199e-01	2.890408e-01	-2.456501e-01
1.150000e+00	-9.792006e-03	1.624231e-01	-8.036725e-02	3.490166e-01	-2.348878e-01
1.200000e+00	2.818245e-02	1.714423e-01	-5.021908e-02	4.005846e-01	-2.013016e-01
1.250000e+00	6.318755e-02	1.629096e-01	-1.202757e-02	4.130986e-01	-1.459666e-01
1.300000e+00	9.228396e-02	1.369778e-01	2.924495e-02	3.977643e-01	-7.902891e-02
1.350000e+00	1.181217e-01	9.592334e-02	7.605894e-02	3.476174e-01	2.726146e-03
1.400000e+00	1.394225e-01	4.929495e-02	1.217887e-01	2.712339e-01	6.109451e-02
1.450000e+00	1.591108e-01	2.111025e-02	1.556509e-01	2.463466e-01	1.041362e-01
1.500000e+00	1.743336e-01	5.150875e-02	1.904243e-01	2.681245e-01	4.936074e-02
1.550000e+00	1.858746e-01	7.959516e-02	2.183453e-01	2.745734e-01	7.590805e-03
1.600000e+00	1.883659e-01	9.214153e-02	2.293068e-01	2.789395e-01	-1.669942e-02
1.650000e+00	1.812024e-01	9.057925e-02	2.222964e-01	2.611597e-01	-2.188015e-02
1.700000e+00	1.605469e-01	7.733589e-02	1.953590e-01	2.344805e-01	-1.447155e-02
1.750000e+00	1.278033e-01	5.692525e-02	1.524874e-01	1.891189e-01	-1.330583e-02
1.800000e+00	8.561423e-02	3.488480e-02	9.999445e-02	1.332292e-01	-5.314882e-03
