# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	8.293013e-02	9.474800e-02	1.476778e-02	4.010074e-01	-2.603872e-02
5.000000e-02	1.638057e-01	6.648954e-02	1.487660e-01	4.011357e-01	-2.886411e-02
1.000000e-01	1.615389e-01	6.738834e-02	1.459577e-01	4.011964e-01	-3.166638e-02
1.500000e-01	1.544524e-01	6.987644e-02	1.371075e-01	4.009632e-01	-3.990271e-02
2.000000e-01	1.469252e-01	7.206346e-02	1.286123e-01	4.001197e-01	-4.791778e-02
2.500000e-01	1.335030e-01	7.495968e-02	1.141751e-01	3.973410e-01	-6.069251e-02
3.000000e-01	1.190087e-01	7.694738e-02	9.895839e-02	3.964614e-01	-7.279238e-02
3.500000e-01	9.725899e-02	7.816792e-02	7.739104e-02	3.995106e-01	-8.842025e-02
4.000000e-01	7.396030e-02	7.773575e-02	5.443401e-02	3.990497e-01	-1.026100e-01
4.500000e-01	4.260649e-02	7.506680e-02	2.516099e-02	3.954081e-01	-1.405229e-01
5.000000e-01	1.013696e-02	7.060369e-02	-4.615098e-03	3.861031e-01	-1.910582e-01
5.500000e-01	-2.931042e-02	6.389346e-02	-4.085329e-02	3.672136e-01	-2.435402e-01
6.000000e-01	-6.754545e-02	5.718831e-02	-7.477357e-02	3.404325e-01	-2.847935e-01
6.500000e-01	-1.084702e-01	5.127867e-02	-1.085829e-01	3.000291e-01	-3.160192e-01
7.000000e-01	-1.434186e-01	4.832943e-02	-1.367753e-01	2.533607e-01	-3.279815e-01
7.500000e-01	-1.734044e-01	4.692966e-02	-1.640775e-01	1.955099e-01	-3.296474e-01
8.000000e-01	-1.913010e-01	4.446151e-02	-1.837663e-01	1.334363e-01	-3.136761e-01
8.500000e-01	-1.957759e-01	3.758905e-02	-1.958251e-01	6.636263e-02	-2.878816e-01
9.000000e-01	-1.841802e-01	3.060937e-02	-1.863239e-01	2.855151e-02	-2.668584e-01
9.500000e-01	-1.550030e-01	4.125295e-02	-1.586335e-01	3.522396e-02	-2.629952e-01
1.000000e+00	-1.123685e-01	7.297646e-02	-1.321704e-01	1.319676e-01	-2.559811e-01
1.050000e+00	-5.700410e-02	1.158229e-01	-1.163422e-01	2.240711e-01	-2.539517e-01
1.100000e+00	1.274081e-03	1.569774e-01	-9.659166e-02	3.001254e-01	-2.671804e-01
1.150000e+00	5.963801e-02	1.912285e-01	-7.101421e-02	3.596382e-01	-2.641683e-01
1.200000e+00	1.079264e-01	2.083540e-01	-4.036587e-02	4.097500e-01	-2.373966e-01
1.250000e+00	1.446885e-01	2.043500e-01	-9.611460e-04	4.446413e-01	-1.828631e-01
1.300000e+00	1.656105e-01	1.776150e-01	4.411914e-02	4.410326e-01	-1.085635e-01
1.350000e+00	1.738259e-01	1.300796e-01	9.363459e-02	3.967417e-01	-1.932210e-02
1.400000e+00	1.717399e-01	7.218589e-02	1.400950e-01	3.194670e-01	4.768956e-02
1.450000e+00	1.652923e-01	2.326304e-02	1.633652e-01	2.450102e-01	9.695482e-02
1.500000e+00	1.574492e-01	5.533356e-02	1.838163e-01	2.679856e-01	4.659197e-02
1.550000e+00	1.513768e-01	9.383191e-02	2.139695e-01	2.857070e-01	9.632051e-03
1.600000e+00	1.447967e-01	1.128677e-01	2.242608e-01	2.843386e-01	-2.969206e-02
1.650000e+00	1.363155e-01	1.135250e-01	2.157959e-01	2.683568e-01	-4.172822e-02
1.700000e+00	1.210517e-01	9.844222e-02	1.873875e-01	2.385213e-01	-4.605635e-02
1.750000e+00	9.801153e-02	7.334726e-02	1.429997e-01	1.987495e-01	-4.364961e-02
1.800000e+00	6.715355e-02	4.514728e-02	8.827008e-02	1.454145e-01	-3.038680e-02
1.850000e+00	3.159622e-02	1.873457e-02	3.062205e-02	8.427037e-02	-1.584842e-02
1.900000e+00	-2.610224e-03	1.646004e-02	9.885112e-05	4.657298e-02	-6.380024e-02
1.950000e+00	-3.211648e-02	3.036091e-02	-4.460365e-02	3.530285e-02	-1.016662e-01
2.000000e+00	-5.068368e-02	3.472786e-02	-6.898207e-02	1.519168e-02	-1.150604e-01
2.050000e+00	-6.028298e-02	2.687219e-02	-7.290732e-02	-1.048732e-02	-1.079844e-01
2.100000e+00	-5.649851e-02	8.983401e-03	-5.566067e-02	-2.616065e-02	-8.650919e-02
2.150000e+00	-4.306050e-02	2.003481e-02	-3.525585e-02	6.394066e-03	-8.095874e-02
2.200000e+00	-2.532045e-02	3.797917e-02	-8.499644e-04	3.146880e-02	-9.041752e-02
2.250000e+00	-8.409930e-03	4.274351e-02	2.102838e-02	4.622684e-02	-9.079994e-02
