# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	5.165493e-02	8.684639e-02	0.000000e+00	2.891225e-01	-2.913722e-01
5.000000e-02	1.005020e-01	9.160420e-02	1.058113e-01	3.107433e-01	-2.929434e-01
1.000000e-01	9.065940e-02	9.097414e-02	9.603148e-02	3.018639e-01	-2.945389e-01
1.500000e-01	6.056287e-02	8.905177e-02	6.548993e-02	2.741147e-01	-2.995113e-01
2.000000e-01	2.942081e-02	8.708257e-02	3.394296e-02	2.444958e-01	-3.046515e-01
2.500000e-01	-2.393456e-02	8.381163e-02	-1.898354e-02	1.918999e-01	-3.134850e-01
3.000000e-01	-7.942674e-02	8.065508e-02	-7.578688e-02	1.349869e-01	-3.225244e-01
3.500000e-01	-1.584301e-01	7.682631e-02	-1.569157e-01	5.056824e-02	-3.707214e-01
4.000000e-01	-2.393357e-01	7.404577e-02	-2.409858e-01	0.000000e+00	-4.516537e-01
4.500000e-01	-3.416977e-01	7.272256e-02	-3.448800e-01	0.000000e+00	-5.494383e-01
5.000000e-01	-4.423873e-01	7.430265e-02	-4.463653e-01	0.000000e+00	-6.408394e-01
5.500000e-01	-5.563021e-01	7.975491e-02	-5.643869e-01	0.000000e+00	-7.377760e-01
6.000000e-01	-6.600800e-01	8.806033e-02	-6.721390e-01	0.000000e+00	-8.244035e-01
6.500000e-01	-7.615713e-01	9.901935e-02	-7.779759e-01	0.000000e+00	-9.091037e-01
7.000000e-01	-8.402086e-01	1.097495e-01	-8.565246e-01	0.000000e+00	-9.665680e-01
7.500000e-01	-8.966104e-01	1.194703e-01	-9.136718e-01	0.000000e+00	-1.021726e+00
8.000000e-01	-9.174941e-01	1.257658e-01	-9.375163e-01	0.000000e+00	-1.032003e+00
8.500000e-01	-8.993584e-01	1.278206e-01	-9.210535e-01	0.000000e+00	-1.000860e+00
9.000000e-01	-8.406833e-01	1.248629e-01	-8.641764e-01	0.000000e+00	-9.654861e-01
9.500000e-01	-7.392994e-01	1.166554e-01	-7.598801e-01	0.000000e+00	-8.766280e-01
1.000000e+00	-6.070832e-01	1.045087e-01	-6.247589e-01	0.000000e+00	-7.494408e-01
1.050000e+00	-4.475840e-01	8.939080e-02	-4.605477e-01	0.000000e+00	-5.944543e-01
1.100000e+00	-2.822160e-01	7.424256e-02	-2.901884e-01	0.000000e+00	-4.240671e-01
1.150000e+00	-1.197248e-01	6.093944e-02	-1.196028e-01	3.639275e-02	-2.527939e-01
