# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-4.727825e-02	5.447089e-02	0.000000e+00	3.999563e-03	-3.316858e-01
5.000000e-02	-1.033523e-01	3.708920e-02	-9.945690e-02	-5.499728e-03	-3.444516e-01
1.000000e-01	-1.117428e-01	3.717167e-02	-1.078054e-01	-1.508464e-02	-3.401515e-01
1.500000e-01	-1.370155e-01	3.760076e-02	-1.328295e-01	-3.850967e-02	-3.277631e-01
2.000000e-01	-1.625724e-01	3.828893e-02	-1.580835e-01	-6.249720e-02	-3.157295e-01
2.500000e-01	-2.051285e-01	3.990385e-02	-2.003184e-01	-1.031835e-01	-3.536020e-01
3.000000e-01	-2.477703e-01	4.200292e-02	-2.425567e-01	-1.448321e-01	-4.007121e-01
3.500000e-01	-3.059594e-01	4.540777e-02	-3.001926e-01	-1.908677e-01	-4.655541e-01
4.000000e-01	-3.624000e-01	4.911658e-02	-3.573224e-01	-1.870700e-01	-5.262433e-01
4.500000e-01	-4.293968e-01	5.377588e-02	-4.253600e-01	-1.736552e-01	-6.026914e-01
5.000000e-01	-4.899848e-01	5.807660e-02	-4.873500e-01	-1.596751e-01	-6.699607e-01
5.500000e-01	-5.513395e-01	6.230789e-02	-5.510257e-01	-1.414867e-01	-7.373566e-01
6.000000e-01	-5.986971e-01	6.531747e-02	-5.997093e-01	-1.251616e-01	-7.858091e-01
6.500000e-01	-6.332894e-01	6.700023e-02	-6.362764e-01	-1.075770e-01	-8.169778e-01
7.000000e-01	-6.456129e-01	6.680211e-02	-6.505038e-01	-9.059038e-02	-8.186508e-01
7.500000e-01	-6.325107e-01	6.444619e-02	-6.390584e-01	-6.606919e-02	-7.844345e-01
8.000000e-01	-5.929801e-01	6.039068e-02	-6.008826e-01	-3.999802e-02	-7.202166e-01
8.500000e-01	-5.233168e-01	5.479342e-02	-5.304802e-01	-1.299337e-02	-6.347219e-01
9.000000e-01	-4.324363e-01	4.931831e-02	-4.374870e-01	2.409800e-02	-5.445340e-01
9.500000e-01	-3.200641e-01	4.501364e-02	-3.214821e-01	6.629161e-02	-4.391712e-01
1.000000e+00	-2.024510e-01	4.332506e-02	-2.015302e-01	1.032757e-01	-3.347176e-01
1.050000e+00	-8.371666e-02	4.387870e-02	-8.081250e-02	1.338866e-01	-2.219935e-01
1.100000e+00	1.952497e-02	4.497550e-02	2.205768e-02	1.542752e-01	-1.161270e-01
1.150000e+00	1.023945e-01	4.483717e-02	1.034536e-01	2.490034e-01	-2.284474e-02
1.200000e+00	1.560221e-01	4.218161e-02	1.556567e-01	2.982591e-01	4.491064e-02
1.250000e+00	1.804471e-01	3.668169e-02	1.805019e-01	3.036600e-01	6.103412e-02
1.300000e+00	1.782119e-01	2.917312e-02	1.787035e-01	2.713275e-01	5.678973e-02
1.350000e+00	1.566488e-01	2.102073e-02	1.570866e-01	2.194835e-01	4.946412e-02
1.400000e+00	1.253396e-01	1.510433e-02	1.259276e-01	1.692695e-01	4.339098e-02
1.450000e+00	9.474723e-02	1.376843e-02	9.494227e-02	1.465901e-01	3.181458e-02
1.500000e+00	7.191162e-02	1.531162e-02	7.214007e-02	1.219423e-01	1.689070e-02
1.550000e+00	6.274723e-02	1.642497e-02	6.436514e-02	1.042744e-01	5.673993e-03
1.600000e+00	6.534171e-02	1.608529e-02	6.778513e-02	1.028332e-01	2.636679e-04
1.650000e+00	7.776100e-02	1.523747e-02	8.082734e-02	1.091560e-01	-6.862979e-03
1.700000e+00	9.184019e-02	1.516100e-02	9.476417e-02	1.257465e-01	-1.314240e-02
1.750000e+00	1.023510e-01	1.609959e-02	1.056219e-01	1.379088e-01	-1.864435e-02
1.800000e+00	1.039803e-01	1.683682e-02	1.067198e-01	1.412078e-01	-3.520630e-02
1.850000e+00	9.591396e-02	1.631631e-02	9.796758e-02	1.358885e-01	-4.365930e-02
1.900000e+00	8.082451e-02	1.421220e-02	8.230645e-02	1.193780e-01	-3.992670e-02
1.950000e+00	6.436143e-02	1.122691e-02	6.553280e-02	9.462250e-02	-2.229923e-02
2.000000e+00	5.194199e-02	8.963485e-03	5.221542e-02	7.758950e-02	-2.093519e-03
2.050000e+00	5.163203e-02	9.151129e-03	5.109639e-02	7.955887e-02	2.508650e-02
2.100000e+00	6.051463e-02	1.103448e-02	6.030467e-02	9.421901e-02	2.412674e-02
2.150000e+00	7.339516e-02	1.264612e-02	7.361821e-02	1.314182e-01	3.088730e-02
2.200000e+00	8.351135e-02	1.308814e-02	8.383273e-02	1.539875e-01	4.082961e-02
2.250000e+00	8.638190e-02	1.315947e-02	8.689598e-02	1.615959e-01	4.544989e-02
2.300000e+00	7.163679e-02	1.222556e-02	7.217302e-02	1.457471e-01	3.691277e-02
2.350000e+00	4.058290e-02	1.081511e-02	4.083955e-02	1.127699e-01	1.368798e-02
2.400000e+00	1.006008e-04	9.337425e-03	1.996843e-04	6.724046e-02	-2.348071e-02
2.450000e+00	-3.880551e-02	7.904144e-03	-3.935428e-02	2.327848e-02	-5.847433e-02
2.500000e+00	-6.888148e-02	7.188475e-03	-7.002084e-02	-1.458514e-02	-8.540063e-02
2.550000e+00	-8.622047e-02	6.505460e-03	-8.734008e-02	-4.394633e-02	-1.034601e-01
2.600000e+00	-9.056194e-02	5.562870e-03	-9.119886e-02	-6.078928e-02	-1.067817e-01
2.650000e+00	-8.956707e-02	4.851856e-03	-8.987476e-02	-7.214741e-02	-1.041681e-01
2.700000e+00	-8.106339e-02	4.328236e-03	-8.100894e-02	-6.768827e-02	-9.715536e-02
2.750000e+00	-6.722969e-02	4.214112e-03	-6.703508e-02	-5.644025e-02	-9.187778e-02
2.800000e+00	-5.052526e-02	4.493935e-03	-5.035227e-02	-3.792339e-02	-8.409348e-02
2.850000e+00	-3.359351e-02	5.068810e-03	-3.344983e-02	-1.907375e-02	-7.606170e-02
2.900000e+00	-1.735390e-02	5.527269e-03	-1.717492e-02	-1.257187e-03	-6.382116e-02
2.950000e+00	-3.102162e-03	5.684838e-03	-3.018445e-03	1.362309e-02	-4.864459e-02
3.000000e+00	8.569641e-03	5.461981e-03	8.642673e-03	2.457312e-02	-3.180499e-02
3.050000e+00	1.863119e-02	4.984166e-03	1.864200e-02	3.275211e-02	-1.360936e-02
3.100000e+00	2.650506e-02	4.213032e-03	2.628319e-02	3.754550e-02	4.376089e-03
3.150000e+00	3.237793e-02	3.373189e-03	3.227757e-02	4.252764e-02	2.074206e-02
3.200000e+00	3.628048e-02	2.798560e-03	3.643195e-02	4.465451e-02	2.788321e-02
3.250000e+00	3.916243e-02	2.824279e-03	3.921916e-02	5.040279e-02	3.085382e-02
3.300000e+00	3.907116e-02	3.243438e-03	3.897937e-02	5.282187e-02	2.944804e-02
3.350000e+00	3.556089e-02	3.668819e-03	3.539858e-02	4.997106e-02	2.402880e-02
3.400000e+00	2.857252e-02	3.912944e-03	2.843878e-02	4.466201e-02	1.571074e-02
3.450000e+00	1.814057e-02	4.075198e-03	1.828721e-02	3.483510e-02	5.008612e-03
3.500000e+00	5.291149e-03	4.091163e-03	5.443313e-03	2.106861e-02	-6.529758e-03
3.550000e+00	-8.150838e-03	4.017379e-03	-7.863958e-03	5.456675e-03	-1.796025e-02
3.600000e+00	-2.011737e-02	3.842972e-03	-1.991635e-02	-8.455107e-03	-2.979702e-02
3.650000e+00	-2.915516e-02	3.606736e-03	-2.942818e-02	-1.744860e-02	-3.797278e-02
3.700000e+00	-3.359868e-02	3.236422e-03	-3.394682e-02	-2.172403e-02	-4.088207e-02
3.750000e+00	-3.316704e-02	2.859590e-03	-3.348657e-02	-2.089344e-02	-4.031809e-02
3.800000e+00	-2.815902e-02	2.697438e-03	-2.822351e-02	-1.698227e-02	-3.541433e-02
3.850000e+00	-2.042840e-02	2.860074e-03	-2.035167e-02	-1.188646e-02	-2.891249e-02
3.900000e+00	-1.165674e-02	3.170435e-03	-1.168463e-02	-2.507536e-03	-2.059960e-02
3.950000e+00	-3.608059e-03	3.447559e-03	-3.742556e-03	6.549811e-03	-1.245915e-02
4.000000e+00	2.655857e-03	3.588851e-03	2.449921e-03	1.313816e-02	-7.683315e-03
4.050000e+00	6.531666e-03	3.617961e-03	6.412832e-03	1.671244e-02	-4.353103e-03
4.100000e+00	8.897953e-03	3.564509e-03	8.942448e-03	1.863784e-02	-1.264157e-03
4.150000e+00	1.099957e-02	3.456538e-03	1.109628e-02	2.099647e-02	1.414116e-03
4.200000e+00	1.394071e-02	3.339023e-03	1.392364e-02	2.329058e-02	4.640927e-03
4.250000e+00	1.776139e-02	3.253820e-03	1.777015e-02	2.638846e-02	8.219401e-03
4.300000e+00	2.252857e-02	3.294762e-03	2.272896e-02	3.187062e-02	1.268943e-02
4.350000e+00	2.703169e-02	3.480188e-03	2.716034e-02	3.733461e-02	1.664589e-02
4.400000e+00	2.953584e-02	3.796949e-03	2.963875e-02	4.001633e-02	1.781493e-02
4.450000e+00	2.828261e-02	4.184680e-03	2.840319e-02	4.097187e-02	1.579795e-02
4.500000e+00	2.292571e-02	4.685215e-03	2.313134e-02	3.739927e-02	8.874224e-03
4.550000e+00	1.382946e-02	5.230568e-03	1.402634e-02	2.848453e-02	-8.192919e-04
4.600000e+00	2.481339e-03	5.676978e-03	2.621009e-03	1.640379e-02	-1.177972e-02
4.650000e+00	-8.506399e-03	5.796702e-03	-8.145530e-03	8.826168e-03	-2.386390e-02
4.700000e+00	-1.705656e-02	5.620529e-03	-1.684418e-02	3.273431e-03	-3.301946e-02
4.750000e+00	-2.161109e-02	5.191566e-03	-2.152772e-02	-4.863146e-04	-3.691374e-02
4.800000e+00	-2.172586e-02	4.666307e-03	-2.177462e-02	-3.081395e-03	-3.574609e-02
4.850000e+00	-1.790737e-02	4.213333e-03	-1.797924e-02	-4.486379e-03	-3.210070e-02
4.900000e+00	-1.219445e-02	3.975558e-03	-1.213706e-02	-1.774821e-03	-2.579242e-02
4.950000e+00	-6.647192e-03	3.875896e-03	-6.589402e-03	4.622639e-03	-1.879529e-02
5.000000e+00	-2.951651e-03	3.773690e-03	-2.862968e-03	7.650395e-03	-1.454912e-02
5.050000e+00	-1.899274e-03	3.594840e-03	-1.815737e-03	8.507887e-03	-1.507317e-02
5.100000e+00	-3.362162e-03	3.368867e-03	-3.323574e-03	5.934681e-03	-1.631602e-02
5.150000e+00	-6.293052e-03	3.200673e-03	-6.250468e-03	2.752027e-03	-1.739204e-02
5.200000e+00	-9.336473e-03	3.250660e-03	-9.400353e-03	2.115731e-04	-2.090980e-02
5.250000e+00	-1.141068e-02	3.638764e-03	-1.156459e-02	-2.720031e-04	-2.428152e-02
5.300000e+00	-1.213073e-02	4.321561e-03	-1.235716e-02	1.437295e-04	-2.728221e-02
5.350000e+00	-1.191042e-02	5.102352e-03	-1.201330e-02	3.533176e-03	-2.919666e-02
5.400000e+00	-1.171739e-02	5.784534e-03	-1.192833e-02	6.018049e-03	-2.967609e-02
5.450000e+00	-1.243978e-02	6.241631e-03	-1.258770e-02	5.999815e-03	-3.093832e-02
5.500000e+00	-1.465866e-02	6.517617e-03	-1.463695e-02	5.323972e-03	-3.478475e-02
5.550000e+00	-1.796843e-02	6.762957e-03	-1.786603e-02	2.936435e-03	-3.875203e-02
5.600000e+00	-2.104310e-02	7.190098e-03	-2.085398e-02	2.053508e-03	-4.357252e-02
5.650000e+00	-2.192420e-02	7.935476e-03	-2.180635e-02	1.317027e-03	-4.536223e-02
5.700000e+00	-1.884881e-02	9.013516e-03	-1.881547e-02	6.299760e-03	-4.575589e-02
5.750000e+00	-1.070272e-02	1.022050e-02	-1.114473e-02	1.794426e-02	-4.341555e-02
5.800000e+00	2.453253e-03	1.124975e-02	2.030084e-03	3.392930e-02	-3.371015e-02
5.850000e+00	1.925539e-02	1.181900e-02	1.861272e-02	5.020417e-02	-1.606263e-02
5.900000e+00	3.725965e-02	1.200866e-02	3.682273e-02	7.000511e-02	1.586367e-03
5.950000e+00	5.364678e-02	1.231006e-02	5.442262e-02	8.521289e-02	1.934619e-02
6.000000e+00	6.580199e-02	1.345698e-02	6.761194e-02	9.913139e-02	2.962064e-02
6.050000e+00	7.147839e-02	1.564079e-02	7.299147e-02	1.128147e-01	2.460441e-02
6.100000e+00	6.999372e-02	1.831421e-02	7.083947e-02	1.188567e-01	1.468242e-02
6.150000e+00	6.146682e-02	2.055419e-02	6.140477e-02	1.176403e-01	3.097033e-03
6.200000e+00	4.673335e-02	2.165177e-02	4.572671e-02	1.126199e-01	-8.258673e-03
6.250000e+00	2.707591e-02	2.135435e-02	2.631209e-02	1.031022e-01	-2.411425e-02
6.300000e+00	4.054495e-03	1.999556e-02	3.697193e-03	7.869466e-02	-4.235520e-02
6.350000e+00	-2.052019e-02	1.854351e-02	-1.983306e-02	4.155498e-02	-6.632942e-02
6.400000e+00	-4.453071e-02	1.827060e-02	-4.278932e-02	4.931574e-03	-9.268557e-02
6.450000e+00	-6.554265e-02	1.968970e-02	-6.634998e-02	-1.128750e-02	-1.121417e-01
6.500000e+00	-8.096799e-02	2.195298e-02	-8.392851e-02	-1.493162e-02	-1.236058e-01
6.550000e+00	-8.823374e-02	2.369596e-02	-9.175227e-02	-9.991680e-03	-1.305409e-01
6.600000e+00	-8.594155e-02	2.409802e-02	-8.873304e-02	-4.890663e-03	-1.391890e-01
6.650000e+00	-7.393310e-02	2.300373e-02	-7.444405e-02	-4.382233e-04	-1.331745e-01
6.700000e+00	-5.372246e-02	2.094215e-02	-5.268404e-02	3.338371e-03	-1.185623e-01
6.750000e+00	-2.840026e-02	1.892642e-02	-2.746323e-02	2.014903e-02	-9.138861e-02
6.800000e+00	-2.070982e-03	1.788366e-02	-2.836785e-03	4.652377e-02	-5.662598e-02
6.850000e+00	2.106102e-02	1.785983e-02	1.878671e-02	7.015068e-02	-2.044220e-02
6.900000e+00	3.769933e-02	1.803266e-02	3.596214e-02	8.817747e-02	-8.328129e-03
6.950000e+00	4.624236e-02	1.757955e-02	4.659126e-02	9.310962e-02	-1.267884e-03
7.000000e+00	4.708984e-02	1.621044e-02	4.888422e-02	9.005136e-02	1.976823e-03
7.050000e+00	4.226978e-02	1.411600e-02	4.392595e-02	7.854584e-02	2.674680e-03
7.100000e+00	3.494393e-02	1.188186e-02	3.574239e-02	6.109571e-02	-1.960563e-04
7.150000e+00	2.812393e-02	1.010173e-02	2.845096e-02	5.339754e-02	-2.985109e-03
7.200000e+00	2.380514e-02	9.163457e-03	2.382443e-02	4.757558e-02	-5.260949e-03
7.250000e+00	2.245140e-02	9.062198e-03	2.227253e-02	4.686051e-02	-6.641524e-03
7.300000e+00	2.303836e-02	9.495101e-03	2.293535e-02	4.883246e-02	-7.350467e-03
7.350000e+00	2.360543e-02	1.014718e-02	2.355191e-02	5.259243e-02	-7.503111e-03
7.400000e+00	2.209212e-02	1.086120e-02	2.203158e-02	5.469998e-02	-8.287949e-03
7.450000e+00	1.714745e-02	1.166668e-02	1.682043e-02	5.266940e-02	-1.422898e-02
7.500000e+00	8.630849e-03	1.269773e-02	8.422327e-03	4.552947e-02	-2.393805e-02
7.550000e+00	-2.417914e-03	1.395699e-02	-2.225919e-03	3.512481e-02	-4.074703e-02
7.600000e+00	-1.387187e-02	1.529368e-02	-1.267419e-02	2.662388e-02	-5.601376e-02
7.650000e+00	-2.357109e-02	1.631012e-02	-2.253451e-02	1.674161e-02	-6.736173e-02
7.700000e+00	-2.987234e-02	1.661067e-02	-2.992675e-02	1.767337e-02	-7.155867e-02
7.750000e+00	-3.208348e-02	1.599313e-02	-3.373666e-02	2.132862e-02	-7.411090e-02
7.800000e+00	-3.053116e-02	1.455712e-02	-3.251605e-02	2.108697e-02	-6.906891e-02
7.850000e+00	-2.628760e-02	1.271267e-02	-2.741222e-02	1.664972e-02	-6.012442e-02
7.900000e+00	-2.070668e-02	1.105318e-02	-2.133382e-02	1.449765e-02	-5.132946e-02
7.950000e+00	-1.497150e-02	1.002969e-02	-1.515449e-02	2.001415e-02	-4.195110e-02
8.000000e+00	-9.820504e-03	9.596947e-03	-1.010009e-02	2.327539e-02	-3.352974e-02
8.050000e+00	-5.484917e-03	9.324944e-03	-5.589349e-03	2.563921e-02	-3.206974e-02
8.100000e+00	-1.974903e-03	8.955251e-03	-1.955691e-03	3.097664e-02	-3.009185e-02
8.150000e+00	8.080813e-04	8.505911e-03	6.904702e-04	3.633000e-02	-2.437952e-02
8.200000e+00	2.840015e-03	8.150881e-03	2.647779e-03	3.813324e-02	-1.933926e-02
8.250000e+00	3.970617e-03	7.986715e-03	3.855489e-03	3.636380e-02	-1.825810e-02
8.300000e+00	4.079254e-03	7.977763e-03	3.948310e-03	3.195864e-02	-2.122823e-02
8.350000e+00	3.290970e-03	8.088688e-03	3.277779e-03	3.112979e-02	-2.389160e-02
8.400000e+00	2.113901e-03	8.350238e-03	2.415836e-03	2.767240e-02	-2.509950e-02
8.450000e+00	1.389858e-03	8.744603e-03	1.850903e-03	2.495764e-02	-3.110485e-02
8.500000e+00	2.037293e-03	9.097145e-03	2.550890e-03	2.650970e-02	-3.426925e-02
8.550000e+00	4.730462e-03	9.143127e-03	5.388981e-03	2.821902e-02	-3.068862e-02
8.600000e+00	9.317512e-03	8.845451e-03	9.801180e-03	3.448094e-02	-1.939022e-02
8.650000e+00	1.495558e-02	8.609691e-03	1.502474e-02	4.101736e-02	-1.073793e-02
8.700000e+00	2.018440e-02	9.225000e-03	2.052458e-02	4.633315e-02	-7.541712e-03
8.750000e+00	2.336119e-02	1.100521e-02	2.383643e-02	5.340516e-02	-9.539825e-03
8.800000e+00	2.322736e-02	1.326383e-02	2.263903e-02	5.990397e-02	-1.781138e-02
8.850000e+00	1.939525e-02	1.499350e-02	1.791480e-02	6.846875e-02	-2.547702e-02
8.900000e+00	1.255646e-02	1.545088e-02	1.001478e-02	6.664279e-02	-3.064975e-02
8.950000e+00	4.309288e-03	1.437450e-02	2.099530e-03	5.513758e-02	-3.206335e-02
9.000000e+00	-3.354691e-03	1.208862e-02	-5.453318e-03	4.192113e-02	-3.013698e-02
9.050000e+00	-8.721915e-03	9.529099e-03	-9.667445e-03	2.730063e-02	-3.280955e-02
9.100000e+00	-1.096622e-02	8.054964e-03	-1.148495e-02	2.059852e-02	-3.172667e-02
9.150000e+00	-1.047059e-02	8.168028e-03	-1.121464e-02	1.619301e-02	-3.312933e-02
9.200000e+00	-8.645051e-03	8.889681e-03	-9.198780e-03	1.840022e-02	-3.441399e-02
9.250000e+00	-7.381357e-03	9.548702e-03	-7.862888e-03	1.930394e-02	-3.615520e-02
9.300000e+00	-8.310289e-03	1.044150e-02	-8.594538e-03	1.743196e-02	-4.032489e-02
9.350000e+00	-1.213129e-02	1.195944e-02	-1.275338e-02	2.060937e-02	-4.596106e-02
9.400000e+00	-1.826224e-02	1.381306e-02	-1.879038e-02	2.258903e-02	-5.732087e-02
9.450000e+00	-2.494447e-02	1.535962e-02	-2.584662e-02	2.348657e-02	-6.768495e-02
9.500000e+00	-2.977547e-02	1.627071e-02	-3.013101e-02	2.168197e-02	-7.889284e-02
9.550000e+00	-3.048941e-02	1.678355e-02	-3.040750e-02	1.803633e-02	-8.126757e-02
9.600000e+00	-2.567850e-02	1.747520e-02	-2.422556e-02	1.369624e-02	-7.619232e-02
9.650000e+00	-1.538777e-02	1.874493e-02	-1.468773e-02	3.437985e-02	-7.894741e-02
9.700000e+00	-1.132713e-03	2.047999e-02	-2.164750e-03	5.684363e-02	-6.952877e-02
9.750000e+00	1.449313e-02	2.231318e-02	1.120361e-02	7.848840e-02	-4.806565e-02
9.800000e+00	2.851684e-02	2.398520e-02	2.567531e-02	9.525038e-02	-1.975695e-02
9.850000e+00	3.835931e-02	2.537255e-02	3.836033e-02	1.027949e-01	-2.407295e-02
9.900000e+00	4.244507e-02	2.630076e-02	4.370111e-02	1.079002e-01	-3.108806e-02
9.950000e+00	4.048474e-02	2.645109e-02	4.103372e-02	1.006207e-01	-3.378572e-02
1.000000e+01	3.338750e-02	2.549501e-02	3.209986e-02	9.911064e-02	-3.097327e-02
1.005000e+01	2.284758e-02	2.334457e-02	1.959661e-02	9.600217e-02	-2.365233e-02
1.010000e+01	1.092470e-02	2.038500e-02	7.133327e-03	8.832171e-02	-3.237366e-02
1.015000e+01	-5.027162e-04	1.756485e-02	-1.700051e-03	7.115462e-02	-4.332154e-02
1.020000e+01	-1.004479e-02	1.613143e-02	-9.174921e-03	4.746869e-02	-5.577564e-02
1.025000e+01	-1.690715e-02	1.660971e-02	-1.589638e-02	2.836694e-02	-6.325261e-02
1.030000e+01	-2.082782e-02	1.810791e-02	-2.078315e-02	3.199183e-02	-6.516805e-02
1.035000e+01	-2.193089e-02	1.928782e-02	-2.300112e-02	3.034360e-02	-6.177562e-02
1.040000e+01	-2.058480e-02	1.925594e-02	-2.116234e-02	2.668145e-02	-6.130209e-02
1.045000e+01	-1.731645e-02	1.767531e-02	-1.732440e-02	2.860639e-02	-5.939102e-02
1.050000e+01	-1.277980e-02	1.471931e-02	-1.244698e-02	2.815985e-02	-5.939040e-02
1.055000e+01	-7.738175e-03	1.112320e-02	-6.822313e-03	2.469069e-02	-5.152727e-02
1.060000e+01	-3.010124e-03	8.363010e-03	-2.859100e-03	2.006473e-02	-3.710205e-02
1.065000e+01	6.474335e-04	8.025672e-03	1.032398e-04	2.823911e-02	-2.259295e-02
1.070000e+01	2.702383e-03	9.201747e-03	2.397918e-03	3.384428e-02	-2.684310e-02
1.075000e+01	3.001390e-03	9.843527e-03	3.111885e-03	3.570972e-02	-2.730960e-02
1.080000e+01	1.844723e-03	9.193889e-03	2.191711e-03	3.195898e-02	-2.551830e-02
1.085000e+01	-6.886883e-05	7.709558e-03	1.764970e-04	2.370575e-02	-2.717360e-02
1.090000e+01	-1.831609e-03	6.754343e-03	-1.450275e-03	1.959381e-02	-2.398048e-02
1.095000e+01	-2.600506e-03	7.300612e-03	-2.259466e-03	1.781527e-02	-2.440141e-02
1.100000e+01	-1.866730e-03	8.414853e-03	-1.339424e-03	2.412058e-02	-2.693636e-02
1.105000e+01	4.037718e-04	9.033404e-03	1.242245e-03	2.817336e-02	-2.906952e-02
1.110000e+01	3.698143e-03	9.134509e-03	4.090084e-03	2.807794e-02	-2.658587e-02
1.115000e+01	7.133468e-03	9.461778e-03	7.394335e-03	3.255664e-02	-2.729107e-02
1.120000e+01	9.744705e-03	1.040885e-02	1.000708e-02	3.709331e-02	-2.452718e-02
1.125000e+01	1.079470e-02	1.138712e-02	1.148943e-02	3.999601e-02	-1.930848e-02
1.130000e+01	1.000132e-02	1.159788e-02	9.889949e-03	4.030983e-02	-2.017782e-02
1.135000e+01	7.606934e-03	1.083229e-02	6.156337e-03	3.911100e-02	-1.840018e-02
1.140000e+01	4.274316e-03	9.668473e-03	3.325346e-03	3.474632e-02	-1.726329e-02
