# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	9.033329e-02	2.014449e-01	0.000000e+00	6.707631e-01	-2.883127e-01
5.000000e-02	1.870430e-01	2.580243e-01	3.233451e-01	6.806187e-01	-2.836708e-01
1.000000e-01	1.814623e-01	2.597517e-01	3.194932e-01	6.758487e-01	-2.791166e-01
1.500000e-01	1.634459e-01	2.642104e-01	3.062991e-01	6.588821e-01	-2.996847e-01
2.000000e-01	1.437300e-01	2.677155e-01	2.911898e-01	6.383061e-01	-3.260531e-01
2.500000e-01	1.072278e-01	2.711122e-01	2.588831e-01	5.958962e-01	-3.696020e-01
3.000000e-01	6.677444e-02	2.718203e-01	2.201388e-01	5.444721e-01	-4.125000e-01
3.500000e-01	4.752819e-03	2.680038e-01	1.535326e-01	4.716524e-01	-4.701291e-01
4.000000e-01	-6.234884e-02	2.592777e-01	7.403260e-02	3.862535e-01	-5.245456e-01
4.500000e-01	-1.521684e-01	2.412865e-01	-3.911195e-02	2.606000e-01	-5.868860e-01
5.000000e-01	-2.442053e-01	2.170409e-01	-1.606498e-01	1.481664e-01	-6.403869e-01
5.500000e-01	-3.520396e-01	1.813516e-01	-3.079888e-01	1.583713e-02	-6.959617e-01
6.000000e-01	-4.529196e-01	1.420553e-01	-4.420551e-01	2.239459e-02	-7.403843e-01
6.500000e-01	-5.529999e-01	9.933075e-02	-5.655748e-01	2.838637e-02	-7.841926e-01
7.000000e-01	-6.314323e-01	7.653159e-02	-6.422570e-01	2.666678e-02	-9.107905e-01
7.500000e-01	-6.868153e-01	9.413304e-02	-6.735202e-01	1.988078e-02	-1.000047e+00
8.000000e-01	-7.061330e-01	1.333676e-01	-6.934726e-01	9.843655e-03	-1.033416e+00
8.500000e-01	-6.844846e-01	1.738909e-01	-7.238114e-01	-6.202250e-04	-1.032907e+00
9.000000e-01	-6.224300e-01	2.018580e-01	-7.008057e-01	-8.535487e-03	-1.011160e+00
9.500000e-01	-5.180635e-01	2.141388e-01	-6.194462e-01	2.072991e-02	-9.172194e-01
1.000000e+00	-3.868534e-01	2.076308e-01	-4.964259e-01	6.638983e-02	-7.819601e-01
1.050000e+00	-2.340708e-01	1.826741e-01	-3.314988e-01	1.233840e-01	-5.931136e-01
1.100000e+00	-8.382945e-02	1.442396e-01	-1.521363e-01	1.677560e-01	-3.803845e-01
1.150000e+00	5.402106e-02	9.633026e-02	2.547306e-02	2.206221e-01	-1.597640e-01
1.200000e+00	1.590992e-01	5.051187e-02	1.632946e-01	2.806229e-01	2.197584e-02
1.250000e+00	2.254239e-01	2.783849e-02	2.254447e-01	3.417774e-01	9.716208e-02
1.300000e+00	2.474930e-01	4.615400e-02	2.444490e-01	3.781491e-01	6.667526e-02
1.350000e+00	2.303946e-01	6.204389e-02	2.391271e-01	3.678183e-01	2.735068e-02
1.400000e+00	1.847100e-01	6.345680e-02	1.992441e-01	3.096034e-01	-7.004153e-03
1.450000e+00	1.249066e-01	5.154651e-02	1.350002e-01	2.385842e-01	-2.884312e-02
1.500000e+00	6.691032e-02	3.158408e-02	6.667290e-02	1.573364e-01	-3.459478e-02
1.550000e+00	2.389707e-02	1.588520e-02	2.405161e-02	1.080883e-01	-2.700163e-02
1.600000e+00	3.115392e-03	2.652302e-02	4.236262e-04	7.348860e-02	-5.934336e-02
1.650000e+00	6.843287e-03	4.067752e-02	1.201278e-04	9.345805e-02	-7.524357e-02
1.700000e+00	2.851338e-02	4.655289e-02	2.216576e-02	1.247318e-01	-5.975003e-02
1.750000e+00	6.028791e-02	4.369543e-02	5.712466e-02	1.511702e-01	-5.024872e-02
1.800000e+00	9.016512e-02	3.457442e-02	9.154489e-02	1.635232e-01	-5.698533e-02
1.850000e+00	1.107297e-01	2.419882e-02	1.142119e-01	1.727556e-01	-4.894503e-02
1.900000e+00	1.166377e-01	1.931282e-02	1.168549e-01	1.769916e-01	-2.872458e-02
1.950000e+00	1.095637e-01	2.111636e-02	1.096543e-01	1.641565e-01	2.681474e-04
2.000000e+00	9.321089e-02	2.295350e-02	9.580493e-02	1.382177e-01	2.149435e-02
2.050000e+00	7.723681e-02	2.174204e-02	8.243918e-02	1.175078e-01	6.600964e-03
2.100000e+00	6.473307e-02	1.802736e-02	6.985065e-02	1.007693e-01	4.681401e-03
2.150000e+00	5.712143e-02	1.379729e-02	5.919674e-02	1.211582e-01	1.393072e-02
