# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.666452e-01	1.915974e-01	0.000000e+00	0.000000e+00	-7.105467e-01
5.000000e-02	-3.767999e-01	4.791308e-02	-3.725198e-01	-2.728052e-01	-7.226956e-01
1.000000e-01	-3.747437e-01	4.793236e-02	-3.702607e-01	-2.717764e-01	-7.211262e-01
1.500000e-01	-3.688958e-01	4.796200e-02	-3.640473e-01	-2.690765e-01	-7.158274e-01
2.000000e-01	-3.634124e-01	4.795322e-02	-3.585561e-01	-2.669662e-01	-7.097159e-01
2.500000e-01	-3.547225e-01	4.789648e-02	-3.507624e-01	-2.641660e-01	-6.977261e-01
3.000000e-01	-3.464434e-01	4.776106e-02	-3.427607e-01	-2.577744e-01	-6.836960e-01
3.500000e-01	-3.343011e-01	4.761206e-02	-3.303748e-01	-2.401851e-01	-6.725931e-01
4.000000e-01	-3.216959e-01	4.735741e-02	-3.179450e-01	-2.197749e-01	-6.606727e-01
4.500000e-01	-3.028018e-01	4.715184e-02	-2.998031e-01	-1.924966e-01	-6.401561e-01
5.000000e-01	-2.818447e-01	4.672572e-02	-2.802867e-01	-1.667912e-01	-6.137547e-01
5.500000e-01	-2.519805e-01	4.619520e-02	-2.514440e-01	-1.358723e-01	-5.760627e-01
6.000000e-01	-2.190709e-01	4.513958e-02	-2.192556e-01	-1.068533e-01	-5.318602e-01
6.500000e-01	-1.768992e-01	4.354311e-02	-1.767124e-01	-7.427199e-02	-4.759646e-01
7.000000e-01	-1.330922e-01	4.115297e-02	-1.333617e-01	-3.873768e-02	-4.151971e-01
7.500000e-01	-8.371539e-02	3.795549e-02	-8.239452e-02	5.535488e-03	-3.457497e-01
8.000000e-01	-3.742435e-02	3.421238e-02	-3.515446e-02	4.334880e-02	-2.761810e-01
8.500000e-01	6.839890e-03	3.018174e-02	1.000660e-02	7.911445e-02	-2.047342e-01
9.000000e-01	4.130456e-02	2.671881e-02	4.283991e-02	1.064462e-01	-1.403790e-01
9.500000e-01	6.509473e-02	2.449628e-02	6.632817e-02	1.275765e-01	-1.028324e-01
1.000000e+00	7.378665e-02	2.426315e-02	7.450582e-02	1.471090e-01	-8.298839e-02
1.050000e+00	6.675274e-02	2.614733e-02	6.704935e-02	1.581663e-01	-7.668504e-02
1.100000e+00	4.488881e-02	2.948158e-02	4.564148e-02	1.498888e-01	-8.344950e-02
1.150000e+00	9.897348e-03	3.380118e-02	9.400353e-03	1.239760e-01	-1.013840e-01
1.200000e+00	-3.219850e-02	3.811526e-02	-3.180566e-02	8.531242e-02	-1.298352e-01
1.250000e+00	-7.715233e-02	4.186024e-02	-7.647316e-02	3.833791e-02	-1.852088e-01
1.300000e+00	-1.169889e-01	4.410116e-02	-1.140675e-01	-8.834363e-03	-2.292016e-01
1.350000e+00	-1.471409e-01	4.411135e-02	-1.431820e-01	-4.395859e-02	-2.628484e-01
1.400000e+00	-1.624843e-01	4.157393e-02	-1.602988e-01	-6.407005e-02	-2.730341e-01
1.450000e+00	-1.614171e-01	3.624020e-02	-1.601072e-01	-6.615715e-02	-2.577431e-01
1.500000e+00	-1.447154e-01	2.904108e-02	-1.453170e-01	-6.187693e-02	-2.203573e-01
1.550000e+00	-1.151744e-01	2.092267e-02	-1.155100e-01	-5.259303e-02	-1.681524e-01
1.600000e+00	-7.820811e-02	1.469714e-02	-7.763248e-02	-3.282122e-02	-1.223705e-01
1.650000e+00	-3.882271e-02	1.348971e-02	-3.928582e-02	1.008400e-02	-8.541792e-02
1.700000e+00	-2.608305e-03	1.639848e-02	-3.070069e-03	5.115129e-02	-5.095607e-02
1.750000e+00	2.696172e-02	1.954116e-02	2.640477e-02	8.641850e-02	-2.042206e-02
1.800000e+00	4.784372e-02	2.098781e-02	4.701794e-02	1.110529e-01	2.589746e-03
1.850000e+00	6.009810e-02	2.083483e-02	5.916748e-02	1.249650e-01	1.489701e-02
1.900000e+00	6.485269e-02	1.946056e-02	6.353928e-02	1.280765e-01	2.252914e-02
1.950000e+00	6.433541e-02	1.769478e-02	6.243512e-02	1.250513e-01	2.233375e-02
2.000000e+00	5.985948e-02	1.589604e-02	5.870577e-02	1.133555e-01	1.982882e-02
2.050000e+00	5.389315e-02	1.438906e-02	5.286690e-02	9.736513e-02	1.761240e-02
2.100000e+00	4.579352e-02	1.299778e-02	4.507303e-02	7.931723e-02	7.948606e-03
2.150000e+00	3.588456e-02	1.169848e-02	3.480537e-02	6.864912e-02	-3.052608e-03
2.200000e+00	2.476530e-02	1.040872e-02	2.371280e-02	5.537419e-02	-1.229760e-02
2.250000e+00	1.276285e-02	9.269289e-03	1.222355e-02	3.861330e-02	-2.077082e-02
2.300000e+00	2.070234e-03	7.888841e-03	1.852872e-03	2.405745e-02	-2.573756e-02
2.350000e+00	-5.108368e-03	6.661482e-03	-5.098985e-03	1.593939e-02	-2.673374e-02
2.400000e+00	-6.919172e-03	6.524085e-03	-6.834085e-03	1.161012e-02	-2.962639e-02
2.450000e+00	-2.540277e-03	7.494933e-03	-1.761267e-03	1.416524e-02	-2.298041e-02
2.500000e+00	7.312276e-03	8.136225e-03	7.688433e-03	2.391889e-02	-1.677470e-02
2.550000e+00	2.018186e-02	7.707518e-03	2.058925e-02	3.567537e-02	-5.447150e-03
2.600000e+00	3.245485e-02	6.359098e-03	3.294266e-02	4.584577e-02	8.941738e-03
2.650000e+00	4.207734e-02	5.318751e-03	4.268216e-02	5.404332e-02	2.109255e-02
2.700000e+00	4.898910e-02	4.256772e-03	4.940232e-02	5.864603e-02	2.889214e-02
2.750000e+00	5.202664e-02	3.600713e-03	5.225151e-02	6.099373e-02	2.882789e-02
2.800000e+00	5.070820e-02	3.626645e-03	5.090351e-02	5.991541e-02	2.678939e-02
2.850000e+00	4.573555e-02	4.123966e-03	4.593925e-02	5.522911e-02	2.264034e-02
2.900000e+00	3.728372e-02	4.765547e-03	3.754875e-02	4.731641e-02	1.700569e-02
2.950000e+00	2.641075e-02	5.413749e-03	2.657401e-02	3.874166e-02	7.973608e-03
3.000000e+00	1.445848e-02	5.990662e-03	1.431495e-02	2.934969e-02	-1.488808e-03
3.050000e+00	9.510486e-04	6.325502e-03	6.414329e-04	1.945889e-02	-1.477100e-02
3.100000e+00	-1.075461e-02	6.550922e-03	-1.144713e-02	1.054671e-02	-2.611705e-02
3.150000e+00	-1.953851e-02	6.626855e-03	-2.040645e-02	3.423668e-03	-3.380433e-02
