# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-7.028923e-02	1.632157e-01	0.000000e+00	4.607260e-01	-3.740968e-01
5.000000e-02	-1.315356e-01	2.115781e-01	-2.089632e-01	4.764126e-01	-3.746894e-01
1.000000e-01	-1.370175e-01	2.041106e-01	-2.104942e-01	4.539680e-01	-3.751923e-01
1.500000e-01	-1.536678e-01	1.816328e-01	-2.140523e-01	3.848535e-01	-3.778637e-01
2.000000e-01	-1.709476e-01	1.596201e-01	-2.201115e-01	3.141192e-01	-3.865846e-01
2.500000e-01	-1.997964e-01	1.250964e-01	-2.304409e-01	1.932986e-01	-4.114408e-01
3.000000e-01	-2.298210e-01	9.682344e-02	-2.510012e-01	6.867136e-02	-4.985103e-01
3.500000e-01	-2.705647e-01	8.330201e-02	-2.722760e-01	-7.814192e-02	-6.123602e-01
4.000000e-01	-3.114016e-01	1.080148e-01	-2.889621e-01	-1.044195e-01	-7.200100e-01
4.500000e-01	-3.595881e-01	1.635850e-01	-2.922980e-01	-1.224774e-01	-8.453912e-01
5.000000e-01	-4.040632e-01	2.236475e-01	-2.993035e-01	-1.347149e-01	-9.692167e-01
5.500000e-01	-4.485688e-01	2.888756e-01	-3.116593e-01	-1.521816e-01	-1.086902e+00
6.000000e-01	-4.825889e-01	3.432589e-01	-3.239448e-01	-1.438603e-01	-1.212280e+00
6.500000e-01	-5.056632e-01	3.873889e-01	-3.369788e-01	-1.215736e-01	-1.302779e+00
7.000000e-01	-5.104522e-01	4.115510e-01	-3.268623e-01	-1.027342e-01	-1.346202e+00
7.500000e-01	-4.935974e-01	4.132295e-01	-3.080658e-01	-8.387374e-02	-1.346362e+00
8.000000e-01	-4.547918e-01	3.912603e-01	-2.770862e-01	-6.907383e-02	-1.270033e+00
8.500000e-01	-3.913989e-01	3.431307e-01	-2.309686e-01	-5.363953e-02	-1.120417e+00
9.000000e-01	-3.123677e-01	2.769905e-01	-1.837301e-01	-1.784124e-02	-9.379478e-01
9.500000e-01	-2.192856e-01	1.934781e-01	-1.284976e-01	1.561819e-02	-6.985086e-01
1.000000e+00	-1.282381e-01	1.084290e-01	-8.560433e-02	3.212065e-02	-4.408920e-01
1.050000e+00	-4.483399e-02	4.175694e-02	-4.195487e-02	8.122490e-02	-2.308039e-01
1.100000e+00	1.550781e-02	7.534805e-02	-7.012510e-03	2.512567e-01	-1.378955e-01
