# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	2.088282e-01	2.204493e-01	0.000000e+00	7.314839e-01	0.000000e+00
5.000000e-02	4.115237e-01	7.582290e-02	4.126260e-01	7.457512e-01	0.000000e+00
1.000000e-01	3.948906e-01	7.536238e-02	3.961067e-01	7.297612e-01	0.000000e+00
1.500000e-01	3.433542e-01	7.411502e-02	3.446086e-01	6.792064e-01	0.000000e+00
2.000000e-01	2.895666e-01	7.302183e-02	2.898802e-01	6.249429e-01	0.000000e+00
2.500000e-01	1.966291e-01	7.149311e-02	1.947762e-01	5.281245e-01	0.000000e+00
3.000000e-01	9.994137e-02	7.028346e-02	9.704243e-02	4.290395e-01	-1.030672e-01
3.500000e-01	-3.590059e-02	6.905384e-02	-3.738034e-02	2.939063e-01	-2.434511e-01
4.000000e-01	-1.728701e-01	6.842725e-02	-1.757766e-01	1.509563e-01	-3.802097e-01
4.500000e-01	-3.395560e-01	6.846829e-02	-3.431044e-01	0.000000e+00	-5.396955e-01
5.000000e-01	-4.980746e-01	6.935815e-02	-4.989145e-01	0.000000e+00	-6.865720e-01
5.500000e-01	-6.665951e-01	7.112444e-02	-6.659906e-01	0.000000e+00	-8.885314e-01
6.000000e-01	-8.111884e-01	7.293037e-02	-8.102284e-01	0.000000e+00	-1.052162e+00
6.500000e-01	-9.385107e-01	7.412574e-02	-9.382450e-01	0.000000e+00	-1.183193e+00
7.000000e-01	-1.023547e+00	7.373341e-02	-1.024512e+00	0.000000e+00	-1.254007e+00
7.500000e-01	-1.063499e+00	7.116360e-02	-1.065049e+00	0.000000e+00	-1.260192e+00
8.000000e-01	-1.048669e+00	6.698593e-02	-1.054717e+00	0.000000e+00	-1.219407e+00
8.500000e-01	-9.728894e-01	6.188065e-02	-9.817613e-01	0.000000e+00	-1.110830e+00
9.000000e-01	-8.471560e-01	5.775510e-02	-8.571491e-01	0.000000e+00	-9.781232e-01
9.500000e-01	-6.703550e-01	5.513289e-02	-6.740898e-01	0.000000e+00	-8.063419e-01
1.000000e+00	-4.727518e-01	5.359431e-02	-4.713040e-01	0.000000e+00	-6.239340e-01
1.050000e+00	-2.626014e-01	5.105853e-02	-2.600794e-01	0.000000e+00	-4.251328e-01
1.100000e+00	-7.730073e-02	4.655465e-02	-7.474397e-02	3.714181e-02	-2.551541e-01
1.150000e+00	7.034881e-02	3.986969e-02	7.232064e-02	1.746936e-01	-1.218327e-01
1.200000e+00	1.564729e-01	3.355640e-02	1.592399e-01	2.454253e-01	-2.356303e-02
1.250000e+00	1.764710e-01	3.052954e-02	1.777145e-01	2.471324e-01	0.000000e+00
1.300000e+00	1.361153e-01	3.144606e-02	1.389202e-01	2.098090e-01	0.000000e+00
1.350000e+00	4.801347e-02	3.328724e-02	4.948883e-02	1.334436e-01	-4.909259e-02
1.400000e+00	-5.604731e-02	3.289811e-02	-5.632687e-02	3.663337e-02	-1.413475e-01
