# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	8.909863e-02	2.662948e-01	0.000000e+00	7.271141e-01	-3.915345e-01
5.000000e-02	1.539939e-01	3.574767e-01	3.148788e-01	7.295607e-01	-3.891831e-01
1.000000e-01	1.433343e-01	3.476777e-01	2.996822e-01	7.109043e-01	-3.867699e-01
1.500000e-01	1.106753e-01	3.180331e-01	2.578624e-01	6.716286e-01	-3.786981e-01
2.000000e-01	7.677125e-02	2.883492e-01	2.004444e-01	6.325093e-01	-3.701272e-01
2.500000e-01	1.904036e-02	2.391869e-01	9.492401e-02	5.608361e-01	-3.538154e-01
3.000000e-01	-4.069122e-02	1.922169e-01	-1.865737e-02	4.817750e-01	-3.913498e-01
3.500000e-01	-1.235693e-01	1.359718e-01	-1.448357e-01	3.625739e-01	-5.378230e-01
4.000000e-01	-2.076717e-01	1.065297e-01	-2.093800e-01	2.341160e-01	-6.768830e-01
4.500000e-01	-3.093869e-01	1.322235e-01	-2.620242e-01	6.511486e-02	-8.342787e-01
5.000000e-01	-4.057940e-01	1.948674e-01	-3.807189e-01	-1.011987e-01	-9.717336e-01
5.500000e-01	-5.074504e-01	2.746849e-01	-5.288133e-01	-1.200272e-01	-1.102295e+00
6.000000e-01	-5.923917e-01	3.458719e-01	-6.530629e-01	-9.383162e-02	-1.195594e+00
6.500000e-01	-6.638007e-01	4.096810e-01	-7.570850e-01	-5.757352e-02	-1.286929e+00
7.000000e-01	-7.054022e-01	4.517338e-01	-8.267376e-01	-2.805382e-02	-1.350054e+00
7.500000e-01	-7.149437e-01	4.710083e-01	-8.535751e-01	-4.754484e-03	-1.351955e+00
8.000000e-01	-6.875652e-01	4.630360e-01	-8.262138e-01	1.046536e-02	-1.315249e+00
8.500000e-01	-6.207685e-01	4.256139e-01	-7.522817e-01	1.668260e-02	-1.222281e+00
9.000000e-01	-5.243710e-01	3.654194e-01	-6.508395e-01	1.425315e-02	-1.066632e+00
9.500000e-01	-4.007558e-01	2.826639e-01	-5.077890e-01	1.208000e-02	-8.372404e-01
1.000000e+00	-2.714103e-01	1.931134e-01	-3.598866e-01	3.290715e-02	-5.776542e-01
