# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	8.874565e-02	2.751443e-01	0.000000e+00	7.168366e-01	-4.096573e-01
5.000000e-02	1.604422e-01	3.614285e-01	3.094050e-01	7.373258e-01	-4.096307e-01
1.000000e-01	1.484941e-01	3.515765e-01	2.881739e-01	7.181544e-01	-4.092253e-01
1.500000e-01	1.121127e-01	3.214771e-01	2.295747e-01	6.586752e-01	-4.078018e-01
2.000000e-01	7.441206e-02	2.910069e-01	1.665242e-01	5.956406e-01	-4.059656e-01
2.500000e-01	1.078251e-02	2.399009e-01	4.993914e-02	4.852246e-01	-4.008319e-01
3.000000e-01	-5.475367e-02	1.904417e-01	-6.470048e-02	3.691301e-01	-4.777551e-01
3.500000e-01	-1.449229e-01	1.312399e-01	-1.777719e-01	2.058078e-01	-6.144544e-01
4.000000e-01	-2.358889e-01	1.027161e-01	-2.279240e-01	4.324730e-02	-7.429655e-01
4.500000e-01	-3.451730e-01	1.383781e-01	-3.189345e-01	-1.192443e-01	-8.846892e-01
5.000000e-01	-4.482405e-01	2.096321e-01	-5.061639e-01	-1.140216e-01	-1.008685e+00
5.500000e-01	-5.563878e-01	2.964493e-01	-7.023843e-01	-1.136820e-01	-1.136771e+00
6.000000e-01	-6.462095e-01	3.731656e-01	-8.710862e-01	-8.930716e-02	-1.233379e+00
6.500000e-01	-7.211120e-01	4.409582e-01	-1.011020e+00	-6.002108e-02	-1.302326e+00
7.000000e-01	-7.637351e-01	4.853029e-01	-1.089119e+00	-3.558697e-02	-1.363013e+00
7.500000e-01	-7.713868e-01	5.046408e-01	-1.104036e+00	-1.609065e-02	-1.374951e+00
8.000000e-01	-7.390433e-01	4.945778e-01	-1.053396e+00	-1.828264e-03	-1.323352e+00
8.500000e-01	-6.635172e-01	4.525484e-01	-9.399339e-01	1.015382e-02	-1.230436e+00
9.000000e-01	-5.558247e-01	3.857694e-01	-7.796322e-01	1.762569e-02	-1.076741e+00
9.500000e-01	-4.181839e-01	2.943595e-01	-5.696840e-01	1.782625e-02	-8.492642e-01
1.000000e+00	-2.745255e-01	1.948760e-01	-3.527746e-01	3.734139e-02	-5.979760e-01
1.050000e+00	-1.331744e-01	9.387035e-02	-1.359906e-01	5.744807e-02	-3.433084e-01
1.100000e+00	-1.969600e-02	4.610194e-02	-2.692765e-02	2.186719e-01	-1.464402e-01
1.150000e+00	5.765935e-02	1.013539e-01	8.801212e-02	3.184118e-01	-1.392273e-01
1.200000e+00	8.667070e-02	1.494705e-01	1.542752e-01	3.440710e-01	-1.928273e-01
1.250000e+00	6.842890e-02	1.728501e-01	1.506140e-01	3.437242e-01	-2.506462e-01
1.300000e+00	1.213560e-02	1.705327e-01	8.965791e-02	2.917407e-01	-3.032013e-01
1.350000e+00	-6.866444e-02	1.479254e-01	-8.142050e-03	1.885218e-01	-3.464422e-01
1.400000e+00	-1.502911e-01	1.149089e-01	-1.147845e-01	5.526928e-02	-3.716882e-01
1.450000e+00	-2.151799e-01	7.981859e-02	-1.954528e-01	-7.180839e-02	-3.897362e-01
1.500000e+00	-2.442016e-01	5.301279e-02	-2.322670e-01	-1.490234e-01	-3.806688e-01
1.550000e+00	-2.302031e-01	3.931531e-02	-2.211803e-01	-1.600531e-01	-3.375688e-01
1.600000e+00	-1.746862e-01	4.151743e-02	-1.652048e-01	-9.400634e-02	-2.650250e-01
1.650000e+00	-8.739274e-02	5.658469e-02	-6.880620e-02	1.791124e-02	-1.873410e-01
1.700000e+00	1.138895e-02	7.656532e-02	4.246176e-02	1.367744e-01	-1.121563e-01
1.750000e+00	1.048721e-01	9.516014e-02	1.541301e-01	2.546427e-01	-5.646895e-02
1.800000e+00	1.725039e-01	1.033666e-01	2.356218e-01	3.229296e-01	-6.592329e-03
1.850000e+00	2.076834e-01	9.888624e-02	2.724781e-01	3.367960e-01	3.214709e-02
1.900000e+00	2.061708e-01	7.990808e-02	2.575034e-01	3.091259e-01	5.546051e-02
1.950000e+00	1.777719e-01	5.136720e-02	2.029428e-01	2.548607e-01	6.646687e-02
2.000000e+00	1.328519e-01	2.214996e-02	1.354448e-01	1.832693e-01	6.752620e-02
2.050000e+00	8.647529e-02	2.447592e-02	8.139609e-02	1.597775e-01	4.217993e-02
2.100000e+00	4.959249e-02	4.437434e-02	2.473387e-02	1.455607e-01	-1.212912e-02
2.150000e+00	2.817484e-02	5.371062e-02	-7.369297e-03	1.295499e-01	-3.758221e-02
2.200000e+00	2.085126e-02	5.167169e-02	-1.064317e-02	1.127384e-01	-4.161688e-02
2.250000e+00	2.127699e-02	4.589542e-02	-2.070163e-03	9.805074e-02	-3.597659e-02
2.300000e+00	2.095585e-02	3.787159e-02	6.718003e-03	8.085809e-02	-2.864459e-02
2.350000e+00	1.609423e-02	3.032897e-02	8.093109e-03	6.478551e-02	-3.027075e-02
2.400000e+00	6.391959e-03	2.470054e-02	1.004761e-03	4.665383e-02	-3.498637e-02
2.450000e+00	-1.681399e-03	1.972276e-02	-4.601366e-03	3.074127e-02	-3.681850e-02
