# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	6.035255e-02	2.658190e-01	0.000000e+00	7.282059e-01	-4.592897e-01
5.000000e-02	1.089387e-01	3.527919e-01	1.708464e-01	7.307527e-01	-4.556660e-01
1.000000e-01	9.793576e-02	3.438763e-01	1.544878e-01	7.107015e-01	-4.535035e-01
1.500000e-01	6.442642e-02	3.165040e-01	1.027648e-01	6.485918e-01	-4.504640e-01
2.000000e-01	2.970927e-02	2.888012e-01	5.187593e-02	5.828546e-01	-4.462602e-01
2.500000e-01	-2.888857e-02	2.420544e-01	-3.633144e-02	4.679689e-01	-4.561669e-01
3.000000e-01	-8.926110e-02	1.963755e-01	-1.215412e-01	3.511336e-01	-4.771968e-01
3.500000e-01	-1.724756e-01	1.402527e-01	-1.948982e-01	1.978474e-01	-5.005845e-01
4.000000e-01	-2.563204e-01	1.069893e-01	-2.489256e-01	3.861575e-02	-5.554590e-01
4.500000e-01	-3.572981e-01	1.273517e-01	-3.304060e-01	-1.220523e-01	-7.022026e-01
5.000000e-01	-4.524414e-01	1.890095e-01	-4.852275e-01	-1.313206e-01	-8.548793e-01
5.500000e-01	-5.523458e-01	2.697117e-01	-6.750539e-01	-1.357791e-01	-1.026330e+00
6.000000e-01	-6.350431e-01	3.430181e-01	-8.288285e-01	-1.194055e-01	-1.175312e+00
6.500000e-01	-7.036537e-01	4.091283e-01	-9.583972e-01	-7.456731e-02	-1.289776e+00
7.000000e-01	-7.418835e-01	4.538160e-01	-1.024561e+00	-3.685206e-02	-1.364502e+00
7.500000e-01	-7.470459e-01	4.753316e-01	-1.042256e+00	-5.845716e-03	-1.381747e+00
8.000000e-01	-7.145441e-01	4.690863e-01	-9.993205e-01	1.612986e-02	-1.320279e+00
8.500000e-01	-6.411781e-01	4.323692e-01	-8.902768e-01	3.053086e-02	-1.228368e+00
9.000000e-01	-5.375982e-01	3.715635e-01	-7.367236e-01	3.899573e-02	-1.078870e+00
9.500000e-01	-4.057565e-01	2.864978e-01	-5.447618e-01	3.938987e-02	-8.620264e-01
1.000000e+00	-2.685824e-01	1.925058e-01	-3.463923e-01	4.337437e-02	-6.071180e-01
1.050000e+00	-1.338624e-01	9.534261e-02	-1.368791e-01	5.243683e-02	-3.494479e-01
1.100000e+00	-2.600961e-02	4.277501e-02	-3.208031e-02	1.522388e-01	-1.326052e-01
1.150000e+00	4.725321e-02	9.444682e-02	6.720429e-02	2.733944e-01	-1.352234e-01
1.200000e+00	7.440070e-02	1.433706e-01	1.379982e-01	3.447521e-01	-1.866837e-01
1.250000e+00	5.666149e-02	1.689764e-01	1.399672e-01	3.444098e-01	-2.411963e-01
1.300000e+00	3.082195e-03	1.695749e-01	9.117224e-02	2.906483e-01	-2.893831e-01
1.350000e+00	-7.320951e-02	1.496911e-01	4.657003e-03	1.851843e-01	-3.288253e-01
1.400000e+00	-1.494166e-01	1.185205e-01	-8.815525e-02	5.216646e-02	-3.548073e-01
1.450000e+00	-2.086984e-01	8.411380e-02	-1.659503e-01	-7.982737e-02	-3.671264e-01
1.500000e+00	-2.329585e-01	5.760657e-02	-2.089626e-01	-1.381051e-01	-3.450292e-01
1.550000e+00	-2.155679e-01	4.504714e-02	-2.098991e-01	-1.235578e-01	-3.192676e-01
1.600000e+00	-1.585527e-01	4.723493e-02	-1.582455e-01	-5.129555e-02	-2.626201e-01
1.650000e+00	-7.161375e-02	5.888890e-02	-6.678358e-02	5.578138e-02	-1.843753e-01
1.700000e+00	2.519473e-02	7.396278e-02	4.358342e-02	1.700870e-01	-1.093352e-01
1.750000e+00	1.156363e-01	8.849799e-02	1.527992e-01	2.654841e-01	-4.480557e-02
1.800000e+00	1.797837e-01	9.468039e-02	2.324167e-01	3.137260e-01	1.123988e-02
1.850000e+00	2.116058e-01	9.032818e-02	2.712125e-01	3.217432e-01	4.995859e-02
1.900000e+00	2.072947e-01	7.345102e-02	2.499696e-01	2.941360e-01	6.298597e-02
1.950000e+00	1.768394e-01	4.855154e-02	1.882860e-01	2.510888e-01	6.521994e-02
2.000000e+00	1.305759e-01	2.506458e-02	1.283686e-01	1.830915e-01	6.268520e-02
2.050000e+00	8.342961e-02	2.824265e-02	8.889353e-02	1.478067e-01	1.184580e-02
2.100000e+00	4.600855e-02	4.491860e-02	3.348898e-02	1.293680e-01	-3.357334e-02
2.150000e+00	2.412179e-02	5.309699e-02	-4.428116e-03	1.186938e-01	-5.094575e-02
2.200000e+00	1.641005e-02	5.110302e-02	-1.815365e-02	1.059206e-01	-4.883786e-02
2.250000e+00	1.670237e-02	4.576170e-02	-1.223657e-02	9.546350e-02	-3.669660e-02
2.300000e+00	1.663334e-02	3.809070e-02	-2.172043e-03	8.086761e-02	-3.293667e-02
2.350000e+00	1.239780e-02	3.054203e-02	1.959149e-03	6.240397e-02	-3.194144e-02
2.400000e+00	3.598895e-03	2.448615e-02	-2.691413e-03	4.394981e-02	-3.280466e-02
2.450000e+00	-3.688852e-03	1.918950e-02	-6.710297e-03	2.826845e-02	-3.704534e-02
2.500000e+00	-1.082888e-02	1.448778e-02	-1.183620e-02	1.265497e-02	-4.114372e-02
2.550000e+00	-1.646126e-02	1.050283e-02	-1.669741e-02	1.093989e-03	-4.241590e-02
2.600000e+00	-1.948713e-02	7.276023e-03	-1.928636e-02	-4.070895e-03	-3.995999e-02
2.650000e+00	-2.139621e-02	5.334026e-03	-2.161167e-02	-5.906682e-03	-3.624485e-02
2.700000e+00	-2.128445e-02	4.518173e-03	-2.162493e-02	-4.761687e-03	-3.112291e-02
