# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	2.221269e-01	2.237691e-01	2.827023e-01	7.282393e-01	0.000000e+00
5.000000e-02	4.180389e-01	7.106777e-02	4.168905e-01	7.160638e-01	0.000000e+00
1.000000e-01	4.007237e-01	7.109198e-02	3.990900e-01	7.034177e-01	0.000000e+00
1.500000e-01	3.473539e-01	7.114716e-02	3.458619e-01	6.625358e-01	0.000000e+00
2.000000e-01	2.919246e-01	7.120564e-02	2.912808e-01	6.178453e-01	0.000000e+00
2.500000e-01	1.967333e-01	7.125030e-02	1.944292e-01	5.358849e-01	-1.563662e-02
3.000000e-01	9.812654e-02	7.131464e-02	9.445569e-02	4.458008e-01	-1.231223e-01
3.500000e-01	-4.008340e-02	7.134071e-02	-4.404667e-02	3.110007e-01	-2.682920e-01
4.000000e-01	-1.791619e-01	7.141436e-02	-1.838678e-01	1.674787e-01	-4.089752e-01
4.500000e-01	-3.487172e-01	7.136872e-02	-3.534181e-01	0.000000e+00	-5.750041e-01
5.000000e-01	-5.099756e-01	7.117454e-02	-5.139833e-01	0.000000e+00	-7.525887e-01
5.500000e-01	-6.820552e-01	7.027987e-02	-6.840936e-01	0.000000e+00	-9.313266e-01
6.000000e-01	-8.298417e-01	6.855961e-02	-8.340099e-01	0.000000e+00	-1.072073e+00
6.500000e-01	-9.603932e-01	6.516021e-02	-9.634371e-01	0.000000e+00	-1.178996e+00
7.000000e-01	-1.047623e+00	6.064324e-02	-1.048674e+00	0.000000e+00	-1.228428e+00
7.500000e-01	-1.088550e+00	5.507663e-02	-1.089127e+00	0.000000e+00	-1.215890e+00
8.000000e-01	-1.073093e+00	5.069583e-02	-1.076076e+00	0.000000e+00	-1.186101e+00
8.500000e-01	-9.948031e-01	4.914144e-02	-9.994780e-01	0.000000e+00	-1.091817e+00
9.000000e-01	-8.652229e-01	5.107613e-02	-8.673670e-01	0.000000e+00	-9.876515e-01
9.500000e-01	-6.833364e-01	5.460896e-02	-6.841774e-01	0.000000e+00	-8.329244e-01
1.000000e+00	-4.805794e-01	5.673756e-02	-4.800147e-01	0.000000e+00	-6.486812e-01
1.050000e+00	-2.656564e-01	5.513297e-02	-2.633563e-01	0.000000e+00	-4.709909e-01
1.100000e+00	-7.697667e-02	4.958508e-02	-7.324983e-02	8.574451e-02	-2.981186e-01
1.150000e+00	7.238678e-02	4.086979e-02	7.559907e-02	1.985913e-01	-1.397920e-01
1.200000e+00	1.584293e-01	3.260174e-02	1.597006e-01	2.417380e-01	-2.698521e-02
1.250000e+00	1.769535e-01	2.837757e-02	1.791900e-01	2.416827e-01	0.000000e+00
1.300000e+00	1.344839e-01	2.884026e-02	1.357480e-01	2.030173e-01	0.000000e+00
1.350000e+00	4.452148e-02	3.013982e-02	4.539324e-02	1.197272e-01	-3.580210e-02
1.400000e+00	-6.032472e-02	2.915431e-02	-5.942675e-02	2.901567e-02	-1.326420e-01
