# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-9.261385e-02	2.022733e-01	0.000000e+00	6.124678e-01	-8.079453e-01
5.000000e-02	-1.688009e-01	2.428452e-01	-1.775725e-01	6.149374e-01	-8.373635e-01
1.000000e-01	-1.747271e-01	2.345750e-01	-1.831740e-01	6.027756e-01	-8.418920e-01
1.500000e-01	-1.933306e-01	2.107677e-01	-2.235566e-01	5.641599e-01	-8.542775e-01
2.000000e-01	-2.130637e-01	1.886856e-01	-2.386397e-01	5.224080e-01	-8.653286e-01
2.500000e-01	-2.483809e-01	1.572880e-01	-2.760503e-01	4.467276e-01	-8.804041e-01
3.000000e-01	-2.862543e-01	1.347785e-01	-3.150989e-01	3.642258e-01	-8.975122e-01
3.500000e-01	-3.423973e-01	1.227653e-01	-3.330867e-01	2.408381e-01	-9.190501e-01
4.000000e-01	-4.011437e-01	1.321915e-01	-3.670798e-01	1.098340e-01	-9.343987e-01
4.500000e-01	-4.762961e-01	1.599406e-01	-4.379502e-01	-6.088595e-02	-9.455111e-01
5.000000e-01	-5.498512e-01	1.911308e-01	-4.864383e-01	-2.322961e-01	-9.480136e-01
5.500000e-01	-6.293293e-01	2.225413e-01	-6.033119e-01	-3.153988e-01	-9.986164e-01
6.000000e-01	-6.970669e-01	2.440828e-01	-7.413658e-01	-3.637760e-01	-1.078349e+00
6.500000e-01	-7.519876e-01	2.552758e-01	-8.272149e-01	-4.159220e-01	-1.125105e+00
7.000000e-01	-7.813461e-01	2.531314e-01	-8.326917e-01	-4.442507e-01	-1.143452e+00
7.500000e-01	-7.772517e-01	2.372032e-01	-8.317499e-01	-4.306457e-01	-1.135336e+00
8.000000e-01	-7.376869e-01	2.111531e-01	-7.792564e-01	-4.040380e-01	-1.066483e+00
8.500000e-01	-6.541478e-01	1.753961e-01	-6.833155e-01	-3.565851e-01	-9.958944e-01
9.000000e-01	-5.394610e-01	1.385654e-01	-5.466188e-01	-2.924295e-01	-8.984492e-01
9.500000e-01	-3.918003e-01	1.028786e-01	-3.727803e-01	-2.084635e-01	-7.498884e-01
1.000000e+00	-2.367428e-01	7.784062e-02	-2.191792e-01	-9.669966e-02	-5.745492e-01
1.050000e+00	-8.143681e-02	6.333438e-02	-6.767787e-02	3.796879e-02	-3.833199e-01
1.100000e+00	4.642755e-02	5.619238e-02	5.553859e-02	1.732693e-01	-2.286507e-01
1.150000e+00	1.368646e-01	4.904010e-02	1.454627e-01	2.443364e-01	-1.467963e-01
1.200000e+00	1.756447e-01	4.322067e-02	1.856993e-01	2.516395e-01	-7.254892e-02
1.250000e+00	1.608540e-01	4.716006e-02	1.662557e-01	2.427566e-01	-6.378797e-03
1.300000e+00	1.015970e-01	6.118292e-02	1.040809e-01	2.052497e-01	-5.337805e-02
1.350000e+00	9.644388e-03	7.685523e-02	1.942018e-02	1.912933e-01	-1.326739e-01
1.400000e+00	-8.812584e-02	8.378480e-02	-7.240319e-02	1.917902e-01	-2.364176e-01
1.450000e+00	-1.733641e-01	7.882024e-02	-1.606228e-01	1.723056e-01	-3.045939e-01
1.500000e+00	-2.211647e-01	6.257380e-02	-2.190514e-01	1.528222e-01	-3.245165e-01
1.550000e+00	-2.218700e-01	4.487552e-02	-2.264591e-01	1.277258e-01	-2.886893e-01
1.600000e+00	-1.720549e-01	4.807781e-02	-1.833648e-01	1.087364e-01	-2.530176e-01
1.650000e+00	-8.005216e-02	6.864674e-02	-7.491113e-02	1.028025e-01	-1.970149e-01
1.700000e+00	3.391534e-02	8.223962e-02	5.673109e-02	1.553233e-01	-1.012835e-01
1.750000e+00	1.510099e-01	8.035514e-02	1.539590e-01	2.674618e-01	1.541482e-02
1.800000e+00	2.450180e-01	5.895659e-02	2.272311e-01	3.295531e-01	1.372812e-01
1.850000e+00	3.047695e-01	2.529426e-02	3.089796e-01	3.548240e-01	2.195917e-01
1.900000e+00	3.187944e-01	3.005426e-02	3.130390e-01	3.729391e-01	2.319375e-01
1.950000e+00	2.940464e-01	6.931482e-02	2.725380e-01	3.839788e-01	1.812830e-01
