# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.990398e-01	2.160893e-01	0.000000e+00	0.000000e+00	-5.906966e-01
5.000000e-02	-4.151253e-01	5.541912e-02	-4.183910e-01	-2.897299e-01	-5.838588e-01
1.000000e-01	-4.107013e-01	5.457702e-02	-4.134387e-01	-2.884321e-01	-5.769354e-01
1.500000e-01	-3.974502e-01	5.217226e-02	-3.996031e-01	-2.802462e-01	-5.559278e-01
2.000000e-01	-3.841291e-01	4.994396e-02	-3.860617e-01	-2.698042e-01	-5.343246e-01
2.500000e-01	-3.621863e-01	4.675977e-02	-3.631897e-01	-2.532770e-01	-4.977643e-01
3.000000e-01	-3.404002e-01	4.430104e-02	-3.382905e-01	-2.311278e-01	-4.717346e-01
3.500000e-01	-3.111009e-01	4.222058e-02	-3.049990e-01	-2.011408e-01	-4.504416e-01
4.000000e-01	-2.829824e-01	4.162789e-02	-2.804235e-01	-1.741355e-01	-4.274020e-01
4.500000e-01	-2.501290e-01	4.240571e-02	-2.478279e-01	-1.453709e-01	-3.964248e-01
5.000000e-01	-2.205194e-01	4.406129e-02	-2.161149e-01	-1.223479e-01	-3.640451e-01
5.500000e-01	-1.905037e-01	4.579007e-02	-1.858837e-01	-9.740095e-02	-3.246964e-01
6.000000e-01	-1.661727e-01	4.651709e-02	-1.613506e-01	-6.566588e-02	-2.878938e-01
6.500000e-01	-1.455188e-01	4.542028e-02	-1.396189e-01	-4.328297e-02	-2.574972e-01
7.000000e-01	-1.318449e-01	4.247598e-02	-1.267778e-01	-2.845615e-02	-2.457349e-01
7.500000e-01	-1.234759e-01	3.768566e-02	-1.185970e-01	-2.644432e-02	-2.305515e-01
8.000000e-01	-1.210139e-01	3.274084e-02	-1.178630e-01	-3.707023e-02	-2.203287e-01
8.500000e-01	-1.220292e-01	2.922330e-02	-1.195941e-01	-5.846847e-02	-2.159908e-01
9.000000e-01	-1.261373e-01	2.874125e-02	-1.281603e-01	-5.445645e-02	-2.093477e-01
9.500000e-01	-1.309634e-01	3.057027e-02	-1.330420e-01	-4.600490e-02	-1.983840e-01
1.000000e+00	-1.362782e-01	3.254087e-02	-1.412385e-01	-4.576042e-02	-1.954779e-01
1.050000e+00	-1.405506e-01	3.317939e-02	-1.451772e-01	-4.347549e-02	-2.064293e-01
1.100000e+00	-1.439920e-01	3.239950e-02	-1.499313e-01	-5.274266e-02	-2.121963e-01
1.150000e+00	-1.462144e-01	3.131734e-02	-1.486870e-01	-4.562248e-02	-2.164107e-01
1.200000e+00	-1.468164e-01	3.151813e-02	-1.479108e-01	-3.223516e-02	-2.187809e-01
1.250000e+00	-1.457744e-01	3.334912e-02	-1.493726e-01	-2.639636e-02	-2.143118e-01
1.300000e+00	-1.413209e-01	3.507050e-02	-1.473277e-01	-2.796334e-02	-2.078754e-01
1.350000e+00	-1.331615e-01	3.495809e-02	-1.357519e-01	-3.569421e-02	-1.996173e-01
1.400000e+00	-1.186505e-01	3.198779e-02	-1.192153e-01	-4.476780e-02	-1.793732e-01
1.450000e+00	-9.738286e-02	2.735302e-02	-9.716690e-02	-2.299900e-02	-1.551931e-01
1.500000e+00	-6.750902e-02	2.461481e-02	-6.831213e-02	2.549580e-02	-1.253419e-01
1.550000e+00	-2.934341e-02	2.735575e-02	-2.877230e-02	7.653742e-02	-9.485075e-02
1.600000e+00	1.607534e-02	3.314795e-02	1.686993e-02	1.238761e-01	-7.778163e-02
1.650000e+00	6.679232e-02	3.774721e-02	6.985343e-02	1.671204e-01	-4.602289e-02
1.700000e+00	1.176075e-01	3.797039e-02	1.218736e-01	2.028437e-01	2.028255e-03
1.750000e+00	1.649049e-01	3.332739e-02	1.692821e-01	2.353738e-01	6.372196e-02
1.800000e+00	2.009785e-01	2.470594e-02	2.033676e-01	2.557242e-01	1.295959e-01
