# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-2.252128e-01	2.337222e-01	0.000000e+00	0.000000e+00	-7.060747e-01
5.000000e-02	-4.501971e-01	7.389838e-02	-4.474584e-01	-2.810733e-01	-6.997316e-01
1.000000e-01	-4.427131e-01	7.349299e-02	-4.398951e-01	-2.757717e-01	-6.912202e-01
1.500000e-01	-4.205338e-01	7.220255e-02	-4.169757e-01	-2.604836e-01	-6.873926e-01
2.000000e-01	-3.985782e-01	7.082063e-02	-3.934009e-01	-2.409196e-01	-6.864990e-01
2.500000e-01	-3.633824e-01	6.828652e-02	-3.579113e-01	-2.023135e-01	-6.827320e-01
3.000000e-01	-3.294413e-01	6.551673e-02	-3.222442e-01	-1.672847e-01	-6.770367e-01
3.500000e-01	-2.860655e-01	6.130293e-02	-2.791010e-01	-1.256041e-01	-6.650502e-01
4.000000e-01	-2.463586e-01	5.687389e-02	-2.407441e-01	-9.151982e-02	-6.498604e-01
4.500000e-01	-2.035572e-01	5.132392e-02	-1.997969e-01	-6.003326e-02	-6.252848e-01
5.000000e-01	-1.678008e-01	4.643352e-02	-1.661235e-01	-4.043418e-02	-5.967722e-01
5.500000e-01	-1.360517e-01	4.247750e-02	-1.383251e-01	-3.192410e-02	-5.575089e-01
6.000000e-01	-1.138611e-01	4.130796e-02	-1.134866e-01	-1.803171e-02	-5.149008e-01
6.500000e-01	-1.002222e-01	4.319530e-02	-1.011164e-01	1.174531e-02	-4.630748e-01
7.000000e-01	-9.548777e-02	4.704621e-02	-9.662356e-02	3.521799e-02	-4.103882e-01
7.500000e-01	-9.856879e-02	5.120776e-02	-9.999149e-02	5.846033e-02	-3.530716e-01
8.000000e-01	-1.060121e-01	5.383378e-02	-1.108710e-01	6.880308e-02	-2.991268e-01
8.500000e-01	-1.160538e-01	5.360596e-02	-1.218847e-01	6.384223e-02	-2.739708e-01
9.000000e-01	-1.248906e-01	5.050721e-02	-1.300000e-01	4.534038e-02	-2.613815e-01
9.500000e-01	-1.312225e-01	4.421825e-02	-1.375743e-01	9.591789e-03	-2.326902e-01
1.000000e+00	-1.342645e-01	3.693901e-02	-1.389785e-01	-1.799538e-02	-2.146048e-01
1.050000e+00	-1.349637e-01	3.050484e-02	-1.351065e-01	-3.307063e-02	-2.119795e-01
1.100000e+00	-1.357012e-01	2.867374e-02	-1.341900e-01	-5.811235e-02	-2.106180e-01
1.150000e+00	-1.392147e-01	3.181919e-02	-1.358502e-01	-6.936798e-02	-2.173416e-01
1.200000e+00	-1.473426e-01	3.713448e-02	-1.426946e-01	-6.005091e-02	-2.574076e-01
1.250000e+00	-1.614372e-01	4.220061e-02	-1.567166e-01	-6.773150e-02	-2.972445e-01
1.300000e+00	-1.789160e-01	4.574624e-02	-1.693887e-01	-9.068873e-02	-3.221378e-01
1.350000e+00	-1.972530e-01	4.759098e-02	-1.880122e-01	-1.062289e-01	-3.304257e-01
1.400000e+00	-2.101368e-01	4.799028e-02	-2.025229e-01	-1.087263e-01	-3.310012e-01
1.450000e+00	-2.130981e-01	4.677438e-02	-2.117147e-01	-1.054847e-01	-3.307491e-01
1.500000e+00	-2.016119e-01	4.445673e-02	-2.048967e-01	-9.091013e-02	-3.148919e-01
1.550000e+00	-1.740649e-01	4.085847e-02	-1.767307e-01	-7.154574e-02	-2.755502e-01
1.600000e+00	-1.326863e-01	3.684889e-02	-1.337866e-01	-3.353942e-02	-2.241997e-01
1.650000e+00	-8.091196e-02	3.276924e-02	-8.176415e-02	1.130643e-02	-1.584248e-01
1.700000e+00	-2.633206e-02	2.923666e-02	-2.638538e-02	5.249549e-02	-8.847357e-02
1.750000e+00	2.588463e-02	2.632896e-02	2.508849e-02	8.831463e-02	-3.640283e-02
1.800000e+00	6.896219e-02	2.365689e-02	6.814478e-02	1.231384e-01	6.603546e-03
1.850000e+00	1.011950e-01	2.104352e-02	1.002389e-01	1.499869e-01	4.176521e-02
1.900000e+00	1.204040e-01	1.798606e-02	1.203015e-01	1.602633e-01	6.853933e-02
