# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	4.729740e-02	2.927993e-01	0.000000e+00	7.124701e-01	-8.455583e-01
5.000000e-02	8.088491e-02	3.998832e-01	-1.213644e-01	7.309005e-01	-8.514008e-01
1.000000e-01	6.636724e-02	3.943232e-01	-1.370689e-01	7.091079e-01	-8.571804e-01
1.500000e-01	2.202895e-02	3.772316e-01	-1.844096e-01	6.419852e-01	-8.740502e-01
2.000000e-01	-2.362033e-02	3.595051e-01	-2.302676e-01	5.718905e-01	-8.902251e-01
2.500000e-01	-1.009477e-01	3.290976e-01	-2.918122e-01	4.507823e-01	-9.149857e-01
3.000000e-01	-1.800384e-01	2.975780e-01	-3.469573e-01	3.290838e-01	-9.372064e-01
3.500000e-01	-2.890276e-01	2.532915e-01	-4.197249e-01	1.685779e-01	-9.624827e-01
4.000000e-01	-3.965662e-01	2.088440e-01	-4.906281e-01	8.808195e-03	-9.814543e-01
4.500000e-01	-5.241678e-01	1.556808e-01	-5.772972e-01	-1.897866e-01	-9.944490e-01
5.000000e-01	-6.409405e-01	1.105025e-01	-6.631130e-01	-3.821231e-01	-9.955472e-01
5.500000e-01	-7.582884e-01	8.517279e-02	-7.540243e-01	-5.758845e-01	-1.096590e+00
6.000000e-01	-8.496267e-01	1.053573e-01	-8.283455e-01	-6.208522e-01	-1.169175e+00
6.500000e-01	-9.157194e-01	1.531437e-01	-9.036132e-01	-6.196093e-01	-1.207356e+00
7.000000e-01	-9.401726e-01	2.018335e-01	-9.194920e-01	-5.950264e-01	-1.254157e+00
7.500000e-01	-9.170827e-01	2.461657e-01	-8.667455e-01	-5.401221e-01	-1.280618e+00
8.000000e-01	-8.464766e-01	2.773806e-01	-7.830785e-01	-4.517905e-01	-1.257592e+00
8.500000e-01	-7.231557e-01	2.944374e-01	-6.588828e-01	-3.250126e-01	-1.153839e+00
9.000000e-01	-5.661141e-01	2.951599e-01	-4.986652e-01	-1.773068e-01	-9.992408e-01
9.500000e-01	-3.773787e-01	2.793145e-01	-3.036346e-01	1.751703e-03	-7.935446e-01
1.000000e+00	-1.889936e-01	2.508229e-01	-1.206554e-01	1.614270e-01	-5.689742e-01
1.050000e+00	-9.884389e-03	2.116054e-01	3.585774e-02	2.998908e-01	-3.466246e-01
1.100000e+00	1.294191e-01	1.695417e-01	1.532554e-01	3.840991e-01	-1.697722e-01
1.150000e+00	2.210526e-01	1.283408e-01	2.263119e-01	4.199652e-01	-5.355108e-02
1.200000e+00	2.524454e-01	9.509868e-02	2.610192e-01	4.037052e-01	1.625016e-02
1.250000e+00	2.265029e-01	7.219294e-02	2.403442e-01	3.471047e-01	4.355106e-02
1.300000e+00	1.555104e-01	5.962082e-02	1.725392e-01	2.628882e-01	2.184321e-02
1.350000e+00	5.486912e-02	5.382700e-02	6.677727e-02	1.545274e-01	-8.592013e-02
1.400000e+00	-4.783478e-02	4.949553e-02	-3.913912e-02	6.658354e-02	-1.794366e-01
1.450000e+00	-1.347588e-01	4.325977e-02	-1.299983e-01	-1.166897e-02	-2.360785e-01
1.500000e+00	-1.838053e-01	3.255140e-02	-1.821214e-01	-6.711131e-02	-2.540189e-01
1.550000e+00	-1.889401e-01	2.243962e-02	-1.896047e-01	-4.257714e-02	-2.467102e-01
1.600000e+00	-1.497456e-01	3.472033e-02	-1.546453e-01	7.475632e-03	-2.196068e-01
1.650000e+00	-7.691410e-02	6.357496e-02	-8.002494e-02	7.485217e-02	-1.844364e-01
1.700000e+00	1.059717e-02	9.120523e-02	7.520045e-03	1.542106e-01	-1.273867e-01
1.750000e+00	9.608855e-02	1.110487e-01	9.699812e-02	2.492318e-01	-5.984509e-02
1.800000e+00	1.595519e-01	1.151116e-01	1.598957e-01	3.102561e-01	4.505220e-03
1.850000e+00	1.947446e-01	1.027079e-01	1.890727e-01	3.323346e-01	6.459468e-02
1.900000e+00	1.966526e-01	7.487085e-02	1.931816e-01	3.093003e-01	9.855081e-02
1.950000e+00	1.745641e-01	3.784061e-02	1.655315e-01	2.456900e-01	1.141962e-01
2.000000e+00	1.367961e-01	1.209977e-02	1.371667e-01	1.919978e-01	9.764047e-02
2.050000e+00	9.718380e-02	3.962355e-02	1.001287e-01	1.803110e-01	2.801618e-02
2.100000e+00	6.353399e-02	5.796467e-02	6.990022e-02	1.552657e-01	-2.234024e-02
2.150000e+00	4.124950e-02	5.897472e-02	4.909050e-02	1.224952e-01	-4.380611e-02
2.200000e+00	2.974368e-02	4.636990e-02	3.655340e-02	8.840371e-02	-3.701070e-02
2.250000e+00	1.986791e-02	2.611632e-02	2.238524e-02	5.611378e-02	-2.164309e-02
2.300000e+00	1.141679e-02	9.204494e-03	1.207098e-02	2.699765e-02	-1.443302e-02
2.350000e+00	2.897936e-03	5.066986e-03	2.821796e-03	1.731066e-02	-2.157936e-02
2.400000e+00	-5.849963e-03	5.594482e-03	-6.124506e-03	6.651371e-03	-2.770655e-02
2.450000e+00	-1.057144e-02	4.730244e-03	-1.079485e-02	2.130559e-03	-3.436647e-02
2.500000e+00	-1.374382e-02	4.097077e-03	-1.351766e-02	-4.251211e-03	-3.823307e-02
2.550000e+00	-1.515134e-02	6.237895e-03	-1.421140e-02	-2.945483e-03	-3.864029e-02
2.600000e+00	-1.468781e-02	8.661774e-03	-1.435108e-02	8.686979e-04	-3.686623e-02
