# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.246289e-01	1.233956e-01	-1.614262e-01	0.000000e+00	-4.065078e-01
5.000000e-02	-2.346525e-01	5.505308e-02	-2.320984e-01	-1.372630e-01	-4.053613e-01
1.000000e-01	-2.338634e-01	5.510482e-02	-2.319911e-01	-1.373841e-01	-4.041619e-01
1.500000e-01	-2.318007e-01	5.543649e-02	-2.312461e-01	-1.383579e-01	-4.002328e-01
2.000000e-01	-2.301194e-01	5.602047e-02	-2.288227e-01	-1.323809e-01	-3.958025e-01
2.500000e-01	-2.280205e-01	5.735577e-02	-2.316337e-01	-1.229609e-01	-3.871814e-01
3.000000e-01	-2.266880e-01	5.906404e-02	-2.301236e-01	-1.115073e-01	-3.771418e-01
3.500000e-01	-2.254804e-01	6.161242e-02	-2.314471e-01	-8.892389e-02	-3.605961e-01
4.000000e-01	-2.250475e-01	6.419739e-02	-2.307529e-01	-7.061407e-02	-3.470328e-01
4.500000e-01	-2.245118e-01	6.706079e-02	-2.233177e-01	-5.344608e-02	-3.483895e-01
5.000000e-01	-2.240282e-01	6.937116e-02	-2.220230e-01	-4.257275e-02	-3.696195e-01
5.500000e-01	-2.223735e-01	7.126291e-02	-2.136407e-01	-3.682699e-02	-3.889628e-01
6.000000e-01	-2.191842e-01	7.224240e-02	-2.056478e-01	-3.652345e-02	-4.004867e-01
6.500000e-01	-2.129440e-01	7.238923e-02	-2.014172e-01	-3.897136e-02	-4.014130e-01
7.000000e-01	-2.031310e-01	7.157579e-02	-1.964498e-01	-4.661554e-02	-3.889735e-01
7.500000e-01	-1.881345e-01	6.959384e-02	-1.845785e-01	-3.460608e-02	-3.604975e-01
8.000000e-01	-1.685589e-01	6.656571e-02	-1.660546e-01	6.307298e-03	-3.185639e-01
8.500000e-01	-1.435610e-01	6.195929e-02	-1.444583e-01	3.968093e-02	-2.725189e-01
9.000000e-01	-1.162760e-01	5.627296e-02	-1.138103e-01	6.076877e-02	-2.324655e-01
9.500000e-01	-8.772039e-02	4.914676e-02	-8.549476e-02	7.201975e-02	-1.927835e-01
1.000000e+00	-6.342490e-02	4.170868e-02	-6.601733e-02	6.727292e-02	-1.676522e-01
1.050000e+00	-4.610117e-02	3.448307e-02	-4.876885e-02	5.292074e-02	-1.393711e-01
1.100000e+00	-4.056547e-02	2.903231e-02	-4.506776e-02	3.724205e-02	-1.138617e-01
1.150000e+00	-4.908328e-02	2.636671e-02	-5.123002e-02	2.493016e-02	-1.079735e-01
1.200000e+00	-7.108637e-02	2.638677e-02	-7.456016e-02	-5.180961e-03	-1.226062e-01
1.250000e+00	-1.054054e-01	2.809642e-02	-1.064462e-01	-4.462293e-02	-1.752568e-01
1.300000e+00	-1.441466e-01	2.995140e-02	-1.426526e-01	-7.897800e-02	-2.260894e-01
1.350000e+00	-1.822705e-01	3.143036e-02	-1.813552e-01	-1.117621e-01	-2.657539e-01
1.400000e+00	-2.086675e-01	3.211974e-02	-2.089334e-01	-1.341139e-01	-2.879258e-01
1.450000e+00	-2.183095e-01	3.222404e-02	-2.178302e-01	-1.431420e-01	-2.904153e-01
1.500000e+00	-2.050814e-01	3.182705e-02	-2.032161e-01	-1.263048e-01	-2.710617e-01
1.550000e+00	-1.691641e-01	3.113422e-02	-1.671380e-01	-8.836679e-02	-2.302263e-01
1.600000e+00	-1.147816e-01	2.992537e-02	-1.133144e-01	-2.969370e-02	-1.736784e-01
1.650000e+00	-4.822785e-02	2.796157e-02	-4.788745e-02	3.404418e-02	-1.123819e-01
1.700000e+00	1.893790e-02	2.486632e-02	1.976417e-02	9.009879e-02	-4.187137e-02
1.750000e+00	7.952978e-02	2.096609e-02	7.858740e-02	1.330254e-01	2.766175e-02
1.800000e+00	1.235669e-01	1.718537e-02	1.220863e-01	1.579785e-01	7.751368e-02
1.850000e+00	1.497072e-01	1.557386e-02	1.495300e-01	1.771299e-01	1.105147e-01
1.900000e+00	1.555409e-01	1.665996e-02	1.561944e-01	1.865908e-01	1.176454e-01
1.950000e+00	1.467907e-01	1.893480e-02	1.489761e-01	1.782301e-01	1.104431e-01
2.000000e+00	1.267169e-01	1.995096e-02	1.283061e-01	1.627561e-01	8.850858e-02
2.050000e+00	1.035630e-01	1.919158e-02	1.027544e-01	1.412584e-01	6.395962e-02
2.100000e+00	7.986249e-02	1.616330e-02	7.766318e-02	1.128862e-01	4.613229e-02
2.150000e+00	5.927369e-02	1.210373e-02	5.682589e-02	8.481084e-02	3.361880e-02
2.200000e+00	4.316370e-02	8.732974e-03	4.147947e-02	6.333372e-02	2.561223e-02
2.250000e+00	3.225085e-02	7.580641e-03	3.214774e-02	5.280878e-02	1.607454e-02
2.300000e+00	2.309831e-02	7.433255e-03	2.317517e-02	4.353133e-02	4.271280e-03
2.350000e+00	1.470669e-02	6.981286e-03	1.502157e-02	3.430344e-02	-4.514974e-03
2.400000e+00	7.003729e-03	6.088630e-03	7.341825e-03	2.358658e-02	-1.052656e-02
2.450000e+00	1.233966e-03	5.354245e-03	1.384758e-03	1.589721e-02	-1.487217e-02
2.500000e+00	-3.338367e-03	4.509579e-03	-3.233123e-03	8.986788e-03	-1.710063e-02
2.550000e+00	-6.361131e-03	3.666941e-03	-6.169849e-03	3.244656e-03	-1.723631e-02
2.600000e+00	-7.624389e-03	3.044547e-03	-7.336477e-03	-6.684549e-04	-1.551401e-02
2.650000e+00	-8.596896e-03	3.060134e-03	-8.201765e-03	-2.478689e-03	-1.504278e-02
2.700000e+00	-8.211034e-03	3.535725e-03	-7.651147e-03	-2.085834e-03	-1.666878e-02
2.750000e+00	-6.684976e-03	4.183395e-03	-6.160419e-03	1.893245e-04	-1.679360e-02
2.800000e+00	-4.383969e-03	4.663304e-03	-3.711469e-03	3.384821e-03	-1.531595e-02
2.850000e+00	-2.434287e-03	4.878510e-03	-1.700036e-03	5.663552e-03	-1.355079e-02
2.900000e+00	-4.291860e-04	4.587929e-03	1.768843e-04	7.048253e-03	-1.065647e-02
2.950000e+00	1.160192e-03	3.809883e-03	1.747110e-03	7.968044e-03	-7.332868e-03
3.000000e+00	1.983463e-03	2.747963e-03	2.478721e-03	7.373065e-03	-4.221873e-03
3.050000e+00	1.377722e-03	1.881192e-03	1.211593e-03	6.549386e-03	-3.238554e-03
3.100000e+00	-1.576197e-05	2.186658e-03	5.636406e-05	4.912654e-03	-4.256132e-03
3.150000e+00	-1.927007e-03	3.090026e-03	-2.299401e-03	3.361899e-03	-7.508965e-03
3.200000e+00	-3.958173e-03	3.725330e-03	-4.149570e-03	2.912929e-03	-1.037321e-02
3.250000e+00	-5.810178e-03	3.932692e-03	-6.227348e-03	2.447190e-03	-1.257112e-02
3.300000e+00	-6.559211e-03	3.522499e-03	-6.903251e-03	1.354482e-03	-1.232637e-02
3.350000e+00	-6.018557e-03	2.679433e-03	-6.121086e-03	-7.305082e-05	-1.066462e-02
3.400000e+00	-4.291629e-03	1.899669e-03	-4.160241e-03	-4.795033e-04	-8.702672e-03
