# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-9.783438e-02	1.721565e-01	0.000000e+00	5.173176e-01	-9.535466e-01
5.000000e-02	-1.986021e-01	2.042850e-01	-2.850035e-01	5.054576e-01	-9.609063e-01
1.000000e-01	-2.106061e-01	2.026250e-01	-2.974469e-01	4.933103e-01	-9.681541e-01
1.500000e-01	-2.467190e-01	1.975486e-01	-3.338350e-01	4.552238e-01	-9.889020e-01
2.000000e-01	-2.832501e-01	1.924313e-01	-3.670286e-01	4.147366e-01	-1.008536e+00
2.500000e-01	-3.437941e-01	1.835210e-01	-4.228304e-01	3.426812e-01	-1.037705e+00
3.000000e-01	-4.042717e-01	1.743921e-01	-4.795331e-01	2.651771e-01	-1.070321e+00
3.500000e-01	-4.856602e-01	1.607369e-01	-5.569822e-01	1.501790e-01	-1.111903e+00
4.000000e-01	-5.636254e-01	1.466273e-01	-6.265844e-01	2.862766e-02	-1.144652e+00
4.500000e-01	-6.532095e-01	1.275109e-01	-7.040660e-01	-1.305487e-01	-1.169950e+00
5.000000e-01	-7.315241e-01	1.085273e-01	-7.674660e-01	-2.909695e-01	-1.178645e+00
5.500000e-01	-8.050586e-01	8.706427e-02	-8.223209e-01	-4.768192e-01	-1.167432e+00
6.000000e-01	-8.556873e-01	7.125593e-02	-8.601614e-01	-6.372234e-01	-1.138780e+00
6.500000e-01	-8.812357e-01	6.680184e-02	-8.746467e-01	-6.282444e-01	-1.180978e+00
7.000000e-01	-8.731079e-01	7.892056e-02	-8.639652e-01	-5.966645e-01	-1.204419e+00
7.500000e-01	-8.240073e-01	1.025431e-01	-8.108608e-01	-5.345601e-01	-1.172883e+00
8.000000e-01	-7.393554e-01	1.281027e-01	-7.149962e-01	-4.492839e-01	-1.136390e+00
8.500000e-01	-6.129667e-01	1.523973e-01	-5.777428e-01	-3.352498e-01	-1.066969e+00
9.000000e-01	-4.649315e-01	1.712625e-01	-4.208231e-01	-1.848142e-01	-9.862972e-01
9.500000e-01	-2.952877e-01	1.833213e-01	-2.619492e-01	-1.340725e-02	-8.491400e-01
1.000000e+00	-1.328707e-01	1.881745e-01	-9.596516e-02	1.366543e-01	-6.800811e-01
1.050000e+00	1.674486e-02	1.856552e-01	5.743695e-02	2.718954e-01	-4.904126e-01
1.100000e+00	1.281921e-01	1.782267e-01	1.616166e-01	3.733493e-01	-3.139897e-01
1.150000e+00	1.968312e-01	1.674237e-01	2.229479e-01	4.288165e-01	-1.637144e-01
1.200000e+00	2.136478e-01	1.559825e-01	2.330375e-01	4.302626e-01	-6.213838e-02
1.250000e+00	1.825691e-01	1.457334e-01	1.964115e-01	3.783846e-01	-3.536986e-02
1.300000e+00	1.154711e-01	1.363226e-01	1.312793e-01	3.096327e-01	-1.013761e-01
1.350000e+00	2.586053e-02	1.273710e-01	4.260951e-02	2.223459e-01	-1.767849e-01
1.400000e+00	-6.214042e-02	1.154490e-01	-3.702877e-02	1.269194e-01	-2.472272e-01
1.450000e+00	-1.339045e-01	9.844483e-02	-1.055352e-01	3.309409e-02	-2.973908e-01
1.500000e+00	-1.706653e-01	7.454512e-02	-1.417535e-01	-3.611649e-02	-3.128106e-01
1.550000e+00	-1.681323e-01	4.443132e-02	-1.619289e-01	-6.131004e-02	-2.769470e-01
1.600000e+00	-1.266816e-01	2.464859e-02	-1.283784e-01	-4.994884e-02	-2.054332e-01
1.650000e+00	-5.603480e-02	4.934842e-02	-6.631934e-02	5.294910e-02	-1.427880e-01
1.700000e+00	2.639410e-02	8.215659e-02	1.395352e-02	1.721205e-01	-9.086573e-02
1.750000e+00	1.060913e-01	1.073231e-01	9.491828e-02	2.797820e-01	-3.786007e-02
1.800000e+00	1.646570e-01	1.167043e-01	1.531317e-01	3.390586e-01	1.610231e-02
1.850000e+00	1.969979e-01	1.095871e-01	1.909499e-01	3.477894e-01	6.380181e-02
1.900000e+00	1.980588e-01	8.667449e-02	1.971394e-01	3.196405e-01	9.437019e-02
1.950000e+00	1.767585e-01	5.352897e-02	1.795284e-01	2.626986e-01	1.060574e-01
2.000000e+00	1.400231e-01	2.062787e-02	1.318138e-01	1.934786e-01	1.076376e-01
2.050000e+00	1.012229e-01	2.420559e-02	1.113795e-01	1.627036e-01	3.669033e-02
2.100000e+00	6.663254e-02	4.300361e-02	8.631479e-02	1.449050e-01	-1.975781e-02
2.150000e+00	4.169151e-02	4.773989e-02	6.138718e-02	1.192614e-01	-4.191901e-02
2.200000e+00	2.669106e-02	3.952679e-02	4.181252e-02	9.004367e-02	-3.642080e-02
2.250000e+00	1.337190e-02	2.269131e-02	2.160584e-02	5.455666e-02	-2.536584e-02
2.300000e+00	2.387932e-03	7.553148e-03	2.577946e-03	2.095106e-02	-1.953839e-02
2.350000e+00	-7.328653e-03	5.665286e-03	-7.129374e-03	7.883615e-03	-2.460303e-02
2.400000e+00	-1.591549e-02	7.335064e-03	-1.646390e-02	8.667838e-04	-4.087066e-02
2.450000e+00	-2.012379e-02	7.049787e-03	-2.090197e-02	-4.969643e-03	-5.038278e-02
2.500000e+00	-2.208767e-02	5.291325e-03	-2.265138e-02	-9.174433e-03	-5.446470e-02
2.550000e+00	-2.176500e-02	3.992550e-03	-2.184265e-02	-1.199392e-02	-5.394721e-02
2.600000e+00	-1.924732e-02	4.245189e-03	-1.860186e-02	-1.138008e-02	-4.979042e-02
2.650000e+00	-1.746568e-02	4.629833e-03	-1.673075e-02	-9.028350e-03	-4.783905e-02
2.700000e+00	-1.465583e-02	4.550762e-03	-1.422562e-02	-4.959007e-03	-4.465000e-02
2.750000e+00	-1.110635e-02	4.034334e-03	-1.099445e-02	-9.299023e-04	-3.937898e-02
2.800000e+00	-7.158220e-03	3.478117e-03	-7.043321e-03	2.762644e-03	-3.249355e-02
2.850000e+00	-4.407407e-03	3.287218e-03	-4.118213e-03	5.639878e-03	-2.522567e-02
2.900000e+00	-1.084389e-03	3.219680e-03	-1.115818e-03	8.967340e-03	-1.655608e-02
2.950000e+00	2.732182e-03	3.514856e-03	1.895607e-03	1.293684e-02	-6.867183e-03
3.000000e+00	6.859074e-03	4.822647e-03	4.698728e-03	1.808578e-02	-2.323929e-03
3.050000e+00	1.118101e-02	6.717357e-03	8.896435e-03	2.314107e-02	1.618620e-03
3.100000e+00	1.515199e-02	8.796691e-03	1.414809e-02	2.845163e-02	1.848245e-03
3.150000e+00	1.808583e-02	1.024735e-02	1.889853e-02	3.228925e-02	1.136885e-03
3.200000e+00	1.937676e-02	1.040108e-02	2.156971e-02	3.482139e-02	9.880602e-04
3.250000e+00	1.824830e-02	8.775534e-03	1.992258e-02	3.551150e-02	1.567451e-03
3.300000e+00	1.509204e-02	5.905400e-03	1.458132e-02	3.323758e-02	2.833010e-03
3.350000e+00	1.038477e-02	2.988988e-03	1.030179e-02	2.843994e-02	3.373749e-03
3.400000e+00	4.878831e-03	4.083715e-03	5.080338e-03	2.213320e-02	-5.181160e-03
3.450000e+00	-8.669501e-04	7.430657e-03	1.460479e-03	1.478770e-02	-1.356570e-02
3.500000e+00	-5.348931e-03	9.800096e-03	2.686193e-04	9.393975e-03	-1.884025e-02
3.550000e+00	-7.922075e-03	1.058673e-02	-1.822889e-03	7.659250e-03	-2.195340e-02
3.600000e+00	-8.408971e-03	9.882705e-03	-3.628198e-03	7.026467e-03	-2.261862e-02
3.650000e+00	-7.026444e-03	8.269942e-03	-4.240374e-03	8.060457e-03	-2.063859e-02
3.700000e+00	-4.392963e-03	6.233574e-03	-4.166807e-03	9.916789e-03	-1.631081e-02
3.750000e+00	-1.547783e-03	4.491094e-03	-1.832319e-03	1.141436e-02	-1.106665e-02
3.800000e+00	4.474016e-04	3.390873e-03	6.206571e-05	1.122408e-02	-7.576009e-03
3.850000e+00	8.426381e-04	2.758239e-03	7.956887e-04	1.081891e-02	-7.688005e-03
3.900000e+00	-9.168516e-04	2.262690e-03	-8.272547e-04	6.682846e-03	-1.339366e-02
3.950000e+00	-4.641364e-03	2.123460e-03	-4.628016e-03	2.534102e-03	-1.973188e-02
4.000000e+00	-9.561537e-03	2.695440e-03	-9.174403e-03	-4.253018e-03	-2.576966e-02
4.050000e+00	-1.490622e-02	3.995860e-03	-1.382028e-02	-8.333263e-03	-3.054982e-02
4.100000e+00	-1.914265e-02	5.992656e-03	-1.692402e-02	-9.974149e-03	-3.564354e-02
4.150000e+00	-2.119011e-02	8.219138e-03	-1.748435e-02	-9.447517e-03	-4.015545e-02
4.200000e+00	-2.043137e-02	9.931397e-03	-1.857509e-02	-6.703752e-03	-3.970205e-02
4.250000e+00	-1.707730e-02	1.086474e-02	-1.784446e-02	-1.954130e-03	-3.589743e-02
4.300000e+00	-1.142459e-02	1.032446e-02	-1.176732e-02	3.384080e-03	-2.914987e-02
4.350000e+00	-4.544001e-03	8.186096e-03	-4.954073e-03	9.205200e-03	-1.942336e-02
4.400000e+00	2.402192e-03	5.105704e-03	2.414343e-03	1.334406e-02	-8.149122e-03
4.450000e+00	8.319770e-03	3.555854e-03	8.195788e-03	1.887285e-02	-8.970231e-04
4.500000e+00	1.272530e-02	5.736209e-03	1.300729e-02	2.630731e-02	-1.227759e-03
4.550000e+00	1.553791e-02	8.853531e-03	1.753910e-02	3.140664e-02	-2.918304e-03
4.600000e+00	1.713293e-02	1.142666e-02	2.219674e-02	3.423379e-02	-4.365071e-03
4.650000e+00	1.811273e-02	1.319362e-02	2.288352e-02	3.694136e-02	-4.841307e-03
4.700000e+00	1.911128e-02	1.448744e-02	2.228396e-02	4.049454e-02	-4.377870e-03
4.750000e+00	2.032828e-02	1.561108e-02	2.286849e-02	4.350899e-02	-3.486376e-03
4.800000e+00	2.150624e-02	1.674390e-02	2.299649e-02	4.521060e-02	-2.310728e-03
4.850000e+00	2.209066e-02	1.769370e-02	2.288100e-02	4.501628e-02	-2.645127e-03
4.900000e+00	2.128080e-02	1.811109e-02	2.229416e-02	4.565230e-02	-6.305485e-03
4.950000e+00	1.848110e-02	1.743082e-02	1.837090e-02	4.271713e-02	-1.059905e-02
5.000000e+00	1.355900e-02	1.517471e-02	1.245502e-02	3.572266e-02	-1.407526e-02
5.050000e+00	7.043562e-03	1.122073e-02	6.479444e-03	2.700633e-02	-1.577745e-02
5.100000e+00	-1.450241e-04	6.822032e-03	-2.079098e-04	1.612070e-02	-1.642203e-02
