# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-3.055743e-02	2.759978e-01	0.000000e+00	7.060453e-01	-9.537692e-01
5.000000e-02	-8.578301e-02	3.703414e-01	-2.107111e-01	7.040659e-01	-9.561097e-01
1.000000e-01	-9.621698e-02	3.641981e-01	-2.189329e-01	6.825169e-01	-9.583332e-01
1.500000e-01	-1.279725e-01	3.454153e-01	-2.422076e-01	6.161805e-01	-9.643487e-01
2.000000e-01	-1.605552e-01	3.261488e-01	-2.638967e-01	5.469522e-01	-9.692715e-01
2.500000e-01	-2.152944e-01	2.936084e-01	-3.005724e-01	4.276693e-01	-9.750528e-01
3.000000e-01	-2.709004e-01	2.607849e-01	-3.332259e-01	3.067863e-01	-9.776558e-01
3.500000e-01	-3.464402e-01	2.167648e-01	-3.814356e-01	1.421484e-01	-9.926277e-01
4.000000e-01	-4.200634e-01	1.766805e-01	-4.384526e-01	-2.389276e-02	-1.010529e+00
4.500000e-01	-5.053778e-01	1.391260e-01	-4.996707e-01	-2.253006e-01	-1.022058e+00
5.000000e-01	-5.815695e-01	1.264069e-01	-5.704986e-01	-3.515750e-01	-1.021399e+00
5.500000e-01	-6.545559e-01	1.461806e-01	-6.372858e-01	-3.832830e-01	-1.002741e+00
6.000000e-01	-7.074698e-01	1.852690e-01	-6.749401e-01	-3.708751e-01	-1.072774e+00
6.500000e-01	-7.386929e-01	2.315115e-01	-6.880205e-01	-3.511480e-01	-1.159019e+00
7.000000e-01	-7.393443e-01	2.702630e-01	-6.679150e-01	-3.253252e-01	-1.207298e+00
7.500000e-01	-7.035638e-01	2.987087e-01	-6.156063e-01	-2.886467e-01	-1.243871e+00
8.000000e-01	-6.344237e-01	3.110977e-01	-5.370339e-01	-2.125672e-01	-1.226298e+00
8.500000e-01	-5.272085e-01	3.062726e-01	-4.108833e-01	-1.094564e-01	-1.132535e+00
9.000000e-01	-3.981607e-01	2.857174e-01	-2.790128e-01	-2.802237e-03	-9.747716e-01
9.500000e-01	-2.481933e-01	2.502574e-01	-1.432770e-01	1.023554e-01	-7.578001e-01
1.000000e+00	-1.020245e-01	2.074056e-01	-1.344655e-02	1.854850e-01	-5.476882e-01
1.050000e+00	3.414045e-02	1.607077e-01	9.737451e-02	2.483983e-01	-3.252355e-01
1.100000e+00	1.377038e-01	1.204883e-01	1.870483e-01	3.370731e-01	-1.304867e-01
1.150000e+00	2.029333e-01	9.189744e-02	2.365270e-01	3.791022e-01	2.180233e-02
1.200000e+00	2.210929e-01	7.918965e-02	2.371417e-01	3.665160e-01	6.572067e-03
1.250000e+00	1.940690e-01	7.620841e-02	2.070383e-01	3.007593e-01	-3.777643e-02
1.300000e+00	1.318969e-01	7.460069e-02	1.540533e-01	2.346175e-01	-9.207754e-02
1.350000e+00	4.576303e-02	7.049799e-02	6.568912e-02	1.633554e-01	-1.435457e-01
1.400000e+00	-4.248746e-02	6.263477e-02	-2.672732e-02	8.268668e-02	-1.752120e-01
