# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-3.968813e-02	3.674545e-01	0.000000e+00	6.821472e-01	-9.269058e-01
5.000000e-02	-6.929907e-02	5.109270e-01	-9.527635e-02	6.798984e-01	-9.785088e-01
1.000000e-01	-8.113250e-02	5.013305e-01	-1.111706e-01	6.619921e-01	-9.834344e-01
1.500000e-01	-1.169494e-01	4.718806e-01	-1.588636e-01	6.063164e-01	-9.972012e-01
2.000000e-01	-1.533750e-01	4.413916e-01	-2.069988e-01	5.476659e-01	-1.009694e+00
2.500000e-01	-2.141112e-01	3.892334e-01	-2.843630e-01	4.451814e-01	-1.027057e+00
3.000000e-01	-2.751404e-01	3.354710e-01	-3.539772e-01	3.368889e-01	-1.040531e+00
3.500000e-01	-3.574603e-01	2.607652e-01	-4.456684e-01	1.905535e-01	-1.051667e+00
4.000000e-01	-4.368468e-01	1.882639e-01	-5.110845e-01	4.316494e-02	-1.054671e+00
4.500000e-01	-5.282938e-01	1.135268e-01	-5.454602e-01	-1.435868e-01	-1.045519e+00
5.000000e-01	-6.092132e-01	1.001306e-01	-6.137603e-01	-3.282791e-01	-1.037209e+00
5.500000e-01	-6.863378e-01	1.690164e-01	-7.085340e-01	-3.673572e-01	-1.039484e+00
6.000000e-01	-7.418170e-01	2.538000e-01	-7.823942e-01	-2.855911e-01	-1.115119e+00
6.500000e-01	-7.743970e-01	3.393626e-01	-9.054598e-01	-1.899434e-01	-1.208131e+00
7.000000e-01	-7.750375e-01	4.058386e-01	-9.521129e-01	-9.629755e-02	-1.242028e+00
7.500000e-01	-7.378810e-01	4.528175e-01	-9.197773e-01	2.522979e-03	-1.240644e+00
8.000000e-01	-6.666054e-01	4.716123e-01	-8.376285e-01	9.064419e-02	-1.208463e+00
8.500000e-01	-5.564495e-01	4.613875e-01	-6.844662e-01	1.714925e-01	-1.115435e+00
9.000000e-01	-4.246932e-01	4.244152e-01	-5.277991e-01	2.320994e-01	-9.884159e-01
9.500000e-01	-2.722284e-01	3.621247e-01	-3.492979e-01	2.817926e-01	-8.073275e-01
1.000000e+00	-1.248274e-01	2.863173e-01	-1.776101e-01	3.132783e-01	-5.969174e-01
1.050000e+00	1.123177e-02	2.019272e-01	-1.720960e-02	3.199035e-01	-3.637615e-01
1.100000e+00	1.128732e-01	1.249334e-01	1.136829e-01	2.967637e-01	-1.496503e-01
1.150000e+00	1.745619e-01	6.430389e-02	1.795214e-01	3.408339e-01	-3.326937e-02
1.200000e+00	1.881734e-01	4.247796e-02	1.915515e-01	3.407901e-01	1.643252e-02
1.250000e+00	1.564334e-01	5.091399e-02	1.626683e-01	3.018659e-01	2.186829e-02
1.300000e+00	9.104228e-02	5.540375e-02	1.027657e-01	2.640581e-01	-5.090827e-02
1.350000e+00	4.559895e-03	5.244972e-02	9.246317e-03	2.047601e-01	-1.170830e-01
1.400000e+00	-7.960972e-02	4.948661e-02	-8.940896e-02	1.304204e-01	-1.635054e-01
1.450000e+00	-1.469430e-01	5.007239e-02	-1.657090e-01	5.149479e-02	-2.249504e-01
1.500000e+00	-1.795865e-01	4.811135e-02	-1.817621e-01	-9.586356e-03	-2.547422e-01
1.550000e+00	-1.727715e-01	3.753449e-02	-1.748692e-01	-4.448088e-02	-2.416792e-01
1.600000e+00	-1.276603e-01	2.108960e-02	-1.295914e-01	-2.224665e-02	-1.731119e-01
1.650000e+00	-5.361629e-02	2.872159e-02	-4.634507e-02	4.627206e-02	-1.286374e-01
1.700000e+00	3.142955e-02	5.614160e-02	4.198557e-02	1.231075e-01	-8.635214e-02
1.750000e+00	1.128528e-01	7.996815e-02	1.240035e-01	2.179826e-01	-3.342527e-02
1.800000e+00	1.721469e-01	9.001249e-02	1.828984e-01	2.823440e-01	1.965265e-02
1.850000e+00	2.037972e-01	8.432123e-02	2.003027e-01	3.115024e-01	6.584073e-02
1.900000e+00	2.031597e-01	6.356402e-02	1.928813e-01	2.873106e-01	9.767840e-02
