# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-5.422220e-02	3.406006e-01	0.000000e+00	5.778855e-01	-7.804395e-01
5.000000e-02	-1.653707e-01	4.761475e-01	-4.105566e-01	5.572091e-01	-9.972603e-01
1.000000e-01	-1.764810e-01	4.670633e-01	-4.159799e-01	5.362086e-01	-1.001624e+00
1.500000e-01	-2.099053e-01	4.392546e-01	-4.312354e-01	4.715020e-01	-1.013686e+00
2.000000e-01	-2.436419e-01	4.105950e-01	-4.487769e-01	4.043929e-01	-1.024436e+00
2.500000e-01	-2.992248e-01	3.619861e-01	-4.795693e-01	2.896025e-01	-1.038900e+00
3.000000e-01	-3.543915e-01	3.125137e-01	-5.147355e-01	1.708183e-01	-1.049473e+00
3.500000e-01	-4.275545e-01	2.454320e-01	-5.443964e-01	4.514314e-03	-1.056797e+00
4.000000e-01	-4.968240e-01	1.837577e-01	-5.508438e-01	0.000000e+00	-1.056208e+00
4.500000e-01	-5.746671e-01	1.299550e-01	-5.728635e-01	0.000000e+00	-1.043081e+00
5.000000e-01	-6.413829e-01	1.314680e-01	-6.006925e-01	0.000000e+00	-1.063731e+00
5.500000e-01	-7.018310e-01	1.910879e-01	-7.277750e-01	0.000000e+00	-1.089813e+00
6.000000e-01	-7.412649e-01	2.647853e-01	-8.481443e-01	0.000000e+00	-1.145268e+00
6.500000e-01	-7.574563e-01	3.405076e-01	-8.890980e-01	0.000000e+00	-1.194328e+00
7.000000e-01	-7.442086e-01	3.993162e-01	-8.008974e-01	0.000000e+00	-1.244045e+00
7.500000e-01	-6.953503e-01	4.401553e-01	-6.790363e-01	0.000000e+00	-1.244386e+00
8.000000e-01	-6.165721e-01	4.549612e-01	-5.430972e-01	5.438178e-02	-1.199986e+00
8.500000e-01	-5.027709e-01	4.424879e-01	-3.872432e-01	1.445420e-01	-1.098649e+00
9.000000e-01	-3.719851e-01	4.052948e-01	-2.378475e-01	2.157841e-01	-9.376971e-01
9.500000e-01	-2.242576e-01	3.441265e-01	-9.623442e-02	2.695648e-01	-7.175899e-01
1.000000e+00	-8.482675e-02	2.707854e-01	4.222290e-03	2.969950e-01	-4.899622e-01
1.050000e+00	4.149472e-02	1.892397e-01	1.005709e-01	3.043038e-01	-2.541194e-01
1.100000e+00	1.329162e-01	1.155389e-01	1.591387e-01	3.120185e-01	-7.644930e-02
1.150000e+00	1.853082e-01	5.873029e-02	1.949593e-01	3.439039e-01	0.000000e+00
1.200000e+00	1.918330e-01	4.281564e-02	1.890343e-01	3.319136e-01	0.000000e+00
1.250000e+00	1.557622e-01	5.355794e-02	1.602435e-01	3.323668e-01	0.000000e+00
1.300000e+00	8.943050e-02	5.799790e-02	1.008960e-01	2.947763e-01	-5.152467e-02
1.350000e+00	4.708534e-03	5.361337e-02	1.422407e-02	2.247455e-01	-1.224589e-01
1.400000e+00	-7.520095e-02	4.726492e-02	-8.016306e-02	1.398625e-01	-1.718766e-01
1.450000e+00	-1.373095e-01	4.332997e-02	-1.512859e-01	5.223511e-02	-2.190766e-01
1.500000e+00	-1.645021e-01	3.840881e-02	-1.722666e-01	0.000000e+00	-2.293480e-01
1.550000e+00	-1.534905e-01	3.005473e-02	-1.558110e-01	0.000000e+00	-2.140608e-01
