# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	6.726072e-02	7.205263e-02	7.005914e-02	3.921677e-01	0.000000e+00
5.000000e-02	1.308227e-01	3.519411e-02	1.269728e-01	4.042210e-01	4.689775e-02
1.000000e-01	1.276975e-01	3.570919e-02	1.236866e-01	4.052969e-01	4.390136e-02
1.500000e-01	1.183114e-01	3.720751e-02	1.138310e-01	4.080829e-01	3.508175e-02
2.000000e-01	1.088693e-01	3.863738e-02	1.037944e-01	4.102337e-01	2.645885e-02
2.500000e-01	9.313929e-02	4.082962e-02	8.712011e-02	4.123391e-01	1.263645e-02
3.000000e-01	7.737592e-02	4.277800e-02	7.099373e-02	4.126371e-01	-1.168062e-03
3.500000e-01	5.556110e-02	4.502749e-02	4.853271e-02	4.099408e-01	-2.338142e-02
4.000000e-01	3.402383e-02	4.671929e-02	2.654368e-02	4.082493e-01	-4.429244e-02
4.500000e-01	7.298788e-03	4.802529e-02	-2.918413e-04	4.038905e-01	-7.083133e-02
5.000000e-01	-1.829713e-02	4.840483e-02	-2.580454e-02	3.936844e-01	-9.506101e-02
5.500000e-01	-4.726972e-02	4.770087e-02	-5.444739e-02	3.735625e-01	-1.206716e-01
6.000000e-01	-7.360175e-02	4.591760e-02	-7.983548e-02	3.455026e-01	-1.419433e-01
6.500000e-01	-1.005484e-01	4.285307e-02	-1.058034e-01	3.035379e-01	-1.612384e-01
7.000000e-01	-1.229308e-01	3.928525e-02	-1.275418e-01	2.544237e-01	-1.757473e-01
7.500000e-01	-1.427680e-01	3.550675e-02	-1.467019e-01	1.988469e-01	-1.935906e-01
8.000000e-01	-1.564125e-01	3.292104e-02	-1.597373e-01	1.388366e-01	-2.196221e-01
8.500000e-01	-1.651071e-01	3.204507e-02	-1.654923e-01	7.024554e-02	-2.453114e-01
9.000000e-01	-1.671123e-01	3.281204e-02	-1.642304e-01	3.733318e-03	-2.629077e-01
9.500000e-01	-1.632316e-01	3.410565e-02	-1.583047e-01	-6.215901e-02	-2.685338e-01
1.000000e+00	-1.534504e-01	3.447833e-02	-1.479375e-01	-7.237354e-02	-2.601695e-01
1.050000e+00	-1.380102e-01	3.297961e-02	-1.324157e-01	-6.810513e-02	-2.581442e-01
1.100000e+00	-1.177864e-01	2.952156e-02	-1.124898e-01	-5.956544e-02	-2.630686e-01
1.150000e+00	-9.195870e-02	2.457719e-02	-8.849564e-02	-4.137347e-02	-2.430723e-01
1.200000e+00	-6.171095e-02	2.008594e-02	-5.976261e-02	-1.599821e-02	-2.080554e-01
1.250000e+00	-2.504638e-02	1.807455e-02	-2.377988e-02	2.807818e-02	-1.463605e-01
1.300000e+00	1.562226e-02	1.899054e-02	1.617029e-02	7.925598e-02	-6.721557e-02
