# 		k		<chi>		std
0.00000e+00 -9.96706e-02 3.12207e-01
5.00000e-02 -1.05967e-01 3.02817e-01
1.00000e-01 -1.14843e-01 2.92744e-01
1.50000e-01 -1.42105e-01 2.63136e-01
2.00000e-01 -1.70467e-01 2.34630e-01
2.50000e-01 -2.19278e-01 1.91521e-01
3.00000e-01 -2.70176e-01 1.56713e-01
3.50000e-01 -3.42321e-01 1.32088e-01
4.00000e-01 -4.15570e-01 1.41485e-01
4.50000e-01 -5.05891e-01 1.83474e-01
5.00000e-01 -5.91842e-01 2.33655e-01
5.50000e-01 -6.82600e-01 2.86774e-01
6.00000e-01 -7.57856e-01 3.26716e-01
6.50000e-01 -8.18180e-01 3.52879e-01
7.00000e-01 -8.48823e-01 3.58782e-01
7.50000e-01 -8.43636e-01 3.43153e-01
8.00000e-01 -7.99417e-01 3.09048e-01
8.50000e-01 -7.09408e-01 2.56541e-01
9.00000e-01 -5.86046e-01 1.96822e-01
9.50000e-01 -4.28960e-01 1.33614e-01
1.00000e+00 -2.63937e-01 8.47366e-02
1.05000e+00 -9.87629e-02 6.36361e-02
1.10000e+00 3.82142e-02 6.80015e-02
1.15000e+00 1.37456e-01 7.06240e-02
1.20000e+00 1.83602e-01 6.00006e-02
1.25000e+00 1.76024e-01 3.93529e-02
1.30000e+00 1.22185e-01 3.06733e-02
1.35000e+00 3.52896e-02 5.02037e-02
1.40000e+00 -5.96246e-02 6.94423e-02
1.45000e+00 -1.43191e-01 7.54288e-02
1.50000e+00 -1.91815e-01 6.41691e-02
1.55000e+00 -1.95225e-01 4.00108e-02
1.60000e+00 -1.50013e-01 2.78194e-02
1.65000e+00 -6.39221e-02 5.20585e-02
1.70000e+00 4.40584e-02 7.46170e-02
1.75000e+00 1.55709e-01 8.15466e-02
1.80000e+00 2.46112e-01 6.70946e-02
1.85000e+00 3.04175e-01 3.59773e-02
1.90000e+00 3.18574e-01 1.67139e-02
1.95000e+00 2.95521e-01 5.40261e-02
2.00000e+00 2.41710e-01 8.43176e-02
2.05000e+00 1.73057e-01 9.89974e-02
2.10000e+00 1.03101e-01 9.12325e-02
2.15000e+00 4.44309e-02 6.49784e-02
2.20000e+00 3.09360e-03 3.01007e-02
2.25000e+00 -2.35455e-02 8.18551e-03
2.30000e+00 -3.74817e-02 2.36975e-02
2.35000e+00 -4.23270e-02 2.80508e-02
2.40000e+00 -4.19865e-02 2.09236e-02
2.45000e+00 -3.91037e-02 1.38438e-02
2.50000e+00 -3.37197e-02 7.17170e-03
2.55000e+00 -2.72237e-02 7.14473e-03
2.60000e+00 -2.05975e-02 9.29054e-03
2.65000e+00 -1.67843e-02 9.19597e-03
2.70000e+00 -1.38692e-02 6.53580e-03
2.75000e+00 -1.17964e-02 3.16341e-03
2.80000e+00 -1.03358e-02 5.77286e-03
2.85000e+00 -1.03224e-02 1.06353e-02
2.90000e+00 -9.30567e-03 1.41746e-02
2.95000e+00 -7.01839e-03 1.54539e-02
3.00000e+00 -3.54277e-03 1.43342e-02
3.05000e+00 1.61425e-03 1.13391e-02
3.10000e+00 6.87188e-03 7.12074e-03
3.15000e+00 1.10411e-02 3.24195e-03
3.20000e+00 1.30675e-02 3.25402e-03
3.25000e+00 1.24964e-02 5.61195e-03
3.30000e+00 8.77145e-03 6.69197e-03
