# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	7.341902e-02	3.067385e-01	0.000000e+00	7.920623e-01	-3.817644e-01
5.000000e-02	1.138720e-01	4.010100e-01	6.280025e-02	7.727016e-01	-3.792721e-01
1.000000e-01	1.045464e-01	3.900562e-01	5.276760e-02	7.527858e-01	-3.767528e-01
1.500000e-01	7.606892e-02	3.563438e-01	2.356610e-02	6.907447e-01	-3.685638e-01
2.000000e-01	4.631482e-02	3.217860e-01	-5.296200e-03	6.245043e-01	-3.602153e-01
2.500000e-01	-4.196944e-03	2.624175e-01	-5.341960e-02	5.094002e-01	-3.626975e-01
3.000000e-01	-5.642508e-02	2.023846e-01	-1.028430e-01	3.864851e-01	-3.782518e-01
3.500000e-01	-1.286601e-01	1.206866e-01	-1.671370e-01	2.106044e-01	-3.965392e-01
4.000000e-01	-2.027784e-01	5.479007e-02	-2.078453e-01	2.994533e-02	-4.118819e-01
4.500000e-01	-2.924018e-01	9.717230e-02	-2.653703e-01	-1.290031e-01	-5.095442e-01
5.000000e-01	-3.780812e-01	1.907692e-01	-4.266990e-01	-1.265524e-01	-6.931730e-01
5.500000e-01	-4.692086e-01	2.960433e-01	-5.501124e-01	-1.223372e-01	-8.865034e-01
6.000000e-01	-5.459890e-01	3.869580e-01	-6.396447e-01	-1.023166e-01	-1.057565e+00
6.500000e-01	-6.115053e-01	4.675481e-01	-7.019990e-01	-8.465704e-02	-1.213233e+00
7.000000e-01	-6.501448e-01	5.212719e-01	-7.211003e-01	-6.267127e-02	-1.303969e+00
7.500000e-01	-6.598785e-01	5.471958e-01	-7.100017e-01	-3.518325e-02	-1.326944e+00
8.000000e-01	-6.352502e-01	5.396610e-01	-6.719383e-01	-1.354591e-02	-1.297298e+00
8.500000e-01	-5.738376e-01	4.961336e-01	-6.025901e-01	1.090198e-03	-1.196568e+00
9.000000e-01	-4.841566e-01	4.240785e-01	-5.084709e-01	7.889462e-03	-1.036778e+00
9.500000e-01	-3.687219e-01	3.236703e-01	-3.922857e-01	6.890888e-03	-8.086286e-01
1.000000e+00	-2.475709e-01	2.126540e-01	-2.629955e-01	7.046663e-03	-5.524422e-01
1.050000e+00	-1.286108e-01	9.574770e-02	-1.322858e-01	8.567416e-03	-3.013340e-01
1.100000e+00	-3.368243e-02	2.820763e-02	-3.505775e-02	7.302033e-02	-1.037658e-01
1.150000e+00	2.946135e-02	1.050890e-01	2.711562e-02	2.282418e-01	-1.221693e-01
1.200000e+00	5.046165e-02	1.627446e-01	4.609474e-02	3.046214e-01	-1.638878e-01
