# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	3.744348e-02	3.167054e-01	0.000000e+00	6.664858e-01	-4.347653e-01
5.000000e-02	5.071820e-02	4.270898e-01	-1.078988e-01	6.481253e-01	-4.404561e-01
1.000000e-01	4.262080e-02	4.173249e-01	-1.181855e-01	6.293916e-01	-4.371466e-01
1.500000e-01	1.789064e-02	3.870520e-01	-1.486657e-01	5.713699e-01	-4.263998e-01
2.000000e-01	-7.817980e-03	3.558605e-01	-1.796744e-01	5.107470e-01	-4.154512e-01
2.500000e-01	-5.131955e-02	3.018599e-01	-2.281120e-01	4.068676e-01	-3.955582e-01
3.000000e-01	-9.653955e-02	2.467935e-01	-2.747200e-01	3.123607e-01	-3.778456e-01
3.500000e-01	-1.588891e-01	1.715539e-01	-2.703103e-01	1.774341e-01	-4.169855e-01
4.000000e-01	-2.228263e-01	1.057227e-01	-2.684203e-01	3.443673e-02	-5.543456e-01
4.500000e-01	-3.003022e-01	9.097324e-02	-2.703368e-01	-1.480280e-01	-7.153855e-01
5.000000e-01	-3.744796e-01	1.619996e-01	-3.270181e-01	-1.771341e-01	-8.601609e-01
5.500000e-01	-4.536339e-01	2.632520e-01	-4.296022e-01	-1.253792e-01	-1.003475e+00
6.000000e-01	-5.204424e-01	3.567540e-01	-5.218244e-01	-7.780470e-02	-1.112142e+00
6.500000e-01	-5.776097e-01	4.440830e-01	-6.060018e-01	-3.103278e-02	-1.187466e+00
7.000000e-01	-6.111207e-01	5.067181e-01	-6.485041e-01	8.078863e-03	-1.233801e+00
7.500000e-01	-6.189776e-01	5.435437e-01	-6.658163e-01	4.030260e-02	-1.249986e+00
8.000000e-01	-5.958758e-01	5.466116e-01	-6.507004e-01	6.195028e-02	-1.226706e+00
8.500000e-01	-5.393623e-01	5.128992e-01	-5.554855e-01	7.172015e-02	-1.136886e+00
9.000000e-01	-4.567043e-01	4.476877e-01	-4.386457e-01	7.059673e-02	-9.881585e-01
9.500000e-01	-3.499351e-01	3.507076e-01	-3.016613e-01	6.518558e-02	-7.892351e-01
1.000000e+00	-2.373403e-01	2.390820e-01	-1.705948e-01	4.652167e-02	-5.705319e-01
1.050000e+00	-1.262526e-01	1.191646e-01	-5.867959e-02	4.436200e-02	-3.428166e-01
1.100000e+00	-3.730614e-02	4.622833e-02	-4.197228e-02	1.516237e-01	-1.343441e-01
1.150000e+00	2.194773e-02	1.152037e-01	6.333960e-03	2.530536e-01	-1.632753e-01
1.200000e+00	4.121372e-02	1.819165e-01	3.563046e-02	3.033885e-01	-2.196432e-01
1.250000e+00	2.089059e-02	2.199882e-01	2.856430e-02	3.139145e-01	-2.758173e-01
1.300000e+00	-3.141903e-02	2.254936e-01	-3.741215e-02	2.506216e-01	-3.216395e-01
1.350000e+00	-1.041515e-01	2.040078e-01	-1.289910e-01	1.488409e-01	-3.562198e-01
1.400000e+00	-1.770002e-01	1.651718e-01	-2.091441e-01	3.796983e-02	-3.809607e-01
1.450000e+00	-2.342547e-01	1.190877e-01	-2.627040e-01	-7.237661e-02	-3.838381e-01
1.500000e+00	-2.590251e-01	7.829573e-02	-2.724297e-01	-1.453833e-01	-3.724302e-01
1.550000e+00	-2.444041e-01	4.979045e-02	-2.420757e-01	-1.656416e-01	-3.309812e-01
1.600000e+00	-1.913473e-01	3.898441e-02	-1.920115e-01	-1.221203e-01	-2.672928e-01
1.650000e+00	-1.081006e-01	4.393717e-02	-1.108689e-01	-1.103182e-02	-1.853774e-01
1.700000e+00	-1.263395e-02	5.793724e-02	-1.739815e-02	1.134502e-01	-1.016450e-01
1.750000e+00	7.983324e-02	7.431606e-02	7.584989e-02	2.208432e-01	-2.905997e-02
