# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.063057e-01	1.818933e-01	0.000000e+00	1.948356e-01	-6.001272e-01
5.000000e-02	-1.884927e-01	2.114535e-01	-2.638332e-01	2.347212e-01	-5.857807e-01
1.000000e-01	-1.768832e-01	2.089178e-01	-2.503409e-01	2.403268e-01	-5.713624e-01
1.500000e-01	-1.428811e-01	2.010680e-01	-2.130164e-01	2.557073e-01	-5.283236e-01
2.000000e-01	-1.096677e-01	1.927587e-01	-1.766561e-01	2.692506e-01	-4.848801e-01
2.500000e-01	-5.728960e-02	1.783526e-01	-1.155039e-01	2.874412e-01	-4.722156e-01
3.000000e-01	-7.772557e-03	1.631194e-01	-5.911701e-02	3.006963e-01	-4.584033e-01
3.500000e-01	5.454015e-02	1.415640e-01	1.768564e-02	3.193374e-01	-4.365258e-01
4.000000e-01	1.098630e-01	1.198163e-01	8.511485e-02	3.299338e-01	-4.117175e-01
4.500000e-01	1.682134e-01	9.403436e-02	1.631163e-01	3.314387e-01	-3.759779e-01
5.000000e-01	2.135921e-01	7.235581e-02	2.170708e-01	3.212401e-01	-3.363757e-01
5.500000e-01	2.504001e-01	5.785614e-02	2.571863e-01	3.506826e-01	-2.840524e-01
6.000000e-01	2.682766e-01	5.990534e-02	2.721467e-01	3.876120e-01	-2.286794e-01
6.500000e-01	2.676155e-01	7.486375e-02	2.855181e-01	4.121025e-01	-1.621918e-01
7.000000e-01	2.452797e-01	9.158630e-02	2.826504e-01	4.026615e-01	-9.684385e-02
7.500000e-01	2.002421e-01	1.059924e-01	2.487411e-01	3.653790e-01	-3.941885e-02
8.000000e-01	1.367236e-01	1.134466e-01	1.856273e-01	3.101011e-01	-1.155452e-01
8.500000e-01	5.467000e-02	1.142067e-01	1.027786e-01	2.356347e-01	-1.924990e-01
9.000000e-01	-3.609281e-02	1.074558e-01	7.047134e-03	1.491519e-01	-2.606597e-01
9.500000e-01	-1.348097e-01	9.477972e-02	-1.015590e-01	1.188578e-01	-3.257678e-01
1.000000e+00	-2.287606e-01	7.803747e-02	-2.030199e-01	9.943292e-02	-3.824931e-01
1.050000e+00	-3.178879e-01	5.967843e-02	-3.057632e-01	5.128540e-02	-4.310498e-01
1.100000e+00	-3.897207e-01	4.351338e-02	-3.893095e-01	-1.923856e-02	-4.703332e-01
1.150000e+00	-4.465364e-01	3.346341e-02	-4.477039e-01	-1.105354e-01	-4.980584e-01
1.200000e+00	-4.785815e-01	3.242251e-02	-4.811247e-01	-2.067722e-01	-5.407551e-01
1.250000e+00	-4.905740e-01	3.692689e-02	-4.940438e-01	-3.030480e-01	-5.641473e-01
1.300000e+00	-4.771714e-01	4.122994e-02	-4.824217e-01	-3.657789e-01	-5.522512e-01
1.350000e+00	-4.442067e-01	4.382042e-02	-4.502806e-01	-3.239071e-01	-5.252018e-01
1.400000e+00	-3.916659e-01	4.336661e-02	-3.988089e-01	-2.748337e-01	-4.787411e-01
1.450000e+00	-3.249604e-01	4.092963e-02	-3.314166e-01	-2.188896e-01	-4.427558e-01
1.500000e+00	-2.490655e-01	3.682077e-02	-2.518475e-01	-1.621302e-01	-3.952607e-01
1.550000e+00	-1.679506e-01	3.273474e-02	-1.709020e-01	-9.497182e-02	-3.214271e-01
1.600000e+00	-8.939529e-02	2.987700e-02	-9.610425e-02	-1.462622e-02	-2.298048e-01
1.650000e+00	-1.559233e-02	2.912269e-02	-2.079295e-02	6.648533e-02	-1.303728e-01
1.700000e+00	4.665333e-02	2.954018e-02	4.180529e-02	1.315710e-01	-3.434505e-02
1.750000e+00	9.782832e-02	2.978322e-02	9.262967e-02	1.845271e-01	5.237023e-02
1.800000e+00	1.343616e-01	2.843883e-02	1.300136e-01	2.157481e-01	8.440383e-02
1.850000e+00	1.594870e-01	2.537326e-02	1.554487e-01	2.304976e-01	1.081301e-01
1.900000e+00	1.720681e-01	2.056915e-02	1.699432e-01	2.290352e-01	1.260218e-01
1.950000e+00	1.770328e-01	1.505713e-02	1.771719e-01	2.188821e-01	1.408369e-01
2.000000e+00	1.730655e-01	9.643993e-03	1.738326e-01	2.120712e-01	1.493302e-01
2.050000e+00	1.672188e-01	5.985038e-03	1.665256e-01	1.982803e-01	1.532697e-01
2.100000e+00	1.551004e-01	5.412905e-03	1.550006e-01	1.727201e-01	1.418531e-01
2.150000e+00	1.378854e-01	6.548644e-03	1.386408e-01	1.536612e-01	1.194963e-01
2.200000e+00	1.168715e-01	7.295556e-03	1.177964e-01	1.297959e-01	9.421253e-02
2.250000e+00	9.748859e-02	7.689500e-03	9.746626e-02	1.128643e-01	7.385530e-02
2.300000e+00	7.616421e-02	7.458870e-03	7.556523e-02	9.318475e-02	4.771230e-02
2.350000e+00	5.417377e-02	6.714612e-03	5.368953e-02	7.092896e-02	2.861068e-02
2.400000e+00	3.313125e-02	5.694348e-03	3.288109e-02	4.823856e-02	1.686985e-02
2.450000e+00	1.483188e-02	4.984293e-03	1.485827e-02	2.773954e-02	3.545854e-03
2.500000e+00	-8.717603e-04	4.445800e-03	-4.374043e-04	9.537602e-03	-1.000351e-02
2.550000e+00	-1.310264e-02	4.269711e-03	-1.318349e-02	-5.031160e-04	-2.234703e-02
2.600000e+00	-2.132380e-02	4.410956e-03	-2.160687e-02	-2.879732e-03	-3.082207e-02
2.650000e+00	-2.635672e-02	4.827891e-03	-2.699519e-02	-3.921627e-03	-3.564411e-02
2.700000e+00	-2.800493e-02	5.091458e-03	-2.897103e-02	-4.757309e-03	-3.843892e-02
2.750000e+00	-2.662600e-02	5.025156e-03	-2.773764e-02	-5.740246e-03	-3.767124e-02
2.800000e+00	-2.279742e-02	4.556670e-03	-2.359924e-02	-6.924825e-03	-3.371337e-02
2.850000e+00	-1.876843e-02	3.719570e-03	-1.934931e-02	-9.909020e-03	-2.850087e-02
