# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	1.074431e-01	2.694976e-01	0.000000e+00	7.858960e-01	-5.328791e-01
5.000000e-02	1.883848e-01	3.448074e-01	3.319476e-01	7.647539e-01	-5.305511e-01
1.000000e-01	1.736937e-01	3.351382e-01	3.095089e-01	7.432420e-01	-5.223567e-01
1.500000e-01	1.290310e-01	3.071312e-01	2.466983e-01	6.846150e-01	-5.000086e-01
2.000000e-01	8.322916e-02	2.797900e-01	1.833783e-01	6.294495e-01	-4.785032e-01
2.500000e-01	6.229695e-03	2.376697e-01	8.083277e-02	5.337810e-01	-4.469863e-01
3.000000e-01	-7.342675e-02	1.992383e-01	-2.503707e-02	4.319415e-01	-4.511247e-01
3.500000e-01	-1.833323e-01	1.552269e-01	-1.721797e-01	2.858916e-01	-4.992246e-01
4.000000e-01	-2.937093e-01	1.246095e-01	-2.948226e-01	1.322815e-01	-6.073857e-01
4.500000e-01	-4.273987e-01	1.143425e-01	-4.048953e-01	-6.276814e-02	-7.327439e-01
5.000000e-01	-5.531889e-01	1.327127e-01	-5.338922e-01	-2.583914e-01	-8.718530e-01
5.500000e-01	-6.858188e-01	1.711757e-01	-7.097069e-01	-2.622053e-01	-1.024558e+00
6.000000e-01	-7.961044e-01	2.104757e-01	-8.540214e-01	-2.698443e-01	-1.160825e+00
6.500000e-01	-8.886963e-01	2.495585e-01	-9.816665e-01	-2.813001e-01	-1.263380e+00
7.000000e-01	-9.425777e-01	2.764688e-01	-1.061463e+00	-2.950443e-01	-1.306048e+00
7.500000e-01	-9.546284e-01	2.925116e-01	-1.094070e+00	-2.908200e-01	-1.301997e+00
8.000000e-01	-9.188697e-01	2.918994e-01	-1.059469e+00	-2.803732e-01	-1.252450e+00
8.500000e-01	-8.308260e-01	2.752855e-01	-9.644097e-01	-2.589595e-01	-1.161119e+00
9.000000e-01	-7.035645e-01	2.441833e-01	-8.177516e-01	-2.182699e-01	-1.033828e+00
9.500000e-01	-5.383294e-01	2.002607e-01	-6.272961e-01	-1.350917e-01	-8.593245e-01
1.000000e+00	-3.634113e-01	1.514810e-01	-4.191300e-01	-5.083097e-02	-6.468467e-01
1.050000e+00	-1.871552e-01	1.017917e-01	-2.122105e-01	2.841236e-02	-4.094399e-01
1.100000e+00	-4.036086e-02	6.395869e-02	-4.042338e-02	9.360292e-02	-1.901724e-01
1.150000e+00	6.797436e-02	4.777020e-02	6.595414e-02	2.049291e-01	-8.505809e-02
1.200000e+00	1.216917e-01	5.081074e-02	1.201568e-01	2.497475e-01	-5.589118e-02
1.250000e+00	1.215728e-01	5.363096e-02	1.265465e-01	2.360305e-01	-5.301547e-02
1.300000e+00	7.586026e-02	4.904689e-02	7.915218e-02	1.886368e-01	-7.473832e-02
1.350000e+00	-7.966467e-04	4.078975e-02	1.729458e-03	1.085966e-01	-1.164898e-01
1.400000e+00	-8.298437e-02	3.750203e-02	-8.283020e-02	4.893610e-02	-2.055756e-01
1.450000e+00	-1.508754e-01	4.221780e-02	-1.545524e-01	1.716545e-02	-2.635086e-01
1.500000e+00	-1.833440e-01	4.645653e-02	-1.940724e-01	-1.463529e-02	-2.696464e-01
1.550000e+00	-1.715053e-01	4.431865e-02	-1.826502e-01	-1.741451e-02	-2.551000e-01
1.600000e+00	-1.169225e-01	3.511283e-02	-1.200818e-01	2.548625e-05	-2.070820e-01
1.650000e+00	-2.946726e-02	2.857630e-02	-2.979736e-02	5.708817e-02	-1.083912e-01
1.700000e+00	6.823718e-02	3.934560e-02	7.127319e-02	1.670428e-01	-4.225148e-02
1.750000e+00	1.585144e-01	5.897189e-02	1.772219e-01	2.553019e-01	-9.165351e-03
1.800000e+00	2.186477e-01	7.401716e-02	2.501307e-01	3.134327e-01	1.493296e-02
1.850000e+00	2.424657e-01	8.015119e-02	2.807078e-01	3.284057e-01	3.601948e-02
1.900000e+00	2.261686e-01	7.493965e-02	2.640870e-01	3.003777e-01	4.939478e-02
1.950000e+00	1.816974e-01	6.065025e-02	2.118142e-01	2.497355e-01	3.898685e-02
2.000000e+00	1.218923e-01	4.112882e-02	1.406379e-01	1.765344e-01	2.239644e-02
2.050000e+00	6.355449e-02	2.073123e-02	6.918778e-02	1.029650e-01	6.445108e-03
2.100000e+00	1.979823e-02	1.029489e-02	2.006513e-02	5.269404e-02	-1.386278e-02
2.150000e+00	-3.202574e-03	1.340040e-02	-5.819920e-03	4.598235e-02	-3.489338e-02
2.200000e+00	-7.922566e-03	1.460294e-02	-1.260506e-02	4.132451e-02	-3.371045e-02
2.250000e+00	-4.155658e-03	1.299215e-02	-8.127021e-03	3.802731e-02	-3.012565e-02
2.300000e+00	-1.151374e-03	9.917241e-03	-3.247494e-03	3.441481e-02	-2.347272e-02
2.350000e+00	-3.284828e-03	7.477220e-03	-4.455249e-03	2.393404e-02	-2.119170e-02
2.400000e+00	-1.082689e-02	6.220132e-03	-1.174195e-02	9.944225e-03	-2.709277e-02
2.450000e+00	-1.625621e-02	5.276360e-03	-1.657369e-02	3.065958e-04	-3.093046e-02
2.500000e+00	-2.187457e-02	4.636524e-03	-2.199062e-02	-8.045080e-03	-3.429726e-02
2.550000e+00	-2.622129e-02	4.321599e-03	-2.642111e-02	-1.353030e-02	-3.836369e-02
2.600000e+00	-2.798549e-02	4.410596e-03	-2.838807e-02	-1.407150e-02	-3.961851e-02
2.650000e+00	-2.859269e-02	4.849545e-03	-2.941140e-02	-1.356243e-02	-4.069719e-02
2.700000e+00	-2.720847e-02	5.321233e-03	-2.860703e-02	-1.241162e-02	-3.937261e-02
2.750000e+00	-2.396085e-02	5.635076e-03	-2.578413e-02	-7.933647e-03	-3.591142e-02
2.800000e+00	-1.935235e-02	5.732080e-03	-2.108554e-02	-2.486225e-03	-3.095944e-02
2.850000e+00	-1.529536e-02	5.705611e-03	-1.703741e-02	2.082284e-03	-2.589267e-02
2.900000e+00	-1.093963e-02	5.229425e-03	-1.227024e-02	5.320651e-03	-2.183144e-02
2.950000e+00	-6.717421e-03	4.602164e-03	-7.218019e-03	7.110912e-03	-2.448522e-02
3.000000e+00	-2.852733e-03	4.321868e-03	-2.814261e-03	7.695734e-03	-2.715924e-02
3.050000e+00	9.064744e-04	4.854844e-03	1.171309e-03	1.195835e-02	-2.938746e-02
3.100000e+00	4.285360e-03	6.042413e-03	5.301491e-03	1.535182e-02	-3.003022e-02
3.150000e+00	7.445349e-03	6.894862e-03	9.370584e-03	1.768587e-02	-2.815646e-02
3.200000e+00	1.056382e-02	6.748806e-03	1.272996e-02	1.973824e-02	-2.314438e-02
3.250000e+00	1.338834e-02	5.391514e-03	1.489487e-02	2.078791e-02	-1.503408e-02
3.300000e+00	1.616481e-02	3.305081e-03	1.662595e-02	2.616498e-02	-3.742371e-03
3.350000e+00	1.884259e-02	4.235984e-03	1.757244e-02	3.471474e-02	9.999052e-03
3.400000e+00	2.121905e-02	8.389518e-03	1.726230e-02	4.271133e-02	1.175715e-02
3.450000e+00	2.294126e-02	1.286637e-02	1.655114e-02	5.012466e-02	1.058961e-02
3.500000e+00	2.387595e-02	1.634180e-02	1.570998e-02	5.900576e-02	7.725972e-03
3.550000e+00	2.379300e-02	1.815754e-02	1.487288e-02	6.611462e-02	4.890082e-03
3.600000e+00	2.259790e-02	1.806691e-02	1.441613e-02	7.061063e-02	2.387792e-03
3.650000e+00	2.033672e-02	1.607339e-02	1.407498e-02	7.232492e-02	-7.203878e-04
3.700000e+00	1.707293e-02	1.294402e-02	1.343987e-02	6.906292e-02	-4.125518e-03
3.750000e+00	1.300887e-02	9.890500e-03	1.118186e-02	6.133425e-02	-6.694321e-03
3.800000e+00	8.322362e-03	8.425237e-03	7.605916e-03	5.007528e-02	-1.778763e-02
3.850000e+00	3.025318e-03	9.064557e-03	3.621364e-03	3.597557e-02	-3.049470e-02
3.900000e+00	-2.875719e-03	1.038871e-02	-5.266194e-04	2.062259e-02	-4.006226e-02
3.950000e+00	-9.253050e-03	1.115875e-02	-5.324499e-03	6.815177e-03	-4.593411e-02
4.000000e+00	-1.580754e-02	1.111412e-02	-1.096154e-02	-2.935819e-03	-4.828465e-02
4.050000e+00	-2.234283e-02	1.043209e-02	-1.773575e-02	-1.043902e-02	-4.808949e-02
4.100000e+00	-2.803205e-02	9.403295e-03	-2.449777e-02	-1.357964e-02	-5.074524e-02
4.150000e+00	-3.198235e-02	8.370443e-03	-2.927728e-02	-1.664487e-02	-5.461338e-02
4.200000e+00	-3.340050e-02	7.558650e-03	-3.104754e-02	-1.845621e-02	-5.670133e-02
4.250000e+00	-3.245156e-02	7.011676e-03	-2.999931e-02	-1.958672e-02	-5.587382e-02
4.300000e+00	-2.865375e-02	7.034679e-03	-2.594291e-02	-1.881278e-02	-5.160883e-02
4.350000e+00	-2.250520e-02	7.532520e-03	-1.992505e-02	-1.189484e-02	-4.854644e-02
4.400000e+00	-1.491358e-02	8.137543e-03	-1.227765e-02	-3.384985e-03	-4.469101e-02
4.450000e+00	-7.274928e-03	8.522111e-03	-4.654372e-03	4.983544e-03	-3.877539e-02
4.500000e+00	2.046315e-05	8.629100e-03	2.598342e-03	1.362476e-02	-3.110667e-02
4.550000e+00	6.522154e-03	8.555323e-03	8.478958e-03	2.210670e-02	-2.508625e-02
4.600000e+00	1.222296e-02	8.529117e-03	1.326144e-02	3.011879e-02	-1.895945e-02
4.650000e+00	1.738610e-02	8.711951e-03	1.798469e-02	3.768892e-02	-1.308334e-02
4.700000e+00	2.256354e-02	8.972348e-03	2.343726e-02	4.467644e-02	-8.650106e-03
