# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	5.014487e-02	2.946091e-01	0.000000e+00	7.635819e-01	-7.960539e-01
5.000000e-02	8.909401e-02	3.967747e-01	-1.316039e-01	7.446179e-01	-9.492306e-01
1.000000e-01	7.458169e-02	3.914553e-01	-1.477779e-01	7.252315e-01	-9.551037e-01
1.500000e-01	3.023494e-02	3.750707e-01	-1.963760e-01	6.647124e-01	-9.720309e-01
2.000000e-01	-1.546132e-02	3.580247e-01	-2.454716e-01	6.008970e-01	-9.880727e-01
2.500000e-01	-9.294314e-02	3.286567e-01	-3.117971e-01	4.893453e-01	-1.012077e+00
3.000000e-01	-1.722858e-01	2.980742e-01	-3.633793e-01	3.714323e-01	-1.033012e+00
3.500000e-01	-2.817636e-01	2.548632e-01	-4.135821e-01	2.024331e-01	-1.055413e+00
4.000000e-01	-3.899491e-01	2.112079e-01	-4.509004e-01	2.857537e-02	-1.070574e+00
4.500000e-01	-5.185350e-01	1.585292e-01	-5.721388e-01	0.000000e+00	-1.077153e+00
5.000000e-01	-6.364619e-01	1.130043e-01	-6.583433e-01	0.000000e+00	-1.070654e+00
5.500000e-01	-7.552985e-01	8.573441e-02	-7.675077e-01	0.000000e+00	-1.084202e+00
6.000000e-01	-8.481725e-01	1.043698e-01	-8.311198e-01	0.000000e+00	-1.154469e+00
6.500000e-01	-9.159016e-01	1.528079e-01	-8.692503e-01	0.000000e+00	-1.202683e+00
7.000000e-01	-9.417583e-01	2.032901e-01	-8.567581e-01	0.000000e+00	-1.281727e+00
7.500000e-01	-9.197513e-01	2.501072e-01	-7.844115e-01	0.000000e+00	-1.293548e+00
8.000000e-01	-8.496731e-01	2.839392e-01	-6.849959e-01	0.000000e+00	-1.235748e+00
8.500000e-01	-7.262292e-01	3.034947e-01	-5.385810e-01	0.000000e+00	-1.145567e+00
9.000000e-01	-5.684260e-01	3.061097e-01	-3.743221e-01	0.000000e+00	-9.984881e-01
9.500000e-01	-3.783281e-01	2.912097e-01	-2.020568e-01	1.753867e-02	-7.865941e-01
1.000000e+00	-1.882798e-01	2.625418e-01	-8.728975e-02	1.663019e-01	-5.594130e-01
1.050000e+00	-7.467931e-03	2.218962e-01	1.323878e-02	2.990828e-01	-3.213116e-01
1.100000e+00	1.331768e-01	1.773512e-01	1.008617e-01	3.891711e-01	-1.436525e-01
1.150000e+00	2.254781e-01	1.327227e-01	2.059717e-01	4.220976e-01	-1.888484e-02
1.200000e+00	2.567028e-01	9.534838e-02	2.510165e-01	3.954017e-01	0.000000e+00
1.250000e+00	2.296746e-01	6.795417e-02	2.420871e-01	3.285667e-01	0.000000e+00
