# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	5.980379e-02	2.818324e-01	0.000000e+00	6.743973e-01	-8.027243e-01
5.000000e-02	8.317595e-02	3.992459e-01	1.371510e-02	6.729073e-01	-8.091134e-01
1.000000e-01	6.935302e-02	3.926747e-01	2.330600e-03	6.512513e-01	-8.154595e-01
1.500000e-01	2.705461e-02	3.725854e-01	-3.267093e-02	5.845364e-01	-8.341535e-01
2.000000e-01	-1.660772e-02	3.518732e-01	-6.897526e-02	5.150409e-01	-8.523260e-01
2.500000e-01	-9.083327e-02	3.166475e-01	-1.313065e-01	4.000090e-01	-8.814163e-01
3.000000e-01	-1.670499e-01	2.804651e-01	-2.051898e-01	2.878617e-01	-9.152811e-01
3.500000e-01	-2.725574e-01	2.302301e-01	-3.025703e-01	1.390035e-01	-9.571972e-01
4.000000e-01	-3.772373e-01	1.805952e-01	-4.244368e-01	-1.414844e-02	-9.930016e-01
4.500000e-01	-5.022745e-01	1.231967e-01	-5.385883e-01	-2.059213e-01	-1.026872e+00
5.000000e-01	-6.176914e-01	8.106696e-02	-6.207310e-01	-3.877340e-01	-1.047983e+00
5.500000e-01	-7.350623e-01	8.193458e-02	-7.304430e-01	-5.385234e-01	-1.053731e+00
6.000000e-01	-8.281323e-01	1.255905e-01	-8.232776e-01	-5.667479e-01	-1.148524e+00
6.500000e-01	-8.980728e-01	1.813224e-01	-9.251791e-01	-5.733497e-01	-1.244051e+00
7.000000e-01	-9.280034e-01	2.295676e-01	-9.646740e-01	-5.533622e-01	-1.277544e+00
7.500000e-01	-9.121935e-01	2.686352e-01	-9.566744e-01	-4.986203e-01	-1.275347e+00
8.000000e-01	-8.494211e-01	2.918189e-01	-9.079287e-01	-4.188278e-01	-1.236145e+00
8.500000e-01	-7.342260e-01	2.985329e-01	-8.133658e-01	-3.001238e-01	-1.123788e+00
9.000000e-01	-5.840727e-01	2.887638e-01	-6.860192e-01	-1.716313e-01	-9.644051e-01
9.500000e-01	-4.004175e-01	2.629377e-01	-4.827887e-01	-2.820276e-02	-7.741774e-01
1.000000e+00	-2.143777e-01	2.270032e-01	-2.617892e-01	1.226265e-01	-5.551684e-01
1.050000e+00	-3.470790e-02	1.836706e-01	-4.136724e-02	2.585697e-01	-3.228109e-01
1.100000e+00	1.078634e-01	1.416050e-01	1.151054e-01	3.574389e-01	-1.198104e-01
1.150000e+00	2.049064e-01	1.044843e-01	1.896064e-01	4.008850e-01	-6.808210e-03
1.200000e+00	2.427262e-01	7.783085e-02	2.245052e-01	3.885538e-01	5.357272e-02
1.250000e+00	2.231980e-01	6.208576e-02	2.175179e-01	3.477820e-01	6.225113e-02
1.300000e+00	1.575208e-01	5.534741e-02	1.627268e-01	2.999602e-01	9.849120e-03
1.350000e+00	6.039716e-02	5.520076e-02	7.228566e-02	2.657798e-01	-6.388122e-02
1.400000e+00	-4.079847e-02	5.661050e-02	-3.098337e-02	1.958460e-01	-1.736724e-01
1.450000e+00	-1.280431e-01	5.475376e-02	-1.232323e-01	1.027430e-01	-2.520584e-01
1.500000e+00	-1.786228e-01	4.466624e-02	-1.783731e-01	1.073564e-02	-2.690473e-01
1.550000e+00	-1.857220e-01	2.740338e-02	-1.886204e-01	-5.575003e-02	-2.422420e-01
1.600000e+00	-1.482196e-01	2.872470e-02	-1.473625e-01	-6.393001e-02	-2.133407e-01
1.650000e+00	-7.628578e-02	6.034514e-02	-6.417553e-02	1.980047e-02	-1.785923e-01
1.700000e+00	1.120689e-02	9.270383e-02	1.737575e-02	1.464549e-01	-1.353896e-01
1.750000e+00	9.735801e-02	1.161481e-01	1.030018e-01	2.555247e-01	-7.383718e-02
1.800000e+00	1.616844e-01	1.216354e-01	1.627470e-01	3.138436e-01	-6.646831e-03
1.850000e+00	1.974136e-01	1.087122e-01	1.909473e-01	3.342975e-01	5.584966e-02
1.900000e+00	1.992118e-01	7.881467e-02	2.067508e-01	2.998499e-01	1.032735e-01
1.950000e+00	1.761890e-01	3.902357e-02	1.828845e-01	2.431540e-01	1.221929e-01
2.000000e+00	1.370027e-01	9.337034e-03	1.373226e-01	2.201980e-01	1.114730e-01
2.050000e+00	9.572755e-02	3.994605e-02	1.014934e-01	2.076936e-01	3.589426e-02
2.100000e+00	6.103690e-02	5.852665e-02	6.488214e-02	1.741670e-01	-1.763966e-02
2.150000e+00	3.857573e-02	5.861488e-02	4.076342e-02	1.293909e-01	-3.888496e-02
2.200000e+00	2.764327e-02	4.465068e-02	2.813670e-02	8.892422e-02	-2.914849e-02
2.250000e+00	1.861352e-02	2.388701e-02	2.117466e-02	5.709184e-02	-1.481856e-02
2.300000e+00	1.098557e-02	7.288035e-03	1.153230e-02	2.672127e-02	-6.577504e-03
2.350000e+00	3.125554e-03	5.492153e-03	2.736701e-03	1.741643e-02	-1.510414e-02
2.400000e+00	-5.174534e-03	5.553274e-03	-5.859231e-03	1.054681e-02	-2.513473e-02
2.450000e+00	-9.443612e-03	4.060674e-03	-9.976015e-03	4.753045e-03	-3.105671e-02
2.500000e+00	-1.232511e-02	4.125722e-03	-1.130960e-02	-2.662795e-03	-3.263352e-02
2.550000e+00	-1.359836e-02	7.520785e-03	-1.094359e-02	-3.153562e-03	-3.490770e-02
2.600000e+00	-1.314321e-02	1.050286e-02	-1.614739e-02	7.800655e-04	-3.437317e-02
2.650000e+00	-1.315910e-02	1.173954e-02	-1.945851e-02	3.384591e-03	-3.407106e-02
2.700000e+00	-1.220822e-02	1.150220e-02	-1.937215e-02	5.244686e-03	-3.194500e-02
2.750000e+00	-1.056046e-02	9.963851e-03	-1.710559e-02	6.059373e-03	-2.854222e-02
2.800000e+00	-8.547075e-03	7.725891e-03	-1.326077e-02	6.107019e-03	-2.511169e-02
2.850000e+00	-7.511611e-03	5.645675e-03	-9.726414e-03	4.905302e-03	-2.323759e-02
2.900000e+00	-5.763360e-03	4.126328e-03	-7.054438e-03	4.409330e-03	-2.197022e-02
2.950000e+00	-3.330089e-03	3.466040e-03	-4.098135e-03	5.431922e-03	-1.899972e-02
3.000000e+00	-3.397941e-04	3.575183e-03	-1.066319e-03	7.982219e-03	-1.397465e-02
3.050000e+00	3.165148e-03	3.919845e-03	2.748411e-03	1.169658e-02	-7.254921e-03
3.100000e+00	6.619177e-03	4.887651e-03	6.450970e-03	1.588095e-02	-3.541124e-03
3.150000e+00	9.254769e-03	5.980498e-03	9.248908e-03	1.889103e-02	-3.129929e-03
