# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.345266e-02	2.286652e-01	0.000000e+00	5.819591e-01	-5.067444e-01
5.000000e-02	-1.900059e-02	3.293290e-01	-1.177166e-01	6.191858e-01	-5.247662e-01
1.000000e-01	-2.216576e-02	3.353198e-01	-1.211057e-01	6.184999e-01	-5.339644e-01
1.500000e-01	-3.181030e-02	3.525430e-01	-1.325440e-01	6.143498e-01	-5.603554e-01
2.000000e-01	-4.167375e-02	3.691111e-01	-1.404310e-01	6.072660e-01	-5.890610e-01
2.500000e-01	-5.863185e-02	3.940222e-01	-1.481173e-01	6.076367e-01	-6.370836e-01
3.000000e-01	-7.644138e-02	4.161751e-01	-1.548358e-01	6.152053e-01	-6.809527e-01
3.500000e-01	-1.026460e-01	4.403499e-01	-1.637166e-01	6.115485e-01	-7.324277e-01
4.000000e-01	-1.305891e-01	4.573705e-01	-1.732675e-01	6.031707e-01	-7.897408e-01
4.500000e-01	-1.683144e-01	4.660482e-01	-1.879107e-01	5.701005e-01	-8.469847e-01
5.000000e-01	-2.075449e-01	4.621152e-01	-2.032506e-01	5.112475e-01	-8.854289e-01
5.500000e-01	-2.551183e-01	4.395479e-01	-2.195602e-01	4.094526e-01	-9.083913e-01
6.000000e-01	-3.009013e-01	4.020783e-01	-2.316369e-01	3.059403e-01	-9.199051e-01
6.500000e-01	-3.479401e-01	3.439434e-01	-2.498761e-01	1.688014e-01	-9.860807e-01
7.000000e-01	-3.861292e-01	2.784098e-01	-2.717299e-01	2.611430e-02	-1.015413e+00
7.500000e-01	-4.137477e-01	2.085813e-01	-3.160015e-01	0.000000e+00	-9.938599e-01
8.000000e-01	-4.245360e-01	1.611076e-01	-4.340912e-01	0.000000e+00	-9.327938e-01
8.500000e-01	-4.142423e-01	1.532280e-01	-4.596006e-01	0.000000e+00	-8.526808e-01
9.000000e-01	-3.845358e-01	1.760072e-01	-3.435450e-01	0.000000e+00	-7.358216e-01
9.500000e-01	-3.332081e-01	1.989310e-01	-2.257290e-01	0.000000e+00	-7.005486e-01
1.000000e+00	-2.709282e-01	2.044001e-01	-1.605396e-01	0.000000e+00	-6.470653e-01
