# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-5.100139e-02	1.452878e-01	0.000000e+00	2.139837e-01	-6.797737e-01
5.000000e-02	-1.088189e-01	1.966063e-01	-5.746156e-02	3.023338e-01	-6.926198e-01
1.000000e-01	-1.157940e-01	1.951183e-01	-6.342998e-02	2.820532e-01	-7.022747e-01
1.500000e-01	-1.360056e-01	1.924215e-01	-8.024918e-02	2.211918e-01	-7.293301e-01
2.000000e-01	-1.560900e-01	1.923004e-01	-1.033922e-01	1.598448e-01	-7.544961e-01
2.500000e-01	-1.873162e-01	1.977530e-01	-1.362108e-01	1.461248e-01	-7.905560e-01
3.000000e-01	-2.177635e-01	2.091469e-01	-2.001176e-01	1.314798e-01	-8.211632e-01
3.500000e-01	-2.562063e-01	2.318457e-01	-2.753103e-01	1.137664e-01	-8.526781e-01
4.000000e-01	-2.923027e-01	2.589121e-01	-2.838283e-01	9.523694e-02	-8.762042e-01
4.500000e-01	-3.325123e-01	2.939348e-01	-2.841868e-01	7.433551e-02	-9.048234e-01
5.000000e-01	-3.674976e-01	3.264204e-01	-2.756249e-01	5.507494e-02	-9.332260e-01
5.500000e-01	-4.010710e-01	3.575416e-01	-2.813670e-01	4.300868e-02	-1.019769e+00
6.000000e-01	-4.249810e-01	3.788050e-01	-2.886520e-01	3.230426e-02	-1.107679e+00
6.500000e-01	-4.399104e-01	3.887839e-01	-2.840595e-01	9.532765e-03	-1.157981e+00
7.000000e-01	-4.404240e-01	3.840412e-01	-2.772574e-01	-1.242447e-02	-1.180765e+00
7.500000e-01	-4.248571e-01	3.615751e-01	-2.619499e-01	-1.693905e-02	-1.144361e+00
8.000000e-01	-3.931261e-01	3.246648e-01	-2.369135e-01	-1.655972e-02	-1.048591e+00
8.500000e-01	-3.435309e-01	2.711283e-01	-2.301087e-01	-9.349481e-03	-9.279462e-01
9.000000e-01	-2.827735e-01	2.108563e-01	-2.094425e-01	4.551482e-04	-7.659610e-01
9.500000e-01	-2.115481e-01	1.455533e-01	-1.799344e-01	4.460737e-03	-5.608085e-01
1.000000e+00	-1.416318e-01	9.238827e-02	-1.306082e-01	2.562298e-02	-4.048050e-01
1.050000e+00	-7.637445e-02	6.839903e-02	-6.330698e-02	8.465762e-02	-2.425996e-01
1.100000e+00	-2.716629e-02	7.931357e-02	-1.910054e-02	1.356110e-01	-2.189821e-01
1.150000e+00	2.878335e-03	9.384574e-02	7.022162e-03	2.086651e-01	-2.049158e-01
1.200000e+00	9.698843e-03	9.510617e-02	1.892055e-02	2.196921e-01	-1.996424e-01
1.250000e+00	-5.426742e-03	8.263426e-02	2.496955e-03	1.745197e-01	-1.980212e-01
1.300000e+00	-3.602981e-02	6.481289e-02	-2.977963e-02	9.867697e-02	-2.003475e-01
1.350000e+00	-7.536823e-02	5.675307e-02	-8.034036e-02	8.643517e-02	-2.267492e-01
1.400000e+00	-1.108082e-01	6.587358e-02	-1.145638e-01	6.838981e-02	-2.601307e-01
1.450000e+00	-1.346050e-01	7.730993e-02	-1.230376e-01	6.648366e-02	-3.126124e-01
1.500000e+00	-1.378969e-01	7.818881e-02	-1.244689e-01	6.793410e-02	-3.044060e-01
1.550000e+00	-1.186623e-01	6.713920e-02	-1.230177e-01	6.556601e-02	-2.545809e-01
1.600000e+00	-7.930690e-02	5.682919e-02	-8.412256e-02	6.821355e-02	-2.013234e-01
1.650000e+00	-2.566737e-02	7.056319e-02	-3.326758e-03	9.533199e-02	-1.959048e-01
1.700000e+00	3.067771e-02	1.020713e-01	4.849080e-02	2.222559e-01	-1.766211e-01
1.750000e+00	8.172188e-02	1.325140e-01	7.673436e-02	3.234022e-01	-1.500447e-01
1.800000e+00	1.166816e-01	1.482748e-01	9.966337e-02	3.796007e-01	-1.135241e-01
1.850000e+00	1.336568e-01	1.465897e-01	1.118676e-01	3.930966e-01	-8.533131e-02
1.900000e+00	1.306167e-01	1.266262e-01	1.025599e-01	3.474162e-01	-5.375362e-02
1.950000e+00	1.137947e-01	9.458621e-02	9.162713e-02	2.757169e-01	-2.318257e-02
2.000000e+00	8.842193e-02	5.767890e-02	7.806499e-02	1.931741e-01	-2.649310e-03
2.050000e+00	6.279662e-02	2.633312e-02	6.367312e-02	1.366337e-01	-3.225392e-03
2.100000e+00	4.177268e-02	2.318021e-02	3.960742e-02	1.127506e-01	-1.294225e-02
2.150000e+00	2.871263e-02	3.468297e-02	2.960968e-02	9.267188e-02	-4.773399e-02
2.200000e+00	2.316261e-02	3.942849e-02	2.367024e-02	1.013751e-01	-5.553869e-02
2.250000e+00	2.209246e-02	3.957090e-02	2.284146e-02	1.041267e-01	-5.630092e-02
2.300000e+00	2.079532e-02	3.637031e-02	2.402362e-02	1.019722e-01	-5.349280e-02
2.350000e+00	1.683348e-02	3.207779e-02	2.350074e-02	9.109794e-02	-4.739356e-02
2.400000e+00	9.838293e-03	2.789374e-02	1.783709e-02	7.191532e-02	-4.299430e-02
2.450000e+00	3.105207e-03	2.355412e-02	1.024036e-02	4.957758e-02	-4.089708e-02
2.500000e+00	-3.484611e-03	1.870856e-02	2.374007e-03	2.783126e-02	-4.446684e-02
2.550000e+00	-8.879191e-03	1.362242e-02	-4.839481e-03	1.551169e-02	-4.169752e-02
2.600000e+00	-1.227772e-02	8.762079e-03	-1.094285e-02	6.179490e-03	-3.369169e-02
2.650000e+00	-1.482503e-02	5.943887e-03	-1.448578e-02	-9.931106e-04	-3.065973e-02
2.700000e+00	-1.591817e-02	6.067976e-03	-1.536287e-02	-2.601419e-03	-3.855399e-02
2.750000e+00	-1.559514e-02	8.161315e-03	-1.403315e-02	2.086775e-03	-4.375697e-02
2.800000e+00	-1.411793e-02	1.011876e-02	-1.259662e-02	5.518014e-03	-4.478833e-02
2.850000e+00	-1.284825e-02	1.134845e-02	-1.116693e-02	5.660077e-03	-4.375267e-02
2.900000e+00	-1.095369e-02	1.163277e-02	-9.821336e-03	7.473803e-03	-3.975118e-02
2.950000e+00	-8.763520e-03	1.104494e-02	-9.148508e-03	9.178853e-03	-3.408759e-02
3.000000e+00	-6.533336e-03	9.844021e-03	-6.765474e-03	9.637550e-03	-2.684338e-02
