# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-6.009717e-02	2.805054e-01	0.000000e+00	7.864491e-01	-9.475375e-01
5.000000e-02	-1.348015e-01	3.732371e-01	-1.508063e-01	7.675657e-01	-9.529133e-01
1.000000e-01	-1.412055e-01	3.668903e-01	-1.522924e-01	7.482115e-01	-9.581835e-01
1.500000e-01	-1.609084e-01	3.477868e-01	-1.603580e-01	6.972615e-01	-9.732506e-01
2.000000e-01	-1.812961e-01	3.286419e-01	-1.664893e-01	6.437073e-01	-9.872972e-01
2.500000e-01	-2.161119e-01	2.977068e-01	-1.754882e-01	5.479782e-01	-1.007962e+00
3.000000e-01	-2.518373e-01	2.685287e-01	-1.898861e-01	4.446643e-01	-1.025465e+00
3.500000e-01	-3.011477e-01	2.342116e-01	-2.086402e-01	2.936565e-01	-1.043773e+00
4.000000e-01	-3.496588e-01	2.099100e-01	-2.938794e-01	1.354564e-01	-1.055185e+00
4.500000e-01	-4.065686e-01	1.987266e-01	-4.554402e-01	-6.517503e-02	-1.058803e+00
5.000000e-01	-4.578137e-01	2.086446e-01	-4.862525e-01	-1.162800e-01	-1.050440e+00
5.500000e-01	-5.073308e-01	2.373959e-01	-4.953249e-01	-1.317997e-01	-1.024137e+00
6.000000e-01	-5.435835e-01	2.723393e-01	-4.783327e-01	-1.467117e-01	-1.068788e+00
6.500000e-01	-5.652489e-01	3.075501e-01	-4.556268e-01	-1.579987e-01	-1.141058e+00
7.000000e-01	-5.662292e-01	3.326315e-01	-4.256513e-01	-1.602418e-01	-1.205162e+00
7.500000e-01	-5.422154e-01	3.442460e-01	-3.759438e-01	-1.587683e-01	-1.205171e+00
8.000000e-01	-4.953955e-01	3.392940e-01	-3.236847e-01	-1.467796e-01	-1.194883e+00
8.500000e-01	-4.221751e-01	3.160650e-01	-2.545764e-01	-1.038832e-01	-1.118101e+00
9.000000e-01	-3.339792e-01	2.789927e-01	-1.927734e-01	-2.164967e-02	-9.797746e-01
9.500000e-01	-2.311067e-01	2.295545e-01	-1.340254e-01	6.664360e-02	-7.841287e-01
1.000000e+00	-1.309758e-01	1.787052e-01	-9.748999e-02	1.390064e-01	-5.798253e-01
1.050000e+00	-3.761280e-02	1.335891e-01	-4.723493e-02	1.962613e-01	-3.776481e-01
1.100000e+00	3.303187e-02	1.084879e-01	-5.384609e-03	2.329540e-01	-1.997615e-01
1.150000e+00	7.724472e-02	1.050084e-01	6.177745e-02	2.612845e-01	-1.047260e-01
1.200000e+00	8.902681e-02	1.101529e-01	1.026906e-01	2.694786e-01	-1.172604e-01
1.250000e+00	7.012973e-02	1.110570e-01	1.016627e-01	2.446007e-01	-1.413174e-01
1.300000e+00	2.808818e-02	1.032655e-01	5.572176e-02	2.048788e-01	-1.708091e-01
1.350000e+00	-2.864433e-02	8.777351e-02	-2.185993e-02	1.473596e-01	-1.997021e-01
1.400000e+00	-8.427992e-02	6.939499e-02	-9.386764e-02	8.602626e-02	-2.205277e-01
1.450000e+00	-1.288620e-01	5.095216e-02	-1.398474e-01	2.782951e-02	-2.292553e-01
1.500000e+00	-1.500295e-01	3.520875e-02	-1.468655e-01	-1.428334e-02	-2.304735e-01
1.550000e+00	-1.443503e-01	2.557552e-02	-1.444152e-01	-3.748626e-02	-2.092514e-01
1.600000e+00	-1.121721e-01	3.343048e-02	-1.192139e-01	-5.609260e-03	-1.656469e-01
1.650000e+00	-5.983686e-02	5.472570e-02	-7.693660e-02	7.255345e-02	-1.407955e-01
1.700000e+00	9.308549e-04	7.636160e-02	-3.432860e-02	1.486479e-01	-9.991174e-02
1.750000e+00	5.984725e-02	9.261739e-02	5.449771e-03	2.363475e-01	-4.459280e-02
1.800000e+00	1.046743e-01	9.720128e-02	4.406081e-02	2.926208e-01	9.334617e-03
1.850000e+00	1.311052e-01	9.031368e-02	8.886559e-02	3.054902e-01	2.860982e-02
1.900000e+00	1.360465e-01	7.314417e-02	1.218508e-01	2.697583e-01	2.872439e-02
1.950000e+00	1.248847e-01	5.335931e-02	1.366606e-01	2.149062e-01	2.017336e-02
2.000000e+00	1.027817e-01	4.081816e-02	1.189044e-01	1.615264e-01	1.092280e-02
2.050000e+00	7.899205e-02	4.228985e-02	6.223311e-02	1.493911e-01	5.556880e-03
2.100000e+00	5.812186e-02	4.538210e-02	4.410778e-02	1.330151e-01	-9.893270e-03
