# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-3.422188e-02	1.946648e-01	0.000000e+00	4.685540e-01	-7.643391e-01
5.000000e-02	-7.330744e-02	2.620387e-01	-1.715518e-01	4.824710e-01	-7.701513e-01
1.000000e-01	-8.134885e-02	2.551275e-01	-1.771372e-01	4.639074e-01	-7.759159e-01
1.500000e-01	-1.059239e-01	2.345932e-01	-1.852472e-01	4.069400e-01	-7.928820e-01
2.000000e-01	-1.312434e-01	2.145379e-01	-1.952808e-01	3.478899e-01	-8.093013e-01
2.500000e-01	-1.741846e-01	1.832427e-01	-2.001456e-01	2.465311e-01	-8.349571e-01
3.000000e-01	-2.181178e-01	1.566556e-01	-2.199088e-01	1.486141e-01	-8.584968e-01
3.500000e-01	-2.786754e-01	1.341123e-01	-2.661203e-01	8.738594e-03	-8.863598e-01
4.000000e-01	-3.383010e-01	1.363120e-01	-3.388704e-01	-8.341465e-02	-9.086951e-01
4.500000e-01	-4.087917e-01	1.703310e-01	-4.480283e-01	-8.428932e-02	-9.266551e-01
5.000000e-01	-4.726949e-01	2.209971e-01	-5.321657e-01	-8.544085e-02	-9.338217e-01
5.500000e-01	-5.358505e-01	2.842177e-01	-5.947872e-01	-8.833488e-02	-1.034064e+00
6.000000e-01	-5.832143e-01	3.419500e-01	-6.199572e-01	-9.176713e-02	-1.131903e+00
6.500000e-01	-6.143824e-01	3.937293e-01	-6.202648e-01	-9.472182e-02	-1.234242e+00
7.000000e-01	-6.203541e-01	4.282140e-01	-5.974215e-01	-5.449402e-02	-1.299092e+00
7.500000e-01	-5.970370e-01	4.424667e-01	-5.442731e-01	-1.401240e-02	-1.296223e+00
8.000000e-01	-5.453729e-01	4.334901e-01	-4.681267e-01	2.001706e-02	-1.222005e+00
8.500000e-01	-4.623021e-01	3.979460e-01	-3.621190e-01	4.585391e-02	-1.076544e+00
9.000000e-01	-3.603504e-01	3.426652e-01	-2.431497e-01	6.755746e-02	-9.387485e-01
9.500000e-01	-2.414382e-01	2.681080e-01	-1.092702e-01	8.336680e-02	-7.404367e-01
1.000000e+00	-1.259050e-01	1.915108e-01	-2.838848e-02	1.124846e-01	-5.164018e-01
1.050000e+00	-2.028095e-02	1.285595e-01	-2.834592e-02	2.336804e-01	-2.795980e-01
1.100000e+00	5.684408e-02	1.169942e-01	1.739096e-02	3.163237e-01	-1.303783e-01
1.150000e+00	9.995167e-02	1.496401e-01	1.493981e-01	3.524229e-01	-1.607496e-01
1.200000e+00	1.030335e-01	1.836952e-01	1.975313e-01	3.404977e-01	-2.090070e-01
1.250000e+00	6.834251e-02	2.018650e-01	1.891690e-01	2.853453e-01	-2.618014e-01
1.300000e+00	6.732252e-03	1.999005e-01	1.296451e-01	2.120601e-01	-3.181279e-01
1.350000e+00	-7.061848e-02	1.805899e-01	4.236563e-02	1.223639e-01	-3.726187e-01
1.400000e+00	-1.432858e-01	1.511530e-01	-6.090640e-02	4.286017e-02	-4.052766e-01
1.450000e+00	-1.985583e-01	1.169750e-01	-1.449684e-01	-2.598023e-02	-4.060424e-01
1.500000e+00	-2.215325e-01	8.501831e-02	-1.856919e-01	-5.873783e-02	-3.796541e-01
1.550000e+00	-2.084643e-01	5.865437e-02	-1.783146e-01	-4.347955e-02	-3.338286e-01
1.600000e+00	-1.611881e-01	4.779591e-02	-1.529584e-01	3.601309e-03	-2.653763e-01
1.650000e+00	-8.844461e-02	5.920832e-02	-1.123640e-01	6.704016e-02	-1.827502e-01
1.700000e+00	-6.105779e-03	7.888513e-02	-4.476550e-02	1.387821e-01	-9.874576e-02
1.750000e+00	7.277631e-02	9.472798e-02	2.325801e-02	2.356112e-01	-4.447046e-02
1.800000e+00	1.324849e-01	9.759890e-02	7.876676e-02	2.893875e-01	1.062709e-02
1.850000e+00	1.681484e-01	8.626290e-02	1.194435e-01	3.065364e-01	5.827587e-02
1.900000e+00	1.758539e-01	6.127797e-02	1.413559e-01	2.784318e-01	9.293876e-02
