# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	4.653896e-02	1.910208e-01	0.000000e+00	6.820334e-01	-4.517268e-01
5.000000e-02	8.161186e-02	2.604267e-01	1.747802e-01	6.753046e-01	-4.539264e-01
1.000000e-01	7.294131e-02	2.564581e-01	1.634663e-01	6.652291e-01	-4.560911e-01
1.500000e-01	4.597582e-02	2.441764e-01	1.297170e-01	6.318891e-01	-4.621632e-01
2.000000e-01	1.783745e-02	2.316192e-01	9.307167e-02	5.947719e-01	-4.677874e-01
2.500000e-01	-3.112582e-02	2.100945e-01	3.104141e-02	5.240021e-01	-4.753242e-01
3.000000e-01	-8.200881e-02	1.888183e-01	-3.330838e-02	4.476406e-01	-4.811140e-01
3.500000e-01	-1.539352e-01	1.612450e-01	-1.219954e-01	3.872284e-01	-5.272315e-01
4.000000e-01	-2.260486e-01	1.394067e-01	-2.025718e-01	3.123154e-01	-6.203053e-01
4.500000e-01	-3.136370e-01	1.264910e-01	-2.953712e-01	2.014119e-01	-7.295804e-01
5.000000e-01	-3.954751e-01	1.331478e-01	-3.879528e-01	7.610491e-02	-8.259433e-01
5.500000e-01	-4.806161e-01	1.592366e-01	-4.782792e-01	-8.276886e-02	-9.204882e-01
6.000000e-01	-5.503796e-01	1.918895e-01	-5.683162e-01	-1.235235e-01	-9.897403e-01
6.500000e-01	-6.074069e-01	2.259734e-01	-6.439388e-01	-1.276371e-01	-1.034106e+00
7.000000e-01	-6.393121e-01	2.515110e-01	-6.868557e-01	-1.337697e-01	-1.059922e+00
7.500000e-01	-6.445140e-01	2.662007e-01	-7.007805e-01	-1.055983e-01	-1.079802e+00
8.000000e-01	-6.206527e-01	2.666855e-01	-6.798503e-01	-7.969856e-02	-1.086525e+00
8.500000e-01	-5.655974e-01	2.513228e-01	-6.216017e-01	-5.996073e-02	-1.046403e+00
9.000000e-01	-4.886146e-01	2.229323e-01	-5.406374e-01	-3.167554e-02	-9.458972e-01
9.500000e-01	-3.904061e-01	1.813722e-01	-4.392057e-01	-5.759072e-03	-7.874024e-01
1.000000e+00	-2.887041e-01	1.345887e-01	-3.251476e-01	7.441932e-03	-6.525897e-01
1.050000e+00	-1.870318e-01	8.610155e-02	-2.056408e-01	1.016352e-02	-4.961836e-01
1.100000e+00	-1.035924e-01	5.358277e-02	-1.034508e-01	1.828300e-02	-3.349292e-01
1.150000e+00	-4.161736e-02	5.674692e-02	-5.177975e-02	1.377164e-01	-1.844758e-01
1.200000e+00	-9.700971e-03	7.778715e-02	-2.867816e-02	2.062366e-01	-1.516970e-01
1.250000e+00	-6.239593e-03	9.316681e-02	-2.001798e-02	2.240299e-01	-1.791443e-01
1.300000e+00	-2.505982e-02	9.623530e-02	-2.953866e-02	2.038043e-01	-2.108463e-01
1.350000e+00	-5.855846e-02	8.745503e-02	-5.207473e-02	1.740641e-01	-2.361392e-01
1.400000e+00	-9.066424e-02	7.132464e-02	-7.658408e-02	1.168801e-01	-2.522924e-01
1.450000e+00	-1.125898e-01	5.343125e-02	-9.755596e-02	5.054103e-02	-2.517309e-01
1.500000e+00	-1.115338e-01	4.229879e-02	-1.060226e-01	-3.033010e-03	-2.242105e-01
1.550000e+00	-8.517961e-02	4.031362e-02	-8.421681e-02	7.173004e-04	-1.736440e-01
1.600000e+00	-3.534768e-02	4.131581e-02	-3.081731e-02	4.487255e-02	-1.411030e-01
1.650000e+00	3.096152e-02	4.030780e-02	3.691127e-02	1.019127e-01	-7.833717e-02
1.700000e+00	9.853497e-02	3.733039e-02	1.067538e-01	1.611946e-01	1.713210e-03
1.750000e+00	1.576451e-01	3.572905e-02	1.653816e-01	2.364546e-01	7.591253e-02
1.800000e+00	1.931797e-01	3.547082e-02	1.981744e-01	2.785140e-01	1.108230e-01
1.850000e+00	2.034478e-01	3.451793e-02	1.977673e-01	2.829115e-01	1.258786e-01
