# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-9.602262e-03	1.063732e-01	0.000000e+00	2.827851e-01	-3.552635e-01
5.000000e-02	-2.899071e-02	1.523469e-01	-3.755486e-02	2.802622e-01	-3.589218e-01
1.000000e-01	-3.741997e-02	1.500055e-01	-5.475012e-02	2.746062e-01	-3.602032e-01
1.500000e-01	-6.176156e-02	1.457669e-01	-1.041827e-01	2.622966e-01	-3.631683e-01
2.000000e-01	-8.627737e-02	1.454311e-01	-1.310465e-01	2.483244e-01	-3.656877e-01
2.500000e-01	-1.241421e-01	1.543403e-01	-1.700870e-01	2.271180e-01	-4.086889e-01
3.000000e-01	-1.614505e-01	1.719536e-01	-1.874958e-01	2.040694e-01	-4.917608e-01
3.500000e-01	-2.083104e-01	2.061305e-01	-1.831147e-01	1.768011e-01	-6.118720e-01
4.000000e-01	-2.526793e-01	2.446438e-01	-1.779301e-01	1.486973e-01	-7.211771e-01
4.500000e-01	-3.024381e-01	2.934591e-01	-1.725540e-01	1.202511e-01	-8.471773e-01
5.000000e-01	-3.465415e-01	3.378875e-01	-1.786106e-01	9.288685e-02	-9.769867e-01
5.500000e-01	-3.904814e-01	3.810982e-01	-1.827541e-01	6.465606e-02	-1.093910e+00
6.000000e-01	-4.239225e-01	4.118371e-01	-1.862961e-01	3.770111e-02	-1.168221e+00
6.500000e-01	-4.491567e-01	4.293038e-01	-1.939352e-01	8.133884e-03	-1.203364e+00
7.000000e-01	-4.583358e-01	4.286298e-01	-2.004157e-01	-1.869806e-02	-1.201721e+00
7.500000e-01	-4.509250e-01	4.064108e-01	-2.061250e-01	-3.681829e-02	-1.160386e+00
8.000000e-01	-4.247110e-01	3.660388e-01	-2.042773e-01	-4.679451e-02	-1.077385e+00
8.500000e-01	-3.786552e-01	3.046176e-01	-2.029604e-01	-5.287769e-02	-9.351604e-01
9.000000e-01	-3.183482e-01	2.334456e-01	-1.911767e-01	-4.338443e-02	-7.510980e-01
9.500000e-01	-2.450878e-01	1.531999e-01	-1.762451e-01	-3.777560e-02	-5.711153e-01
1.000000e+00	-1.708726e-01	8.224257e-02	-1.600575e-01	-2.712262e-02	-4.029977e-01
1.050000e+00	-9.983424e-02	4.661237e-02	-9.628328e-02	1.934754e-02	-2.380834e-01
1.100000e+00	-4.455081e-02	7.185441e-02	-4.015282e-02	1.341649e-01	-1.903085e-01
1.150000e+00	-8.967953e-03	9.667079e-02	-2.631124e-02	1.989495e-01	-1.709458e-01
1.200000e+00	1.777303e-03	1.005804e-01	-2.505150e-02	2.060662e-01	-1.693032e-01
1.250000e+00	-1.136012e-02	8.406038e-02	-3.053824e-02	1.633879e-01	-1.695435e-01
1.300000e+00	-4.187974e-02	5.502255e-02	-4.647804e-02	8.789506e-02	-1.689801e-01
1.350000e+00	-8.251931e-02	3.251965e-02	-8.086769e-02	-6.616588e-03	-1.703366e-01
1.400000e+00	-1.195744e-01	4.671104e-02	-1.143815e-01	-1.322152e-02	-2.640836e-01
1.450000e+00	-1.443690e-01	6.852353e-02	-1.278146e-01	-8.985718e-03	-3.155799e-01
1.500000e+00	-1.471535e-01	7.729497e-02	-1.442039e-01	1.009196e-02	-3.042201e-01
1.550000e+00	-1.255557e-01	7.424255e-02	-1.537710e-01	4.012156e-02	-2.379343e-01
1.600000e+00	-8.244390e-02	7.339101e-02	-9.928442e-02	7.778666e-02	-2.020850e-01
1.650000e+00	-2.429361e-02	9.255926e-02	1.875933e-02	1.230688e-01	-1.917465e-01
1.700000e+00	3.577512e-02	1.242992e-01	8.156054e-02	2.191015e-01	-1.733859e-01
1.750000e+00	8.893410e-02	1.534190e-01	1.042437e-01	3.211887e-01	-1.446089e-01
1.800000e+00	1.234036e-01	1.661464e-01	1.143496e-01	3.707614e-01	-1.201149e-01
