# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	2.967086e-02	1.704682e-01	0.000000e+00	5.937410e-01	-4.254281e-01
5.000000e-02	5.887257e-02	2.339690e-01	1.131558e-02	5.791586e-01	-4.263452e-01
1.000000e-01	5.451014e-02	2.281484e-01	7.754887e-03	5.641670e-01	-4.272023e-01
1.500000e-01	4.097793e-02	2.099796e-01	1.645678e-04	5.167116e-01	-4.290998e-01
2.000000e-01	2.654704e-02	1.911911e-01	-6.864269e-03	4.661080e-01	-4.304351e-01
2.500000e-01	1.642054e-03	1.586077e-01	-1.959852e-02	3.762435e-01	-4.305384e-01
3.000000e-01	-2.491357e-02	1.259200e-01	-3.267581e-02	2.805631e-01	-4.290558e-01
3.500000e-01	-6.235513e-02	8.365875e-02	-5.574706e-02	1.554274e-01	-4.231916e-01
4.000000e-01	-1.010175e-01	5.795590e-02	-9.827811e-02	4.985996e-02	-4.330265e-01
4.500000e-01	-1.488746e-01	7.723023e-02	-1.255335e-01	-1.516269e-02	-4.374248e-01
5.000000e-01	-1.954724e-01	1.238107e-01	-1.339840e-01	-1.064077e-03	-5.342069e-01
5.500000e-01	-2.467420e-01	1.791549e-01	-1.498293e-01	6.778228e-03	-6.444938e-01
6.000000e-01	-2.920392e-01	2.258705e-01	-1.785006e-01	5.514005e-03	-7.317511e-01
6.500000e-01	-3.347645e-01	2.640850e-01	-2.139427e-01	-7.020313e-03	-8.106365e-01
7.000000e-01	-3.657637e-01	2.855107e-01	-2.470061e-01	-1.573269e-02	-8.979854e-01
7.500000e-01	-3.861708e-01	2.891218e-01	-2.789179e-01	-2.796128e-02	-9.382055e-01
8.000000e-01	-3.909139e-01	2.744270e-01	-3.024186e-01	-4.453115e-02	-9.223499e-01
8.500000e-01	-3.801635e-01	2.408691e-01	-3.162879e-01	-5.782180e-02	-8.499214e-01
9.000000e-01	-3.550667e-01	1.956156e-01	-3.215162e-01	-7.488353e-02	-7.338909e-01
9.500000e-01	-3.166953e-01	1.407022e-01	-3.148878e-01	-4.611910e-02	-5.957570e-01
1.000000e+00	-2.720631e-01	8.905650e-02	-2.965161e-01	-2.724286e-02	-4.643422e-01
1.050000e+00	-2.236097e-01	5.209521e-02	-2.318416e-01	-2.001225e-02	-3.250274e-01
1.100000e+00	-1.805031e-01	5.274499e-02	-1.709505e-01	-2.558092e-02	-2.980354e-01
1.150000e+00	-1.453790e-01	7.019075e-02	-1.681662e-01	6.381263e-03	-2.683577e-01
1.200000e+00	-1.234305e-01	7.916058e-02	-1.561992e-01	6.104941e-02	-2.397894e-01
1.250000e+00	-1.147987e-01	7.678936e-02	-1.421660e-01	7.361959e-02	-2.477707e-01
1.300000e+00	-1.166821e-01	6.628392e-02	-1.198778e-01	4.419173e-02	-2.636524e-01
1.350000e+00	-1.255125e-01	5.476046e-02	-1.104629e-01	-1.218166e-02	-2.749361e-01
1.400000e+00	-1.323233e-01	5.049377e-02	-1.196298e-01	-4.088229e-02	-2.754217e-01
1.450000e+00	-1.323064e-01	5.223288e-02	-1.408011e-01	-3.341509e-02	-2.623828e-01
1.500000e+00	-1.181453e-01	5.232382e-02	-1.355816e-01	-1.426606e-02	-2.326078e-01
1.550000e+00	-8.845594e-02	4.590398e-02	-1.022598e-01	3.191047e-03	-1.857238e-01
1.600000e+00	-4.491680e-02	3.454263e-02	-4.632562e-02	2.266052e-02	-1.242963e-01
1.650000e+00	8.283280e-03	2.780713e-02	1.076137e-02	7.576321e-02	-5.374419e-02
1.700000e+00	6.097544e-02	3.580687e-02	4.822246e-02	1.478859e-01	1.252104e-02
1.750000e+00	1.072315e-01	4.905769e-02	8.950062e-02	2.032133e-01	3.108327e-02
1.800000e+00	1.370711e-01	5.658270e-02	1.342029e-01	2.425192e-01	4.448629e-02
1.850000e+00	1.498775e-01	5.715625e-02	1.631646e-01	2.475076e-01	5.388822e-02
1.900000e+00	1.436517e-01	5.174390e-02	1.691184e-01	2.208364e-01	5.284194e-02
1.950000e+00	1.251171e-01	4.590110e-02	1.352107e-01	2.098725e-01	4.715761e-02
2.000000e+00	9.905095e-02	4.367596e-02	7.945964e-02	1.929826e-01	4.236094e-02
2.050000e+00	7.413554e-02	4.487028e-02	5.488128e-02	1.722810e-01	1.269635e-02
2.100000e+00	5.441234e-02	4.366750e-02	5.394669e-02	1.447048e-01	-9.559373e-03
2.150000e+00	4.258549e-02	3.737915e-02	5.508936e-02	1.153915e-01	-1.824493e-02
2.200000e+00	3.741382e-02	2.773361e-02	4.918525e-02	8.793325e-02	-1.024296e-02
2.250000e+00	3.503812e-02	1.997091e-02	4.015715e-02	6.631036e-02	-1.897805e-03
2.300000e+00	3.269197e-02	1.431990e-02	3.032125e-02	6.159335e-02	5.730843e-03
2.350000e+00	2.812900e-02	1.108570e-02	2.803613e-02	5.267248e-02	7.510762e-04
2.400000e+00	2.059851e-02	9.177476e-03	2.178957e-02	3.955747e-02	-2.586325e-03
2.450000e+00	1.345929e-02	9.141200e-03	1.496568e-02	3.373471e-02	-7.066273e-03
2.500000e+00	5.499193e-03	8.842077e-03	5.533059e-03	2.558960e-02	-1.164034e-02
2.550000e+00	-2.314146e-03	7.872555e-03	-4.038137e-03	1.516600e-02	-1.745373e-02
2.600000e+00	-8.963802e-03	6.325866e-03	-9.687040e-03	4.602423e-03	-2.242202e-02
2.650000e+00	-1.512089e-02	4.662744e-03	-1.497397e-02	-5.212637e-03	-2.658351e-02
2.700000e+00	-1.929416e-02	3.371302e-03	-1.923077e-02	-9.579234e-03	-2.823116e-02
2.750000e+00	-2.111642e-02	3.380849e-03	-2.153050e-02	-1.192534e-02	-3.002734e-02
2.800000e+00	-2.061785e-02	4.293239e-03	-2.095198e-02	-1.095516e-02	-3.115108e-02
2.850000e+00	-1.930844e-02	5.188402e-03	-1.987112e-02	-9.058374e-03	-3.128927e-02
2.900000e+00	-1.630982e-02	5.480563e-03	-1.722749e-02	-5.624237e-03	-2.851478e-02
2.950000e+00	-1.239880e-02	5.143873e-03	-1.349143e-02	-1.598297e-03	-2.484836e-02
3.000000e+00	-8.374754e-03	4.387953e-03	-9.290804e-03	1.119002e-03	-1.956606e-02
3.050000e+00	-5.034489e-03	3.479450e-03	-5.525325e-03	2.821727e-03	-1.357762e-02
3.100000e+00	-2.514497e-03	3.326719e-03	-2.799965e-03	7.677624e-03	-8.805155e-03
3.150000e+00	-8.877561e-04	4.082400e-03	-1.417679e-03	1.100811e-02	-8.064175e-03
3.200000e+00	9.196678e-05	4.998252e-03	-1.288965e-03	1.246086e-02	-8.702267e-03
3.250000e+00	1.046843e-03	5.614529e-03	-1.080385e-03	1.741801e-02	-8.110903e-03
3.300000e+00	2.498634e-03	5.493515e-03	1.933862e-04	2.070387e-02	-5.670678e-03
3.350000e+00	4.691282e-03	4.556610e-03	3.027986e-03	2.193221e-02	-3.423214e-03
3.400000e+00	7.518279e-03	3.163536e-03	6.892286e-03	2.135759e-02	-1.938520e-04
3.450000e+00	1.097580e-02	2.656578e-03	1.087436e-02	1.991526e-02	3.971910e-03
3.500000e+00	1.389511e-02	3.935987e-03	1.452011e-02	2.275829e-02	2.717961e-03
3.550000e+00	1.539841e-02	5.539006e-03	1.716405e-02	2.623306e-02	7.050299e-04
3.600000e+00	1.484380e-02	6.566760e-03	1.740486e-02	2.729326e-02	-1.438140e-03
3.650000e+00	1.217954e-02	6.706535e-03	1.462402e-02	2.534463e-02	-3.480047e-03
3.700000e+00	7.292723e-03	6.102469e-03	9.196345e-03	2.011188e-02	-5.890474e-03
3.750000e+00	9.058758e-04	5.089818e-03	2.110178e-03	1.237956e-02	-1.018957e-02
3.800000e+00	-5.969917e-03	4.045683e-03	-5.419664e-03	5.759471e-03	-1.573158e-02
3.850000e+00	-1.234165e-02	3.278900e-03	-1.213754e-02	-1.366060e-03	-2.054727e-02
3.900000e+00	-1.741177e-02	3.290797e-03	-1.763170e-02	-8.301043e-03	-2.564940e-02
3.950000e+00	-2.061803e-02	4.265797e-03	-2.172242e-02	-1.103945e-02	-2.917930e-02
4.000000e+00	-2.179047e-02	5.760864e-03	-2.375369e-02	-9.032314e-03	-3.172413e-02
4.050000e+00	-2.120212e-02	7.140361e-03	-2.352028e-02	-6.237693e-03	-3.415098e-02
4.100000e+00	-1.917477e-02	8.029090e-03	-2.188665e-02	-3.569007e-03	-3.374272e-02
4.150000e+00	-1.608628e-02	8.214131e-03	-1.860642e-02	-1.474716e-03	-3.205824e-02
4.200000e+00	-1.225616e-02	7.721315e-03	-1.364705e-02	2.029135e-04	-2.944045e-02
4.250000e+00	-8.207897e-03	6.797117e-03	-8.034842e-03	3.197673e-03	-2.505921e-02
4.300000e+00	-3.831195e-03	5.936071e-03	-2.901652e-03	1.088893e-02	-2.232549e-02
4.350000e+00	7.947826e-04	5.561548e-03	7.617714e-04	1.833567e-02	-1.867891e-02
4.400000e+00	5.547609e-03	5.814459e-03	4.922575e-03	2.459090e-02	-1.380677e-02
4.450000e+00	1.004625e-02	6.510506e-03	8.769291e-03	2.895459e-02	-7.959149e-03
4.500000e+00	1.422035e-02	7.395670e-03	1.431733e-02	3.189577e-02	-1.219257e-03
4.550000e+00	1.779858e-02	8.316657e-03	1.981308e-02	3.415773e-02	2.418545e-03
4.600000e+00	2.054179e-02	9.208475e-03	2.351834e-02	3.551565e-02	2.494061e-03
4.650000e+00	2.219318e-02	1.007869e-02	2.728913e-02	3.726781e-02	2.070015e-03
4.700000e+00	2.286699e-02	1.092535e-02	2.817306e-02	3.673645e-02	1.615848e-03
4.750000e+00	2.259937e-02	1.164527e-02	2.654458e-02	4.259168e-02	1.400458e-03
4.800000e+00	2.146225e-02	1.201990e-02	2.241716e-02	4.692230e-02	1.832418e-03
4.850000e+00	1.954874e-02	1.185137e-02	1.709215e-02	4.763523e-02	-4.313293e-03
4.900000e+00	1.694333e-02	1.107537e-02	1.389176e-02	4.397760e-02	-1.142664e-02
4.950000e+00	1.366959e-02	9.987647e-03	1.286155e-02	3.769090e-02	-1.642684e-02
5.000000e+00	9.765156e-03	9.302574e-03	1.097788e-02	3.097016e-02	-1.909910e-02
5.050000e+00	5.341593e-03	9.700767e-03	7.055288e-03	2.419079e-02	-2.398369e-02
5.100000e+00	5.748026e-04	1.101071e-02	5.978272e-04	2.279175e-02	-2.961183e-02
5.150000e+00	-4.293079e-03	1.241955e-02	-4.270229e-03	1.941711e-02	-3.384093e-02
5.200000e+00	-8.982279e-03	1.326759e-02	-7.315613e-03	1.447639e-02	-3.943694e-02
5.250000e+00	-1.319380e-02	1.331241e-02	-1.070839e-02	8.481263e-03	-4.555034e-02
5.300000e+00	-1.676630e-02	1.278195e-02	-1.403928e-02	4.793561e-03	-4.811654e-02
5.350000e+00	-1.964011e-02	1.216308e-02	-1.767313e-02	5.080511e-03	-4.871683e-02
5.400000e+00	-2.185778e-02	1.194012e-02	-2.082977e-02	8.215532e-03	-4.893256e-02
5.450000e+00	-2.342340e-02	1.219071e-02	-2.273233e-02	1.012215e-02	-5.272188e-02
5.500000e+00	-2.448328e-02	1.268304e-02	-2.443217e-02	1.013928e-02	-5.870484e-02
5.550000e+00	-2.503103e-02	1.303233e-02	-2.512010e-02	9.934019e-03	-6.189650e-02
5.600000e+00	-2.494552e-02	1.297638e-02	-2.498372e-02	9.831995e-03	-6.161722e-02
5.650000e+00	-2.391877e-02	1.236438e-02	-2.379692e-02	7.570287e-03	-5.661603e-02
5.700000e+00	-2.181026e-02	1.126586e-02	-2.191174e-02	9.580711e-03	-4.694412e-02
5.750000e+00	-1.844957e-02	9.921511e-03	-1.929675e-02	1.424441e-02	-4.170523e-02
5.800000e+00	-1.380480e-02	8.993429e-03	-1.455290e-02	1.866034e-02	-3.582023e-02
5.850000e+00	-7.946463e-03	9.444512e-03	-8.265283e-03	2.141918e-02	-3.146986e-02
5.900000e+00	-1.280677e-03	1.152382e-02	-2.280072e-03	2.938449e-02	-2.772873e-02
5.950000e+00	5.767381e-03	1.434206e-02	4.413799e-03	4.092929e-02	-2.163380e-02
6.000000e+00	1.273804e-02	1.690964e-02	1.146746e-02	4.898397e-02	-1.769031e-02
6.050000e+00	1.921102e-02	1.846740e-02	1.795883e-02	5.812170e-02	-1.748075e-02
6.100000e+00	2.471785e-02	1.870577e-02	2.394005e-02	6.621599e-02	-1.543144e-02
6.150000e+00	2.893894e-02	1.761064e-02	2.840312e-02	6.929204e-02	-1.060743e-02
6.200000e+00	3.160801e-02	1.550357e-02	3.049259e-02	6.890380e-02	-3.293787e-03
6.250000e+00	3.250464e-02	1.307802e-02	3.194440e-02	6.873295e-02	4.135816e-05
6.300000e+00	3.147305e-02	1.139639e-02	3.107866e-02	6.438732e-02	3.709286e-03
6.350000e+00	2.847015e-02	1.137240e-02	2.685588e-02	5.789092e-02	4.959444e-03
6.400000e+00	2.362606e-02	1.272326e-02	2.120688e-02	5.563635e-02	-8.417633e-04
6.450000e+00	1.728667e-02	1.432634e-02	1.481388e-02	5.363046e-02	-9.699461e-03
6.500000e+00	1.000782e-02	1.532605e-02	7.226303e-03	5.039344e-02	-1.840770e-02
6.550000e+00	2.391794e-03	1.536452e-02	-1.038855e-03	4.310599e-02	-2.693770e-02
6.600000e+00	-4.712489e-03	1.475048e-02	-8.560950e-03	3.262747e-02	-3.417781e-02
6.650000e+00	-1.072020e-02	1.418996e-02	-1.059213e-02	2.171407e-02	-4.240394e-02
6.700000e+00	-1.530044e-02	1.446110e-02	-1.135011e-02	1.297587e-02	-5.133491e-02
6.750000e+00	-1.841837e-02	1.567859e-02	-1.405264e-02	8.435435e-03	-6.218374e-02
6.800000e+00	-2.028769e-02	1.712829e-02	-1.733978e-02	1.241548e-02	-6.716371e-02
6.850000e+00	-2.124865e-02	1.792715e-02	-2.034016e-02	1.431404e-02	-6.667150e-02
6.900000e+00	-2.161553e-02	1.756508e-02	-2.170632e-02	1.860274e-02	-6.217652e-02
6.950000e+00	-2.155052e-02	1.609082e-02	-2.230887e-02	1.922861e-02	-5.736235e-02
7.000000e+00	-2.101190e-02	1.412359e-02	-2.120515e-02	1.702566e-02	-5.323370e-02
7.050000e+00	-1.974612e-02	1.262985e-02	-1.946750e-02	1.588103e-02	-5.088109e-02
7.100000e+00	-1.754841e-02	1.233457e-02	-1.875016e-02	2.051175e-02	-5.269967e-02
7.150000e+00	-1.427594e-02	1.289381e-02	-1.628732e-02	2.303010e-02	-5.107173e-02
7.200000e+00	-9.997331e-03	1.348812e-02	-1.284675e-02	2.729416e-02	-4.645386e-02
7.250000e+00	-5.023432e-03	1.373459e-02	-8.373349e-03	3.068136e-02	-3.875818e-02
7.300000e+00	1.576527e-04	1.382427e-02	-2.823960e-03	3.721933e-02	-2.823426e-02
7.350000e+00	5.016853e-03	1.414868e-02	3.336306e-03	4.643206e-02	-2.275335e-02
7.400000e+00	9.137305e-03	1.483076e-02	7.474368e-03	5.221163e-02	-2.183414e-02
7.450000e+00	1.232203e-02	1.561278e-02	1.164988e-02	6.057067e-02	-2.005568e-02
7.500000e+00	1.461175e-02	1.615323e-02	1.350319e-02	6.424436e-02	-1.871189e-02
7.550000e+00	1.619181e-02	1.625544e-02	1.418317e-02	6.203597e-02	-2.392394e-02
7.600000e+00	1.728018e-02	1.605801e-02	1.632996e-02	5.451124e-02	-2.594912e-02
7.650000e+00	1.796340e-02	1.578204e-02	1.830889e-02	5.506643e-02	-2.494157e-02
7.700000e+00	1.812673e-02	1.561961e-02	1.889496e-02	5.662395e-02	-2.394386e-02
7.750000e+00	1.748125e-02	1.562272e-02	1.769698e-02	5.549868e-02	-2.069026e-02
7.800000e+00	1.569009e-02	1.566699e-02	1.445578e-02	5.142341e-02	-1.656831e-02
7.850000e+00	1.254656e-02	1.549982e-02	1.065229e-02	5.159253e-02	-2.312235e-02
7.900000e+00	8.131043e-03	1.486799e-02	7.020718e-03	4.649697e-02	-2.838239e-02
7.950000e+00	2.876578e-03	1.369393e-02	2.154742e-03	3.824666e-02	-3.133540e-02
8.000000e+00	-2.494896e-03	1.224092e-02	-2.458237e-03	2.917782e-02	-3.318538e-02
8.050000e+00	-7.156197e-03	1.112113e-02	-7.011613e-03	2.507928e-02	-3.328935e-02
8.100000e+00	-1.037209e-02	1.102859e-02	-1.080187e-02	2.044248e-02	-3.633251e-02
8.150000e+00	-1.181303e-02	1.192497e-02	-1.196118e-02	1.947615e-02	-4.637748e-02
8.200000e+00	-1.160716e-02	1.317257e-02	-1.263058e-02	2.374852e-02	-5.133177e-02
8.250000e+00	-1.028626e-02	1.424552e-02	-1.054421e-02	2.571140e-02	-5.191366e-02
8.300000e+00	-8.595389e-03	1.494779e-02	-8.945944e-03	3.031453e-02	-4.899816e-02
8.350000e+00	-7.233579e-03	1.521372e-02	-7.332659e-03	3.052489e-02	-4.859529e-02
8.400000e+00	-6.619206e-03	1.491293e-02	-6.792304e-03	2.845798e-02	-4.645988e-02
8.450000e+00	-6.764876e-03	1.388661e-02	-7.233971e-03	2.489504e-02	-4.130302e-02
8.500000e+00	-7.305365e-03	1.218973e-02	-7.401233e-03	2.178917e-02	-3.575268e-02
8.550000e+00	-7.658574e-03	1.033965e-02	-7.769969e-03	1.997247e-02	-3.429469e-02
8.600000e+00	-7.281534e-03	9.360127e-03	-7.480397e-03	2.048548e-02	-3.071629e-02
8.650000e+00	-5.879031e-03	9.752135e-03	-6.449876e-03	2.240704e-02	-2.778108e-02
8.700000e+00	-3.523146e-03	1.074326e-02	-4.770252e-03	2.412060e-02	-3.014914e-02
8.750000e+00	-6.236209e-04	1.139281e-02	-2.164022e-03	2.596339e-02	-2.740936e-02
8.800000e+00	2.232014e-03	1.147975e-02	1.613399e-03	2.910762e-02	-2.400379e-02
8.850000e+00	4.502670e-03	1.141268e-02	4.071038e-03	3.114244e-02	-2.867607e-02
8.900000e+00	5.891891e-03	1.168743e-02	5.112912e-03	3.088489e-02	-3.346951e-02
8.950000e+00	6.440960e-03	1.231341e-02	6.213253e-03	3.546962e-02	-3.494208e-02
9.000000e+00	6.480577e-03	1.289243e-02	6.875510e-03	3.720761e-02	-3.459513e-02
9.050000e+00	6.490516e-03	1.316353e-02	7.733152e-03	3.437271e-02	-3.069360e-02
9.100000e+00	6.787661e-03	1.318456e-02	8.403223e-03	3.403526e-02	-2.439463e-02
9.150000e+00	7.435377e-03	1.313901e-02	7.808211e-03	3.804084e-02	-2.187123e-02
9.200000e+00	8.161456e-03	1.294892e-02	8.135522e-03	3.810990e-02	-2.447576e-02
9.250000e+00	8.446498e-03	1.226031e-02	9.263091e-03	3.741553e-02	-2.467784e-02
9.300000e+00	7.729740e-03	1.082710e-02	9.134521e-03	3.358833e-02	-2.404217e-02
9.350000e+00	5.655740e-03	8.979902e-03	7.200392e-03	2.553704e-02	-2.559478e-02
9.400000e+00	2.266343e-03	8.001708e-03	2.735693e-03	2.081829e-02	-2.445091e-02
9.450000e+00	-1.940206e-03	9.244760e-03	-1.174099e-03	1.821740e-02	-2.507627e-02
9.500000e+00	-6.113617e-03	1.196541e-02	-5.461367e-03	1.860306e-02	-3.934452e-02
9.550000e+00	-9.308783e-03	1.468182e-02	-7.805618e-03	2.395975e-02	-4.957297e-02
9.600000e+00	-1.071156e-02	1.647606e-02	-8.853764e-03	2.646258e-02	-5.457028e-02
9.650000e+00	-9.968525e-03	1.696291e-02	-8.530274e-03	2.588001e-02	-5.258428e-02
9.700000e+00	-7.283573e-03	1.610352e-02	-6.378109e-03	2.495728e-02	-4.819526e-02
9.750000e+00	-3.367220e-03	1.418176e-02	-2.388345e-03	2.879755e-02	-4.044518e-02
