# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.920526e-03	7.012227e-02	0.000000e+00	2.831721e-01	-2.879076e-01
5.000000e-02	-1.178807e-02	1.067865e-01	-1.523955e-02	7.045887e-01	-3.003973e-01
1.000000e-01	-2.420068e-02	1.068795e-01	-2.440606e-02	6.906277e-01	-3.128349e-01
1.500000e-01	-6.198942e-02	1.072020e-01	-6.173068e-02	6.459604e-01	-3.495019e-01
2.000000e-01	-1.005324e-01	1.076687e-01	-9.516010e-02	5.972773e-01	-3.855137e-01
2.500000e-01	-1.654075e-01	1.083002e-01	-1.687219e-01	5.087883e-01	-4.425079e-01
3.000000e-01	-2.310456e-01	1.089226e-01	-2.327117e-01	4.117297e-01	-4.968661e-01
3.500000e-01	-3.204905e-01	1.090458e-01	-3.207300e-01	2.674965e-01	-5.651855e-01
4.000000e-01	-4.079651e-01	1.086139e-01	-4.096799e-01	1.139542e-01	-6.280618e-01
4.500000e-01	-5.101709e-01	1.067765e-01	-5.121526e-01	-8.380370e-02	-7.235957e-01
5.000000e-01	-6.034758e-01	1.038529e-01	-6.077720e-01	-2.823641e-01	-8.617761e-01
5.500000e-01	-6.958496e-01	9.894035e-02	-7.061087e-01	-4.255249e-01	-1.001378e+00
6.000000e-01	-7.689381e-01	9.287793e-02	-7.771249e-01	-5.186103e-01	-1.105979e+00
6.500000e-01	-8.221105e-01	8.514982e-02	-8.229503e-01	-5.942596e-01	-1.176885e+00
7.000000e-01	-8.458220e-01	7.737627e-02	-8.462437e-01	-6.467254e-01	-1.198050e+00
7.500000e-01	-8.338869e-01	7.025238e-02	-8.298488e-01	-6.704325e-01	-1.168966e+00
8.000000e-01	-7.889708e-01	6.567739e-02	-7.835969e-01	-6.517045e-01	-1.180962e+00
8.500000e-01	-7.047383e-01	6.436437e-02	-6.994358e-01	-5.529673e-01	-1.140743e+00
9.000000e-01	-5.971982e-01	6.542386e-02	-5.950639e-01	-4.469710e-01	-1.036738e+00
9.500000e-01	-4.651353e-01	6.684544e-02	-4.609525e-01	-3.047876e-01	-8.742116e-01
1.000000e+00	-3.334446e-01	6.655014e-02	-3.302366e-01	-1.725256e-01	-6.830230e-01
1.050000e+00	-2.075156e-01	6.279543e-02	-2.039932e-01	-6.619034e-02	-4.772756e-01
1.100000e+00	-1.099163e-01	5.597369e-02	-1.058002e-01	1.281667e-02	-2.928977e-01
1.150000e+00	-4.740746e-02	4.646414e-02	-4.268953e-02	7.439435e-02	-2.045266e-01
1.200000e+00	-2.712948e-02	3.719973e-02	-2.625652e-02	7.844219e-02	-1.494545e-01
1.250000e+00	-4.885726e-02	3.092844e-02	-4.766635e-02	4.382768e-02	-1.342458e-01
1.300000e+00	-9.846017e-02	2.967314e-02	-9.787853e-02	-5.680300e-03	-1.813457e-01
1.350000e+00	-1.652269e-01	3.154092e-02	-1.643306e-01	-4.679182e-02	-2.647137e-01
1.400000e+00	-2.226730e-01	3.314246e-02	-2.222611e-01	-9.616041e-02	-3.180772e-01
1.450000e+00	-2.568628e-01	3.332428e-02	-2.578589e-01	-1.291455e-01	-3.534440e-01
1.500000e+00	-2.493083e-01	3.240413e-02	-2.517168e-01	-1.309491e-01	-3.414029e-01
1.550000e+00	-1.962000e-01	3.167056e-02	-1.986965e-01	-7.432947e-02	-2.710680e-01
1.600000e+00	-1.035189e-01	3.147125e-02	-1.065901e-01	1.091599e-02	-1.737566e-01
1.650000e+00	1.618854e-02	3.126908e-02	1.302616e-02	1.127952e-01	-7.051355e-02
1.700000e+00	1.364196e-01	2.975932e-02	1.357277e-01	2.154626e-01	4.295217e-02
1.750000e+00	2.391632e-01	2.651020e-02	2.400893e-01	3.090801e-01	1.574189e-01
1.800000e+00	3.004156e-01	2.195998e-02	3.024893e-01	3.555644e-01	2.395795e-01
1.850000e+00	3.158828e-01	1.771260e-02	3.159863e-01	3.647128e-01	2.548169e-01
1.900000e+00	2.842100e-01	1.537097e-02	2.842828e-01	3.180182e-01	2.230798e-01
1.950000e+00	2.211202e-01	1.521108e-02	2.211029e-01	2.602257e-01	1.774260e-01
2.000000e+00	1.438288e-01	1.531979e-02	1.431682e-01	1.907325e-01	1.056255e-01
2.050000e+00	7.238608e-02	1.456237e-02	7.179459e-02	1.182112e-01	3.768222e-02
2.100000e+00	2.244304e-02	1.271562e-02	2.201605e-02	6.115320e-02	-5.629614e-03
2.150000e+00	-4.061278e-04	1.037226e-02	-1.119633e-03	3.962179e-02	-2.401002e-02
2.200000e+00	-7.760558e-04	8.256763e-03	-1.638392e-03	2.901594e-02	-1.890372e-02
2.250000e+00	8.693888e-03	7.037369e-03	8.573783e-03	3.260108e-02	-7.917180e-03
2.300000e+00	1.595865e-02	5.749984e-03	1.569688e-02	3.443752e-02	1.272392e-03
2.350000e+00	1.489634e-02	4.759178e-03	1.494845e-02	2.704550e-02	-7.026150e-03
2.400000e+00	5.383083e-03	4.436998e-03	5.817549e-03	1.671880e-02	-1.802937e-02
2.450000e+00	-2.844563e-03	4.767999e-03	-2.988068e-03	9.883091e-03	-2.458631e-02
2.500000e+00	-1.076894e-02	4.974344e-03	-1.120867e-02	2.421696e-03	-2.748178e-02
2.550000e+00	-1.646031e-02	4.767876e-03	-1.670539e-02	-3.997548e-03	-2.822278e-02
2.600000e+00	-1.858586e-02	4.222737e-03	-1.854912e-02	-6.999303e-03	-2.970535e-02
2.650000e+00	-1.861882e-02	3.789024e-03	-1.838380e-02	-8.838418e-03	-3.097693e-02
2.700000e+00	-1.641521e-02	3.472988e-03	-1.629704e-02	-8.943742e-03	-2.915948e-02
2.750000e+00	-1.278784e-02	3.275576e-03	-1.280289e-02	-5.244601e-03	-2.472305e-02
2.800000e+00	-8.852035e-03	3.062769e-03	-8.911401e-03	-1.005462e-03	-1.901215e-02
2.850000e+00	-7.018026e-03	2.789492e-03	-7.085004e-03	7.203197e-04	-1.488251e-02
2.900000e+00	-6.002570e-03	2.430205e-03	-6.150620e-03	6.012139e-04	-1.297386e-02
2.950000e+00	-5.977330e-03	2.075099e-03	-6.008783e-03	-7.523813e-04	-1.262692e-02
3.000000e+00	-6.710726e-03	1.811390e-03	-6.617679e-03	-2.296381e-03	-1.379569e-02
3.050000e+00	-7.436662e-03	1.666397e-03	-7.378019e-03	-1.893277e-03	-1.315743e-02
3.100000e+00	-7.747438e-03	1.653373e-03	-7.717823e-03	-1.794791e-03	-1.173178e-02
3.150000e+00	-7.291037e-03	1.755087e-03	-7.288449e-03	-1.782573e-03	-1.134467e-02
3.200000e+00	-6.003240e-03	1.932648e-03	-6.021825e-03	2.169297e-03	-1.060911e-02
3.250000e+00	-4.265774e-03	2.130925e-03	-4.311469e-03	5.777763e-03	-9.093189e-03
3.300000e+00	-2.442518e-03	2.233285e-03	-2.427535e-03	7.326778e-03	-7.222760e-03
3.350000e+00	-1.025209e-03	2.208188e-03	-8.165438e-04	7.192856e-03	-7.833247e-03
3.400000e+00	-3.635412e-04	2.106125e-03	-3.941943e-04	5.845408e-03	-8.113501e-03
3.450000e+00	-4.151351e-04	2.011285e-03	-6.465319e-04	4.511411e-03	-7.776256e-03
3.500000e+00	-8.013448e-04	1.978713e-03	-1.048507e-03	4.067752e-03	-6.073754e-03
3.550000e+00	-8.976278e-04	1.971805e-03	-9.078222e-04	4.168130e-03	-8.151930e-03
3.600000e+00	-1.365589e-05	1.942707e-03	3.486445e-05	4.328091e-03	-7.420775e-03
3.650000e+00	2.675416e-03	1.948278e-03	2.506390e-03	8.417110e-03	-2.909926e-03
3.700000e+00	6.838326e-03	2.085794e-03	6.677521e-03	1.506005e-02	9.157988e-04
3.750000e+00	1.179233e-02	2.324261e-03	1.172638e-02	2.070126e-02	6.116533e-03
3.800000e+00	1.632101e-02	2.484419e-03	1.644357e-02	2.404704e-02	1.079745e-02
3.850000e+00	1.932722e-02	2.474439e-03	1.954291e-02	2.556976e-02	1.395376e-02
3.900000e+00	1.885343e-02	2.245269e-03	1.904158e-02	2.507176e-02	1.390408e-02
