# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.952307e-01	2.669855e-01	0.000000e+00	0.000000e+00	-7.683613e-01
5.000000e-02	-4.067590e-01	2.481342e-01	-4.757337e-01	-4.988990e-02	-8.195314e-01
1.000000e-01	-4.124406e-01	2.408798e-01	-4.820172e-01	-6.312157e-02	-8.247357e-01
1.500000e-01	-4.287860e-01	2.190075e-01	-4.997993e-01	-1.027921e-01	-8.383619e-01
2.000000e-01	-4.446735e-01	1.968374e-01	-5.168348e-01	-1.430193e-01	-8.500071e-01
2.500000e-01	-4.689233e-01	1.602826e-01	-5.373643e-01	-2.091979e-01	-8.637747e-01
3.000000e-01	-4.918042e-01	1.248599e-01	-5.361162e-01	-2.711208e-01	-8.723869e-01
3.500000e-01	-5.195544e-01	8.233081e-02	-5.348260e-01	-3.436669e-01	-8.750090e-01
4.000000e-01	-5.442220e-01	6.166247e-02	-5.401710e-01	-4.143315e-01	-8.688393e-01
4.500000e-01	-5.694571e-01	8.599752e-02	-5.460653e-01	-4.237567e-01	-8.492783e-01
5.000000e-01	-5.887182e-01	1.318081e-01	-5.894861e-01	-3.755937e-01	-8.715499e-01
5.500000e-01	-6.029105e-01	1.839999e-01	-6.670262e-01	-3.254230e-01	-9.164380e-01
6.000000e-01	-6.074292e-01	2.272403e-01	-7.056263e-01	-2.734741e-01	-9.558169e-01
6.500000e-01	-5.998630e-01	2.611738e-01	-7.067271e-01	-2.300424e-01	-9.653988e-01
7.000000e-01	-5.792412e-01	2.793027e-01	-6.989852e-01	-2.017502e-01	-9.409040e-01
7.500000e-01	-5.406971e-01	2.802403e-01	-6.450749e-01	-1.845881e-01	-8.907645e-01
8.000000e-01	-4.888423e-01	2.648303e-01	-5.753966e-01	-1.580064e-01	-8.244776e-01
8.500000e-01	-4.190589e-01	2.322752e-01	-4.825975e-01	-1.303964e-01	-7.186436e-01
9.000000e-01	-3.423345e-01	1.897146e-01	-3.628168e-01	-8.337812e-02	-6.039161e-01
9.500000e-01	-2.571770e-01	1.381624e-01	-2.329388e-01	-4.557576e-02	-4.647187e-01
1.000000e+00	-1.783974e-01	8.824976e-02	-1.593872e-01	-1.957817e-02	-3.397830e-01
1.050000e+00	-1.080822e-01	4.573248e-02	-1.097967e-01	-1.016537e-02	-2.882278e-01
1.100000e+00	-5.833457e-02	3.397173e-02	-5.563279e-02	3.192182e-02	-2.429444e-01
1.150000e+00	-3.137037e-02	5.002969e-02	-3.463982e-02	6.057253e-02	-2.045677e-01
1.200000e+00	-2.944502e-02	6.273280e-02	-2.108912e-02	7.311462e-02	-1.738182e-01
1.250000e+00	-5.018161e-02	6.595806e-02	-5.318639e-02	5.913495e-02	-1.704640e-01
1.300000e+00	-8.406947e-02	6.117774e-02	-9.029351e-02	2.367262e-02	-2.041969e-01
1.350000e+00	-1.233571e-01	5.145743e-02	-1.241635e-01	-2.854993e-02	-2.384600e-01
1.400000e+00	-1.534204e-01	4.143364e-02	-1.562994e-01	-6.445160e-02	-2.526766e-01
1.450000e+00	-1.665152e-01	3.405456e-02	-1.653349e-01	-8.174959e-02	-2.548612e-01
1.500000e+00	-1.544572e-01	3.223731e-02	-1.524019e-01	-5.746696e-02	-2.453450e-01
1.550000e+00	-1.163897e-01	3.646590e-02	-1.134511e-01	-2.731572e-02	-2.071478e-01
1.600000e+00	-5.725826e-02	4.419678e-02	-4.949759e-02	2.538261e-02	-1.430716e-01
1.650000e+00	1.545665e-02	5.207866e-02	3.087604e-02	1.021226e-01	-8.116790e-02
1.700000e+00	8.776096e-02	5.548365e-02	1.024837e-01	1.768900e-01	-1.025142e-02
1.750000e+00	1.508204e-01	5.222483e-02	1.680224e-01	2.289540e-01	5.718581e-02
1.800000e+00	1.926894e-01	4.068890e-02	1.976964e-01	2.568196e-01	1.167409e-01
1.850000e+00	2.118925e-01	2.326366e-02	2.124098e-01	2.610931e-01	1.598711e-01
1.900000e+00	2.061093e-01	1.222092e-02	2.057221e-01	2.390465e-01	1.727901e-01
1.950000e+00	1.830023e-01	2.787344e-02	1.904769e-01	2.365096e-01	1.306650e-01
2.000000e+00	1.474510e-01	4.372344e-02	1.540830e-01	2.144445e-01	8.318711e-02
2.050000e+00	1.106883e-01	5.232490e-02	1.137776e-01	1.820311e-01	4.034076e-02
2.100000e+00	7.600715e-02	5.079457e-02	7.251361e-02	1.529418e-01	7.815741e-03
2.150000e+00	4.813048e-02	4.067877e-02	4.604506e-02	1.243627e-01	-7.008096e-03
2.200000e+00	2.847561e-02	2.575489e-02	2.738205e-02	9.207395e-02	-9.969343e-03
2.250000e+00	1.674567e-02	1.137377e-02	1.527675e-02	6.064477e-02	-5.692377e-03
2.300000e+00	7.405758e-03	8.608665e-03	8.206582e-03	3.127158e-02	-1.479772e-02
2.350000e+00	-1.443839e-03	1.318129e-02	-1.908611e-04	2.540079e-02	-2.680202e-02
2.400000e+00	-9.969418e-03	1.340380e-02	-1.129365e-02	1.487768e-02	-3.180281e-02
2.450000e+00	-1.663271e-02	1.194096e-02	-1.938603e-02	4.645338e-03	-4.076933e-02
2.500000e+00	-2.135989e-02	9.002221e-03	-2.375610e-02	-2.342566e-03	-4.714017e-02
2.550000e+00	-2.348184e-02	5.773818e-03	-2.510615e-02	-8.096648e-03	-4.776382e-02
2.600000e+00	-2.268835e-02	3.838943e-03	-2.269989e-02	-1.237807e-02	-4.546706e-02
2.650000e+00	-2.142457e-02	4.237510e-03	-2.119695e-02	-1.102373e-02	-4.270650e-02
2.700000e+00	-1.854459e-02	5.617160e-03	-1.875405e-02	-6.147769e-03	-3.672689e-02
2.750000e+00	-1.455744e-02	6.918144e-03	-1.691496e-02	-1.605203e-03	-2.854992e-02
2.800000e+00	-1.011888e-02	7.802260e-03	-1.271415e-02	2.402361e-03	-2.364555e-02
2.850000e+00	-6.751709e-03	8.544942e-03	-9.313742e-03	6.283258e-03	-2.061320e-02
2.900000e+00	-4.076255e-03	8.824010e-03	-4.846477e-03	8.910618e-03	-1.748685e-02
2.950000e+00	-2.517941e-03	8.660874e-03	-2.183236e-03	1.140168e-02	-1.608910e-02
3.000000e+00	-2.177190e-03	8.068816e-03	-2.375216e-03	1.268923e-02	-1.514657e-02
3.050000e+00	-3.123320e-03	6.946925e-03	-3.093843e-03	1.141452e-02	-1.598970e-02
3.100000e+00	-4.552079e-03	5.365270e-03	-4.744112e-03	8.141724e-03	-1.625602e-02
3.150000e+00	-5.724837e-03	3.637664e-03	-5.373513e-03	4.493507e-03	-1.531692e-02
3.200000e+00	-5.892008e-03	2.979717e-03	-5.965118e-03	2.264932e-03	-1.231400e-02
3.250000e+00	-4.520027e-03	4.699802e-03	-5.739252e-03	3.942753e-03	-1.320298e-02
3.300000e+00	-1.092406e-03	7.134494e-03	-9.372227e-04	1.011327e-02	-1.142930e-02
3.350000e+00	4.144851e-03	9.150245e-03	5.394386e-03	1.687519e-02	-9.519900e-03
3.400000e+00	1.047260e-02	1.026226e-02	1.246237e-02	2.391455e-02	-5.053329e-03
3.450000e+00	1.720202e-02	1.035275e-02	1.854318e-02	3.133980e-02	1.262606e-03
3.500000e+00	2.289124e-02	9.141483e-03	2.299082e-02	3.725494e-02	7.473575e-03
3.550000e+00	2.644472e-02	6.938441e-03	2.653153e-02	3.970978e-02	1.309997e-02
3.600000e+00	2.716967e-02	4.544572e-03	2.651873e-02	3.918383e-02	1.735865e-02
3.650000e+00	2.506772e-02	3.804796e-03	2.515406e-02	3.452705e-02	1.745865e-02
3.700000e+00	2.009681e-02	5.572701e-03	2.004658e-02	3.305336e-02	9.016872e-03
3.750000e+00	1.300825e-02	7.429724e-03	1.384834e-02	2.950145e-02	-7.405557e-04
3.800000e+00	4.843536e-03	8.292634e-03	4.823166e-03	2.270818e-02	-1.029445e-02
3.850000e+00	-3.504776e-03	8.056382e-03	-3.500006e-03	1.347312e-02	-1.844276e-02
3.900000e+00	-1.123183e-02	6.658649e-03	-1.086773e-02	3.738747e-03	-2.413666e-02
3.950000e+00	-1.761079e-02	4.554803e-03	-1.734570e-02	-5.409843e-03	-2.705999e-02
4.000000e+00	-2.215611e-02	2.582437e-03	-2.242669e-02	-1.411329e-02	-2.762900e-02
4.050000e+00	-2.498356e-02	2.333737e-03	-2.524805e-02	-1.524636e-02	-3.373321e-02
4.100000e+00	-2.585463e-02	3.474641e-03	-2.667095e-02	-1.577098e-02	-3.802724e-02
4.150000e+00	-2.482181e-02	4.379993e-03	-2.552584e-02	-1.601212e-02	-3.873326e-02
4.200000e+00	-2.209857e-02	4.731481e-03	-2.203795e-02	-1.358956e-02	-3.718928e-02
4.250000e+00	-1.849218e-02	4.606131e-03	-1.809323e-02	-1.067465e-02	-3.371507e-02
4.300000e+00	-1.408366e-02	4.309601e-03	-1.372815e-02	-6.438279e-03	-2.809538e-02
4.350000e+00	-9.452135e-03	4.159129e-03	-9.327262e-03	-1.805129e-03	-2.155820e-02
4.400000e+00	-5.192318e-03	4.419554e-03	-5.354641e-03	2.594754e-03	-1.535782e-02
4.450000e+00	-1.906908e-03	5.115340e-03	-2.258377e-03	7.014574e-03	-1.277215e-02
4.500000e+00	4.539809e-04	6.080188e-03	-2.723898e-04	1.083498e-02	-1.216749e-02
4.550000e+00	2.031829e-03	7.008614e-03	1.079565e-03	1.387567e-02	-1.260142e-02
4.600000e+00	3.283995e-03	7.564935e-03	2.315427e-03	1.625937e-02	-1.285085e-02
4.650000e+00	4.870126e-03	7.439740e-03	3.861318e-03	1.855776e-02	-1.148998e-02
4.700000e+00	7.470289e-03	6.597412e-03	6.849991e-03	2.118077e-02	-7.372306e-03
4.750000e+00	1.149140e-02	5.272875e-03	1.073594e-02	2.353946e-02	1.459731e-04
4.800000e+00	1.694289e-02	4.560612e-03	1.670906e-02	2.666948e-02	6.553821e-03
4.850000e+00	2.333108e-02	6.013353e-03	2.415656e-02	3.808823e-02	7.085381e-03
4.900000e+00	2.985907e-02	8.965520e-03	3.106651e-02	4.880371e-02	8.505871e-03
4.950000e+00	3.546261e-02	1.214844e-02	3.693375e-02	5.715196e-02	1.029776e-02
5.000000e+00	3.908599e-02	1.477387e-02	4.043433e-02	6.156475e-02	1.191805e-02
5.050000e+00	3.983964e-02	1.630720e-02	4.005248e-02	6.182971e-02	1.296266e-02
5.100000e+00	3.740258e-02	1.651744e-02	3.654106e-02	6.109117e-02	8.659312e-03
5.150000e+00	3.179704e-02	1.541110e-02	3.164105e-02	5.637092e-02	4.214833e-03
5.200000e+00	2.342180e-02	1.332278e-02	2.378692e-02	4.799581e-02	-2.181870e-04
5.250000e+00	1.290100e-02	1.088813e-02	1.370608e-02	3.745558e-02	-7.146993e-03
5.300000e+00	1.125559e-03	9.021241e-03	1.603092e-03	2.502385e-02	-1.622401e-02
5.350000e+00	-1.110881e-02	8.277275e-03	-1.203083e-02	1.149231e-02	-2.616737e-02
5.400000e+00	-2.304822e-02	8.253397e-03	-2.347692e-02	-2.466011e-03	-3.990185e-02
5.450000e+00	-3.381346e-02	8.109565e-03	-3.341036e-02	-1.540667e-02	-5.247796e-02
5.500000e+00	-4.279341e-02	7.505587e-03	-4.308721e-02	-2.373489e-02	-6.126766e-02
5.550000e+00	-4.936132e-02	6.648685e-03	-5.024510e-02	-2.786145e-02	-6.582784e-02
5.600000e+00	-5.297486e-02	6.221821e-03	-5.390432e-02	-2.994400e-02	-6.619226e-02
5.650000e+00	-5.306648e-02	7.038750e-03	-5.428052e-02	-2.939209e-02	-6.656173e-02
5.700000e+00	-4.979600e-02	9.304481e-03	-4.993230e-02	-2.616873e-02	-7.031316e-02
5.750000e+00	-4.347555e-02	1.255212e-02	-4.120519e-02	-1.970189e-02	-7.331372e-02
5.800000e+00	-3.476093e-02	1.616914e-02	-3.329644e-02	-6.885134e-03	-7.335994e-02
5.850000e+00	-2.445999e-02	1.946052e-02	-2.245720e-02	6.513449e-03	-6.775624e-02
5.900000e+00	-1.371314e-02	2.183295e-02	-1.199106e-02	1.884656e-02	-5.743165e-02
5.950000e+00	-3.375328e-03	2.283355e-02	-2.114143e-03	2.975875e-02	-4.573967e-02
6.000000e+00	5.972805e-03	2.227931e-02	7.233175e-03	4.035544e-02	-3.235108e-02
6.050000e+00	1.409226e-02	2.013701e-02	1.300508e-02	4.871457e-02	-1.963351e-02
6.100000e+00	2.095916e-02	1.684116e-02	1.845792e-02	5.342587e-02	-7.342955e-03
6.150000e+00	2.676410e-02	1.285111e-02	2.463867e-02	5.482455e-02	1.936017e-03
6.200000e+00	3.167527e-02	8.923451e-03	3.130768e-02	5.306062e-02	1.227334e-02
6.250000e+00	3.570973e-02	7.269248e-03	3.549422e-02	5.249007e-02	1.412991e-02
6.300000e+00	3.868784e-02	1.058801e-02	3.998211e-02	5.739748e-02	1.039265e-02
6.350000e+00	4.028287e-02	1.685311e-02	4.530800e-02	6.638954e-02	7.060498e-03
6.400000e+00	4.014050e-02	2.400544e-02	4.502778e-02	7.363258e-02	2.070741e-03
6.450000e+00	3.801744e-02	3.079894e-02	4.209836e-02	7.672450e-02	-4.545372e-03
6.500000e+00	3.388433e-02	3.601837e-02	3.718847e-02	7.880073e-02	-1.364407e-02
