# 		k		<chi>		std
0.00000e+00 4.33522e-01 6.74245e-02
5.00000e-02 4.13777e-01 6.73311e-02
1.00000e-01 3.94466e-01 6.71648e-02
1.50000e-01 3.35516e-01 6.66576e-02
2.00000e-01 2.74820e-01 6.61473e-02
2.50000e-01 1.71788e-01 6.53064e-02
3.00000e-01 6.60093e-02 6.45175e-02
3.50000e-01 -8.11523e-02 6.35161e-02
4.00000e-01 -2.28208e-01 6.26654e-02
4.50000e-01 -4.06929e-01 6.16670e-02
5.00000e-01 -5.75732e-01 6.06532e-02
5.50000e-01 -7.54968e-01 5.89813e-02
6.00000e-01 -9.06828e-01 5.66377e-02
6.50000e-01 -1.03813e+00 5.27807e-02
7.00000e-01 -1.12141e+00 4.79861e-02
7.50000e-01 -1.15267e+00 4.23248e-02
8.00000e-01 -1.12296e+00 3.78350e-02
8.50000e-01 -1.02561e+00 3.61674e-02
9.00000e-01 -8.75738e-01 3.78923e-02
9.50000e-01 -6.73515e-01 4.14275e-02
1.00000e+00 -4.54542e-01 4.40910e-02
1.05000e+00 -2.29220e-01 4.44108e-02
1.10000e+00 -3.78787e-02 4.21922e-02
1.15000e+00 1.06394e-01 3.83533e-02
1.20000e+00 1.81322e-01 3.47776e-02
1.25000e+00 1.85162e-01 3.28605e-02
1.30000e+00 1.28358e-01 3.22457e-02
1.35000e+00 2.75800e-02 3.16861e-02
1.40000e+00 -8.19776e-02 2.98812e-02
1.45000e+00 -1.75670e-01 2.70639e-02
1.50000e+00 -2.22416e-01 2.41127e-02
1.55000e+00 -2.11015e-01 2.21502e-02
1.60000e+00 -1.41549e-01 2.12286e-02
1.65000e+00 -2.73078e-02 2.04961e-02
1.70000e+00 1.01204e-01 1.89916e-02
1.75000e+00 2.20079e-01 1.66305e-02
1.80000e+00 2.97444e-01 1.38513e-02
1.85000e+00 3.25003e-01 1.17760e-02
1.90000e+00 2.97202e-01 1.10098e-02
1.95000e+00 2.30449e-01 1.13763e-02
2.00000e+00 1.43871e-01 1.17372e-02
2.05000e+00 5.78228e-02 1.18416e-02
2.10000e+00 -3.55577e-03 1.12064e-02
2.15000e+00 -3.10203e-02 9.81957e-03
2.20000e+00 -2.95513e-02 8.04243e-03
2.25000e+00 -1.93143e-02 6.85797e-03
2.30000e+00 -8.87070e-03 6.14984e-03
2.35000e+00 -4.86795e-03 5.56271e-03
2.40000e+00 -8.84046e-03 4.81244e-03
2.45000e+00 -1.08196e-02 4.58832e-03
