# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	1.309566e-01	1.428080e-01	2.760952e-02	6.068115e-01	0.000000e+00
5.000000e-02	2.433628e-01	8.196335e-02	2.498791e-01	5.863142e-01	3.541357e-03
1.000000e-01	2.244073e-01	8.241869e-02	2.314712e-01	5.655195e-01	-1.772922e-02
1.500000e-01	1.670116e-01	8.373594e-02	1.741266e-01	5.017993e-01	-8.143808e-02
2.000000e-01	1.085540e-01	8.504176e-02	1.179205e-01	4.358752e-01	-1.451883e-01
2.500000e-01	1.073405e-02	8.698953e-02	1.903224e-02	3.234934e-01	-2.516770e-01
3.000000e-01	-8.817146e-02	8.873790e-02	-7.444460e-02	2.075503e-01	-3.569125e-01
3.500000e-01	-2.232076e-01	9.043374e-02	-2.065726e-01	4.584557e-02	-4.952535e-01
4.000000e-01	-3.556825e-01	9.136465e-02	-3.373485e-01	-1.162326e-01	-6.252389e-01
4.500000e-01	-5.129817e-01	9.094004e-02	-4.964215e-01	-3.132981e-01	-7.707929e-01
5.000000e-01	-6.581429e-01	8.880945e-02	-6.434113e-01	-4.758302e-01	-8.956044e-01
5.500000e-01	-8.073249e-01	8.369941e-02	-7.932327e-01	-6.358801e-01	-1.025756e+00
6.000000e-01	-9.290058e-01	7.627110e-02	-9.200253e-01	-7.768724e-01	-1.127497e+00
6.500000e-01	-1.027110e+00	6.554286e-02	-1.023719e+00	-8.848954e-01	-1.204634e+00
7.000000e-01	-1.081102e+00	5.426477e-02	-1.079310e+00	-9.495307e-01	-1.239121e+00
7.500000e-01	-1.085866e+00	4.458563e-02	-1.084722e+00	-9.655479e-01	-1.212638e+00
8.000000e-01	-1.038174e+00	4.211711e-02	-1.040215e+00	-9.170246e-01	-1.166477e+00
8.500000e-01	-9.315042e-01	4.777280e-02	-9.364048e-01	-7.698310e-01	-1.073314e+00
9.000000e-01	-7.832859e-01	5.605438e-02	-7.875757e-01	-5.943651e-01	-9.248181e-01
9.500000e-01	-5.935487e-01	6.206320e-02	-5.994575e-01	-3.994830e-01	-7.284141e-01
1.000000e+00	-3.957137e-01	6.286737e-02	-3.997854e-01	-2.161366e-01	-5.356623e-01
1.050000e+00	-1.986970e-01	5.760103e-02	-2.038697e-01	-5.039586e-02	-3.394989e-01
1.100000e+00	-3.695457e-02	4.853674e-02	-3.959124e-02	8.102152e-02	-1.727238e-01
1.150000e+00	7.901522e-02	3.928574e-02	7.916595e-02	1.817254e-01	-4.787803e-02
1.200000e+00	1.332129e-01	3.567183e-02	1.365266e-01	2.149956e-01	9.407611e-03
1.250000e+00	1.256563e-01	3.853211e-02	1.319160e-01	1.957647e-01	2.552486e-02
1.300000e+00	6.947781e-02	4.196228e-02	7.605018e-02	1.566015e-01	-4.521510e-02
1.350000e+00	-1.974056e-02	4.182549e-02	-1.478609e-02	8.279058e-02	-1.416162e-01
1.400000e+00	-1.095048e-01	3.678840e-02	-1.070789e-01	-9.412237e-03	-2.221744e-01
1.450000e+00	-1.789712e-01	2.861322e-02	-1.799322e-01	-9.698987e-02	-2.671262e-01
1.500000e+00	-2.028580e-01	2.129579e-02	-2.039222e-01	-9.989571e-02	-2.558242e-01
1.550000e+00	-1.735894e-01	1.920849e-02	-1.762704e-01	-6.802591e-02	-2.186609e-01
1.600000e+00	-9.531550e-02	2.092513e-02	-9.706371e-02	1.663256e-03	-1.490136e-01
1.650000e+00	1.841902e-02	2.170905e-02	1.811637e-02	8.799385e-02	-3.221820e-02
1.700000e+00	1.377835e-01	1.962357e-02	1.384787e-01	1.912737e-01	8.219703e-02
1.750000e+00	2.421399e-01	1.570286e-02	2.427326e-01	2.835315e-01	1.819978e-01
1.800000e+00	3.033832e-01	1.245851e-02	3.052225e-01	3.309000e-01	2.276037e-01
1.850000e+00	3.166876e-01	1.197448e-02	3.185063e-01	3.409045e-01	2.434536e-01
1.900000e+00	2.792458e-01	1.268823e-02	2.802887e-01	3.091461e-01	2.201197e-01
1.950000e+00	2.080784e-01	1.281693e-02	2.083581e-01	2.388844e-01	1.647185e-01
2.000000e+00	1.220780e-01	1.194151e-02	1.224671e-01	1.532133e-01	9.002181e-02
2.050000e+00	3.987049e-02	1.146615e-02	3.995993e-02	8.381420e-02	1.280559e-02
2.100000e+00	-1.632523e-02	1.175562e-02	-1.646210e-02	4.331069e-02	-4.185514e-02
2.150000e+00	-3.886859e-02	1.149641e-02	-4.005618e-02	1.795713e-02	-6.337115e-02
2.200000e+00	-3.348481e-02	9.873213e-03	-3.453557e-02	5.844407e-03	-5.615603e-02
2.250000e+00	-1.995271e-02	7.965225e-03	-2.099467e-02	2.039498e-03	-3.819191e-02
2.300000e+00	-6.521345e-03	6.380306e-03	-6.757032e-03	9.686355e-03	-2.179632e-02
2.350000e+00	-1.226252e-04	5.241434e-03	-2.953264e-04	1.261414e-02	-2.110820e-02
2.400000e+00	-2.517337e-03	4.296338e-03	-2.377829e-03	8.415163e-03	-2.386904e-02
2.450000e+00	-3.615992e-03	3.929153e-03	-3.448701e-03	5.430762e-03	-2.356605e-02
