# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	2.743879e-01	2.819434e-01	3.600467e-01	9.684582e-01	0.000000e+00
5.000000e-02	5.220120e-01	1.399151e-01	4.770526e-01	1.205740e+00	2.889018e-01
1.000000e-01	5.037399e-01	1.406133e-01	4.579998e-01	1.203898e+00	2.699823e-01
1.500000e-01	4.476092e-01	1.424004e-01	4.000178e-01	1.193446e+00	2.127537e-01
2.000000e-01	3.893863e-01	1.438596e-01	3.436688e-01	1.176425e+00	1.543454e-01
2.500000e-01	2.896665e-01	1.454039e-01	2.459260e-01	1.133726e+00	5.630808e-02
3.000000e-01	1.863597e-01	1.460870e-01	1.433171e-01	1.074796e+00	-4.309841e-02
3.500000e-01	4.130124e-02	1.455248e-01	1.311467e-03	9.691870e-01	-1.793809e-01
4.000000e-01	-1.050446e-01	1.434326e-01	-1.395890e-01	8.387484e-01	-3.135975e-01
4.500000e-01	-2.848672e-01	1.385855e-01	-3.127846e-01	6.468864e-01	-4.915729e-01
5.000000e-01	-4.567411e-01	1.315678e-01	-4.862278e-01	4.308547e-01	-6.601479e-01
5.500000e-01	-6.425536e-01	1.203937e-01	-6.670854e-01	1.571483e-01	-8.339545e-01
6.000000e-01	-8.035308e-01	1.067640e-01	-8.271299e-01	-1.219793e-01	-9.753252e-01
6.500000e-01	-9.491277e-01	8.842502e-02	-9.684276e-01	-4.273272e-01	-1.094811e+00
7.000000e-01	-1.049302e+00	6.872380e-02	-1.062048e+00	-6.998492e-01	-1.180884e+00
7.500000e-01	-1.102945e+00	4.739846e-02	-1.106403e+00	-9.446502e-01	-1.207469e+00
8.000000e-01	-1.096713e+00	3.349774e-02	-1.098300e+00	-9.885193e-01	-1.178208e+00
8.500000e-01	-1.025571e+00	3.741468e-02	-1.023835e+00	-9.195483e-01	-1.202688e+00
9.000000e-01	-8.991735e-01	5.275250e-02	-8.964694e-01	-7.710881e-01	-1.194691e+00
9.500000e-01	-7.175603e-01	6.819762e-02	-7.114466e-01	-5.834008e-01	-1.094138e+00
1.000000e+00	-5.118221e-01	7.748373e-02	-5.009782e-01	-3.785756e-01	-9.198023e-01
1.050000e+00	-2.909745e-01	7.873287e-02	-2.792504e-01	-1.608499e-01	-6.903777e-01
1.100000e+00	-9.459493e-02	7.199066e-02	-8.182487e-02	1.527213e-02	-4.496409e-01
1.150000e+00	6.472905e-02	5.825450e-02	7.798216e-02	1.658159e-01	-2.210067e-01
1.200000e+00	1.607112e-01	4.220216e-02	1.682525e-01	2.429006e-01	-4.423761e-02
1.250000e+00	1.900089e-01	2.948350e-02	1.913071e-01	2.457013e-01	5.391598e-02
1.300000e+00	1.565131e-01	2.748587e-02	1.571210e-01	2.172887e-01	7.272218e-02
1.350000e+00	7.428110e-02	3.191027e-02	7.468399e-02	1.634624e-01	6.893384e-03
1.400000e+00	-2.590981e-02	3.419275e-02	-2.458260e-02	7.162354e-02	-1.013662e-01
1.450000e+00	-1.204005e-01	3.197964e-02	-1.206252e-01	-7.773192e-03	-1.940452e-01
1.500000e+00	-1.770680e-01	2.706388e-02	-1.780539e-01	-3.772204e-02	-2.386812e-01
1.550000e+00	-1.827665e-01	2.285567e-02	-1.830134e-01	-4.183331e-02	-2.410954e-01
1.600000e+00	-1.324780e-01	2.174263e-02	-1.331090e-01	-8.278839e-03	-1.915721e-01
1.650000e+00	-3.653150e-02	2.192407e-02	-3.641085e-02	5.623423e-02	-1.117140e-01
