# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	2.869706e-01	3.114144e-01	3.082147e-01	1.214107e+00	0.000000e+00
5.000000e-02	5.555605e-01	1.838394e-01	5.001203e-01	1.225421e+00	1.688189e-01
1.000000e-01	5.367698e-01	1.854021e-01	4.810933e-01	1.209942e+00	1.498728e-01
1.500000e-01	4.788741e-01	1.894033e-01	4.204363e-01	1.158993e+00	9.299698e-02
2.000000e-01	4.187137e-01	1.926917e-01	3.590156e-01	1.112246e+00	3.557759e-02
2.500000e-01	3.153461e-01	1.961611e-01	2.513550e-01	1.048758e+00	-5.925543e-02
3.000000e-01	2.081448e-01	1.977966e-01	1.408635e-01	9.867785e-01	-1.537643e-01
3.500000e-01	5.745840e-02	1.968579e-01	-1.080442e-02	8.783282e-01	-2.804744e-01
4.000000e-01	-9.435845e-02	1.930031e-01	-1.606793e-01	7.466567e-01	-4.021910e-01
4.500000e-01	-2.802862e-01	1.843880e-01	-3.425396e-01	5.562483e-01	-5.833273e-01
5.000000e-01	-4.570348e-01	1.725172e-01	-5.127396e-01	3.758292e-01	-7.559019e-01
5.500000e-01	-6.463546e-01	1.550497e-01	-6.923095e-01	1.568154e-01	-9.273248e-01
6.000000e-01	-8.083762e-01	1.352300e-01	-8.462459e-01	-7.343021e-02	-1.059094e+00
6.500000e-01	-9.520270e-01	1.109006e-01	-9.772440e-01	-3.325143e-01	-1.160707e+00
7.000000e-01	-1.047678e+00	8.711668e-02	-1.063457e+00	-5.650685e-01	-1.228137e+00
7.500000e-01	-1.094246e+00	6.447525e-02	-1.101471e+00	-7.539998e-01	-1.244194e+00
8.000000e-01	-1.080383e+00	5.206251e-02	-1.083093e+00	-8.896161e-01	-1.259433e+00
8.500000e-01	-1.002052e+00	5.471032e-02	-1.000618e+00	-8.053456e-01	-1.239282e+00
9.000000e-01	-8.713856e-01	6.649257e-02	-8.635027e-01	-6.775723e-01	-1.140822e+00
9.500000e-01	-6.896140e-01	7.860916e-02	-6.752818e-01	-5.098310e-01	-1.037586e+00
1.000000e+00	-4.888809e-01	8.530419e-02	-4.682967e-01	-3.069282e-01	-8.687036e-01
1.050000e+00	-2.781114e-01	8.458781e-02	-2.547186e-01	-1.034099e-01	-6.611146e-01
1.100000e+00	-9.529874e-02	7.731892e-02	-7.694033e-02	4.985070e-02	-4.542057e-01
1.150000e+00	4.881614e-02	6.452357e-02	6.217897e-02	1.730358e-01	-2.632915e-01
1.200000e+00	1.312203e-01	5.086018e-02	1.375849e-01	2.417955e-01	-1.207844e-01
1.250000e+00	1.506364e-01	3.959200e-02	1.540847e-01	2.435634e-01	-2.289015e-02
1.300000e+00	1.132717e-01	3.368656e-02	1.165138e-01	2.005399e-01	1.027121e-02
1.350000e+00	3.320056e-02	3.100692e-02	3.371209e-02	1.238644e-01	-6.169136e-02
1.400000e+00	-5.932911e-02	2.794280e-02	-6.044131e-02	8.435522e-02	-1.420110e-01
1.450000e+00	-1.430523e-01	2.361978e-02	-1.440229e-01	3.037911e-02	-2.073301e-01
1.500000e+00	-1.883566e-01	2.078939e-02	-1.894502e-01	-1.340708e-02	-2.481123e-01
1.550000e+00	-1.846874e-01	2.190219e-02	-1.850470e-01	-3.244381e-02	-2.551265e-01
1.600000e+00	-1.287250e-01	2.452768e-02	-1.276345e-01	-8.529865e-03	-2.033505e-01
1.650000e+00	-3.108284e-02	2.559917e-02	-2.799523e-02	7.299402e-02	-1.098235e-01
1.700000e+00	8.267269e-02	2.364791e-02	8.536041e-02	1.518464e-01	1.160090e-02
1.750000e+00	1.913844e-01	1.991740e-02	1.940041e-01	2.354086e-01	1.136927e-01
1.800000e+00	2.651716e-01	1.702264e-02	2.667825e-01	3.082491e-01	1.928657e-01
1.850000e+00	2.956392e-01	1.676953e-02	2.960617e-01	3.400242e-01	2.214261e-01
1.900000e+00	2.753857e-01	1.733085e-02	2.740428e-01	3.238556e-01	1.976765e-01
1.950000e+00	2.186499e-01	1.693949e-02	2.166050e-01	2.649435e-01	1.523212e-01
2.000000e+00	1.416913e-01	1.467417e-02	1.395987e-01	1.852639e-01	9.748065e-02
2.050000e+00	6.501639e-02	1.247026e-02	6.370338e-02	1.011001e-01	3.693341e-02
2.100000e+00	9.579321e-03	1.027035e-02	8.777915e-03	5.282172e-02	-1.759606e-02
2.150000e+00	-1.597771e-02	8.381766e-03	-1.597637e-02	3.268425e-02	-3.995277e-02
2.200000e+00	-1.619711e-02	6.835976e-03	-1.634541e-02	2.782857e-02	-3.732863e-02
