# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-4.217963e-02	1.572498e-01	0.000000e+00	4.308274e-01	-5.916735e-01
5.000000e-02	-9.479068e-02	2.202723e-01	-4.732761e-02	4.079027e-01	-6.183275e-01
1.000000e-01	-1.046305e-01	2.204967e-01	-5.004935e-02	3.848582e-01	-6.332539e-01
1.500000e-01	-1.341068e-01	2.230177e-01	-5.981847e-02	3.155551e-01	-6.760268e-01
2.000000e-01	-1.640130e-01	2.280644e-01	-7.612534e-02	2.453669e-01	-7.170458e-01
2.500000e-01	-2.130962e-01	2.406737e-01	-1.200811e-01	1.393994e-01	-7.850594e-01
3.000000e-01	-2.625583e-01	2.568574e-01	-1.841299e-01	6.080037e-02	-8.501324e-01
3.500000e-01	-3.286788e-01	2.827431e-01	-2.712935e-01	7.947464e-02	-9.294642e-01
4.000000e-01	-3.929980e-01	3.092762e-01	-3.326348e-01	9.387743e-02	-1.001738e+00
4.500000e-01	-4.677868e-01	3.419252e-01	-4.126447e-01	9.736244e-02	-1.081332e+00
5.000000e-01	-5.353840e-01	3.695785e-01	-4.673054e-01	8.593322e-02	-1.152065e+00
5.500000e-01	-6.024748e-01	3.954352e-01	-5.786311e-01	5.519451e-02	-1.219766e+00
6.000000e-01	-6.540393e-01	4.100791e-01	-6.721674e-01	5.188116e-03	-1.251180e+00
6.500000e-01	-6.905875e-01	4.134134e-01	-7.518811e-01	-4.980605e-02	-1.252319e+00
7.000000e-01	-7.030481e-01	4.014361e-01	-7.326125e-01	-9.491137e-02	-1.266552e+00
7.500000e-01	-6.876310e-01	3.721946e-01	-6.740519e-01	-1.268341e-01	-1.250485e+00
8.000000e-01	-6.447672e-01	3.294702e-01	-5.851388e-01	-1.640688e-01	-1.175307e+00
8.500000e-01	-5.704605e-01	2.726478e-01	-4.976997e-01	-1.896971e-01	-1.049474e+00
9.000000e-01	-4.762710e-01	2.135197e-01	-4.281600e-01	-1.615639e-01	-9.136599e-01
9.500000e-01	-3.622231e-01	1.575997e-01	-3.483430e-01	-1.016155e-01	-7.442719e-01
1.000000e+00	-2.477613e-01	1.238198e-01	-2.727533e-01	-4.003425e-02	-5.544722e-01
1.050000e+00	-1.375642e-01	1.177269e-01	-1.171044e-01	6.985406e-02	-4.041988e-01
1.100000e+00	-5.023623e-02	1.259847e-01	-1.829837e-02	1.624558e-01	-3.527238e-01
1.150000e+00	9.266424e-03	1.296533e-01	5.533416e-02	2.108287e-01	-2.818368e-01
1.200000e+00	3.390373e-02	1.193825e-01	6.507196e-02	2.146474e-01	-2.340959e-01
1.250000e+00	2.506804e-02	9.587929e-02	2.725883e-02	2.067517e-01	-1.982857e-01
1.300000e+00	-7.975830e-03	6.824311e-02	-1.724588e-02	1.540264e-01	-1.684861e-01
1.350000e+00	-5.551076e-02	5.543284e-02	-5.112487e-02	6.977817e-02	-1.918879e-01
1.400000e+00	-9.882823e-02	6.887827e-02	-1.006755e-01	4.998457e-02	-2.509593e-01
1.450000e+00	-1.265958e-01	8.645843e-02	-1.464657e-01	4.016321e-02	-2.699652e-01
1.500000e+00	-1.261635e-01	9.163458e-02	-1.578647e-01	3.731917e-02	-2.777563e-01
1.550000e+00	-9.480849e-02	7.997362e-02	-1.151575e-01	4.327967e-02	-2.343074e-01
1.600000e+00	-3.732724e-02	5.470649e-02	-4.372050e-02	7.281366e-02	-1.424579e-01
1.650000e+00	3.724080e-02	3.074362e-02	4.005997e-02	1.028046e-01	-3.676376e-02
1.700000e+00	1.107385e-01	4.556246e-02	1.052966e-01	2.013406e-01	1.959278e-03
1.750000e+00	1.715873e-01	7.550638e-02	1.621450e-01	2.930217e-01	4.381164e-02
1.800000e+00	2.046640e-01	9.478980e-02	1.899691e-01	3.434821e-01	7.171995e-02
1.850000e+00	2.087490e-01	9.911647e-02	2.008515e-01	3.516689e-01	6.982790e-02
1.900000e+00	1.838055e-01	8.742023e-02	1.790246e-01	3.192034e-01	5.290920e-02
1.950000e+00	1.409538e-01	6.503213e-02	1.384165e-01	2.465104e-01	3.435672e-02
2.000000e+00	9.096652e-02	3.889089e-02	9.357449e-02	1.676923e-01	1.738574e-02
2.050000e+00	4.563132e-02	1.996740e-02	4.627088e-02	9.875831e-02	5.841828e-03
2.100000e+00	1.442125e-02	2.195817e-02	9.402824e-03	6.628678e-02	-3.898316e-02
2.150000e+00	4.419624e-04	2.665639e-02	1.137061e-03	4.802762e-02	-5.766715e-02
2.200000e+00	1.844545e-04	2.502977e-02	2.746658e-03	5.095521e-02	-5.127577e-02
2.250000e+00	4.788248e-03	2.181242e-02	2.902369e-03	5.771097e-02	-3.617862e-02
2.300000e+00	8.422474e-03	1.961914e-02	4.233952e-03	5.752270e-02	-2.444877e-02
2.350000e+00	7.533436e-03	1.846956e-02	9.302884e-04	5.155214e-02	-2.570218e-02
2.400000e+00	1.846313e-03	1.741973e-02	-5.995572e-03	4.081714e-02	-2.643026e-02
2.450000e+00	-2.537492e-03	1.656317e-02	-9.451125e-03	3.673388e-02	-2.699146e-02
2.500000e+00	-7.128079e-03	1.523606e-02	-1.229852e-02	2.953954e-02	-2.990408e-02
2.550000e+00	-1.086139e-02	1.346489e-02	-1.318922e-02	2.088897e-02	-3.534422e-02
2.600000e+00	-1.287743e-02	1.137434e-02	-1.259442e-02	1.058740e-02	-3.535783e-02
2.650000e+00	-1.477719e-02	1.025833e-02	-1.633881e-02	7.271378e-03	-3.370989e-02
2.700000e+00	-1.539201e-02	1.008185e-02	-1.943606e-02	1.028635e-02	-2.984853e-02
2.750000e+00	-1.472423e-02	1.051185e-02	-1.858364e-02	1.245543e-02	-3.134600e-02
2.800000e+00	-1.303689e-02	1.090263e-02	-1.528390e-02	1.371893e-02	-3.536301e-02
2.850000e+00	-1.182434e-02	1.102510e-02	-1.221881e-02	1.346242e-02	-3.720617e-02
2.900000e+00	-9.835985e-03	1.020776e-02	-8.628401e-03	1.151068e-02	-3.491167e-02
2.950000e+00	-7.393478e-03	8.714112e-03	-5.334934e-03	8.213738e-03	-2.953525e-02
3.000000e+00	-4.785992e-03	7.166150e-03	-2.274401e-03	6.579950e-03	-2.317441e-02
3.050000e+00	-2.037977e-03	6.707763e-03	-1.253462e-03	1.086101e-02	-1.678448e-02
3.100000e+00	5.120738e-04	7.449208e-03	6.540419e-04	1.626260e-02	-1.503333e-02
3.150000e+00	2.727151e-03	8.351697e-03	3.524420e-03	1.915139e-02	-1.656798e-02
3.200000e+00	4.589314e-03	8.572434e-03	6.070294e-03	1.948244e-02	-1.546448e-02
3.250000e+00	6.014291e-03	7.789420e-03	7.340819e-03	1.867335e-02	-1.277181e-02
3.300000e+00	7.281436e-03	6.185373e-03	8.418343e-03	1.904140e-02	-9.148760e-03
3.350000e+00	8.539970e-03	4.609972e-03	8.577998e-03	2.026463e-02	-5.041507e-03
3.400000e+00	9.840676e-03	4.366605e-03	9.860385e-03	2.131739e-02	-1.844208e-03
3.450000e+00	1.121173e-02	5.515875e-03	1.174954e-02	2.207354e-02	-1.955968e-03
3.500000e+00	1.245654e-02	6.583066e-03	1.273180e-02	2.658950e-02	-2.565294e-03
3.550000e+00	1.327678e-02	6.968920e-03	1.291025e-02	3.040418e-02	-1.827878e-03
3.600000e+00	1.337278e-02	6.817804e-03	1.347290e-02	3.064353e-02	-4.709091e-04
3.650000e+00	1.264563e-02	6.767926e-03	1.180810e-02	3.083285e-02	-8.165542e-04
3.700000e+00	1.075069e-02	7.316926e-03	9.337885e-03	3.286470e-02	-5.414059e-03
3.750000e+00	7.665415e-03	8.165100e-03	5.931382e-03	3.171952e-02	-9.408450e-03
3.800000e+00	3.493579e-03	8.573642e-03	9.741779e-04	2.854542e-02	-1.254253e-02
3.850000e+00	-1.529556e-03	8.045013e-03	-3.873940e-03	2.158260e-02	-1.627316e-02
3.900000e+00	-7.286145e-03	6.306888e-03	-8.459261e-03	1.289533e-02	-2.179169e-02
3.950000e+00	-1.333237e-02	3.930785e-03	-1.344467e-02	1.247172e-03	-2.509572e-02
4.000000e+00	-1.906697e-02	3.402870e-03	-1.945298e-02	-7.956278e-03	-2.719629e-02
4.050000e+00	-2.401774e-02	6.014169e-03	-2.432682e-02	-1.128907e-02	-3.692206e-02
4.100000e+00	-2.740752e-02	8.706866e-03	-2.638633e-02	-1.081056e-02	-4.719330e-02
4.150000e+00	-2.851264e-02	1.017053e-02	-2.663734e-02	-9.975892e-03	-5.206003e-02
4.200000e+00	-2.686226e-02	1.000490e-02	-2.506262e-02	-7.958492e-03	-5.017273e-02
