# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	4.842509e-04	9.853106e-02	0.000000e+00	4.086983e-01	-4.858219e-01
5.000000e-02	-1.173905e-02	1.344827e-01	-1.619455e-03	3.907655e-01	-4.993081e-01
1.000000e-01	-2.126749e-02	1.351163e-01	-7.169316e-03	3.726485e-01	-5.126571e-01
1.500000e-01	-4.985342e-02	1.397315e-01	-2.026552e-02	3.177533e-01	-5.514560e-01
2.000000e-01	-7.890757e-02	1.478168e-01	-4.169692e-02	2.614612e-01	-5.889460e-01
2.500000e-01	-1.269337e-01	1.664188e-01	-9.303676e-02	2.166511e-01	-6.472842e-01
3.000000e-01	-1.754098e-01	1.887535e-01	-1.420066e-01	2.022652e-01	-7.016271e-01
3.500000e-01	-2.411649e-01	2.220862e-01	-2.135500e-01	1.792475e-01	-7.689538e-01
4.000000e-01	-3.055466e-01	2.548671e-01	-2.969037e-01	1.512727e-01	-8.274911e-01
4.500000e-01	-3.820172e-01	2.936967e-01	-3.506471e-01	1.148930e-01	-8.870906e-01
5.000000e-01	-4.522101e-01	3.265894e-01	-4.518996e-01	7.857322e-02	-9.569693e-01
5.500000e-01	-5.243353e-01	3.576427e-01	-5.603094e-01	2.918136e-02	-1.082641e+00
6.000000e-01	-5.821456e-01	3.773319e-01	-6.305050e-01	-1.336466e-02	-1.172752e+00
6.500000e-01	-6.278450e-01	3.860513e-01	-6.722151e-01	-5.860179e-02	-1.232345e+00
7.000000e-01	-6.505692e-01	3.795284e-01	-6.772501e-01	-1.001426e-01	-1.246886e+00
7.500000e-01	-6.480551e-01	3.555860e-01	-6.418133e-01	-1.396778e-01	-1.208452e+00
8.000000e-01	-6.185060e-01	3.171945e-01	-5.880858e-01	-1.661339e-01	-1.150090e+00
8.500000e-01	-5.589567e-01	2.625399e-01	-5.271011e-01	-1.526258e-01	-1.022188e+00
9.000000e-01	-4.785188e-01	2.020740e-01	-4.835786e-01	-1.118901e-01	-8.932985e-01
9.500000e-01	-3.774313e-01	1.387667e-01	-4.074507e-01	-6.776593e-02	-7.241135e-01
1.000000e+00	-2.731252e-01	9.274239e-02	-2.902467e-01	-3.293027e-02	-5.385981e-01
1.050000e+00	-1.698268e-01	8.146568e-02	-1.539297e-01	1.626361e-02	-4.059054e-01
1.100000e+00	-8.536782e-02	9.625896e-02	-5.586438e-02	1.016983e-01	-3.309703e-01
1.150000e+00	-2.422319e-02	1.080682e-01	-1.203352e-02	1.788632e-01	-2.551934e-01
1.200000e+00	5.518088e-03	1.032294e-01	-1.001488e-03	2.035498e-01	-2.017179e-01
1.250000e+00	4.997630e-03	8.141398e-02	-7.315686e-03	1.760958e-01	-1.667099e-01
1.300000e+00	-1.898515e-02	5.045204e-02	-2.669474e-02	1.117298e-01	-1.343155e-01
1.350000e+00	-5.776032e-02	3.474943e-02	-5.790289e-02	5.338477e-02	-1.627378e-01
1.400000e+00	-9.510794e-02	5.686002e-02	-9.809782e-02	6.186107e-02	-2.079459e-01
1.450000e+00	-1.205065e-01	8.110344e-02	-1.296307e-01	6.355260e-02	-2.605673e-01
1.500000e+00	-1.219454e-01	9.034850e-02	-1.349624e-01	6.476250e-02	-2.703797e-01
1.550000e+00	-9.624124e-02	8.428706e-02	-1.098371e-01	7.504615e-02	-2.374752e-01
1.600000e+00	-4.637124e-02	7.270900e-02	-6.598309e-02	9.274611e-02	-1.578976e-01
1.650000e+00	2.028125e-02	7.726592e-02	4.629414e-02	1.340770e-01	-1.433931e-01
1.700000e+00	8.823810e-02	1.020507e-01	1.245923e-01	2.370285e-01	-1.293854e-01
1.750000e+00	1.471559e-01	1.299998e-01	1.830898e-01	3.168248e-01	-1.036535e-01
1.800000e+00	1.828868e-01	1.441372e-01	2.081846e-01	3.630342e-01	-6.810142e-02
1.850000e+00	1.935264e-01	1.402483e-01	2.154902e-01	3.640613e-01	-2.907558e-02
1.900000e+00	1.774674e-01	1.170802e-01	1.928337e-01	3.403100e-01	7.783493e-03
1.950000e+00	1.437331e-01	8.170579e-02	1.459345e-01	2.748150e-01	2.920074e-02
2.000000e+00	1.009580e-01	4.432107e-02	9.853672e-02	1.942780e-01	1.335904e-02
2.050000e+00	5.931655e-02	2.795503e-02	6.093366e-02	1.162560e-01	-8.631033e-03
2.100000e+00	2.809206e-02	4.253321e-02	1.457956e-02	1.178845e-01	-4.754839e-02
2.150000e+00	1.122338e-02	5.210990e-02	-5.196791e-03	1.122472e-01	-7.387010e-02
2.200000e+00	6.608478e-03	4.971856e-02	4.162885e-03	9.699800e-02	-6.816925e-02
2.250000e+00	7.072553e-03	4.163923e-02	1.614776e-03	7.638107e-02	-5.212213e-02
2.300000e+00	7.792779e-03	3.124053e-02	4.914697e-03	5.879200e-02	-3.769950e-02
2.350000e+00	5.455410e-03	2.254874e-02	4.797749e-03	4.657512e-02	-3.344018e-02
2.400000e+00	-6.035323e-04	1.727287e-02	-3.443832e-03	3.596425e-02	-3.497685e-02
2.450000e+00	-5.359246e-03	1.411595e-02	-7.748492e-03	2.795900e-02	-3.416785e-02
2.500000e+00	-9.997933e-03	1.192803e-02	-1.170789e-02	1.851669e-02	-3.171350e-02
2.550000e+00	-1.363756e-02	9.945080e-03	-1.397059e-02	9.177343e-03	-3.090251e-02
2.600000e+00	-1.550556e-02	7.870467e-03	-1.479987e-02	1.305870e-03	-3.245662e-02
2.650000e+00	-1.720431e-02	6.162576e-03	-1.759764e-02	-2.473748e-03	-3.191718e-02
2.700000e+00	-1.732233e-02	5.395265e-03	-1.823838e-02	-4.922859e-03	-2.807219e-02
2.750000e+00	-1.586210e-02	6.083624e-03	-1.558063e-02	-2.757481e-03	-3.044740e-02
2.800000e+00	-1.312339e-02	7.543685e-03	-1.139714e-02	1.795121e-04	-3.175310e-02
2.850000e+00	-1.049805e-02	9.253519e-03	-8.496850e-03	4.877043e-03	-3.260274e-02
2.900000e+00	-6.952304e-03	1.038770e-02	-4.802832e-03	1.157606e-02	-3.156206e-02
2.950000e+00	-3.043821e-03	1.068825e-02	-1.194304e-03	1.620490e-02	-2.800398e-02
3.000000e+00	6.803649e-04	1.014255e-02	2.561237e-03	2.056131e-02	-2.277721e-02
3.050000e+00	4.079017e-03	8.813772e-03	5.269781e-03	2.240193e-02	-1.827623e-02
3.100000e+00	6.571567e-03	7.014698e-03	7.676024e-03	2.209795e-02	-1.278724e-02
3.150000e+00	7.948777e-03	5.162863e-03	8.521699e-03	1.962714e-02	-7.075343e-03
3.200000e+00	8.242169e-03	3.843826e-03	8.467243e-03	1.757978e-02	-2.536559e-03
3.250000e+00	7.544478e-03	3.764373e-03	7.628331e-03	1.728774e-02	-4.115145e-03
3.300000e+00	6.336880e-03	4.904250e-03	5.832401e-03	1.975452e-02	-4.664241e-03
3.350000e+00	5.058626e-03	6.274584e-03	3.281973e-03	1.977095e-02	-8.958115e-03
3.400000e+00	4.045828e-03	7.331665e-03	2.373299e-03	2.097891e-02	-1.174775e-02
3.450000e+00	3.528809e-03	7.921021e-03	2.270862e-03	2.185738e-02	-1.295798e-02
3.500000e+00	3.522490e-03	7.892273e-03	3.154225e-03	2.205483e-02	-1.287235e-02
3.550000e+00	3.790972e-03	7.503102e-03	4.380635e-03	2.195528e-02	-1.376308e-02
3.600000e+00	3.997178e-03	7.122817e-03	5.186703e-03	1.999444e-02	-1.391811e-02
3.650000e+00	3.954646e-03	6.992553e-03	5.274947e-03	1.618552e-02	-1.311867e-02
3.700000e+00	3.196241e-03	6.922116e-03	3.904335e-03	1.906853e-02	-1.130498e-02
3.750000e+00	1.546433e-03	6.597415e-03	1.308289e-03	1.939727e-02	-9.084884e-03
3.800000e+00	-1.009428e-03	5.954475e-03	-1.817050e-03	1.619766e-02	-1.231484e-02
3.850000e+00	-4.247862e-03	5.487639e-03	-3.996854e-03	9.634289e-03	-1.488867e-02
3.900000e+00	-8.128408e-03	5.985912e-03	-8.715644e-03	5.829040e-03	-1.862991e-02
3.950000e+00	-1.224668e-02	7.535489e-03	-1.424110e-02	7.043557e-03	-2.486016e-02
4.000000e+00	-1.606275e-02	9.325114e-03	-1.852913e-02	7.882433e-03	-3.259735e-02
4.050000e+00	-1.911593e-02	1.085155e-02	-2.164882e-02	7.501134e-03	-3.786180e-02
4.100000e+00	-2.083024e-02	1.147020e-02	-2.262203e-02	5.463957e-03	-4.282175e-02
4.150000e+00	-2.063173e-02	1.097933e-02	-2.143443e-02	2.471977e-03	-4.525129e-02
4.200000e+00	-1.817719e-02	9.510023e-03	-1.735557e-02	5.734468e-04	-4.215516e-02
4.250000e+00	-1.388081e-02	7.830055e-03	-1.281356e-02	3.724858e-03	-3.596046e-02
4.300000e+00	-7.761931e-03	6.866107e-03	-8.000296e-03	7.942261e-03	-2.594967e-02
4.350000e+00	-5.006177e-04	7.792167e-03	-8.490191e-04	1.727924e-02	-1.692131e-02
4.400000e+00	6.983621e-03	9.994637e-03	7.746425e-03	2.651274e-02	-1.426481e-02
4.450000e+00	1.356248e-02	1.214593e-02	1.702506e-02	3.288030e-02	-1.042160e-02
4.500000e+00	1.878300e-02	1.360418e-02	2.411758e-02	3.759356e-02	-6.631751e-03
4.550000e+00	2.224059e-02	1.409470e-02	2.830874e-02	4.242171e-02	-4.310813e-03
4.600000e+00	2.391436e-02	1.366375e-02	2.959428e-02	4.463827e-02	-1.051557e-03
4.650000e+00	2.406960e-02	1.272539e-02	2.845753e-02	4.395998e-02	-3.945933e-04
4.700000e+00	2.320650e-02	1.159181e-02	2.516306e-02	4.309953e-02	-3.800540e-03
4.750000e+00	2.170845e-02	1.059219e-02	2.223674e-02	4.058040e-02	-7.176361e-03
4.800000e+00	1.977783e-02	9.881834e-03	2.015672e-02	4.191316e-02	-9.086895e-03
4.850000e+00	1.738131e-02	9.477125e-03	1.755454e-02	4.163478e-02	-8.567862e-03
4.900000e+00	1.439664e-02	9.290698e-03	1.335999e-02	4.106645e-02	-5.123946e-03
4.950000e+00	1.067067e-02	9.586567e-03	8.655324e-03	4.088461e-02	-8.523445e-03
5.000000e+00	6.206809e-03	1.077257e-02	5.623739e-03	4.040192e-02	-1.187198e-02
5.050000e+00	1.260594e-03	1.280407e-02	-1.725264e-04	3.802744e-02	-2.154114e-02
5.100000e+00	-3.652737e-03	1.508818e-02	-7.599983e-03	3.303268e-02	-3.016192e-02
5.150000e+00	-7.973391e-03	1.683185e-02	-1.389367e-02	2.654359e-02	-3.650171e-02
5.200000e+00	-1.125854e-02	1.747945e-02	-1.770599e-02	2.671577e-02	-4.252713e-02
5.250000e+00	-1.334007e-02	1.692573e-02	-1.846099e-02	2.373365e-02	-4.680225e-02
5.300000e+00	-1.445766e-02	1.562189e-02	-1.731463e-02	2.206366e-02	-4.852017e-02
5.350000e+00	-1.517202e-02	1.431712e-02	-1.658150e-02	1.950868e-02	-4.780071e-02
5.400000e+00	-1.615807e-02	1.353939e-02	-1.689029e-02	1.638005e-02	-4.502663e-02
5.450000e+00	-1.781186e-02	1.313958e-02	-1.829228e-02	1.264687e-02	-4.325933e-02
5.500000e+00	-2.030764e-02	1.289250e-02	-2.117426e-02	1.299923e-02	-4.844895e-02
5.550000e+00	-2.323957e-02	1.287573e-02	-2.399254e-02	1.145907e-02	-5.277430e-02
5.600000e+00	-2.575879e-02	1.336120e-02	-2.694122e-02	8.498995e-03	-5.569885e-02
5.650000e+00	-2.671119e-02	1.405184e-02	-2.838711e-02	7.043016e-03	-5.905981e-02
5.700000e+00	-2.531929e-02	1.426213e-02	-2.612728e-02	8.407014e-03	-6.082500e-02
5.750000e+00	-2.115385e-02	1.349753e-02	-2.114029e-02	2.026287e-02	-5.586910e-02
5.800000e+00	-1.440997e-02	1.224697e-02	-1.499948e-02	3.137362e-02	-4.752514e-02
5.850000e+00	-5.801820e-03	1.210223e-02	-5.627971e-03	4.046436e-02	-3.944151e-02
5.900000e+00	3.392465e-03	1.419557e-02	4.582622e-03	4.661181e-02	-3.026878e-02
5.950000e+00	1.196568e-02	1.740746e-02	1.465153e-02	4.957134e-02	-2.775667e-02
6.000000e+00	1.899396e-02	2.018938e-02	2.396747e-02	5.465224e-02	-2.658990e-02
6.050000e+00	2.401844e-02	2.178562e-02	3.150342e-02	6.195723e-02	-2.403052e-02
6.100000e+00	2.700439e-02	2.237633e-02	3.556351e-02	6.305262e-02	-2.149985e-02
6.150000e+00	2.832097e-02	2.248831e-02	3.709302e-02	6.008433e-02	-2.530994e-02
6.200000e+00	2.841402e-02	2.252336e-02	3.505228e-02	6.945827e-02	-2.894301e-02
6.250000e+00	2.757739e-02	2.247444e-02	3.161982e-02	7.564323e-02	-3.088185e-02
6.300000e+00	2.584276e-02	2.206090e-02	2.870692e-02	7.724490e-02	-3.061324e-02
6.350000e+00	2.302581e-02	2.101738e-02	2.495345e-02	7.367325e-02	-2.783901e-02
6.400000e+00	1.889694e-02	1.925074e-02	2.009873e-02	6.586251e-02	-2.770495e-02
6.450000e+00	1.339190e-02	1.692444e-02	1.450794e-02	6.482539e-02	-2.593601e-02
6.500000e+00	6.762113e-03	1.466573e-02	5.706008e-03	6.263714e-02	-3.497156e-02
6.550000e+00	-4.849607e-04	1.373817e-02	-2.450480e-03	5.733123e-02	-4.331104e-02
