# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	4.482613e-02	3.274996e-01	0.000000e+00	9.401237e-01	-4.555842e-01
5.000000e-02	8.982788e-02	4.470684e-01	6.284260e-02	9.710510e-01	-4.589699e-01
1.000000e-01	7.766647e-02	4.376922e-01	4.941685e-02	9.481033e-01	-4.623446e-01
1.500000e-01	4.044104e-02	4.090303e-01	8.777400e-03	8.766150e-01	-4.722679e-01
2.000000e-01	2.038140e-03	3.795276e-01	-3.240045e-02	8.010945e-01	-4.819691e-01
2.500000e-01	-6.318314e-02	3.294584e-01	-1.019495e-01	6.687756e-01	-4.971806e-01
3.000000e-01	-1.299730e-01	2.782811e-01	-1.727241e-01	5.290567e-01	-5.111779e-01
3.500000e-01	-2.220574e-01	2.079037e-01	-2.695148e-01	3.293192e-01	-5.275053e-01
4.000000e-01	-3.128937e-01	1.405503e-01	-3.541980e-01	1.251937e-01	-5.401058e-01
4.500000e-01	-4.206491e-01	7.673435e-02	-4.351160e-01	-1.275074e-01	-5.850144e-01
5.000000e-01	-5.191678e-01	8.919552e-02	-4.927316e-01	-3.364549e-01	-7.537470e-01
5.500000e-01	-6.184087e-01	1.643335e-01	-5.422516e-01	-3.946953e-01	-9.327539e-01
6.000000e-01	-6.957907e-01	2.409688e-01	-6.264398e-01	-3.879399e-01	-1.076718e+00
6.500000e-01	-7.528032e-01	3.139917e-01	-6.950435e-01	-3.715387e-01	-1.186399e+00
7.000000e-01	-7.751769e-01	3.684126e-01	-7.318851e-01	-3.400722e-01	-1.254815e+00
7.500000e-01	-7.589279e-01	4.044674e-01	-7.296013e-01	-2.821998e-01	-1.261605e+00
8.000000e-01	-7.032457e-01	4.163491e-01	-6.855909e-01	-2.130007e-01	-1.217262e+00
8.500000e-01	-6.041038e-01	4.039832e-01	-5.782645e-01	-1.216500e-01	-1.115704e+00
9.000000e-01	-4.765884e-01	3.706424e-01	-4.436891e-01	-2.852880e-02	-9.505817e-01
9.500000e-01	-3.217195e-01	3.182450e-01	-2.861171e-01	7.434757e-02	-7.409427e-01
1.000000e+00	-1.662967e-01	2.567840e-01	-1.362000e-01	1.705107e-01	-5.441016e-01
1.050000e+00	-1.657744e-02	1.904879e-01	2.160050e-03	2.489828e-01	-3.545429e-01
1.100000e+00	1.004695e-01	1.307528e-01	1.165900e-01	2.945908e-01	-1.923203e-01
1.150000e+00	1.789600e-01	8.184824e-02	2.024232e-01	3.113174e-01	-6.634607e-02
1.200000e+00	2.061610e-01	5.075572e-02	2.145592e-01	2.941245e-01	6.896247e-03
1.250000e+00	1.842967e-01	3.731863e-02	1.927220e-01	2.510078e-01	3.118842e-02
1.300000e+00	1.225430e-01	3.500427e-02	1.330885e-01	1.773688e-01	2.836386e-03
1.350000e+00	3.337111e-02	3.680721e-02	4.200233e-02	1.040640e-01	-8.230504e-02
1.400000e+00	-5.869332e-02	3.800339e-02	-5.485811e-02	2.430215e-02	-1.590191e-01
1.450000e+00	-1.386387e-01	3.466435e-02	-1.377511e-01	-5.716476e-02	-2.246091e-01
1.500000e+00	-1.848929e-01	2.436506e-02	-1.855595e-01	-1.112572e-01	-2.433169e-01
1.550000e+00	-1.923221e-01	2.283696e-02	-1.921972e-01	-8.212293e-02	-2.511614e-01
1.600000e+00	-1.585530e-01	5.028134e-02	-1.541008e-01	-2.367855e-02	-2.587520e-01
1.650000e+00	-9.347959e-02	8.786240e-02	-9.213631e-02	5.351310e-02	-2.367270e-01
1.700000e+00	-1.361707e-02	1.205448e-01	-1.561167e-02	1.475755e-01	-1.863513e-01
1.750000e+00	6.526249e-02	1.427982e-01	6.141839e-02	2.481856e-01	-1.200364e-01
1.800000e+00	1.243836e-01	1.461466e-01	1.212672e-01	3.052769e-01	-4.993317e-02
1.850000e+00	1.575236e-01	1.314580e-01	1.457931e-01	3.250650e-01	2.969003e-03
1.900000e+00	1.595848e-01	1.002693e-01	1.465026e-01	2.924621e-01	3.231366e-02
1.950000e+00	1.391115e-01	6.012712e-02	1.335590e-01	2.265001e-01	5.146187e-02
2.000000e+00	1.041473e-01	2.148117e-02	1.053816e-01	1.453651e-01	5.917548e-02
2.050000e+00	6.746315e-02	2.021332e-02	6.341598e-02	1.109278e-01	2.404380e-02
2.100000e+00	3.791834e-02	3.734517e-02	3.803480e-02	9.574520e-02	-2.339953e-02
2.150000e+00	2.071018e-02	3.870193e-02	2.652774e-02	7.492448e-02	-3.650587e-02
