# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-5.917492e-02	1.974351e-01	0.000000e+00	4.104433e-01	-5.701406e-01
5.000000e-02	-1.201967e-01	2.566316e-01	-4.326891e-02	3.907013e-01	-5.696139e-01
1.000000e-01	-1.241749e-01	2.502822e-01	-4.450875e-02	3.733018e-01	-5.663275e-01
1.500000e-01	-1.365434e-01	2.327009e-01	-5.037647e-02	3.255209e-01	-5.561583e-01
2.000000e-01	-1.497061e-01	2.174643e-01	-5.507405e-02	2.761655e-01	-5.456633e-01
2.500000e-01	-1.726107e-01	1.987008e-01	-7.424164e-02	1.913791e-01	-5.284772e-01
3.000000e-01	-1.973270e-01	1.891741e-01	-1.414333e-01	1.031865e-01	-5.114140e-01
3.500000e-01	-2.327977e-01	1.928665e-01	-2.687978e-01	9.629754e-02	-5.701728e-01
4.000000e-01	-2.701426e-01	2.122340e-01	-3.700449e-01	8.670477e-02	-6.665422e-01
4.500000e-01	-3.173309e-01	2.505678e-01	-3.630282e-01	7.956315e-02	-7.868648e-01
5.000000e-01	-3.642391e-01	2.929212e-01	-3.413034e-01	7.887581e-02	-8.922184e-01
5.500000e-01	-4.162097e-01	3.408654e-01	-3.137973e-01	6.135102e-02	-1.012696e+00
6.000000e-01	-4.625290e-01	3.789096e-01	-3.009656e-01	2.509577e-02	-1.112579e+00
6.500000e-01	-5.045166e-01	4.070260e-01	-2.930012e-01	0.000000e+00	-1.196025e+00
7.000000e-01	-5.328519e-01	4.163106e-01	-2.957528e-01	0.000000e+00	-1.226305e+00
7.500000e-01	-5.449301e-01	4.045982e-01	-3.189612e-01	0.000000e+00	-1.242015e+00
8.000000e-01	-5.362115e-01	3.726524e-01	-3.622544e-01	0.000000e+00	-1.203771e+00
8.500000e-01	-5.026844e-01	3.193155e-01	-3.893532e-01	0.000000e+00	-1.110218e+00
9.000000e-01	-4.480431e-01	2.552536e-01	-4.023242e-01	0.000000e+00	-9.633696e-01
9.500000e-01	-3.709618e-01	1.845582e-01	-3.867203e-01	0.000000e+00	-7.675558e-01
1.000000e+00	-2.838119e-01	1.275159e-01	-3.281248e-01	0.000000e+00	-5.622617e-01
1.050000e+00	-1.901574e-01	1.007575e-01	-1.644223e-01	0.000000e+00	-4.739103e-01
1.100000e+00	-1.060988e-01	1.067272e-01	-7.958803e-02	8.599797e-02	-4.032125e-01
1.150000e+00	-3.775000e-02	1.171472e-01	-3.635339e-02	1.962987e-01	-3.151321e-01
1.200000e+00	4.505874e-03	1.127190e-01	-1.110435e-02	2.395479e-01	-2.221639e-01
1.250000e+00	1.829963e-02	9.089166e-02	0.000000e+00	2.325744e-01	-1.593322e-01
1.300000e+00	6.427482e-03	5.777012e-02	0.000000e+00	1.701462e-01	-1.115709e-01
1.350000e+00	-2.546429e-02	3.222710e-02	-2.736950e-02	7.329881e-02	-1.170492e-01
1.400000e+00	-6.306527e-02	4.766938e-02	-5.944769e-02	9.867561e-02	-1.959038e-01
1.450000e+00	-9.604092e-02	7.195569e-02	-9.823815e-02	1.071716e-01	-2.408436e-01
1.500000e+00	-1.102544e-01	8.309591e-02	-1.268960e-01	1.040129e-01	-2.694047e-01
1.550000e+00	-9.987086e-02	7.979537e-02	-1.409817e-01	9.565106e-02	-2.504187e-01
1.600000e+00	-6.345911e-02	6.835259e-02	-8.313426e-02	9.623398e-02	-1.797371e-01
1.650000e+00	-5.779102e-03	6.309034e-02	1.554208e-02	1.072283e-01	-1.237652e-01
1.700000e+00	6.038326e-02	7.156783e-02	8.364287e-02	1.856307e-01	-6.775667e-02
1.750000e+00	1.243086e-01	8.566841e-02	1.135827e-01	2.779067e-01	0.000000e+00
1.800000e+00	1.706604e-01	9.287616e-02	1.315838e-01	3.347068e-01	0.000000e+00
1.850000e+00	1.943631e-01	9.220695e-02	1.750762e-01	3.534965e-01	0.000000e+00
1.900000e+00	1.905293e-01	8.571666e-02	2.189517e-01	3.204436e-01	0.000000e+00
1.950000e+00	1.654581e-01	8.025734e-02	2.036493e-01	2.899373e-01	0.000000e+00
2.000000e+00	1.259308e-01	7.661849e-02	1.233388e-01	2.795370e-01	0.000000e+00
2.050000e+00	8.259834e-02	7.301914e-02	5.041493e-02	2.413277e-01	0.000000e+00
2.100000e+00	4.534089e-02	6.211185e-02	1.431298e-02	1.794200e-01	-2.459673e-02
2.150000e+00	2.026333e-02	4.314783e-02	6.243804e-03	1.076589e-01	-4.226162e-02
2.200000e+00	7.791625e-03	2.191001e-02	1.077998e-02	4.453641e-02	-3.815642e-02
2.250000e+00	3.137186e-03	1.670260e-02	-2.629646e-03	4.104710e-02	-2.649861e-02
2.300000e+00	2.281329e-03	2.561855e-02	0.000000e+00	4.855594e-02	-4.625602e-02
2.350000e+00	1.685632e-03	2.939871e-02	0.000000e+00	4.894777e-02	-5.811979e-02
2.400000e+00	-7.292466e-04	2.663433e-02	-5.790758e-03	4.371727e-02	-5.407279e-02
2.450000e+00	-2.365994e-03	2.340959e-02	-1.165691e-02	3.865115e-02	-4.655629e-02
2.500000e+00	-4.433208e-03	1.900212e-02	-1.390605e-02	3.008428e-02	-3.629271e-02
2.550000e+00	-6.615451e-03	1.515385e-02	-6.232948e-03	1.940036e-02	-3.498549e-02
2.600000e+00	-8.397263e-03	1.282185e-02	-1.841651e-03	9.109101e-03	-3.437242e-02
2.650000e+00	-1.088135e-02	1.266607e-02	-8.826243e-03	1.251823e-02	-3.357373e-02
2.700000e+00	-1.270745e-02	1.330713e-02	-1.721873e-02	1.490889e-02	-3.189807e-02
2.750000e+00	-1.359885e-02	1.372427e-02	-2.151674e-02	1.593035e-02	-3.191254e-02
2.800000e+00	-1.350137e-02	1.345451e-02	-1.725613e-02	1.489895e-02	-3.529215e-02
2.850000e+00	-1.365576e-02	1.284105e-02	-1.282466e-02	1.147951e-02	-3.673343e-02
2.900000e+00	-1.262795e-02	1.145167e-02	-8.527758e-03	6.693338e-03	-3.457742e-02
2.950000e+00	-1.065629e-02	9.740832e-03	-6.478731e-03	3.342552e-03	-2.919067e-02
3.000000e+00	-8.055147e-03	8.308211e-03	-7.582625e-03	6.263340e-03	-2.257595e-02
3.050000e+00	-4.890259e-03	7.968512e-03	-8.411543e-03	1.089688e-02	-1.717951e-02
3.100000e+00	-1.678729e-03	8.456113e-03	-2.456080e-03	1.462029e-02	-1.692598e-02
3.150000e+00	1.210218e-03	9.129374e-03	2.364435e-03	1.716812e-02	-1.715479e-02
3.200000e+00	3.541840e-03	9.510892e-03	6.831041e-03	1.835292e-02	-1.673030e-02
3.250000e+00	5.227942e-03	9.406941e-03	9.451607e-03	1.803288e-02	-1.540555e-02
3.300000e+00	6.273087e-03	8.855990e-03	1.050445e-02	1.985374e-02	-1.219160e-02
3.350000e+00	6.825680e-03	8.113946e-03	9.699645e-03	2.300298e-02	-8.960420e-03
3.400000e+00	7.049045e-03	7.446473e-03	7.836542e-03	2.336725e-02	-6.106662e-03
3.450000e+00	7.209585e-03	6.948056e-03	6.142881e-03	2.173744e-02	-6.786900e-03
3.500000e+00	7.307101e-03	6.467344e-03	6.427897e-03	2.215599e-02	-8.596933e-03
3.550000e+00	7.271945e-03	5.862154e-03	6.850005e-03	2.237385e-02	-8.547321e-03
3.600000e+00	6.971489e-03	5.109066e-03	6.779795e-03	2.151567e-02	-6.591520e-03
3.650000e+00	6.511001e-03	4.499001e-03	6.765569e-03	1.891961e-02	-4.504613e-03
3.700000e+00	5.414329e-03	4.578431e-03	6.047697e-03	1.768715e-02	-4.938557e-03
3.750000e+00	3.555577e-03	5.240641e-03	4.886789e-03	1.853642e-02	-8.099881e-03
3.800000e+00	9.044148e-04	5.859287e-03	2.261047e-03	1.730779e-02	-1.149471e-02
3.850000e+00	-2.340905e-03	6.063539e-03	-8.001100e-04	1.324755e-02	-1.430855e-02
3.900000e+00	-6.250695e-03	5.540623e-03	-5.258030e-03	6.870557e-03	-1.666627e-02
3.950000e+00	-1.046761e-02	4.831902e-03	-1.028450e-02	7.159482e-04	-1.916511e-02
4.000000e+00	-1.449782e-02	5.238374e-03	-1.621015e-02	0.000000e+00	-2.194629e-02
4.050000e+00	-1.802429e-02	7.185303e-03	-1.831103e-02	0.000000e+00	-3.238267e-02
4.100000e+00	-2.041403e-02	9.515529e-03	-1.929068e-02	0.000000e+00	-4.227690e-02
4.150000e+00	-2.108728e-02	1.104586e-02	-1.887478e-02	0.000000e+00	-4.677245e-02
4.200000e+00	-1.966698e-02	1.106063e-02	-1.646127e-02	0.000000e+00	-4.480933e-02
4.250000e+00	-1.651726e-02	9.574048e-03	-1.389592e-02	1.941360e-03	-3.749934e-02
4.300000e+00	-1.151038e-02	6.858140e-03	-1.120396e-02	6.963667e-03	-2.671866e-02
4.350000e+00	-5.191293e-03	4.988405e-03	-5.737942e-03	1.183666e-02	-1.538636e-02
4.400000e+00	1.653328e-03	7.040544e-03	2.655328e-03	1.591858e-02	-1.601210e-02
4.450000e+00	7.990247e-03	1.054944e-02	1.069125e-02	2.621822e-02	-1.635016e-02
4.500000e+00	1.343781e-02	1.337087e-02	1.654900e-02	3.535529e-02	-1.517604e-02
4.550000e+00	1.758643e-02	1.475080e-02	1.998842e-02	4.188021e-02	-1.205223e-02
4.600000e+00	2.036036e-02	1.459617e-02	2.222264e-02	4.435779e-02	-6.860890e-03
4.650000e+00	2.195727e-02	1.335246e-02	2.289520e-02	4.511668e-02	-1.643235e-04
4.700000e+00	2.278997e-02	1.160761e-02	2.253161e-02	4.491377e-02	0.000000e+00
4.750000e+00	2.315523e-02	1.008053e-02	2.214381e-02	4.287986e-02	0.000000e+00
4.800000e+00	2.317800e-02	9.356594e-03	2.426232e-02	3.995807e-02	-3.803568e-04
4.850000e+00	2.271247e-02	9.557844e-03	2.539013e-02	3.679913e-02	-2.882421e-03
4.900000e+00	2.149069e-02	1.039984e-02	2.238825e-02	4.231912e-02	-5.337516e-03
4.950000e+00	1.914930e-02	1.173313e-02	1.759327e-02	4.617386e-02	-1.010859e-02
5.000000e+00	1.544235e-02	1.355168e-02	1.185902e-02	4.747691e-02	-1.301654e-02
5.050000e+00	1.038965e-02	1.563549e-02	4.606898e-03	4.536745e-02	-1.488308e-02
5.100000e+00	4.371113e-03	1.735493e-02	0.000000e+00	4.187276e-02	-2.610970e-02
5.150000e+00	-2.033386e-03	1.789277e-02	-2.467118e-03	3.516380e-02	-3.569398e-02
5.200000e+00	-8.151409e-03	1.672542e-02	-6.062042e-03	2.542009e-02	-4.156298e-02
5.250000e+00	-1.338283e-02	1.405559e-02	-1.122065e-02	1.346253e-02	-4.349580e-02
