# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	6.777122e-03	1.002720e-01	0.000000e+00	3.069441e-01	-2.558609e-01
5.000000e-02	8.643760e-03	1.309133e-01	-8.866446e-03	3.348057e-01	-2.504203e-01
1.000000e-01	1.437758e-03	1.210797e-01	-1.274255e-02	3.212227e-01	-2.392052e-01
1.500000e-01	-2.070303e-02	9.535918e-02	-3.632439e-02	2.798182e-01	-2.073764e-01
2.000000e-01	-4.385911e-02	7.809130e-02	-4.966833e-02	2.370590e-01	-2.535810e-01
2.500000e-01	-8.349706e-02	7.978319e-02	-7.688133e-02	1.640063e-01	-3.369630e-01
3.000000e-01	-1.253814e-01	1.114070e-01	-1.012233e-01	8.782282e-02	-4.422346e-01
3.500000e-01	-1.846708e-01	1.697741e-01	-1.329718e-01	8.007866e-02	-5.804274e-01
4.000000e-01	-2.458776e-01	2.285493e-01	-1.701390e-01	7.935952e-02	-7.095803e-01
4.500000e-01	-3.225002e-01	2.975284e-01	-2.428562e-01	7.739803e-02	-8.634244e-01
5.000000e-01	-3.974972e-01	3.559890e-01	-3.238515e-01	7.042909e-02	-9.931971e-01
5.500000e-01	-4.802794e-01	4.114355e-01	-4.161875e-01	4.532515e-02	-1.119228e+00
6.000000e-01	-5.535550e-01	4.479831e-01	-4.994350e-01	1.660416e-02	-1.203323e+00
6.500000e-01	-6.205627e-01	4.674280e-01	-5.715834e-01	-3.013106e-02	-1.269253e+00
7.000000e-01	-6.670632e-01	4.622456e-01	-6.231300e-01	-9.316635e-02	-1.287543e+00
7.500000e-01	-6.904595e-01	4.308233e-01	-6.685351e-01	-1.664516e-01	-1.240381e+00
8.000000e-01	-6.843623e-01	3.766910e-01	-6.649750e-01	-2.139469e-01	-1.156584e+00
8.500000e-01	-6.440684e-01	2.990326e-01	-6.408861e-01	-2.554794e-01	-1.058906e+00
9.000000e-01	-5.751540e-01	2.118346e-01	-5.796463e-01	-2.832932e-01	-9.485998e-01
9.500000e-01	-4.764752e-01	1.201369e-01	-4.395385e-01	-2.870875e-01	-7.824871e-01
1.000000e+00	-3.650890e-01	6.091232e-02	-3.628931e-01	-1.999399e-01	-5.830899e-01
1.050000e+00	-2.459462e-01	8.783539e-02	-2.733104e-01	-3.041998e-02	-5.079918e-01
1.100000e+00	-1.400500e-01	1.321721e-01	-1.800027e-01	1.027333e-01	-4.242513e-01
1.150000e+00	-5.501738e-02	1.568131e-01	-7.594214e-02	1.926015e-01	-3.172658e-01
1.200000e+00	-3.136976e-03	1.537524e-01	-1.158726e-02	2.183835e-01	-2.273019e-01
1.250000e+00	1.348322e-02	1.268246e-01	1.863911e-02	2.076806e-01	-2.046163e-01
1.300000e+00	-8.992317e-05	8.444266e-02	-4.665124e-03	1.679291e-01	-1.844424e-01
1.350000e+00	-3.579699e-02	4.423356e-02	-3.846602e-02	9.386420e-02	-1.636444e-01
1.400000e+00	-7.522417e-02	5.066761e-02	-6.820770e-02	1.103872e-01	-2.016242e-01
1.450000e+00	-1.055949e-01	8.138724e-02	-1.052040e-01	1.241029e-01	-2.400803e-01
1.500000e+00	-1.112984e-01	9.816220e-02	-8.401144e-02	1.180643e-01	-2.525903e-01
1.550000e+00	-8.679513e-02	9.443778e-02	-4.192496e-02	1.018950e-01	-2.159259e-01
1.600000e+00	-3.415166e-02	7.128387e-02	2.076487e-03	8.388984e-02	-1.528997e-01
1.650000e+00	3.895438e-02	3.670319e-02	4.926816e-02	1.128142e-01	-5.852191e-02
1.700000e+00	1.141188e-01	2.771011e-02	1.076575e-01	1.980665e-01	5.483018e-02
1.750000e+00	1.787529e-01	6.053041e-02	1.669677e-01	2.851728e-01	6.695965e-02
1.800000e+00	2.154026e-01	8.658607e-02	2.081239e-01	3.371430e-01	7.144456e-02
1.850000e+00	2.214385e-01	9.805795e-02	1.975926e-01	3.522829e-01	7.479890e-02
1.900000e+00	1.955145e-01	9.200782e-02	1.711519e-01	3.209805e-01	7.370426e-02
1.950000e+00	1.489605e-01	7.318173e-02	1.315304e-01	2.599143e-01	5.436244e-02
2.000000e+00	9.383134e-02	4.679703e-02	8.525679e-02	1.717955e-01	3.049313e-02
2.050000e+00	4.256709e-02	2.007551e-02	3.624644e-02	8.890031e-02	8.121395e-03
2.100000e+00	8.151571e-03	1.046581e-02	9.859084e-03	4.210473e-02	-1.861848e-02
2.150000e+00	-5.384731e-03	2.007598e-02	-2.591052e-03	3.381055e-02	-4.104552e-02
2.200000e+00	-2.281623e-03	2.338650e-02	5.918415e-03	3.359910e-02	-4.142904e-02
2.250000e+00	6.526237e-03	2.375607e-02	1.184436e-02	4.385537e-02	-3.350585e-02
2.300000e+00	1.434165e-02	2.257064e-02	1.320029e-02	4.965905e-02	-2.265412e-02
2.350000e+00	1.624721e-02	2.156150e-02	1.649519e-02	4.837614e-02	-1.634280e-02
2.400000e+00	1.102216e-02	2.122158e-02	1.229035e-02	4.088760e-02	-2.136458e-02
2.450000e+00	6.509499e-03	2.033892e-02	7.159582e-03	3.523464e-02	-2.748622e-02
2.500000e+00	2.775426e-04	1.869688e-02	4.222010e-04	2.712645e-02	-3.100344e-02
2.550000e+00	-6.298698e-03	1.605323e-02	-6.635975e-03	1.775978e-02	-3.141629e-02
2.600000e+00	-1.179729e-02	1.232142e-02	-1.215485e-02	7.604005e-03	-3.216802e-02
2.650000e+00	-1.737663e-02	8.427437e-03	-1.716281e-02	-3.183033e-03	-3.364726e-02
2.700000e+00	-2.126424e-02	4.409587e-03	-2.132085e-02	-1.060172e-02	-3.238564e-02
2.750000e+00	-2.298957e-02	2.720819e-03	-2.287570e-02	-1.485527e-02	-3.038787e-02
2.800000e+00	-2.253723e-02	5.281610e-03	-2.185795e-02	-1.167333e-02	-3.497591e-02
2.850000e+00	-2.165049e-02	7.912127e-03	-1.933135e-02	-7.978227e-03	-3.749837e-02
2.900000e+00	-1.862352e-02	9.565105e-03	-1.605658e-02	-3.545519e-03	-3.575037e-02
2.950000e+00	-1.404431e-02	1.006876e-02	-1.211676e-02	1.510824e-03	-3.034968e-02
3.000000e+00	-8.623169e-03	9.547501e-03	-7.598808e-03	6.166231e-03	-2.247321e-02
3.050000e+00	-2.529575e-03	8.552279e-03	-4.056954e-03	1.071383e-02	-1.470466e-02
3.100000e+00	3.102317e-03	7.067574e-03	7.323388e-04	1.507839e-02	-7.478851e-03
3.150000e+00	7.650006e-03	5.413487e-03	7.561817e-03	1.794529e-02	-8.795800e-04
3.200000e+00	1.078968e-02	3.866538e-03	1.056099e-02	1.891293e-02	2.649380e-03
3.250000e+00	1.244632e-02	2.595358e-03	1.228953e-02	1.860957e-02	4.592239e-03
3.300000e+00	1.275388e-02	2.809950e-03	1.284326e-02	1.955576e-02	5.652529e-03
3.350000e+00	1.216340e-02	4.072214e-03	1.231091e-02	2.018806e-02	8.932622e-04
3.400000e+00	1.113953e-02	5.354470e-03	1.163346e-02	1.973010e-02	-4.669287e-03
