# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.239927e-01	1.788660e-01	0.000000e+00	4.304464e-01	-4.906457e-01
5.000000e-02	-2.381801e-01	1.915521e-01	-3.091147e-01	5.609500e-01	-5.033149e-01
1.000000e-01	-2.469089e-01	1.888389e-01	-3.156170e-01	5.478576e-01	-5.095514e-01
1.500000e-01	-2.734762e-01	1.808694e-01	-3.370409e-01	5.066395e-01	-5.277065e-01
2.000000e-01	-3.006399e-01	1.731018e-01	-3.576563e-01	4.622500e-01	-5.485396e-01
2.500000e-01	-3.461765e-01	1.604995e-01	-3.938111e-01	3.827508e-01	-5.813736e-01
3.000000e-01	-3.921610e-01	1.483500e-01	-4.355921e-01	2.962647e-01	-6.126550e-01
3.500000e-01	-4.541834e-01	1.319762e-01	-4.903570e-01	1.728343e-01	-6.495919e-01
4.000000e-01	-5.141266e-01	1.170399e-01	-5.443654e-01	9.739464e-02	-6.884627e-01
4.500000e-01	-5.826611e-01	1.005853e-01	-6.020333e-01	-1.436618e-02	-7.967944e-01
5.000000e-01	-6.433946e-01	8.948825e-02	-6.500937e-01	-1.384190e-01	-8.876930e-01
5.500000e-01	-7.005673e-01	8.490272e-02	-6.908518e-01	-2.969482e-01	-9.699343e-01
6.000000e-01	-7.422227e-01	8.935207e-02	-7.202093e-01	-4.572109e-01	-1.022807e+00
6.500000e-01	-7.666318e-01	1.005191e-01	-7.349603e-01	-5.776422e-01	-1.109162e+00
7.000000e-01	-7.689908e-01	1.113644e-01	-7.285862e-01	-5.698923e-01	-1.153041e+00
7.500000e-01	-7.440282e-01	1.190397e-01	-7.027045e-01	-5.246881e-01	-1.146522e+00
8.000000e-01	-6.956999e-01	1.191785e-01	-6.578405e-01	-4.714868e-01	-1.132857e+00
8.500000e-01	-6.185640e-01	1.112836e-01	-5.846953e-01	-4.049576e-01	-1.085885e+00
9.000000e-01	-5.251720e-01	9.655967e-02	-4.982433e-01	-3.383317e-01	-1.000610e+00
9.500000e-01	-4.126590e-01	7.794263e-02	-3.949943e-01	-2.690232e-01	-9.066795e-01
1.000000e+00	-2.990726e-01	6.297715e-02	-2.864898e-01	-2.057676e-01	-7.667550e-01
