# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	1.380875e-01	3.351402e-01	0.000000e+00	1.105929e+00	-6.302163e-01
5.000000e-02	2.468435e-01	4.243221e-01	3.775895e-01	1.094397e+00	-6.361589e-01
1.000000e-01	2.338510e-01	4.183588e-01	3.581239e-01	1.082143e+00	-6.421307e-01
1.500000e-01	1.935697e-01	4.000167e-01	3.009982e-01	1.040498e+00	-6.602246e-01
2.000000e-01	1.514513e-01	3.810887e-01	2.390984e-01	9.929330e-01	-6.783870e-01
2.500000e-01	7.857425e-02	3.487531e-01	1.374652e-01	9.010897e-01	-7.081198e-01
3.000000e-01	2.573911e-03	3.158515e-01	2.865173e-02	7.964142e-01	-7.370063e-01
3.500000e-01	-1.044357e-01	2.711203e-01	-1.213487e-01	6.345717e-01	-7.735879e-01
4.000000e-01	-2.123571e-01	2.298253e-01	-2.651285e-01	4.583446e-01	-8.059887e-01
4.500000e-01	-3.435092e-01	1.893555e-01	-3.902360e-01	2.535448e-01	-8.372029e-01
5.000000e-01	-4.671773e-01	1.708414e-01	-4.615453e-01	4.496616e-02	-8.580141e-01
5.500000e-01	-5.966441e-01	1.829894e-01	-5.678646e-01	-1.887600e-01	-9.643083e-01
6.000000e-01	-7.041402e-01	2.195953e-01	-7.248970e-01	-3.799270e-01	-1.070850e+00
6.500000e-01	-7.932414e-01	2.685576e-01	-8.778444e-01	-3.643789e-01	-1.166392e+00
7.000000e-01	-8.444352e-01	3.122536e-01	-9.780297e-01	-3.394679e-01	-1.214824e+00
7.500000e-01	-8.545888e-01	3.459325e-01	-1.045427e+00	-2.970370e-01	-1.231813e+00
8.000000e-01	-8.186134e-01	3.620466e-01	-1.031172e+00	-2.302823e-01	-1.197013e+00
8.500000e-01	-7.326806e-01	3.587963e-01	-9.426143e-01	-1.488227e-01	-1.127535e+00
9.000000e-01	-6.097592e-01	3.373078e-01	-7.878995e-01	-6.183673e-02	-1.022027e+00
9.500000e-01	-4.513333e-01	2.985112e-01	-6.075723e-01	4.486739e-02	-8.556591e-01
1.000000e+00	-2.849021e-01	2.502345e-01	-3.974511e-01	1.393377e-01	-6.728743e-01
1.050000e+00	-1.181044e-01	1.960858e-01	-1.878605e-01	2.216241e-01	-4.681858e-01
1.100000e+00	1.924072e-02	1.458493e-01	-5.391900e-03	2.845423e-01	-2.694949e-01
1.150000e+00	1.192199e-01	1.029021e-01	1.220094e-01	3.155092e-01	-9.335711e-02
1.200000e+00	1.659907e-01	7.239324e-02	1.773031e-01	3.351503e-01	-1.361605e-02
1.250000e+00	1.603157e-01	5.324396e-02	1.681549e-01	3.251673e-01	1.942168e-02
1.300000e+00	1.099843e-01	4.416100e-02	1.141532e-01	2.804549e-01	-1.738196e-03
1.350000e+00	2.773301e-02	4.303297e-02	2.857165e-02	2.078305e-01	-9.027911e-02
1.400000e+00	-6.099698e-02	4.481968e-02	-6.304623e-02	1.219620e-01	-1.810098e-01
1.450000e+00	-1.392914e-01	4.339600e-02	-1.346738e-01	3.186107e-02	-2.476481e-01
1.500000e+00	-1.838402e-01	3.550269e-02	-1.795000e-01	-4.482125e-02	-2.673908e-01
1.550000e+00	-1.875302e-01	2.924318e-02	-1.916513e-01	-7.831687e-02	-2.485158e-01
