# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.123433e-01	1.574910e-01	0.000000e+00	1.720989e-01	-5.966588e-01
5.000000e-02	-2.266872e-01	1.575557e-01	-2.370653e-01	1.858788e-01	-6.046206e-01
1.000000e-01	-2.355845e-01	1.558104e-01	-2.468418e-01	1.723233e-01	-6.124674e-01
1.500000e-01	-2.627477e-01	1.505533e-01	-2.749307e-01	1.308468e-01	-6.358587e-01
2.000000e-01	-2.904936e-01	1.452642e-01	-3.034520e-01	8.817032e-02	-6.598283e-01
2.500000e-01	-3.374006e-01	1.362104e-01	-3.508003e-01	1.500811e-02	-6.961439e-01
3.000000e-01	-3.848451e-01	1.269886e-01	-3.929270e-01	-5.107524e-02	-7.281450e-01
3.500000e-01	-4.496729e-01	1.136029e-01	-4.549962e-01	-1.247962e-01	-7.635156e-01
4.000000e-01	-5.126328e-01	1.003176e-01	-5.188002e-01	-2.002324e-01	-7.892804e-01
4.500000e-01	-5.855982e-01	8.425009e-02	-5.905717e-01	-2.994666e-01	-8.054866e-01
5.000000e-01	-6.507082e-01	7.148837e-02	-6.537698e-01	-3.985726e-01	-8.468124e-01
5.500000e-01	-7.127017e-01	6.425141e-02	-7.084393e-01	-5.117693e-01	-9.422789e-01
6.000000e-01	-7.582961e-01	6.698906e-02	-7.495794e-01	-5.989155e-01	-1.023426e+00
6.500000e-01	-7.855092e-01	7.784845e-02	-7.844970e-01	-6.205580e-01	-1.074532e+00
7.000000e-01	-7.888373e-01	8.886763e-02	-7.989453e-01	-5.965188e-01	-1.081439e+00
7.500000e-01	-7.624406e-01	9.621087e-02	-7.712072e-01	-5.333037e-01	-1.053292e+00
8.000000e-01	-7.106530e-01	9.573619e-02	-7.168378e-01	-4.720303e-01	-9.960714e-01
8.500000e-01	-6.276477e-01	8.689988e-02	-6.288027e-01	-4.039198e-01	-8.907805e-01
9.000000e-01	-5.273037e-01	7.254646e-02	-5.202161e-01	-3.490284e-01	-7.527805e-01
9.500000e-01	-4.068983e-01	5.884370e-02	-3.964222e-01	-2.985133e-01	-6.153105e-01
1.000000e+00	-2.861009e-01	5.689483e-02	-2.757656e-01	-1.506814e-01	-4.776403e-01
1.050000e+00	-1.658848e-01	6.735480e-02	-1.473314e-01	3.511452e-04	-3.338728e-01
1.100000e+00	-6.459102e-02	7.937015e-02	-4.557436e-02	1.295822e-01	-2.527786e-01
1.150000e+00	1.574698e-02	8.589950e-02	2.476279e-02	2.275317e-01	-2.006189e-01
1.200000e+00	6.591447e-02	8.643859e-02	6.089163e-02	2.967030e-01	-1.479645e-01
1.250000e+00	8.680583e-02	8.864579e-02	6.287944e-02	3.236207e-01	-8.562349e-02
1.300000e+00	8.216179e-02	1.006922e-01	4.573929e-02	3.135147e-01	-8.121992e-02
1.350000e+00	5.765791e-02	1.232023e-01	3.643217e-02	2.899620e-01	-1.241724e-01
1.400000e+00	2.635989e-02	1.451603e-01	3.360466e-02	2.492904e-01	-1.712844e-01
1.450000e+00	-4.063440e-03	1.574151e-01	3.128335e-03	2.368495e-01	-2.280904e-01
1.500000e+00	-2.143424e-02	1.530147e-01	-2.399293e-02	2.366874e-01	-2.396747e-01
1.550000e+00	-2.167721e-02	1.307349e-01	-3.481957e-02	2.225869e-01	-2.181482e-01
1.600000e+00	-3.242178e-03	9.515716e-02	-3.085549e-02	2.101985e-01	-1.580603e-01
1.650000e+00	3.091915e-02	5.880023e-02	1.501708e-02	1.915903e-01	-7.886418e-02
1.700000e+00	7.104769e-02	5.120112e-02	8.672987e-02	1.625626e-01	-7.242082e-02
1.750000e+00	1.106740e-01	7.403658e-02	1.247190e-01	2.117768e-01	-4.676928e-02
1.800000e+00	1.379994e-01	9.239571e-02	1.494122e-01	2.625095e-01	-1.128000e-02
1.850000e+00	1.510207e-01	9.529708e-02	1.516173e-01	2.817595e-01	2.516108e-02
1.900000e+00	1.460106e-01	8.123915e-02	1.418543e-01	2.671095e-01	3.755844e-02
1.950000e+00	1.290690e-01	5.522466e-02	1.292490e-01	2.217006e-01	5.049930e-02
2.000000e+00	1.044770e-01	2.565467e-02	1.039741e-01	1.687198e-01	5.936662e-02
2.050000e+00	8.142777e-02	1.612465e-02	8.084035e-02	1.321581e-01	3.319311e-02
2.100000e+00	6.278742e-02	3.214864e-02	7.359950e-02	1.285961e-01	-1.353326e-04
2.150000e+00	5.058072e-02	3.846223e-02	6.293028e-02	1.160738e-01	-1.864085e-02
2.200000e+00	4.318851e-02	3.330747e-02	5.451977e-02	9.717205e-02	-1.587077e-02
2.250000e+00	3.469018e-02	2.033809e-02	3.877041e-02	6.973085e-02	-1.215835e-03
2.300000e+00	2.409798e-02	8.435714e-03	2.341759e-02	4.527486e-02	4.160410e-03
2.350000e+00	1.093210e-02	5.890918e-03	1.120671e-02	2.866674e-02	-1.055302e-02
2.400000e+00	-3.584265e-03	7.849952e-03	-3.871899e-03	1.954130e-02	-2.488806e-02
2.450000e+00	-1.437958e-02	8.760608e-03	-1.537031e-02	1.451422e-02	-3.546912e-02
2.500000e+00	-2.316006e-02	8.487838e-03	-2.412213e-02	6.441079e-03	-4.283631e-02
2.550000e+00	-2.882652e-02	7.623573e-03	-2.935035e-02	-2.417616e-03	-4.699899e-02
2.600000e+00	-3.070768e-02	6.659006e-03	-3.061195e-02	-1.010257e-02	-4.805250e-02
