# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-6.912410e-02	2.074757e-01	0.000000e+00	4.032518e-01	-6.477664e-01
5.000000e-02	-1.316941e-01	2.637361e-01	-3.568295e-02	4.163573e-01	-6.633539e-01
1.000000e-01	-1.369094e-01	2.578080e-01	-3.852301e-02	3.964645e-01	-6.725502e-01
1.500000e-01	-1.529133e-01	2.411142e-01	-4.880615e-02	3.365369e-01	-6.991272e-01
2.000000e-01	-1.696963e-01	2.260154e-01	-6.706524e-02	2.755010e-01	-7.247593e-01
2.500000e-01	-1.984427e-01	2.057401e-01	-1.163924e-01	1.730185e-01	-7.639463e-01
3.000000e-01	-2.287901e-01	1.921895e-01	-2.071270e-01	7.222356e-02	-7.998840e-01
3.500000e-01	-2.716868e-01	1.871196e-01	-3.340026e-01	3.588250e-02	-8.419160e-01
4.000000e-01	-3.159324e-01	1.965793e-01	-4.061259e-01	1.995891e-02	-8.765434e-01
4.500000e-01	-3.709022e-01	2.242166e-01	-4.368418e-01	1.359149e-02	-9.068573e-01
5.000000e-01	-4.244724e-01	2.588401e-01	-4.480968e-01	1.157826e-03	-9.415707e-01
5.500000e-01	-4.826348e-01	3.006902e-01	-4.503807e-01	-2.299266e-02	-1.064578e+00
6.000000e-01	-5.332082e-01	3.351380e-01	-4.533863e-01	-5.745561e-02	-1.164210e+00
6.500000e-01	-5.775170e-01	3.613640e-01	-4.447065e-01	-9.703874e-02	-1.255680e+00
7.000000e-01	-6.055001e-01	3.705397e-01	-4.350141e-01	-1.391777e-01	-1.287111e+00
7.500000e-01	-6.142213e-01	3.601328e-01	-4.275402e-01	-1.869173e-01	-1.253308e+00
8.000000e-01	-5.992990e-01	3.304961e-01	-4.089004e-01	-2.268618e-01	-1.155999e+00
8.500000e-01	-5.564336e-01	2.800774e-01	-3.895692e-01	-2.453975e-01	-1.042742e+00
9.000000e-01	-4.904183e-01	2.189843e-01	-3.714244e-01	-2.228028e-01	-9.075892e-01
9.500000e-01	-3.999002e-01	1.511462e-01	-3.499351e-01	-1.697899e-01	-7.302122e-01
1.000000e+00	-2.990599e-01	9.852301e-02	-3.063584e-01	-1.060002e-01	-5.392018e-01
1.050000e+00	-1.916399e-01	8.401119e-02	-1.900324e-01	-2.409932e-02	-3.881795e-01
1.100000e+00	-9.573866e-02	1.027307e-01	-7.238569e-02	9.558656e-02	-3.160764e-01
1.150000e+00	-1.750621e-02	1.195463e-01	1.578495e-02	1.905427e-01	-2.405984e-01
