# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	2.161403e-02	1.900826e-01	0.000000e+00	6.445207e-01	-4.306806e-01
5.000000e-02	1.789277e-02	2.615699e-01	-8.098125e-02	6.612408e-01	-7.008983e-01
1.000000e-01	7.590034e-03	2.584258e-01	-8.920226e-02	6.474014e-01	-7.049787e-01
1.500000e-01	-2.418549e-02	2.490188e-01	-1.167240e-01	6.037216e-01	-7.174508e-01
2.000000e-01	-5.721383e-02	2.396885e-01	-1.425507e-01	5.570085e-01	-7.300604e-01
2.500000e-01	-1.140902e-01	2.241990e-01	-1.884860e-01	4.734269e-01	-7.512699e-01
3.000000e-01	-1.730849e-01	2.088174e-01	-2.358567e-01	3.833534e-01	-7.722767e-01
3.500000e-01	-2.560081e-01	1.875037e-01	-3.095772e-01	2.509847e-01	-8.004230e-01
4.000000e-01	-3.391961e-01	1.667710e-01	-3.860819e-01	1.201160e-01	-8.264495e-01
4.500000e-01	-4.399826e-01	1.419325e-01	-4.716379e-01	-4.915398e-02	-8.543191e-01
5.000000e-01	-5.342179e-01	1.206567e-01	-5.499463e-01	-2.166487e-01	-8.755656e-01
5.500000e-01	-6.315049e-01	1.031381e-01	-6.326192e-01	-3.825054e-01	-9.111279e-01
6.000000e-01	-7.106727e-01	9.737365e-02	-7.040703e-01	-4.486873e-01	-9.723241e-01
6.500000e-01	-7.729528e-01	1.048159e-01	-7.825604e-01	-4.466385e-01	-1.016785e+00
7.000000e-01	-8.048400e-01	1.202223e-01	-8.278269e-01	-3.806594e-01	-1.049618e+00
7.500000e-01	-8.019434e-01	1.392682e-01	-8.332941e-01	-2.959500e-01	-1.074952e+00
8.000000e-01	-7.629596e-01	1.558236e-01	-7.988384e-01	-2.045895e-01	-1.065407e+00
8.500000e-01	-6.830485e-01	1.688963e-01	-7.220216e-01	-1.020220e-01	-1.007543e+00
9.000000e-01	-5.749441e-01	1.768204e-01	-6.232891e-01	-3.585754e-03	-9.055133e-01
9.500000e-01	-4.381362e-01	1.794050e-01	-4.899390e-01	9.204240e-02	-7.695435e-01
1.000000e+00	-2.957682e-01	1.770127e-01	-3.524181e-01	1.697473e-01	-6.157817e-01
1.050000e+00	-1.522688e-01	1.688053e-01	-2.042460e-01	2.285572e-01	-4.459944e-01
1.100000e+00	-3.163090e-02	1.561956e-01	-8.305023e-02	3.038923e-01	-2.877387e-01
1.150000e+00	6.107235e-02	1.396572e-01	5.514036e-03	3.682450e-01	-1.624935e-01
1.200000e+00	1.127938e-01	1.243105e-01	6.607100e-02	3.882126e-01	-8.605473e-02
1.250000e+00	1.242539e-01	1.162197e-01	9.401756e-02	3.503509e-01	-8.147397e-02
1.300000e+00	9.990829e-02	1.203901e-01	7.929154e-02	2.901728e-01	-1.184898e-01
1.350000e+00	4.879059e-02	1.340861e-01	1.103510e-03	2.997262e-01	-1.532867e-01
1.400000e+00	-1.133944e-02	1.471242e-01	-5.997250e-02	2.763735e-01	-2.068166e-01
1.450000e+00	-6.808742e-02	1.524606e-01	-1.178717e-01	2.309514e-01	-2.488856e-01
1.500000e+00	-1.039221e-01	1.448500e-01	-1.668475e-01	1.890490e-01	-2.637710e-01
1.550000e+00	-1.124522e-01	1.252497e-01	-1.766552e-01	1.472880e-01	-2.483134e-01
1.600000e+00	-8.974859e-02	9.959927e-02	-1.210998e-01	1.240849e-01	-2.246455e-01
1.650000e+00	-4.071488e-02	8.073061e-02	-2.807970e-02	1.060768e-01	-1.993027e-01
1.700000e+00	2.283556e-02	8.027831e-02	5.310915e-02	1.545752e-01	-1.519673e-01
1.750000e+00	8.964823e-02	9.173536e-02	1.096929e-01	2.229794e-01	-9.327035e-02
1.800000e+00	1.433869e-01	9.749291e-02	1.404431e-01	2.761795e-01	-2.616154e-02
1.850000e+00	1.780400e-01	9.088944e-02	1.525172e-01	3.040235e-01	3.767318e-02
1.900000e+00	1.862951e-01	7.051381e-02	1.599356e-01	2.923786e-01	8.292902e-02
1.950000e+00	1.737276e-01	4.205274e-02	1.630283e-01	2.533713e-01	1.048087e-01
2.000000e+00	1.445121e-01	1.782651e-02	1.460449e-01	1.872903e-01	8.763254e-02
2.050000e+00	1.101861e-01	2.708507e-02	1.112495e-01	1.836251e-01	3.773875e-02
2.100000e+00	7.696289e-02	4.022524e-02	8.411552e-02	1.641624e-01	5.174645e-03
2.150000e+00	5.097536e-02	4.027263e-02	6.120070e-02	1.324912e-01	-7.525900e-03
2.200000e+00	3.363321e-02	2.921077e-02	4.183383e-02	9.519093e-02	-1.287124e-02
2.250000e+00	1.927178e-02	1.322125e-02	2.084431e-02	5.200085e-02	-1.053354e-02
2.300000e+00	7.706608e-03	8.314848e-03	6.738354e-03	3.357677e-02	-9.110666e-03
2.350000e+00	-2.176271e-03	1.394851e-02	-5.270914e-03	2.854113e-02	-2.679091e-02
2.400000e+00	-1.085192e-02	1.466573e-02	-1.260213e-02	1.566331e-02	-3.841992e-02
2.450000e+00	-1.621202e-02	1.402160e-02	-1.488449e-02	7.920586e-03	-4.567469e-02
2.500000e+00	-1.967792e-02	1.262618e-02	-1.543598e-02	1.130834e-05	-4.847883e-02
2.550000e+00	-2.103155e-02	1.205501e-02	-1.891549e-02	6.240540e-04	-4.710528e-02
2.600000e+00	-2.013324e-02	1.232689e-02	-2.292588e-02	5.338312e-03	-4.211039e-02
2.650000e+00	-1.942429e-02	1.298133e-02	-2.466778e-02	7.764904e-03	-3.834073e-02
2.700000e+00	-1.725833e-02	1.277865e-02	-2.308750e-02	1.040720e-02	-3.307382e-02
2.750000e+00	-1.392462e-02	1.149335e-02	-1.932000e-02	1.250775e-02	-2.755410e-02
2.800000e+00	-9.854183e-03	9.361032e-03	-1.401673e-02	1.336721e-02	-2.191841e-02
2.850000e+00	-7.097325e-03	7.233730e-03	-9.841083e-03	1.267165e-02	-1.752316e-02
2.900000e+00	-3.866129e-03	5.279176e-03	-5.284674e-03	1.190216e-02	-1.218478e-02
2.950000e+00	-3.423966e-04	3.805143e-03	-1.014276e-03	1.250834e-02	-9.034789e-03
