# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	1.422107e-02	7.940787e-02	0.000000e+00	3.977758e-01	-3.457699e-01
5.000000e-02	2.137118e-02	1.066778e-01	6.658626e-03	3.857717e-01	-3.406504e-01
1.000000e-01	1.307231e-02	9.965196e-02	1.004148e-03	3.678885e-01	-3.303359e-01
1.500000e-01	-1.228173e-02	8.535489e-02	-1.750168e-02	3.137845e-01	-3.001162e-01
2.000000e-01	-3.866048e-02	8.364512e-02	-3.872657e-02	2.584857e-01	-3.028210e-01
2.500000e-01	-8.338949e-02	1.058876e-01	-5.779119e-02	1.746626e-01	-3.883587e-01
3.000000e-01	-1.301103e-01	1.432315e-01	-8.941497e-02	1.819632e-01	-4.715163e-01
3.500000e-01	-1.952564e-01	2.010545e-01	-1.366416e-01	1.827648e-01	-5.805083e-01
4.000000e-01	-2.615189e-01	2.571495e-01	-1.867724e-01	1.703353e-01	-7.024458e-01
4.500000e-01	-3.427922e-01	3.226114e-01	-2.785010e-01	1.430110e-01	-8.444303e-01
5.000000e-01	-4.208723e-01	3.777056e-01	-3.711095e-01	1.333650e-01	-9.654664e-01
5.500000e-01	-5.048682e-01	4.298074e-01	-4.772872e-01	1.343473e-01	-1.101439e+00
6.000000e-01	-5.772225e-01	4.635365e-01	-5.754337e-01	1.342557e-01	-1.203192e+00
6.500000e-01	-6.407022e-01	4.803499e-01	-6.654896e-01	1.103561e-01	-1.270403e+00
7.000000e-01	-6.817542e-01	4.729584e-01	-7.306906e-01	7.222179e-02	-1.289880e+00
7.500000e-01	-6.976364e-01	4.391235e-01	-7.469337e-01	6.915265e-03	-1.267617e+00
8.000000e-01	-6.834003e-01	3.825575e-01	-7.339395e-01	-7.182609e-02	-1.196743e+00
8.500000e-01	-6.347686e-01	3.017417e-01	-6.696878e-01	-1.612021e-01	-1.065940e+00
9.000000e-01	-5.588487e-01	2.110664e-01	-5.876528e-01	-2.122313e-01	-9.209868e-01
9.500000e-01	-4.550140e-01	1.152462e-01	-4.535803e-01	-2.063289e-01	-7.273410e-01
1.000000e+00	-3.412157e-01	5.657447e-02	-3.475242e-01	-1.882283e-01	-5.122337e-01
1.050000e+00	-2.225109e-01	9.433298e-02	-2.199407e-01	-7.278603e-03	-4.693235e-01
1.100000e+00	-1.196025e-01	1.427702e-01	-1.225702e-01	1.311867e-01	-4.607245e-01
1.150000e+00	-3.941574e-02	1.684343e-01	-2.327308e-02	2.160704e-01	-4.214514e-01
