# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	3.596749e-02	2.071589e-01	0.000000e+00	7.252680e-01	-6.107404e-01
5.000000e-02	5.978223e-02	2.818301e-01	7.371158e-02	7.912649e-01	-6.559052e-01
1.000000e-01	4.937922e-02	2.770172e-01	6.839898e-02	7.696189e-01	-6.665442e-01
1.500000e-01	1.786677e-02	2.631993e-01	4.510960e-02	7.023402e-01	-6.968844e-01
2.000000e-01	-1.442193e-02	2.505180e-01	1.654440e-02	6.315427e-01	-7.255857e-01
2.500000e-01	-6.827075e-02	2.329496e-01	-5.494766e-02	5.089175e-01	-7.683130e-01
3.000000e-01	-1.233171e-01	2.205000e-01	-1.141163e-01	3.802526e-01	-8.061875e-01
3.500000e-01	-1.980554e-01	2.145362e-01	-1.827109e-01	2.056120e-01	-8.487281e-01
4.000000e-01	-2.721859e-01	2.207034e-01	-2.708206e-01	1.146629e-01	-8.813440e-01
4.500000e-01	-3.600393e-01	2.435564e-01	-3.386204e-01	9.413070e-02	-9.132605e-01
5.000000e-01	-4.416081e-01	2.744928e-01	-3.816823e-01	7.736404e-02	-9.910479e-01
5.500000e-01	-5.256964e-01	3.135792e-01	-4.693334e-01	4.838914e-02	-1.089224e+00
6.000000e-01	-5.945253e-01	3.470397e-01	-5.554233e-01	4.087419e-02	-1.154445e+00
6.500000e-01	-6.507150e-01	3.732583e-01	-6.522687e-01	1.431548e-02	-1.236344e+00
7.000000e-01	-6.821992e-01	3.833016e-01	-6.363720e-01	-2.828670e-02	-1.262974e+00
7.500000e-01	-6.870929e-01	3.740936e-01	-6.015491e-01	-6.912184e-02	-1.229914e+00
8.000000e-01	-6.629206e-01	3.451520e-01	-5.644094e-01	-1.145089e-01	-1.147095e+00
8.500000e-01	-6.072230e-01	2.941707e-01	-4.960267e-01	-1.295529e-01	-1.055386e+00
9.000000e-01	-5.289203e-01	2.301286e-01	-4.398908e-01	-1.246560e-01	-9.275108e-01
9.500000e-01	-4.289979e-01	1.558679e-01	-4.063984e-01	-1.316445e-01	-7.519815e-01
1.000000e+00	-3.248250e-01	9.383513e-02	-3.334761e-01	-5.954277e-02	-5.473009e-01
1.050000e+00	-2.212867e-01	7.928457e-02	-2.308726e-01	6.528728e-03	-4.016854e-01
1.100000e+00	-1.359231e-01	1.124537e-01	-1.606229e-01	1.132489e-01	-3.562676e-01
1.150000e+00	-7.343273e-02	1.444658e-01	-7.382830e-02	2.065626e-01	-3.428822e-01
1.200000e+00	-4.124909e-02	1.557487e-01	-2.272620e-02	2.389722e-01	-3.220868e-01
1.250000e+00	-3.775767e-02	1.445173e-01	-3.021419e-02	2.203237e-01	-3.126818e-01
1.300000e+00	-5.564047e-02	1.163166e-01	-3.331591e-02	1.853598e-01	-3.215121e-01
1.350000e+00	-8.541054e-02	8.220417e-02	-6.085043e-02	1.009422e-01	-3.096753e-01
1.400000e+00	-1.111558e-01	6.637389e-02	-1.269335e-01	8.822277e-02	-2.741866e-01
1.450000e+00	-1.220349e-01	7.857198e-02	-1.391108e-01	1.123100e-01	-2.579161e-01
1.500000e+00	-1.077412e-01	9.416807e-02	-1.167597e-01	1.250531e-01	-2.815379e-01
1.550000e+00	-6.567366e-02	9.694897e-02	-4.732138e-02	1.298853e-01	-2.419152e-01
