# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	4.236802e-02	1.422201e-01	0.000000e+00	5.352729e-01	-3.641684e-01
5.000000e-02	8.869925e-02	1.803112e-01	1.024285e-01	5.121336e-01	-3.542251e-01
1.000000e-01	7.857008e-02	1.728751e-01	9.193821e-02	4.888442e-01	-3.443122e-01
1.500000e-01	4.789952e-02	1.535608e-01	4.815812e-02	4.192214e-01	-3.159103e-01
2.000000e-01	1.673280e-02	1.391195e-01	1.056012e-02	3.489805e-01	-3.201541e-01
2.500000e-01	-3.488257e-02	1.289744e-01	-3.535752e-02	2.677158e-01	-4.139146e-01
3.000000e-01	-8.688360e-02	1.359342e-01	-6.694456e-02	1.908067e-01	-5.040088e-01
3.500000e-01	-1.560934e-01	1.655981e-01	-1.053550e-01	1.268317e-01	-6.210275e-01
4.000000e-01	-2.242785e-01	2.038485e-01	-1.545460e-01	6.242906e-02	-7.284900e-01
4.500000e-01	-3.034699e-01	2.545416e-01	-1.773653e-01	6.993537e-02	-8.485029e-01
5.000000e-01	-3.764193e-01	2.993067e-01	-2.594100e-01	8.247657e-02	-9.515478e-01
5.500000e-01	-4.511856e-01	3.432043e-01	-3.804814e-01	7.886339e-02	-1.065574e+00
6.000000e-01	-5.121747e-01	3.723687e-01	-4.760096e-01	5.299802e-02	-1.157560e+00
6.500000e-01	-5.627631e-01	3.883382e-01	-5.447205e-01	8.645837e-03	-1.240177e+00
7.000000e-01	-5.918045e-01	3.846826e-01	-5.823786e-01	-2.510759e-02	-1.269321e+00
7.500000e-01	-5.988300e-01	3.603387e-01	-5.834666e-01	-4.557767e-02	-1.235034e+00
8.000000e-01	-5.805927e-01	3.186945e-01	-5.521620e-01	-6.443173e-02	-1.152789e+00
8.500000e-01	-5.354155e-01	2.598069e-01	-5.245327e-01	-8.960868e-02	-1.073648e+00
9.000000e-01	-4.698557e-01	1.969651e-01	-4.729773e-01	-9.904199e-02	-9.374042e-01
9.500000e-01	-3.842737e-01	1.377382e-01	-3.907304e-01	-8.615655e-02	-7.434670e-01
1.000000e+00	-2.930283e-01	1.077097e-01	-2.890590e-01	-5.235057e-02	-5.497033e-01
1.050000e+00	-1.993795e-01	1.140235e-01	-1.501825e-01	-2.681444e-02	-5.010952e-01
1.100000e+00	-1.191337e-01	1.318766e-01	-7.380844e-02	1.208985e-01	-4.260912e-01
1.150000e+00	-5.625476e-02	1.398093e-01	-2.781649e-02	2.196972e-01	-3.728599e-01
1.200000e+00	-1.896270e-02	1.291179e-01	-8.059158e-03	2.559800e-01	-3.248860e-01
1.250000e+00	-7.325315e-03	1.018068e-01	-1.271920e-02	2.205811e-01	-2.672044e-01
1.300000e+00	-1.666490e-02	6.743723e-02	-2.655691e-02	1.422251e-01	-2.059467e-01
1.350000e+00	-4.092145e-02	4.916915e-02	-4.352115e-02	8.106401e-02	-1.742194e-01
1.400000e+00	-6.614462e-02	6.615579e-02	-7.276098e-02	1.220603e-01	-1.827692e-01
1.450000e+00	-8.400293e-02	8.898055e-02	-7.614470e-02	1.561490e-01	-2.406721e-01
1.500000e+00	-8.320297e-02	9.703711e-02	-6.270612e-02	1.687544e-01	-2.627586e-01
1.550000e+00	-6.081009e-02	8.679907e-02	-4.373456e-02	1.659467e-01	-2.248606e-01
1.600000e+00	-1.889469e-02	6.230319e-02	-2.031021e-02	1.537770e-01	-1.541475e-01
1.650000e+00	3.662275e-02	4.136937e-02	3.640415e-02	1.386051e-01	-4.866672e-02
1.700000e+00	9.157095e-02	5.669856e-02	1.096481e-01	1.902945e-01	-3.075216e-02
1.750000e+00	1.374261e-01	8.785868e-02	1.461821e-01	2.928897e-01	-2.779793e-02
1.800000e+00	1.611518e-01	1.091623e-01	1.569791e-01	3.433515e-01	-2.678738e-02
1.850000e+00	1.622231e-01	1.151796e-01	1.492031e-01	3.444843e-01	-3.036270e-02
1.900000e+00	1.400971e-01	1.037168e-01	1.263322e-01	3.176945e-01	-3.144007e-02
1.950000e+00	1.044341e-01	7.980546e-02	9.222492e-02	2.519708e-01	-2.698045e-02
2.000000e+00	6.441815e-02	4.940713e-02	5.326910e-02	1.672723e-01	-1.721146e-02
2.050000e+00	2.971395e-02	2.088049e-02	2.532232e-02	8.757767e-02	-1.404099e-02
2.100000e+00	8.877497e-03	1.773670e-02	4.801401e-03	6.049183e-02	-2.538060e-02
2.150000e+00	3.665067e-03	2.882405e-02	-5.947943e-03	6.598039e-02	-4.521270e-02
2.200000e+00	9.358281e-03	3.229453e-02	3.333892e-03	7.187493e-02	-4.558128e-02
2.250000e+00	1.596848e-02	3.108195e-02	1.182782e-02	7.510922e-02	-3.866071e-02
2.300000e+00	2.068004e-02	2.686285e-02	1.943926e-02	7.113601e-02	-2.826666e-02
2.350000e+00	2.023083e-02	2.211873e-02	2.171260e-02	6.041924e-02	-2.792720e-02
2.400000e+00	1.400898e-02	1.848241e-02	1.725147e-02	4.296513e-02	-3.221123e-02
2.450000e+00	8.493503e-03	1.583201e-02	1.173154e-02	3.601789e-02	-3.278533e-02
2.500000e+00	1.493883e-03	1.351761e-02	4.145399e-03	2.857746e-02	-3.090910e-02
2.550000e+00	-5.645075e-03	1.135082e-02	-4.252538e-03	2.065569e-02	-3.167618e-02
2.600000e+00	-1.157637e-02	9.148406e-03	-1.215942e-02	1.258795e-02	-3.102875e-02
2.650000e+00	-1.737238e-02	7.287179e-03	-1.856951e-02	4.060978e-03	-3.254460e-02
2.700000e+00	-2.129001e-02	5.735077e-03	-2.141139e-02	-3.811027e-03	-3.596201e-02
2.750000e+00	-2.290098e-02	5.014797e-03	-2.284870e-02	-8.611092e-03	-3.597402e-02
2.800000e+00	-2.224055e-02	5.275595e-03	-2.325577e-02	-6.301248e-03	-3.393506e-02
2.850000e+00	-2.093921e-02	5.993325e-03	-2.228493e-02	-6.116757e-03	-3.459248e-02
2.900000e+00	-1.768814e-02	6.668503e-03	-1.916915e-02	-3.995925e-03	-3.523822e-02
2.950000e+00	-1.315057e-02	6.863298e-03	-1.359954e-02	2.474376e-04	-3.284038e-02
3.000000e+00	-8.053185e-03	6.461688e-03	-8.054921e-03	4.267676e-03	-2.783126e-02
3.050000e+00	-2.658622e-03	5.682836e-03	-2.608300e-03	9.234660e-03	-2.035862e-02
