# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	2.405849e-03	1.259682e-01	0.000000e+00	4.179089e-01	-5.018866e-01
5.000000e-02	-1.040261e-02	1.822671e-01	6.343570e-03	4.088092e-01	-5.139988e-01
1.000000e-01	-1.673710e-02	1.820808e-01	1.538845e-03	3.994036e-01	-5.259002e-01
1.500000e-01	-3.643346e-02	1.823860e-01	-1.662204e-02	3.691333e-01	-5.599071e-01
2.000000e-01	-5.731659e-02	1.838640e-01	-3.599711e-02	3.366962e-01	-5.920867e-01
2.500000e-01	-9.339231e-02	1.885711e-01	-7.443406e-02	2.779356e-01	-6.432542e-01
3.000000e-01	-1.317146e-01	1.952444e-01	-1.094340e-01	2.231948e-01	-6.953100e-01
3.500000e-01	-1.855346e-01	2.076899e-01	-1.451447e-01	1.956001e-01	-7.590893e-01
4.000000e-01	-2.408292e-01	2.213328e-01	-1.748907e-01	1.693043e-01	-8.316714e-01
4.500000e-01	-3.083747e-01	2.408341e-01	-2.115541e-01	1.257753e-01	-9.064871e-01
5.000000e-01	-3.734946e-01	2.586255e-01	-2.605668e-01	6.788818e-02	-9.605271e-01
5.500000e-01	-4.429179e-01	2.781060e-01	-3.191700e-01	-5.565189e-03	-9.987481e-01
6.000000e-01	-5.028164e-01	2.914712e-01	-3.805643e-01	-3.453998e-02	-1.071517e+00
6.500000e-01	-5.551462e-01	2.993255e-01	-4.479072e-01	-6.841302e-02	-1.134421e+00
7.000000e-01	-5.893619e-01	2.971191e-01	-5.043071e-01	-9.348958e-02	-1.170666e+00
7.500000e-01	-6.035089e-01	2.831697e-01	-5.433087e-01	-9.359593e-02	-1.161278e+00
8.000000e-01	-5.934537e-01	2.585510e-01	-5.586800e-01	-9.176472e-02	-1.113796e+00
8.500000e-01	-5.560720e-01	2.216235e-01	-5.482153e-01	-8.257595e-02	-1.004024e+00
9.000000e-01	-4.962175e-01	1.794485e-01	-4.913279e-01	-6.989169e-02	-9.012940e-01
9.500000e-01	-4.132770e-01	1.335698e-01	-4.220992e-01	-5.707016e-02	-7.960096e-01
1.000000e+00	-3.205695e-01	9.648255e-02	-3.351331e-01	-4.560583e-02	-6.525963e-01
1.050000e+00	-2.216421e-01	7.649572e-02	-2.149955e-01	-8.963174e-03	-4.805483e-01
1.100000e+00	-1.329828e-01	7.652218e-02	-1.338853e-01	5.563781e-02	-3.584702e-01
1.150000e+00	-6.013441e-02	8.197257e-02	-6.601016e-02	1.593810e-01	-2.982182e-01
1.200000e+00	-1.348675e-02	8.067586e-02	-1.277616e-02	2.051687e-01	-2.359677e-01
1.250000e+00	5.109588e-03	7.092594e-02	1.074020e-02	1.844135e-01	-1.748418e-01
1.300000e+00	-1.638744e-03	5.874835e-02	3.941703e-03	1.258033e-01	-1.537869e-01
1.350000e+00	-2.802791e-02	5.560514e-02	-3.118720e-02	1.385366e-01	-1.633856e-01
