# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	-1.448527e-02	1.458781e-01	0.000000e+00	3.858860e-01	-5.057614e-01
5.000000e-02	-3.839945e-02	2.037052e-01	-6.458939e-03	3.875262e-01	-5.220111e-01
1.000000e-01	-4.666743e-02	2.031388e-01	-1.714508e-02	3.713838e-01	-5.346641e-01
1.500000e-01	-7.192415e-02	2.030000e-01	-4.286284e-02	3.220677e-01	-5.711552e-01
2.000000e-01	-9.815988e-02	2.049178e-01	-5.459145e-02	2.713245e-01	-6.061930e-01
2.500000e-01	-1.425697e-01	2.119470e-01	-7.641458e-02	1.848941e-01	-6.601398e-01
3.000000e-01	-1.887769e-01	2.221148e-01	-1.051283e-01	9.547728e-02	-7.127963e-01
3.500000e-01	-2.528088e-01	2.397232e-01	-1.375293e-01	4.307554e-02	-7.843045e-01
4.000000e-01	-3.174274e-01	2.580921e-01	-2.107443e-01	6.704221e-03	-8.572094e-01
4.500000e-01	-3.955966e-01	2.808170e-01	-3.147965e-01	-8.938502e-03	-9.496473e-01
5.000000e-01	-4.694223e-01	2.993958e-01	-4.330983e-01	-2.600214e-02	-1.019445e+00
5.500000e-01	-5.465486e-01	3.155801e-01	-5.582243e-01	-5.818440e-02	-1.071666e+00
6.000000e-01	-6.103200e-01	3.227244e-01	-6.597538e-01	-9.766530e-02	-1.100835e+00
6.500000e-01	-6.619978e-01	3.203269e-01	-7.236297e-01	-1.385934e-01	-1.148967e+00
7.000000e-01	-6.897035e-01	3.063999e-01	-7.218183e-01	-1.792367e-01	-1.150235e+00
7.500000e-01	-6.898340e-01	2.794668e-01	-6.940237e-01	-2.226582e-01	-1.143084e+00
8.000000e-01	-6.597198e-01	2.435586e-01	-6.126513e-01	-2.554241e-01	-1.096234e+00
8.500000e-01	-5.952058e-01	1.986483e-01	-5.367040e-01	-2.700002e-01	-1.000102e+00
9.000000e-01	-5.056494e-01	1.543089e-01	-4.534778e-01	-2.730715e-01	-8.605588e-01
9.500000e-01	-3.911731e-01	1.148905e-01	-3.748538e-01	-1.654297e-01	-6.832445e-01
1.000000e+00	-2.710998e-01	9.306615e-02	-2.845100e-01	-5.034640e-02	-4.831065e-01
1.050000e+00	-1.509546e-01	8.969890e-02	-1.689391e-01	6.799688e-02	-3.064946e-01
1.100000e+00	-5.131452e-02	9.472562e-02	-4.963840e-02	1.615638e-01	-2.583444e-01
1.150000e+00	2.144699e-02	9.752816e-02	4.345745e-02	2.090723e-01	-2.081717e-01
1.200000e+00	5.758997e-02	9.449220e-02	7.084525e-02	2.462582e-01	-1.643550e-01
1.250000e+00	5.754434e-02	8.990868e-02	6.163119e-02	2.780558e-01	-1.273388e-01
1.300000e+00	2.899907e-02	8.976118e-02	2.144110e-02	2.694771e-01	-1.238052e-01
1.350000e+00	-1.793895e-02	9.772895e-02	-3.866598e-02	2.315355e-01	-1.839431e-01
1.400000e+00	-6.416068e-02	1.079980e-01	-8.185287e-02	1.806167e-01	-2.391617e-01
1.450000e+00	-9.689575e-02	1.138024e-01	-1.087546e-01	1.265648e-01	-2.642579e-01
1.500000e+00	-1.022045e-01	1.089231e-01	-1.015910e-01	8.646114e-02	-2.732785e-01
1.550000e+00	-7.621229e-02	9.167079e-02	-6.514334e-02	7.763904e-02	-2.384967e-01
1.600000e+00	-2.317117e-02	6.455392e-02	-9.057077e-03	9.392681e-02	-1.689001e-01
1.650000e+00	4.781434e-02	3.603284e-02	5.190130e-02	1.268323e-01	-5.408198e-02
1.700000e+00	1.180275e-01	3.574758e-02	1.113144e-01	2.105156e-01	3.449325e-02
