# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	1.661035e-02	3.422413e-01	0.000000e+00	1.186858e+00	-8.138163e-01
5.000000e-02	3.393123e-02	4.946989e-01	-1.509216e-01	1.190228e+00	-8.288069e-01
1.000000e-01	2.410069e-02	4.871246e-01	-1.622486e-01	1.177751e+00	-8.220693e-01
1.500000e-01	-6.114431e-03	4.636659e-01	-1.965528e-01	1.135414e+00	-8.011324e-01
2.000000e-01	-3.744265e-02	4.393136e-01	-2.232964e-01	1.086844e+00	-7.788230e-01
2.500000e-01	-9.100883e-02	3.973830e-01	-2.577465e-01	1.009719e+00	-7.898214e-01
3.000000e-01	-1.462628e-01	3.545133e-01	-2.805680e-01	9.373197e-01	-8.208285e-01
3.500000e-01	-2.231266e-01	2.959730e-01	-3.522677e-01	8.171889e-01	-8.577253e-01
4.000000e-01	-2.996499e-01	2.417467e-01	-4.081850e-01	6.761674e-01	-8.879761e-01
4.500000e-01	-3.914569e-01	1.890575e-01	-4.389991e-01	4.781550e-01	-9.138628e-01
5.000000e-01	-4.764751e-01	1.671807e-01	-4.695902e-01	2.626976e-01	-9.266090e-01
5.500000e-01	-5.636658e-01	1.873477e-01	-5.046951e-01	-1.122931e-03	-1.016500e+00
6.000000e-01	-6.334303e-01	2.334727e-01	-5.307637e-01	-2.039283e-01	-1.129329e+00
6.500000e-01	-6.876900e-01	2.880462e-01	-5.733783e-01	-1.649585e-01	-1.207168e+00
7.000000e-01	-7.132838e-01	3.312630e-01	-7.421547e-01	-1.379198e-01	-1.235199e+00
7.500000e-01	-7.073683e-01	3.594345e-01	-7.563062e-01	-1.097072e-01	-1.219333e+00
8.000000e-01	-6.676891e-01	3.667936e-01	-7.159603e-01	-9.647043e-02	-1.193912e+00
8.500000e-01	-5.909311e-01	3.535954e-01	-6.264498e-01	-9.968288e-02	-1.176026e+00
9.000000e-01	-4.882318e-01	3.244131e-01	-4.976559e-01	-3.130151e-02	-1.144597e+00
9.500000e-01	-3.601183e-01	2.831385e-01	-3.824182e-01	7.831487e-02	-1.030284e+00
1.000000e+00	-2.281858e-01	2.402652e-01	-2.786726e-01	1.719660e-01	-8.538829e-01
1.050000e+00	-9.723777e-02	2.006894e-01	-1.747783e-01	2.483362e-01	-6.318147e-01
1.100000e+00	9.750672e-03	1.701763e-01	-3.331207e-02	3.039922e-01	-4.047873e-01
1.150000e+00	8.766744e-02	1.456165e-01	8.378817e-02	3.233928e-01	-2.554619e-01
1.200000e+00	1.242438e-01	1.222706e-01	1.400679e-01	3.374359e-01	-2.044483e-01
1.250000e+00	1.202812e-01	9.587802e-02	1.313468e-01	3.136466e-01	-1.550425e-01
1.300000e+00	8.150725e-02	6.803764e-02	8.610310e-02	2.652894e-01	-1.339274e-01
1.350000e+00	1.710529e-02	4.519741e-02	1.925743e-02	2.151490e-01	-1.187566e-01
1.400000e+00	-5.323761e-02	3.745995e-02	-5.274979e-02	1.470707e-01	-1.610515e-01
1.450000e+00	-1.171365e-01	4.009696e-02	-1.229607e-01	6.890859e-02	-2.082492e-01
1.500000e+00	-1.554774e-01	4.007641e-02	-1.661222e-01	-2.798282e-03	-2.304644e-01
1.550000e+00	-1.625664e-01	4.086183e-02	-1.628160e-01	-3.341131e-02	-2.467702e-01
1.600000e+00	-1.344672e-01	5.504792e-02	-1.185934e-01	-1.154621e-04	-2.485633e-01
1.650000e+00	-7.769608e-02	8.253608e-02	-6.942779e-02	7.182017e-02	-2.217840e-01
1.700000e+00	-5.449187e-03	1.087719e-01	1.955055e-03	1.769945e-01	-1.696582e-01
1.750000e+00	6.931202e-02	1.265128e-01	7.866992e-02	2.646724e-01	-1.079834e-01
1.800000e+00	1.290938e-01	1.278252e-01	1.412702e-01	3.224209e-01	-5.046180e-02
1.850000e+00	1.672319e-01	1.140395e-01	1.805849e-01	3.444279e-01	-1.989919e-03
1.900000e+00	1.766830e-01	8.800482e-02	2.065550e-01	3.132032e-01	2.601534e-02
1.950000e+00	1.633919e-01	5.963938e-02	1.877829e-01	2.572183e-01	4.665053e-02
2.000000e+00	1.327375e-01	4.392975e-02	1.257644e-01	2.643541e-01	5.926165e-02
2.050000e+00	9.635072e-02	4.801919e-02	8.361307e-02	2.448689e-01	3.109333e-02
2.100000e+00	6.213967e-02	5.323704e-02	5.576175e-02	2.004541e-01	-2.607258e-02
2.150000e+00	3.648846e-02	4.770646e-02	3.972149e-02	1.416740e-01	-5.220458e-02
2.200000e+00	2.058295e-02	3.344186e-02	2.618449e-02	7.976896e-02	-5.313468e-02
2.250000e+00	8.274094e-03	1.979307e-02	1.368181e-02	4.620911e-02	-4.810202e-02
2.300000e+00	-4.181830e-05	1.408995e-02	2.874646e-03	3.373777e-02	-4.200249e-02
2.350000e+00	-5.585502e-03	1.483409e-02	-5.719938e-03	3.306597e-02	-4.896584e-02
2.400000e+00	-9.308981e-03	1.338225e-02	-9.189126e-03	2.542093e-02	-5.260151e-02
2.450000e+00	-1.053122e-02	1.131287e-02	-9.450455e-03	1.860223e-02	-5.053210e-02
2.500000e+00	-1.034486e-02	8.510002e-03	-8.888777e-03	9.822420e-03	-4.240585e-02
2.550000e+00	-8.992429e-03	7.883185e-03	-8.875806e-03	6.353619e-03	-3.066503e-02
2.600000e+00	-6.738593e-03	1.011518e-02	-9.106904e-03	1.064214e-02	-2.667372e-02
2.650000e+00	-5.055642e-03	1.310246e-02	-9.532436e-03	1.584342e-02	-2.841148e-02
2.700000e+00	-3.261318e-03	1.512535e-02	-7.569508e-03	2.009392e-02	-2.760229e-02
2.750000e+00	-1.689181e-03	1.561860e-02	-2.508079e-03	2.201386e-02	-2.524969e-02
2.800000e+00	-6.482775e-04	1.464251e-02	-3.244187e-04	2.339838e-02	-2.615510e-02
2.850000e+00	-1.004073e-03	1.307230e-02	-1.824750e-03	2.139958e-02	-2.592061e-02
2.900000e+00	-1.725315e-03	1.077022e-02	-1.684756e-03	1.664639e-02	-2.346030e-02
2.950000e+00	-2.653004e-03	8.477130e-03	-2.919790e-03	1.347743e-02	-1.974036e-02
3.000000e+00	-3.570930e-03	6.851898e-03	-4.414302e-03	1.335669e-02	-1.854692e-02
3.050000e+00	-4.268683e-03	5.854955e-03	-5.283913e-03	1.323952e-02	-2.216356e-02
3.100000e+00	-4.548134e-03	5.764236e-03	-4.374633e-03	1.316563e-02	-2.268057e-02
3.150000e+00	-4.418390e-03	5.789975e-03	-3.550857e-03	1.408517e-02	-2.167577e-02
3.200000e+00	-3.977614e-03	5.486777e-03	-3.120068e-03	1.352105e-02	-2.357087e-02
3.250000e+00	-3.617690e-03	4.902154e-03	-3.380586e-03	1.137067e-02	-2.378413e-02
3.300000e+00	-3.133709e-03	4.425648e-03	-3.279461e-03	8.176364e-03	-2.089918e-02
3.350000e+00	-2.526608e-03	4.621812e-03	-2.191261e-03	8.221670e-03	-1.568088e-02
3.400000e+00	-1.777816e-03	5.493518e-03	-1.301457e-03	9.621546e-03	-1.300073e-02
3.450000e+00	-8.533521e-04	6.637563e-03	-2.805047e-04	1.478628e-02	-1.463740e-02
3.500000e+00	4.026180e-04	7.296866e-03	2.464093e-04	1.843863e-02	-1.400063e-02
3.550000e+00	1.949341e-03	7.207011e-03	7.088055e-04	2.076826e-02	-1.254252e-02
3.600000e+00	3.675387e-03	6.477233e-03	3.419368e-03	1.999449e-02	-9.582592e-03
3.650000e+00	5.608067e-03	5.563145e-03	6.282919e-03	1.642233e-02	-1.142984e-02
3.700000e+00	7.249883e-03	5.445376e-03	8.556214e-03	1.940339e-02	-1.236911e-02
3.750000e+00	8.293295e-03	6.441781e-03	9.094580e-03	2.182102e-02	-1.199251e-02
