# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	3.845341e-02	8.513658e-02	0.000000e+00	4.498200e-01	-1.723021e-01
5.000000e-02	6.585545e-02	1.030738e-01	5.293333e-02	4.299215e-01	-1.645304e-01
1.000000e-01	5.784314e-02	9.655482e-02	4.691798e-02	4.099064e-01	-1.566003e-01
1.500000e-01	3.312019e-02	8.453432e-02	2.954361e-02	3.495047e-01	-2.119583e-01
2.000000e-01	7.086156e-03	8.571934e-02	1.525620e-02	2.911353e-01	-2.697300e-01
2.500000e-01	-3.775003e-02	1.112294e-01	-1.829115e-02	2.303260e-01	-3.628637e-01
3.000000e-01	-8.526042e-02	1.497260e-01	-4.970434e-02	2.193771e-01	-4.568081e-01
3.500000e-01	-1.525321e-01	2.078114e-01	-7.883644e-02	1.982931e-01	-5.820942e-01
4.000000e-01	-2.219561e-01	2.635444e-01	-1.408222e-01	1.758441e-01	-6.977571e-01
4.500000e-01	-3.082356e-01	3.283510e-01	-2.357809e-01	1.645278e-01	-8.351246e-01
5.000000e-01	-3.922976e-01	3.825830e-01	-3.338463e-01	1.611435e-01	-9.651736e-01
5.500000e-01	-4.839136e-01	4.338816e-01	-4.489636e-01	1.356581e-01	-1.097896e+00
6.000000e-01	-5.642240e-01	4.668541e-01	-5.402010e-01	8.626967e-02	-1.196192e+00
6.500000e-01	-6.363841e-01	4.832681e-01	-6.185751e-01	1.257931e-02	-1.265550e+00
7.000000e-01	-6.853617e-01	4.756944e-01	-6.805180e-01	-3.419500e-02	-1.306188e+00
7.500000e-01	-7.086096e-01	4.420940e-01	-7.187950e-01	-9.348263e-02	-1.296050e+00
8.000000e-01	-6.998995e-01	3.859111e-01	-6.986180e-01	-1.575742e-01	-1.218877e+00
8.500000e-01	-6.551843e-01	3.055589e-01	-6.404887e-01	-2.143643e-01	-1.107446e+00
9.000000e-01	-5.808585e-01	2.150691e-01	-5.608239e-01	-2.278274e-01	-9.440900e-01
9.500000e-01	-4.766928e-01	1.185004e-01	-4.701783e-01	-2.314026e-01	-7.278513e-01
1.000000e+00	-3.606657e-01	5.547538e-02	-3.632931e-01	-2.271154e-01	-5.384444e-01
1.050000e+00	-2.383898e-01	9.104859e-02	-2.464855e-01	-2.711436e-02	-4.270141e-01
1.100000e+00	-1.311463e-01	1.411870e-01	-1.639920e-01	1.213472e-01	-3.741488e-01
1.150000e+00	-4.630914e-02	1.691919e-01	-7.142373e-02	2.179696e-01	-3.204918e-01
1.200000e+00	4.224225e-03	1.671487e-01	-1.147912e-02	2.515981e-01	-2.590730e-01
1.250000e+00	1.929770e-02	1.388055e-01	2.261032e-02	2.293313e-01	-2.176528e-01
1.300000e+00	4.482131e-03	9.274474e-02	1.211923e-02	1.835349e-01	-2.023547e-01
1.350000e+00	-3.132793e-02	4.648248e-02	-2.305301e-02	9.974850e-02	-1.836148e-01
1.400000e+00	-6.990214e-02	5.191164e-02	-7.899902e-02	7.764681e-02	-1.856642e-01
1.450000e+00	-9.840647e-02	8.771589e-02	-1.088423e-01	1.049447e-01	-2.485991e-01
1.500000e+00	-1.021281e-01	1.084385e-01	-8.228293e-02	1.206612e-01	-2.662318e-01
1.550000e+00	-7.612573e-02	1.067128e-01	-5.046301e-02	1.297867e-01	-2.344957e-01
1.600000e+00	-2.327713e-02	8.291024e-02	-1.244959e-02	1.338285e-01	-1.610853e-01
1.650000e+00	4.829926e-02	4.431248e-02	5.105072e-02	1.361733e-01	-4.708573e-02
1.700000e+00	1.203198e-01	2.400566e-02	1.186081e-01	1.885144e-01	4.199709e-02
1.750000e+00	1.804518e-01	5.958234e-02	1.833944e-01	2.952069e-01	6.441872e-02
1.800000e+00	2.122450e-01	9.049890e-02	2.059005e-01	3.532829e-01	7.578390e-02
1.850000e+00	2.136568e-01	1.060481e-01	1.966677e-01	3.553069e-01	6.915158e-02
1.900000e+00	1.844169e-01	1.022148e-01	1.676167e-01	3.210939e-01	3.683808e-02
