# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	1.148408e-01	2.483391e-01	0.000000e+00	1.159769e+00	-2.456951e-01
5.000000e-02	2.350448e-01	3.096237e-01	1.614825e-01	1.149663e+00	-2.404189e-01
1.000000e-01	2.240582e-01	3.044316e-01	1.441598e-01	1.138786e+00	-2.352337e-01
1.500000e-01	1.901027e-01	2.891272e-01	8.841148e-02	1.100846e+00	-2.210114e-01
2.000000e-01	1.545159e-01	2.746137e-01	4.411961e-02	1.074351e+00	-2.133975e-01
2.500000e-01	9.324854e-02	2.525976e-01	-3.198694e-03	1.028216e+00	-2.980435e-01
3.000000e-01	2.893863e-02	2.349507e-01	-3.392727e-02	9.674342e-01	-3.814807e-01
3.500000e-01	-6.166153e-02	2.202807e-01	-6.258201e-02	8.618907e-01	-4.961940e-01
4.000000e-01	-1.540764e-01	2.190307e-01	-1.198009e-01	7.348683e-01	-6.078801e-01
4.500000e-01	-2.680102e-01	2.360574e-01	-2.831497e-01	5.521531e-01	-7.411750e-01
5.000000e-01	-3.778239e-01	2.652767e-01	-4.528064e-01	3.500785e-01	-8.646750e-01
5.500000e-01	-4.969848e-01	3.055835e-01	-6.287071e-01	9.857410e-02	-9.864671e-01
6.000000e-01	-6.008917e-01	3.413534e-01	-7.683099e-01	1.490353e-04	-1.074561e+00
6.500000e-01	-6.952451e-01	3.701299e-01	-9.047594e-01	-4.776815e-02	-1.163642e+00
7.000000e-01	-7.605589e-01	3.819377e-01	-9.869375e-01	-1.093792e-01	-1.207116e+00
7.500000e-01	-7.958285e-01	3.738313e-01	-1.021297e+00	-1.816884e-01	-1.226628e+00
8.000000e-01	-7.921503e-01	3.454048e-01	-9.972003e-01	-2.411200e-01	-1.184963e+00
8.500000e-01	-7.460844e-01	2.951893e-01	-9.033425e-01	-2.628294e-01	-1.182328e+00
9.000000e-01	-6.637467e-01	2.324500e-01	-7.676063e-01	-2.709590e-01	-1.100428e+00
9.500000e-01	-5.451319e-01	1.602403e-01	-5.874570e-01	-2.573431e-01	-1.013665e+00
