# k	<chi>	std	chi_median	chi_max	chi_min
0.000000e+00	9.957136e-02	2.170524e-01	0.000000e+00	1.126526e+00	-2.857015e-01
5.000000e-02	1.962317e-01	2.692869e-01	1.103970e-01	1.122805e+00	-2.919004e-01
1.000000e-01	1.862861e-01	2.616997e-01	9.172954e-02	1.118317e+00	-2.824198e-01
1.500000e-01	1.553751e-01	2.403310e-01	4.631516e-02	1.099803e+00	-2.557413e-01
2.000000e-01	1.228782e-01	2.212545e-01	2.528324e-02	1.074798e+00	-2.299254e-01
2.500000e-01	6.639403e-02	1.963899e-01	2.494428e-03	1.019122e+00	-2.835775e-01
3.000000e-01	6.616400e-03	1.824299e-01	7.468970e-03	9.480716e-01	-3.702905e-01
3.500000e-01	-7.859439e-02	1.840300e-01	-1.459892e-02	8.279956e-01	-4.877913e-01
4.000000e-01	-1.665845e-01	2.057902e-01	-9.505373e-02	6.861383e-01	-6.013650e-01
4.500000e-01	-2.766278e-01	2.497108e-01	-2.751083e-01	4.858952e-01	-7.412644e-01
5.000000e-01	-3.843994e-01	2.973087e-01	-4.485474e-01	2.677101e-01	-8.681872e-01
5.500000e-01	-5.033864e-01	3.497628e-01	-6.357978e-01	6.082587e-02	-1.001535e+00
6.000000e-01	-6.094623e-01	3.899145e-01	-8.013523e-01	3.554222e-02	-1.115124e+00
6.500000e-01	-7.081297e-01	4.180899e-01	-9.495072e-01	-1.069498e-02	-1.195283e+00
7.000000e-01	-7.793421e-01	4.248091e-01	-1.049165e+00	-6.869547e-02	-1.219898e+00
7.500000e-01	-8.210951e-01	4.082334e-01	-1.086136e+00	-1.260256e-01	-1.221738e+00
8.000000e-01	-8.232474e-01	3.690734e-01	-1.054097e+00	-1.813401e-01	-1.190178e+00
8.500000e-01	-7.807200e-01	3.062288e-01	-9.529176e-01	-2.178631e-01	-1.164820e+00
9.000000e-01	-6.987518e-01	2.306579e-01	-8.120519e-01	-2.508366e-01	-1.127677e+00
9.500000e-01	-5.761917e-01	1.460134e-01	-6.221110e-01	-2.770104e-01	-1.007781e+00
1.000000e+00	-4.338900e-01	7.812653e-02	-4.234615e-01	-2.827554e-01	-8.274710e-01
1.050000e+00	-2.782377e-01	7.450254e-02	-2.867771e-01	-9.373516e-02	-6.036610e-01
1.100000e+00	-1.370766e-01	1.162697e-01	-9.483442e-02	6.283718e-02	-3.778232e-01
1.150000e+00	-2.057106e-02	1.485626e-01	6.280458e-02	1.666600e-01	-2.949566e-01
1.200000e+00	5.258882e-02	1.561990e-01	1.453541e-01	2.328959e-01	-2.302040e-01
1.250000e+00	7.872643e-02	1.402519e-01	1.511829e-01	2.587022e-01	-1.933264e-01
1.300000e+00	6.114175e-02	1.057112e-01	1.003397e-01	2.203981e-01	-1.618217e-01
1.350000e+00	9.512112e-03	6.286186e-02	1.288616e-02	1.405869e-01	-1.378196e-01
1.400000e+00	-5.347968e-02	3.892355e-02	-5.593497e-02	5.383270e-02	-1.394755e-01
1.450000e+00	-1.105529e-01	5.793662e-02	-1.204310e-01	3.717245e-02	-2.103171e-01
1.500000e+00	-1.391022e-01	7.862002e-02	-1.767471e-01	1.707991e-02	-2.469540e-01
1.550000e+00	-1.297531e-01	8.318821e-02	-1.726188e-01	1.331945e-02	-2.347556e-01
1.600000e+00	-8.076442e-02	6.916012e-02	-1.133071e-01	4.509287e-02	-1.869576e-01
1.650000e+00	-3.051461e-04	4.232606e-02	-9.469395e-03	9.584855e-02	-1.052002e-01
1.700000e+00	9.073048e-02	2.549028e-02	8.801610e-02	1.744949e-01	1.174966e-02
1.750000e+00	1.754002e-01	4.770788e-02	1.844517e-01	2.655042e-01	6.985501e-02
1.800000e+00	2.304359e-01	7.143525e-02	2.630766e-01	3.406798e-01	9.814929e-02
1.850000e+00	2.495747e-01	8.327346e-02	2.951210e-01	3.664923e-01	9.265426e-02
1.900000e+00	2.282935e-01	7.904736e-02	2.701382e-01	3.318130e-01	7.639390e-02
1.950000e+00	1.787300e-01	6.265384e-02	2.117312e-01	2.583530e-01	5.490350e-02
2.000000e+00	1.147680e-01	3.903963e-02	1.326954e-01	1.747552e-01	3.417350e-02
2.050000e+00	5.251786e-02	1.591316e-02	5.539822e-02	8.944445e-02	1.703574e-02
2.100000e+00	9.042909e-03	1.193579e-02	8.683065e-03	4.669032e-02	-1.870875e-02
2.150000e+00	-9.274912e-03	1.918976e-02	-1.695088e-02	3.114418e-02	-4.309424e-02
2.200000e+00	-6.702575e-03	1.989179e-02	-1.434936e-02	3.040315e-02	-4.272832e-02
2.250000e+00	1.928958e-03	1.912596e-02	-4.312499e-03	3.849041e-02	-3.185735e-02
2.300000e+00	9.731260e-03	1.796574e-02	4.172645e-03	4.605555e-02	-2.271410e-02
2.350000e+00	1.146928e-02	1.744724e-02	5.406309e-03	4.636356e-02	-1.710990e-02
2.400000e+00	5.944650e-03	1.777389e-02	-1.216724e-03	3.916977e-02	-2.431073e-02
2.450000e+00	1.521328e-03	1.755878e-02	-5.899633e-03	3.510394e-02	-2.761465e-02
2.500000e+00	-4.439247e-03	1.675701e-02	-1.147092e-02	2.764921e-02	-2.885938e-02
2.550000e+00	-1.046528e-02	1.499116e-02	-1.670074e-02	1.925881e-02	-3.141958e-02
2.600000e+00	-1.507845e-02	1.205792e-02	-2.006413e-02	9.656959e-03	-3.306771e-02
2.650000e+00	-1.949438e-02	8.709342e-03	-2.248241e-02	-7.294670e-04	-3.367941e-02
2.700000e+00	-2.208315e-02	4.971681e-03	-2.269557e-02	-1.046152e-02	-3.148761e-02
2.750000e+00	-2.260656e-02	2.631860e-03	-2.304907e-02	-1.278381e-02	-2.865797e-02
2.800000e+00	-2.130152e-02	4.485143e-03	-2.008638e-02	-8.718365e-03	-3.179448e-02
2.850000e+00	-2.010494e-02	6.998998e-03	-1.719878e-02	-6.724726e-03	-3.627938e-02
2.900000e+00	-1.735414e-02	8.634015e-03	-1.376493e-02	-5.140999e-03	-3.643232e-02
2.950000e+00	-1.352124e-02	9.154762e-03	-1.025523e-02	-4.603053e-04	-3.265548e-02
3.000000e+00	-9.078622e-03	8.699296e-03	-7.078799e-03	3.650366e-03	-2.720953e-02
3.050000e+00	-3.754805e-03	7.857436e-03	-3.179802e-03	8.522262e-03	-1.986925e-02
3.100000e+00	1.462243e-03	6.601836e-03	6.619462e-04	1.366404e-02	-1.217025e-02
3.150000e+00	6.069154e-03	5.285024e-03	5.015591e-03	1.721966e-02	-4.481244e-03
3.200000e+00	9.691101e-03	4.241145e-03	8.966409e-03	1.943856e-02	9.832429e-04
3.250000e+00	1.201919e-02	3.718402e-03	1.244256e-02	1.969766e-02	3.507576e-03
3.300000e+00	1.285852e-02	4.169768e-03	1.344831e-02	2.122792e-02	4.230021e-03
3.350000e+00	1.238009e-02	5.163914e-03	1.262210e-02	2.221934e-02	2.357108e-03
3.400000e+00	1.089319e-02	6.201368e-03	1.069182e-02	2.327366e-02	-9.960712e-04
3.450000e+00	8.762254e-03	7.090351e-03	7.963242e-03	2.307885e-02	-3.906683e-03
3.500000e+00	6.519001e-03	7.371041e-03	5.419083e-03	2.233989e-02	-5.425733e-03
3.550000e+00	4.576804e-03	6.894307e-03	3.512923e-03	2.103459e-02	-6.794024e-03
3.600000e+00	3.231831e-03	5.668584e-03	2.170223e-03	1.864771e-02	-7.284866e-03
3.650000e+00	2.701016e-03	4.038228e-03	2.273270e-03	1.445865e-02	-5.097774e-03
3.700000e+00	2.736996e-03	3.724958e-03	3.098654e-03	1.247670e-02	-7.493485e-03
3.750000e+00	2.975759e-03	5.762603e-03	4.598954e-03	1.242114e-02	-1.043808e-02
3.800000e+00	2.879023e-03	8.305543e-03	4.397823e-03	1.669263e-02	-1.299273e-02
3.850000e+00	1.932204e-03	1.025603e-02	3.181420e-03	1.972630e-02	-1.525190e-02
3.900000e+00	-5.926545e-04	1.088381e-02	-8.783550e-04	1.845740e-02	-1.738910e-02
3.950000e+00	-4.831087e-03	1.009295e-02	-7.540193e-03	1.358010e-02	-1.919566e-02
4.000000e+00	-1.038371e-02	8.374761e-03	-1.443573e-02	4.572173e-03	-2.149690e-02
4.050000e+00	-1.663833e-02	6.948642e-03	-1.669390e-02	-4.767608e-03	-2.878301e-02
4.100000e+00	-2.229634e-02	7.205230e-03	-1.960687e-02	-7.737231e-03	-3.551205e-02
4.150000e+00	-2.585716e-02	8.537172e-03	-2.546465e-02	-5.015012e-03	-4.045909e-02
4.200000e+00	-2.609577e-02	9.329547e-03	-2.838623e-02	-2.034342e-03	-4.051082e-02
